,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.4099998474121129,0.11999988555908558,-0.28000068664550604,0.5299997329711932,-0.4799995422363317,0.5899991989135742,0.5399999618530273,0.25,0.35000038146972656,-0.6700000762939471,0.30000019073486506,0.26999950408935547,9.0,3.0,02-01,0.16083319981892963
01-03,0.23000049591064453,0.07999992370605646,-0.2700004577636719,0.5100002288818377,-0.6100006103515625,0.5699996948242188,0.5900001525878906,0.3400001525878924,0.4200000762939453,-0.6800003051757812,0.26000022888183594,0.21000003814697088,9.0,3.0,02-02,0.13749996821085642
01-04,0.1400003433227539,0.10999965667724787,-0.1699991226196289,0.7600002288818377,-0.7399997711181641,0.6000003814697301,0.6499996185302734,0.3100004196166992,0.26000022888183416,-0.6300001144409162,0.39999961853027344,0.32000064849853516,9.0,3.0,02-03,0.16750017801920633
01-05,0.3000001907348615,0.22999954223632635,-0.15000057220458984,0.7100000381469727,-0.5499992370605469,0.6199998855590856,0.6700000762939453,0.28999996185302557,0.1400003433227539,-0.6500005722045898,0.3199996948242205,0.3400001525878906,9.0,3.0,02-04,0.18916662534077963
01-06,0.039999961853027344,0.19999980926513672,-0.1100006103515625,0.7300004959106445,-0.459999084472658,0.6700000762939471,0.5900001525878906,0.2799997329711914,0.2400007247924787,-0.6600008010864258,0.3899993896484375,0.2700004577636719,9.0,3.0,02-05,0.1816666920979816
01-07,0.1399993896484375,0.15999984741210938,-0.15000057220458984,0.6499996185302734,-0.5399990081787109,0.6899995803833026,0.4499998092651385,0.28999996185302734,0.10000038146972479,-0.7200002670288086,0.32999992370605824,0.2799997329711932,9.0,3.0,02-06,0.13999986648559629
01-08,-0.35000038146972656,0.09999942779541016,-0.17000007629394887,0.5599994659423828,-0.560000419616701,0.6599998474121094,0.5299997329711914,0.2200002670288086,0.18000030517578303,-1.0200004577636719,0.3600006103515625,0.3599996566772461,8.0,4.0,02-07,0.07249983151753714
01-09,-0.6500005722045916,0.11999988555908025,-0.18000030517578303,0.46000003814697266,-0.5499992370605487,0.6499996185302752,0.4499998092651385,0.2799997329711914,0.2799997329711914,-0.8899993896484375,0.4200000762939471,0.38000011444091797,8.0,4.0,02-08,0.06416662534077948
01-10,-0.3699998855590838,0.11999988555908025,-0.2100000381469762,0.38000011444091797,-0.5499992370605487,0.4499998092651367,0.28000068664550604,0.3599996566772461,0.1099996566772461,-0.6999998092651385,0.32999992370605646,0.3500003814697248,8.0,4.0,02-09,0.045833428700763935
01-11,-0.3400001525878924,0.050000190734861505,-0.21999931335448863,0.6300001144409144,-0.44999885559081854,0.5100002288818377,0.2700004577636701,0.36999988555908203,0.319999694824217,-0.619999885559082,0.3099994659423846,0.3400001525878906,8.0,4.0,02-10,0.09750016530354803
01-12,-0.10999965667724965,0.10000038146972834,0.03999996185302912,0.6000003814697248,-0.30000019073486506,0.5500001907348651,0.31000041961669744,0.4700002670288086,0.22000026702880682,-0.5699996948242188,0.42000007629394354,0.38000011444091797,9.0,3.0,02-11,0.17583354314168234
01-13,-0.05999946594238281,0.10000038146972656,0.14999961853027344,0.5,-0.30000019073486506,0.6400003433227557,0.30000019073486506,0.6099996566772443,0.17999935150146307,-0.6199998855590803,0.5,0.4200000762939453,9.0,3.0,02-12,0.20166667302449545
01-14,0.18000030517578125,0.15000057220458984,0.2799997329711914,0.560000419616701,-0.2800006866455078,0.6999998092651349,0.10000038146972834,0.4799995422363281,0.15000057220459162,-0.5799999237060529,0.48000049591064453,0.46000003814697266,10.0,2.0,02-13,0.2233334382375086
01-15,0.6099996566772461,0.16000080108642756,0.1900005340576154,0.5799999237060565,-0.1800003051757777,0.5,0.06999969482421697,0.39999961853027344,0.07000064849853516,-0.5799999237060529,0.5199995040893555,0.43000030517578125,10.0,2.0,02-14,0.23083337148030644
01-16,0.3299999237060547,0.15000057220458984,0.1700000762939453,0.5200004577636737,-0.27000045776367365,0.4400005340576172,-0.010000228881834161,0.5100002288818359,0.010000228881835938,-0.5399999618530291,0.5199995040893555,0.4600000381469709,9.0,3.0,02-15,0.1908334096272785
01-17,0.3900003433227539,0.15999984741211115,0.07000064849853516,0.3600006103515625,-0.3199996948242205,0.26000022888183594,-0.06999969482422053,0.48000049591064275,-0.11999988555908203,-0.6499996185302734,0.5199995040893555,0.48000049591064275,8.0,4.0,02-16,0.13000027338663692
01-18,0.5600004196166992,0.13000011444091797,0.03999996185302912,0.21000003814697088,-0.2899990081787127,0.21000003814697266,-0.2599992752075213,0.3900003433227539,-0.28999996185302734,-0.630000114440918,0.5,0.4200000762939453,8.0,4.0,02-17,0.08250021934509248
01-19,0.6599998474121094,0.15000057220458984,0.3400001525878906,0.14999961853026988,-0.3099994659423846,0.21000003814697266,-0.32999992370605824,0.23999977111816406,-0.2299995422363299,-0.5900001525878906,0.4099998474121076,0.31999969482421875,8.0,4.0,02-18,0.08500003814697162
01-20,0.03999996185302912,0.0800008773803711,0.2799997329711914,0.17999935150146307,-0.3899993896484375,0.11999988555908203,-0.6300001144409197,0.28999996185302734,-0.2299995422363299,-0.6099996566772461,0.3599996566772461,0.25,8.0,4.0,02-19,-0.02166660626729359
01-21,-0.0900001525878924,0.07000064849853516,0.06999969482421875,0.10999965667724432,-0.3899993896484375,0.050000190734861505,-0.5399999618530291,0.25,-0.2599992752075213,-0.6700000762939453,0.35000038146972834,0.2799997329711914,7.0,5.0,02-20,-0.06416654586792052
01-22,0.039999961853027344,0.0900001525878924,-0.039999961853027344,-0.010000228881835938,-0.42999935150146484,0.2599992752075213,-0.5799999237060582,0.13999938964843572,0.010000228881834161,-0.6799993515014666,0.3100004196166992,0.37000083923339844,7.0,5.0,02-21,-0.04333321253458703
