,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,1.999999761581421,-0.5999999046325675,-0.40000009536743164,1.100000143051148,0.019999995827674838,-0.05800001323223111,0.01199999451637268,0.0,0.2900000065565109,-0.1290000081062317,-0.14999997615814187,-0.08000001311302185,5.0,7.0,02-01,0.16708332424362515
01-03,1.999999761581421,-0.7999997138977051,-0.5999999046325679,1.0,0.019999995827674838,-0.05600000917911532,0.0019999742507935125,0.0,0.2900000065565109,-0.1080000102519989,-0.3700000047683709,-0.12999999523162842,5.0,7.0,02-02,0.10400000835458446
01-04,1.7999999523162842,-0.5999999046325675,-0.5999999046325679,0.8999998569488525,0.019999995827674838,-0.025999993085861234,0.0019999742507935125,0.0,0.2300000041723251,-0.1080000102519989,-0.17999994754791238,0.15000000596046448,6.0,6.0,02-03,0.1323333357771239
01-05,1.1199998855590825,0.40000009536742986,-0.40000009536743164,-0.20000004768371582,0.019999995827674893,-0.025999993085861234,0.0019999742507935125,0.0,0.2300000041723251,-0.1100000143051148,-0.125,0.15000000596046448,6.0,6.0,02-04,0.0884166508913039
01-06,1.6000000238418581,0.5999999046325675,-0.20000004768371582,-0.40000009536743164,0.019999995827674893,0.01600000262260437,0.009999990463256891,0.0,0.18000000715255743,-0.057999998331069946,-0.17500007152557395,0.0,6.0,6.0,02-05,0.13274997596939395
01-07,2.5,1.4000000953674325,-0.20000004768371582,-0.04999995231628418,0.019999995827674893,-0.007999986410140991,-0.009999990463256836,0.0,-0.02000001072883606,-0.057999998331069946,-0.17500007152557395,-0.009999990463256836,3.0,9.0,02-06,0.28241667027274775
01-08,2.600000023841858,1.0,-0.40000009536743164,-0.04999995231628418,0.0,0.05799999833107003,0.0,0.0,-0.02000001072883606,-0.057999998331069946,-0.1600000858306887,-0.10999998450279236,3.0,9.0,02-07,0.23833332459131876
01-09,1.2019999027252197,1.9999995231628391,-0.5,-0.34000015258789107,0.019999995827674838,-0.002000004053115789,-0.0020000040531158447,0.0,-0.02000001072883606,0.030000001192092896,-0.05000007152557395,-0.10999998450279236,4.0,8.0,02-08,0.1856665996213751
01-10,-0.4000000953674321,2.799999713897704,-0.7000000476837158,-0.18000006675720215,0.031999990344047546,-0.004000008106231634,0.0,0.0,0.010000020265579168,-0.16699999570846558,-0.05000007152557395,0.024000018835067805,4.0,8.0,02-09,0.11374995484948146
01-11,0.20000004768371582,3.499999523162841,-0.5,1.0,0.04399998486042023,-0.004000008106231634,0.0,0.0,0.06999999284744263,-0.07699999213218689,-0.05000007152557395,-0.26010000705718994,5.0,7.0,02-10,0.3269082891444364
01-12,0.3999998569488521,2.0199999809265137,-0.20000004768371582,0.6400001049041752,0.13599999248981479,-0.012000024318695068,0.0,0.0,0.06999999284744263,-0.16699999570846558,-0.04000008106231667,-0.39000001549720764,5.0,7.0,02-11,0.20474998032053313
01-13,1.0,2.3999996185302734,0.0,1.0,0.153999999165535,-0.03400000929832453,-0.019999980926513672,0.0,0.06999999284744263,0.06499999761581421,-0.04000008106231667,-0.2900000214576721,6.0,6.0,02-12,0.35874995961785316
01-14,0.6999999284744265,2.3999996185302734,0.0,0.6000001430511479,0.10400001704692843,-0.02000001072883606,-0.0040000081062316895,0.0,0.06999999284744263,-0.05399999022483831,0.00999999046325728,-0.21989998221397394,6.0,6.0,02-13,0.29884164159496635
