,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,1.0,11.0,02-01,0.022216478983561272
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,1.0,11.0,02-02,0.022216478983561272
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,1.0,11.0,02-03,0.022216478983561272
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,1.0,11.0,02-04,0.022216478983561272
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,1.0,11.0,02-05,0.022216478983561272
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,1.0,11.0,02-06,0.022216478983561272
01-08,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,2.0,10.0,02-07,0.05732889970143643
01-09,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,2.0,10.0,02-08,0.05732889970143643
01-10,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.0,0.0,0.0,0.26659774780273526,0.0,0.0,2.0,10.0,02-09,0.05732889970143643
01-11,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.26659774780273526,0.0,0.0,3.0,9.0,02-10,0.06902750333150232
01-12,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-11,0.046811024347941044
01-13,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-12,0.046811024347941044
01-14,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-13,0.046811024347941044
01-15,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-14,0.046811024347941044
01-16,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-15,0.046811024347941044
01-17,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-16,0.046811024347941044
01-18,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-17,0.046811024347941044
01-19,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-18,0.046811024347941044
01-20,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-19,0.046811024347941044
01-21,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-20,0.046811024347941044
01-22,0.0,0.0,0.0,0.0,0.0,0.42134904861450195,0.14038324356079057,0.0,0.0,0.0,0.0,0.0,2.0,10.0,02-21,0.046811024347941044
