,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-106.25001280568569,25.714287173991323,2.777783296726149,13.793103920766105,2.4630518729541366,7.142858967489158,-20.48193013344475,-8.791206703858666,18.750001164153243,-1.0101000370632516,6.451613109971017,7.0,5.0,-4.953379181166768
01-03,0.0,-106.25001280568569,25.714287173991323,4.109593179530491,13.793103920766105,1.477831123772482,7.142858967489158,-20.48193013344475,-13.793103920766105,18.750001164153243,-1.0101000370632516,-2.1505355669564805,6.0,6.0,-6.058167244517787
01-04,0.0,-106.25001280568569,25.714287173991323,4.109593179530491,13.793103920766105,1.9607824804415166,0.0,-20.48193013344475,-13.793103920766105,18.750001164153243,0.0,7.228916095257991,6.0,6.0,-5.7473635704796555
01-05,0.0,-106.25001280568569,25.714287173991323,4.109593179530491,13.793103920766105,0.9900980750178164,-3.174600171093715,-17.073169136104095,-9.195400330141206,18.750001164153243,2.941173720662243,9.411769490753356,7.0,5.0,-4.998596309845843
01-06,0.0,-10.0,25.714287173991323,4.109593179530491,12.790699125045412,0.4975119657066306,-3.174600171093715,-21.951220575930613,-9.195400330141206,13.333339956071377,8.333336092807519,15.384619919203605,7.0,5.0,2.9868471945992354
01-07,0.0,-10.0,14.285709420028917,0.0,12.790699125045412,0.4975119657066306,-1.5873000855468575,-21.951220575930613,-9.195400330141206,13.333339956071377,8.333336092807519,-9.411762478442403,5.0,7.0,-0.24209057586676863
01-08,0.0,-10.0,14.285709420028917,0.0,21.87499825377014,0.9900980750178164,-1.5873000855468575,-15.85365809336223,-9.195400330141206,13.333339956071377,10.00000108372079,10.588238924019787,6.0,6.0,2.8696689336315444
01-09,0.0,-10.0,14.285709420028917,0.0,25.742573556263366,-0.9900980750178385,0.7936500427734288,-16.86747567645709,-14.457832190515967,13.333339956071377,0.0,10.588238924019787,5.0,7.0,1.8690088297638319
01-10,0.0,-10.0,14.285709420028917,0.0,25.742573556263366,-1.4851471125267248,0.7936500427734288,-16.86747567645709,-9.638559581199074,13.333339956071377,0.0,10.588238924019787,5.0,7.0,2.2293607940811655
01-11,0.0,-10.0,5.882356034843122,-5.970143411440622,21.782175354742066,3.8461503192516595,-4.166662527455388,-25.974032810112924,-9.638559581199074,13.333339956071377,0.9999990463256836,10.588238924019787,6.0,6.0,0.056905108753807276
01-12,0.0,-10.0,0.0,-4.477607558580467,28.82882781292304,2.4390221209414906,-6.837610756387045,-27.272732902445938,-9.638559581199074,11.666674945089223,13.157892810560856,10.588238924019787,5.0,7.0,0.7045121512434896
01-13,0.0,-10.0,0.0,-7.462688160516194,30.701751634134556,2.9126186624346984,-8.620691958562418,-25.974032810112924,-9.638559581199074,-5.999994277954102,8.333336092807519,10.588238924019787,4.0,8.0,-1.2633351229123457
01-14,0.0,-10.0,0.0,-1.4084577986089954,35.77235697502265,-2.955662247544964,-4.958672800657622,-29.87013308711196,-9.638559581199074,-5.999994277954102,10.00000108372079,10.588238924019787,3.0,9.0,-0.7059069008594573
01-15,0.0,13.333339956071377,0.0,-1.4084577986089954,33.03571457081303,2.9126186624346984,-4.132227333881349,-29.87013308711196,-9.638559581199074,-1.9230751596258298,10.00000108372079,10.588238924019787,5.0,7.0,1.9081216863860393
01-16,0.0,0.0,0.0,-1.4084577986089954,40.0,0.9708728874782111,-4.132227333881349,-29.87013308711196,-9.638559581199074,-1.9230751596258298,13.157892810560856,10.588238924019787,4.0,8.0,1.478712638469304
01-17,0.0,0.0,0.0,-1.4084577986089954,40.0,0.9708728874782111,-4.132227333881349,-29.87013308711196,-12.345681919446148,-1.9230751596258298,13.157892810560856,-8.23529304517596,3.0,9.0,-0.3155085538175979
01-18,0.0,0.0,-6.06060003993511,-1.4084577986089954,40.0,0.9708728874782111,-4.132227333881349,-29.87013308711196,-12.345681919446148,-1.9230751596258298,13.157892810560856,-8.23529304517596,3.0,9.0,-0.8205585571455236
01-19,-4.1666689949731435,0.0,-6.06060003993511,-1.4084577986089954,40.0,-0.4926103745908492,-2.439022026387315,-33.33333333333333,-12.345681919446148,-1.9230751596258298,13.157892810560856,-8.23529304517596,2.0,10.0,-1.4372374901263185
01-20,-4.1666689949731435,0.0,-3.030300019967555,-1.4084577986089954,41.4062486903276,-0.9900980750178385,-2.439022026387315,-25.333333015441895,-12.345681919446148,-3.846161781683767,13.157892810560856,-8.23529304517596,2.0,10.0,-0.6025729313178467
01-21,-4.1666689949731435,16.66666997803569,-3.030300019967555,-1.4084577986089954,41.860463397017575,1.4492740269210287,-4.999995032946466,-25.333333015441895,-12.345681919446148,-3.846161781683767,13.157892810560856,-8.23529304517596,4.0,8.0,0.8140340503576019
01-22,-4.1666689949731435,0.0,-6.06060003993511,-1.4084577986089954,45.25547464309653,0.48780442418827646,-5.833327538437544,-16.000000635782875,-12.345681919446148,-3.846161781683767,-7.608694736696176,-3.5294082997992935,2.0,10.0,-1.2546435565065208
01-23,-4.1666689949731435,0.0,-6.06060003993511,-1.4084577986089954,42.02898444310127,0.48780442418827646,-12.499997516473233,-14.473686274399084,-12.345681919446148,-3.846161781683767,12.38937931731477,-3.5294082997992935,3.0,9.0,-0.28537453672620455
01-24,-4.1666689949731435,0.0,-6.06060003993511,-5.882356034843122,42.02898444310127,0.48780442418827646,-8.000001907348633,-14.473686274399084,-12.345681919446148,-15.384624201870853,12.38937931731477,-3.5294082997992935,3.0,9.0,-1.2447382906675888
01-25,-21.951220575930613,0.0,-6.06060003993511,0.0,39.85507346531645,1.4999985694885365,-4.6511677335744555,-16.000000635782875,-12.345681919446148,-15.384624201870853,12.38937931731477,-3.5294082997992935,3.0,9.0,-2.1815210045182987
01-26,-21.951220575930613,16.66666997803569,-6.06060003993511,0.0,40.298508060193555,3.9024353935063956,-4.6511677335744555,-16.000000635782875,-12.345681919446148,-15.384624201870853,11.60714238197828,-3.5294082997992935,4.0,8.0,-0.6206622993854524
01-27,-61.29032134017389,16.66666997803569,-6.06060003993511,0.0,38.461535287326484,3.9024353935063956,-13.821134508006793,-13.33333651224772,-12.345681919446148,-23.076924840374172,10.00000108372079,-3.5294082997992935,4.0,8.0,-5.368897143116148
01-28,-61.29032134017389,46.66666997803569,-6.06060003993511,0.0,39.39394089910712,2.870810777204673,-7.692309808449005,-10.666664441426594,-12.345681919446148,-23.076924840374172,9.174313832990833,-9.411762478442403,4.0,8.0,-2.703210781742417
01-29,-61.29032134017389,46.66666997803569,-16.666660043928623,0.0,38.931294132463904,1.4563093312173492,-7.692309808449005,-10.666664441426594,-13.750001583248322,-23.076924840374172,9.174313832990833,-9.411762478442403,4.0,8.0,-3.860504771777936
01-30,-61.29032134017389,20.000002980232196,-12.903223015391266,0.0,33.076920255401326,0.9708728874782111,0.0,-10.666664441426594,-13.750001583248322,-23.076924840374172,9.174313832990833,2.352945878843816,5.0,7.0,-4.676006615472322
01-31,-61.29032134017389,20.000002980232196,-16.666660043928623,-1.3888875091517963,33.076920255401326,1.9417457749564655,3.076920255401327,-10.666664441426594,-8.749998975545168,-14.285711244660995,6.422022964083098,0.0,5.0,7.0,-4.044219277067721
02-01,-61.29032134017389,20.000002980232196,-16.666660043928623,-1.3888875091517963,33.84615031925166,1.9512176967531925,3.076920255401327,-10.666664441426594,-8.749998975545168,-7.1428609441737585,0.9174302896358917,-7.058823611909528,5.0,7.0,-4.431041277086258
02-02,-61.29032134017389,20.000002980232196,-16.666660043928623,2.777783296726149,33.84615031925166,0.4950490375089082,-3.2786853209006517,-9.333332379659016,-8.749998975545168,-7.1428609441737585,-0.93457850215429,-7.058823611909528,4.0,8.0,-4.7780229570605
02-03,-61.29032134017389,-50.00000372529024,-16.666660043928623,2.777783296726149,28.333334989017843,0.4950490375089082,-4.999995032946466,-9.333332379659016,-8.749998975545168,-7.1428609441737585,-0.93457850215429,-7.058823611909528,3.0,9.0,-11.214200602710674
02-04,-61.29032134017389,-50.00000372529024,-16.666660043928623,1.408449403588351,33.33333025298983,1.4705868603311427,-4.999995032946466,-10.666664441426594,-10.666664441426594,-7.1428609441737585,1.8181800448205245,0.0,4.0,8.0,-10.28355195063636
02-05,-61.29032134017389,-50.00000372529024,-16.666660043928623,1.408449403588351,24.999999999999993,0.9803912402207691,-4.999995032946466,-10.666664441426594,-18.57142820650217,-7.1428609441737585,0.0,0.0,3.0,9.0,-11.82909109088605
02-06,-61.29032134017389,-50.00000372529024,-16.666660043928623,1.408449403588351,20.47244050142244,-1.9607824804414729,0.0,-2.6666641235351562,-3.7499963678419985,-7.1428609441737585,9.090911061310528,0.0,3.0,9.0,-9.375457338255318
02-07,-61.29032134017389,-50.00000372529024,-12.903223015391266,0.0,12.598422757823416,-0.4901956201103519,2.5000074505803007,-2.6666641235351562,-3.7499963678419985,-7.1428609441737585,-3.636360089641049,0.0,2.0,10.0,-10.565099584812833
02-08,-61.29032134017389,-50.00000372529024,-9.677419664956526,-3.0769294253470134,10.23622025071122,-0.9803912402207255,6.400003433227538,-2.6666641235351562,-3.7499963678419985,10.714286094417377,1.8181800448205245,0.0,4.0,8.0,-8.522753005349076
02-09,-61.29032134017389,-50.00000372529024,-6.06060003993511,-9.230769936149668,2.3809501283202863,-1.9801961500356329,6.400003433227538,-2.6666641235351562,-3.7499963678419985,10.714286094417377,0.0,0.0,3.0,9.0,-9.623609335583042
02-10,-100.0,-50.00000372529024,-6.06060003993511,-9.230769936149668,2.3809501283202863,-1.9801961500356329,7.200002670288068,-2.6666641235351562,-3.7499963678419985,7.1428609441737585,0.0,1.1627895694091224,4.0,8.0,-12.983468919216383
02-11,-100.0,-50.00000372529024,-6.06060003993511,1.3888957875743526,0.8064508376086847,-1.4999985694885254,0.8196713302251447,-2.6666641235351562,-3.7499963678419985,-3.9999961853027344,0.0,0.0,3.0,9.0,-13.746853421332132
