,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,5100.0,11175.0,225.0,9150.0,-675.0,750.0,-300.0,75.0,-5.0,75.0,-0.5,-0.3800001144409184,7.0,5.0,02-01,2130.7599999904633
01-03,8475.0,3900.0,675.0,8625.0,0.0,-150.0,-225.0,0.0,-10.0,70.0,-0.5,-0.23000001907348633,5.0,7.0,02-02,1779.9391666650772
01-04,9375.0,5400.0,2700.0,11550.0,-450.0,825.0,-150.0,-75.0,-5.0,75.0,-0.5,-0.4099998474121094,6.0,6.0,02-03,2437.007500012716
01-05,6225.0,7200.0,0.0,11775.0,-525.0,450.0,-150.0,0.0,0.0,-25.0,1.5,-0.4399998188018803,5.0,7.0,02-04,2079.2550000151
01-06,3150.0,6075.0,-375.0,11775.0,225.0,-750.0,-75.0,75.0,25.0,30.0,0.5,-0.4199998378753662,8.0,4.0,02-05,1679.5900000135105
01-07,3975.0,5175.0,-2925.0,12075.0,-375.0,-450.0,-225.0,225.0,-5.0,25.0,-1.5,-0.2999999523162842,5.0,7.0,02-06,1457.7666666706402
01-08,2325.0,-675.0,-2400.0,13725.0,-675.0,-3300.0,-450.0,150.0,-5.0,0.0,-2.5,-0.33999991416931197,3.0,9.0,02-07,724.3466666738192
01-09,5700.0,-5175.0,-2400.0,14625.0,-600.0,-2700.0,-375.0,150.0,40.0,0.0,-3.0,-0.4700000286102295,4.0,8.0,02-08,771.7941666642824
01-10,5925.0,-6825.0,-1200.0,13050.0,-1725.0,-3375.0,-375.0,75.0,45.0,10.0,-2.0,-0.619999885559082,5.0,7.0,02-09,466.86500000953674
01-11,7275.0,-6450.0,-1650.0,11850.0,-2175.0,-3525.0,-450.0,-225.0,45.0,-10.0,-2.5,-0.559999942779541,3.0,9.0,02-10,390.16166667143506
01-12,5475.0,-2850.0,-1575.0,10500.0,-2850.0,-3075.0,-375.0,-225.0,60.0,5.0,-1.0,-0.5999999046325684,4.0,8.0,02-11,424.03333334128064
01-13,3300.0,-9450.0,-1275.0,10575.0,-2325.0,-2475.0,-525.0,0.0,40.0,-15.0,-1.0,-0.5999999046325684,3.0,9.0,02-12,-179.2999999920527
