,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,1.528016166371749,-8.06697610036895,7.337924739493594,5.78602338209566,10.69258428372449,15.157351977738054,14.155573882022404,-12.024049155826253,8.646004379330705,9.38053452853762,18.480411522347982,-15.213265528145294,9.0,3.0,4.655011173110148
01-03,-1.75438146414101,-9.873099632072407,7.425862288981182,5.78602338209566,9.963544841235805,14.065508177956499,19.1939914871541,-12.777408115851868,9.725960848621487,9.339210431633822,18.63870560546127,-11.943129915659938,8.0,4.0,4.815898994617885
01-04,-2.413183360420528,-5.938531119495904,5.40925862741494,12.841670188228477,1.5795767678897528,18.074538708928774,18.638239651010295,-12.777408115851868,11.111113353731536,7.8414124529527545,14.68144410215658,-12.446355249470207,8.0,4.0,4.716814667256217
01-05,-7.208873131814834,-7.035923253776721,1.2874485407814484,15.523467373025108,-10.397951522249098,14.848290669592664,18.131487336623863,-19.486077784698328,8.41269938984015,3.876656557439157,11.60572374404958,-15.475023680732614,7.0,5.0,1.173493686506698
01-06,-1.8086428490670683,-13.153953993497591,-0.024763892997315073,16.193911750841846,-5.6511058813936375,11.772576932015003,22.214856753437118,-7.766323708782319,7.671951771730126,7.784430111863784,12.371944418746757,-13.093522744788967,6.0,6.0,3.0426132223423124
01-07,-4.4860816626793945,-13.901338131906893,-0.39613728603599774,22.134385340404723,-12.41830423868337,11.096690818164703,22.934568676683924,-7.422679790710754,6.684491705889709,6.056650330233065,11.288392334086534,-11.184827774105202,6.0,6.0,2.532150860111754
01-08,-6.189665615043554,-14.439455623895764,1.4851541241502622,25.939850938199488,-4.627250948663823,9.310115973948648,21.678781944228646,-4.536081366049614,7.769552364835064,2.487567296364843,10.008006588522893,-9.192717150259197,7.0,5.0,3.307821543861491
01-09,-7.666089876950564,-23.519995117187502,-0.25188532040141376,24.952379862467446,-3.1446541634962597,7.903551782023133,20.489096880514303,-5.910650483873354,5.675671551678631,5.485416920101008,7.020405360630566,-7.6061555648831565,6.0,6.0,1.9522576525519029
01-10,-11.618498945225154,-25.651039508132538,-0.25188532040141376,20.555825313924256,-4.4025206272561705,7.635635097258159,17.250493304267174,-9.523810814870311,4.800868327492472,5.7268770956677155,5.714284157266407,-8.492765603856066,6.0,6.0,0.14528853967787766
01-11,-2.712767284992614,-29.53019953811438,1.5294153550091913,20.914718616095424,-3.5220093042627463,4.737180723327022,17.250493304267174,-12.811127522315003,0.9819983956627554,4.97797810632719,5.34693659568321,-4.649036123912995,7.0,5.0,0.20946511023118553
