,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-8.470591376809491,13.747956370415512,7.213929433556597,-14.414415317441817,2.985071865055365,24.99999738576115,6.896551960383053,-94.11765273054571,0.0,7.692306369719361,0.0,3.0303090509739805,7.0,5.0,-4.203044749077667
01-03,-13.488369720442584,14.308944728371472,8.801958926251386,-14.759036728598272,1.4925359325276957,21.929824836586544,3.5087754766280335,-109.52381943539073,0.0,5.769225478877478,-1.9999980926513672,3.0303090509739805,7.0,5.0,-6.744137462238864
01-04,-14.823532104492188,9.914528771987783,9.046457461463651,-8.69565067159056,3.5820862380664384,19.913416897499197,2.9411805954770447,-123.7288323944591,1.3888957875743526,5.769225478877478,-1.9999980926513672,3.0303090509739805,8.0,4.0,-7.805159415106107
01-05,-11.670486092394675,9.187279062635819,7.506057448138466,-2.89854792030238,-2.686571795522542,25.403225418804332,5.172415683064442,-112.50000698491947,1.3888957875743526,5.769225478877478,-1.9999980926513672,3.0303090509739805,7.0,5.0,-6.191516912976797
01-06,-1.2631566900956004,-1.8726573366127177,7.74818796112057,2.028983544211697,-1.176469433266418,14.74654567748229,1.7441843541136839,-103.12499708961688,-4.166662527455388,0.0,-1.9999980926513672,3.0303090509739805,5.0,7.0,-7.025477548483013
01-07,-14.838710603637908,-6.741566411805843,6.053268597399124,1.4705938038940052,3.3707833564005543,26.538460127700652,-9.467453325685142,-103.12499708961688,-4.166662527455388,1.999998092651356,-1.9999980926513672,3.0303090509739805,6.0,6.0,-8.156331251819404
01-08,-4.731178186659081,-9.363295612598215,5.679018436054245,4.011464312940165,4.69208451036481,24.999999999999993,-10.059168717677707,-104.68749563442535,-4.166662527455388,1.999998092651356,-3.9999961853027344,3.0303090509739805,6.0,6.0,-7.716243538427826
01-09,-1.9354768581702764,-6.629836922564893,7.7294672358152265,5.898877570852176,-1.769909761735464,24.2187460709828,-12.426030285648007,-106.34920034218742,0.0,7.999998331069936,-3.9999961853027344,3.0303090509739805,5.0,7.0,-7.019421007992889
01-10,-10.022780651533346,-8.834582237332423,7.281552442945611,-0.8695643760907088,-1.769909761735464,23.437496798578568,-4.733723135940626,-124.13792926264429,-4.166662527455388,7.999998331069936,-1.9999980926513672,3.0303090509739805,4.0,8.0,-9.565482785151294
01-11,-10.022780651533346,-24.784485527118292,4.938278436624117,2.586204415977936,0.0,30.65693541806307,-5.357145011222348,-113.11474128360261,-4.166662527455388,0.0,-1.9999980926513672,3.0303090509739805,4.0,8.0,-9.852840480995352
01-12,-10.022780651533346,-22.61410035126671,5.1724148055825765,4.310347544405118,2.6393005959695106,30.90909177606757,-5.988025533631118,-109.67741005130422,-4.166662527455388,0.0,-1.9999980926513672,3.0303090509739805,5.0,7.0,-9.033959452903616
01-13,2.7139898846810824,-25.6673517325247,2.955662247544964,0.8620681386592993,2.9239807257405483,29.36803212854254,-4.142007743948048,-102.98507170572032,0.0,7.999998331069936,-1.9999980926513672,3.0303090509739805,7.0,5.0,-7.078365730636006
01-14,0.0,-26.07802896859241,1.477831123772482,6.424581675280814,2.3529458788438156,30.714282490769158,-4.16666991890433,-101.49253585286016,-1.3698616715036243,7.999998331069936,-1.9999980926513672,0.0,5.0,7.0,-7.178121250397974
01-15,5.737709082829153,-27.720737912863147,0.24629931491653528,4.829547648156489,7.449856439907827,25.287351491938566,-1.7857197342683069,-97.01492829427968,3.896100276999047,11.53845668897102,4.000002145767201,0.0,8.0,4.0,-5.294671904327109
01-16,4.713115034421192,-27.926081426555815,-1.250004768371582,7.967038239391504,4.034585122474649,24.137927254560623,2.3809501846360366,-94.02983879612854,12.941177790552649,11.53845668897102,4.000002145767201,0.0,8.0,4.0,-4.291056044190089
01-17,3.278695092153664,-24.103586508851933,0.4914000020385666,6.944444628409402,0.5763683216603023,24.90421007947925,-7.142857649699376,-132.14284763956562,12.941177790552649,11.53845668897102,0.0,-3.030300019967555,7.0,5.0,-8.812069934568303
01-18,6.534661150085859,-21.679690592282057,-0.7462738793703994,5.898877570852176,1.7291049649809704,25.287351491938566,-8.4337342475872,-132.14284763956562,15.294116657085514,11.53845668897102,0.0,0.0,6.0,6.0,-8.059998152907598
