,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-49.82909311756754,-17.59259329523649,-11.111113410673122,0.0,12.0,-13.830706288798345
01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-53.36815666093212,-6.481480651084133,-11.111113410673122,0.0,12.0,-13.19970219706603
01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-39.16449380753628,-11.1111057454668,-18.34319800536045,0.0,12.0,-13.004539433372209
01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-42.08877870934463,-10.091743307396198,-18.34319800536045,0.0,12.0,-13.163282972017022
01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-76.47563549181558,-6.571934893305845,-18.34319800536045,0.0,12.0,-15.735537002715404
01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-119.1814966811772,0.0,-24.852074005870968,0.0,12.0,-19.289103860762594
01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-105.98661885669718,-5.152469552149736,-24.852074005870968,0.0,12.0,-18.61890317140174
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.43567564210298,-95.09954888502803,-12.624883504319984,-24.852074005870968,0.0,12.0,-18.334348503110164
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-80.70067880422897,-11.444139052600176,-24.852074005870968,0.0,11.0,-17.60529672219198
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-70.86662663715865,-11.444139052600176,-24.852074005870968,0.0,11.0,-16.78579237493612
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-54.394587883514866,4.674607669905007,29.666666604578484,2.0,9.0,-9.526665201052918
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-55.55555759961058,4.674607669905007,-52.898549208622114,1.0,10.0,-16.503847328494277
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-50.00000443486946,6.28941673123322,-52.898549208622114,1.0,9.0,-15.906317142988499
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-36.21621665160441,19.999995415027165,17.738793829437913,2.0,8.0,-7.72867468422858
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-40.782121137779384,4.096773910565884,17.738793829437913,2.0,8.0,-9.434435183448269
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-39.86094238751838,4.096773910565884,0.7017560931188951,2.0,8.0,-10.777423432286438
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-37.91525119344879,19.3548361899701,41.52046959861777,2.0,8.0,-5.94221785070538
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-32.04955974014702,19.3548361899701,41.52046959861777,2.0,8.0,-5.453410229596898
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-34.36722356679978,16.666663562258023,41.52046959861777,2.0,8.0,-5.8705632674606365
01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-34.74891651245282,15.895710170036159,40.33413141576217,2.0,8.0,-6.065478644188176
01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-51.97411460816356,8.256877159472243,40.33413141576217,2.0,8.0,-8.137481236377733
01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.26666880360364,-44.2910931534774,0.0,40.33413141576217,1.0,9.0,-8.185302545109904
01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-54.81407932147274,0.0,28.400959180732517,1.0,9.0,-2.504797230768056
01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-48.40637227473745,-4.999995157122685,28.400959180732517,1.0,9.0,-2.3874879066336723
01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-44.422310382477974,0.9174262385667888,28.400959180732517,2.0,8.0,-1.5623642993045932
01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-31.64556627757978,0.9174262385667888,28.400959180732517,2.0,7.0,-0.4976356238964099
01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-30.81761737171812,0.9174262385667888,28.400959180732517,2.0,7.0,-0.42863988174127216
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-30.81761737171812,-7.462686677813625,28.400959180732517,1.0,8.0,-1.126982624772973
01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-48.55467474433741,-6.059122768932271,32.77645628433418,1.0,8.0,-2.123482321450996
01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-47.30769248403742,-7.0411463314395695,32.77645628433418,1.0,8.0,-2.1014024299682714
02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-34.230776813608934,-10.576451643184862,32.4000040829181,1.0,8.0,-1.337639250196012
02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.644446628476449,-8.076922547887749,-17.843464052502792,32.4000040829181,1.0,8.0,0.23626423783759254
