,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-25.0,-33.33333333333333,-2.7027000903735034,-0.2227222581649606,0.0,8.333333333333332,-10.100096755858502,-7.571971379743553,1.1111153496636283,1.5444001227257207,-2.4102528889973778,1.648357867215424,4.0,8.0,-5.725322502794426
01-03,-25.0,-33.33333333333333,-2.7027000903735034,-12.5,2.0000033908420334,18.777778413560657,-10.045245588393309,-10.192308421200744,1.1111153496636283,0.7744426359816798,-2.4102528889973778,1.7582504876838732,5.0,7.0,-5.980187503713867
01-04,-25.0,-33.33333333333333,-2.7027000903735034,5.000001192092906,2.0000033908420334,9.050273555356533,-14.178406412846611,-8.113213499854048,0.28011845008746555,0.290413680472018,-2.3589696639623394,1.648357867215424,6.0,6.0,-5.618121238691955
01-05,-25.0,-33.33333333333333,-4.054050135560267,5.000001192092906,0.0,6.971424647739956,-12.073727372209843,-6.918241558872476,0.8403339794098247,-1.5488852719633597,-1.3164568550979214,1.9178103094231593,4.0,8.0,-5.792927033197613
01-06,-25.0,-17.39130885479365,-8.108106714865869,-12.5,-3.448278130022205,4.795319745798376,-9.090909090909092,-4.100943866791256,0.5602262147486451,-2.4390243902439024,-1.573601289019093,1.9178103094231593,3.0,9.0,-6.364901338889574
01-07,-25.0,-17.39130885479365,-1.3513500451867517,-12.5,-4.651158148692013,4.210533360474942,-8.205589133375781,-4.100943866791256,1.334073230525933,-3.7037037037037033,-1.573601289019093,2.0879178691521165,3.0,9.0,-5.9037608817841045
01-08,-25.0,-17.39130885479365,-1.3513500451867517,-12.5,-4.651158148692013,2.9069766152414442,-8.205589133375781,-0.9463698102218241,1.3888888888888888,-1.9417456850635995,-2.091835915471389,1.8181814360433413,3.0,9.0,-5.663775887719278
01-09,-25.0,16.66666544023365,-1.3513500451867517,-12.5,-2.222220102945964,1.1627950817908965,-8.205589133375781,0.0,1.1142103311348353,-1.9417456850635995,-2.827759462655292,0.8264441966000433,4.0,8.0,-2.8565457816223305
01-10,-13.636363636363635,16.66666544023365,-1.3513500451867517,-12.5,-2.222220102945964,1.1627950817908965,-7.272729006680591,-0.9463698102218241,1.6666624281141493,-0.48780673887671494,-2.056553227969242,0.8264441966000433,4.0,8.0,-1.679235451792165
01-11,-25.0,16.66666544023365,-1.3513500451867517,-12.5,-2.222220102945964,12.790701542756674,-6.498197400600539,-2.8938894131542052,1.6666624281141493,-1.1707305908203125,-2.056553227969242,0.11037779711558794,4.0,8.0,-1.8715444643714125
01-12,-25.0,19.75308959939424,-1.3513500451867517,-12.5,-2.222220102945964,14.285714285714285,-7.762560696581168,-1.0101000370632516,1.3888888888888888,-1.2195121951219512,-2.056553227969242,0.2754778959306427,4.0,8.0,-1.4515938029116893
01-13,-25.0,16.66666544023365,-1.3513500451867517,-12.5,-2.222220102945964,14.285714285714285,-9.132420250399155,0.31545860903143474,1.3888888888888888,-1.911771099460286,-0.7614193539142375,0.11037779711558794,5.0,7.0,-1.6760063192435455
