,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.8599998950958252,-0.47000002861022905,-0.32999992370605447,0.019999980926513228,-0.09000003337860107,-0.029999971389770508,0.43000006675720126,-0.2200000286102295,0.11000013351440563,-0.09999990463256836,0.41999995708465576,-0.11000001430511497,5.0,7.0,02-01,0.04083334406216943
01-03,0.4099998474121098,-0.48000001907348544,-0.439999938011169,0.17000007629394487,0.019999980926513672,-0.13999998569488525,-0.029999971389770508,-0.2200000286102295,0.1300001144409184,-0.07999992370605469,0.4500000476837158,-0.02999997138977073,5.0,7.0,02-02,-0.019999980926513544
01-04,0.6299998760223389,-0.41999983787536577,-0.31000006198883057,0.07000017166137695,0.019999980926513672,-0.1499999761581421,-0.10999989509582475,0.009999990463256392,0.05999994277954013,0.009999990463256836,0.38999998569488525,0.03999996185302712,8.0,4.0,02-03,0.020000010728836004
01-05,0.7699999809265141,-0.5700001716613774,-0.4099999666213989,0.029999971389770064,0.26999998092651367,-0.1499999761581421,-0.059999942779541016,-0.1400001049041748,0.05999994277954013,-0.08999991416931152,0.01999998092651345,0.03999996185302712,6.0,6.0,02-04,-0.019166688124338933
01-06,0.4700000286102295,-0.5099999904632568,-0.33000004291534446,0.13000011444091752,0.26999998092651367,-0.09999996423721302,0.08999991416931152,-0.13000011444091752,0.13999986648559437,-0.059999942779541016,0.01999998092651345,0.019999980926513672,7.0,5.0,02-05,0.0008333176374434037
01-07,0.6599998474121089,-0.4200000762939453,-0.33000004291534446,0.029999971389770064,0.26999998092651367,-0.050000011920928955,0.030000209808350053,-0.06999993324279785,0.19000005722045854,0.4700002670288095,0.10000002384185791,0.0,7.0,5.0,02-06,0.07333335777123767
01-08,0.9600000381469722,-0.4500000476837154,-0.10000002384185791,0.13999986648559526,0.5399999618530273,-0.07999998331069935,0.00999999046325728,-0.08000016212463379,0.18000030517578258,0.46000003814697266,-0.07999992370605447,-0.009999990463256614,6.0,6.0,02-07,0.12416667242844914
01-09,0.7799999713897701,-0.029999971389770508,-0.23000001907348655,0.039999961853026456,0.5399999618530273,-0.029999971389770397,0.0,-0.08999991416931152,0.1600003242492689,0.5599999427795401,-0.09999990463256814,-0.060000061988830344,5.0,7.0,02-08,0.1283333599567413
01-10,0.9500000476837154,0.2200000286102295,0.12000000476837158,0.02000021934509366,0.5399999618530273,-0.029999971389770397,0.12000012397766069,-0.07999992370605513,0.05000019073486417,0.6200001239776625,-0.1599998474121087,-0.060000061988830344,8.0,4.0,02-09,0.19250007470448835
01-11,0.75,0.440000057220459,-0.03999996185302779,0.19000005722045854,0.26999998092651367,0.10999995470046997,0.10000014305114746,-0.07999992370605513,-0.09000015258789107,0.6300001144409189,-0.20000004768371604,-0.04999995231628396,7.0,5.0,02-10,0.16916668911774946
