,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.15000009536743253,0.0,0.09999990463256747,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.08750003576278687,0.09620004892349243,0.0,0.0,4.0,7.0,02-01,0.02614167581001918
01-03,0.0,0.15000009536743253,0.0,0.09999990463256747,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.08600002527236938,0.09620004892349243,0.0,0.0,4.0,7.0,02-02,0.026016674935817722
01-04,0.0,0.15000009536743253,0.0,0.48999977111816406,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.09250003099441528,0.09620004892349243,0.0,0.0,4.0,7.0,02-03,0.05905833095312126
01-05,0.0,0.15000009536743253,0.0,0.48999977111816406,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.09250003099441528,0.09620004892349243,0.0,0.0,4.0,7.0,02-04,0.05905833095312126
01-06,0.0,0.15000009536743253,0.0,0.48999977111816406,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.09250003099441528,0.09620004892349243,0.0,0.0,4.0,7.0,02-05,0.05905833095312126
01-07,0.0,0.15000009536743253,0.0,0.3599996566772461,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.03600001335144043,0.09620004892349243,0.0,0.0,4.0,7.0,02-06,0.043516653279463524
01-08,0.0,0.15000009536743253,0.0,0.3599996566772461,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.029000043869018555,0.09620004892349243,0.0,0.0,4.0,7.0,02-07,0.042933322489261704
01-09,0.0,0.15000009536743253,0.0,0.679999828338623,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.023000001907348633,0.09620004892349243,0.0,0.0,4.0,7.0,02-08,0.06909999996423728
01-10,0.0,0.15000009536743253,0.0,0.19000005722045898,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.02399998903274536,0.09620004892349243,0.0,0.0,4.0,7.0,02-09,0.028350017964840015
01-11,0.0,0.15000009536743253,0.0,0.19000005722045898,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.02399998903274536,0.06620001792907715,0.0,0.0,4.0,8.0,02-10,0.025850015381972073
01-12,0.0,0.15000009536743253,0.0,0.18700027465820312,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.02399998903274536,0.06730002164840698,0.0,0.0,4.0,8.0,02-11,0.025691700478394905
01-13,0.0,0.15000009536743253,0.0,0.18700027465820312,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.02399998903274536,0.04860001802444458,0.0,0.0,4.0,8.0,02-12,0.024133366843064705
01-14,0.0,0.09999990463256747,0.0,0.4099998474121094,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.02399998903274536,0.04860001802444458,0.0,0.0,4.0,8.0,02-13,0.03854998201131814
01-15,0.0,0.15000009536743253,0.0,0.4099998474121094,0.0,0.0,-0.03999999165534973,-0.07999998331069941,0.02399998903274536,0.04860001802444458,0.0,0.0,4.0,8.0,02-14,0.042716664572556885
01-16,0.0,0.0,0.0,0.18999958038330078,0.0,0.0,-0.03999999165534973,0.0,0.02399998903274536,0.04860001802444458,0.0,0.0,3.0,9.0,02-15,0.018549966315428417
01-17,0.0,0.0,0.0,0.12999963760375888,0.0,0.0,-0.03999999165534973,0.0,0.02399998903274536,-0.006300032138824463,0.0,0.0,2.0,10.0,02-16,0.008974966903527504
01-18,0.0,0.0,0.0,0.047999858856200284,0.0,0.0,-0.03999999165534973,0.0,0.02399998903274536,-0.006300032138824463,0.0,0.0,2.0,10.0,02-17,0.002141652007897621
01-19,0.0,0.0,0.0,0.009999752044676846,0.0,0.0,-0.03999999165534973,0.0,0.02399998903274536,-0.05490005016326904,0.0,0.0,2.0,10.0,02-18,-0.005075025061766381
01-20,0.0,0.0,0.0,0.009999752044676846,0.0,0.0,-0.03999999165534973,0.0,0.013499975204467773,-0.05490005016326904,0.0,0.0,2.0,10.0,02-19,-0.005950026214122846
01-21,0.0,0.0,0.0,-0.05000019073486417,0.0,0.0,-0.03999999165534973,0.0,-0.03400003910064697,-0.05490005016326904,0.0,0.0,0.0,12.0,02-20,-0.014908355971177492
01-22,0.0,0.0,0.0,-0.05000019073486417,0.0,0.0,-0.03999999165534973,0.0,-0.03400003910064697,-0.05490005016326904,0.0,0.0,0.0,12.0,02-21,-0.014908355971177492
01-23,0.0,0.0,0.0,-0.05000019073486417,0.0,0.0,-0.03999999165534973,0.0,-0.03400003910064697,-0.05490005016326904,0.0,0.0,0.0,12.0,02-22,-0.014908355971177492
01-24,0.0,0.0,0.0,-0.05000019073486417,0.0,0.0,-0.03999999165534973,0.0,-0.03450000286102295,-0.05490005016326904,0.0,0.0,0.0,11.0,02-23,-0.01495001961787549
01-25,0.0,0.0,0.0,-0.3429999351501465,0.0,0.0,-0.03999999165534973,0.0,-0.01900005340576172,-0.05490005016326904,0.0,0.0,0.0,11.0,02-24,-0.03807500253121058
01-26,0.0,0.0,-0.019999980926513672,-0.4330000877380371,0.0,0.0,-0.03999999165534973,0.0,-0.016000032424926758,-0.05490005016326904,0.0,0.0,0.0,11.0,02-25,-0.04699167857567469
01-27,0.0,0.0,-0.019999980926513672,-0.21299982070922852,0.0,0.0,-0.03999999165534973,0.0,-0.005000054836273193,-0.05490005016326904,0.0,0.0,0.0,11.0,02-26,-0.02774165819088618
01-28,0.0,0.0,-0.019999980926513672,0.03799962997436612,0.0,0.0,0.0,0.0,0.003999948501586914,-0.05490005016326904,0.0,0.0,2.0,9.0,02-27,-0.0027417043844858067
01-29,0.0,0.0,-0.019999980926513672,-0.14400005340575994,0.0,0.0,0.0,0.0,0.003999948501586914,-0.05490005016326904,0.0,0.0,1.0,10.0,02-28,-0.01790834466616298
01-30,0.0,0.0,0.19000005722045898,-0.14400005340575994,0.0,0.0,0.0,0.0,0.003999948501586914,-0.05490005016326904,0.0,0.0,2.0,9.0,02-29,-0.0004083414872485906
01-31,0.0,0.0,-0.25839996337890714,-0.332000255584715,0.0,0.0,0.0,0.0,0.0054999589920043945,-0.05490005016326904,0.0,0.0,1.0,10.0,03-01,-0.05331669251124057
02-01,0.0,0.0,-0.2228999137878418,-0.9670000076293945,0.0,0.0,0.0,0.0,-0.001000046730041504,-0.05490005016326904,0.0,0.0,0.0,11.0,03-02,-0.10381666819254558
02-02,0.0,0.0,-0.2228999137878418,-0.8369998931884766,0.0,0.0,0.0,0.0,-0.012000024318695068,-0.05490005016326904,0.0,0.0,0.0,10.0,03-03,-0.09389999012152354
02-03,0.0,0.0,-0.2228999137878418,-0.8369998931884766,0.0,0.0,0.0,0.0,-0.005000054836273193,-0.05490005016326904,0.0,0.0,0.0,10.0,03-04,-0.09331665933132172
02-04,0.0,0.0,-0.2228999137878418,-1.1570000648498535,0.0,0.0,0.0,0.0,0.025000035762786865,-0.05490005016326904,0.0,0.0,1.0,9.0,03-05,-0.11748333275318146
02-05,0.0,0.0,-0.2228999137878418,-1.1570000648498535,0.0,0.0,0.0,0.0,0.027000010013580322,-0.05490005016326904,0.0,0.0,1.0,9.0,03-06,-0.117316668232282
02-06,0.0,0.0,-0.2228999137878418,-1.1570000648498535,0.0,0.0,0.0,0.0,0.02399998903274536,-0.05490005016326904,0.0,0.0,1.0,9.0,03-07,-0.11756666998068492
02-07,0.0,0.0,-0.2228999137878418,-0.6540002822875977,0.0,0.0,0.0,0.0,0.01500004529953003,-0.05490005016326904,0.0,0.0,1.0,9.0,03-08,-0.07640001674493153
