,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-18.142086014131056,5.21946047602714,1.4013632436852062,9.850301692286441,9.384170924640554,-11.486491904650867,2.9707613047103436,-14.319645102408199,-2.7990530847322965,-10.935609019001667,12.395541612311314,3.8394378614194715,7.0,5.0,-1.051820667486968
01-03,-14.662093399349907,4.653941980868019,3.5839725341788164,9.904242190143142,10.599080844970597,-13.288292029401793,9.753879876507424,-9.954305802274165,-1.0643817303731995,-14.427858867113194,13.64902566160989,2.0942388335015454,7.0,5.0,0.07012084110559806
01-04,-17.626321500076987,7.093030038300002,8.021940851791701,13.202576841415015,9.258487281612785,-10.150232530182809,6.757717598517467,-9.632278322700055,-3.9580557303750084,-15.671644712190226,12.95264415840264,-2.2687628971760017,6.0,6.0,-0.16840824355512307
01-05,-15.45559562625383,7.02164890901667,5.593449545423911,16.129977322875373,9.071818126253039,-12.753186939197658,8.860764605790772,-11.890445565933723,-2.1231914186013627,-16.5422876867716,8.78661238127287,-7.12980545304717,6.0,6.0,-0.8691868165977258
01-06,-18.676121945409925,3.7702994614837824,2.557980927033896,15.983603948658384,10.79522369104568,-13.47678265636138,14.643333406573703,-22.04341859415124,-1.2319721814088147,-19.62732777975031,9.418280444583958,-9.943718900465369,6.0,6.0,-2.319218348180636
01-07,-20.899153860237483,-4.524365991884918,-1.3301480003674184,14.891749874610522,8.99538131417358,-18.26186216368835,17.080945331748982,-20.39670282800846,-0.4966085983838485,-27.549667167672,9.917358737324736,-10.46728883667149,4.0,8.0,-4.420030182421345
01-08,-20.413127565245027,-5.220415490016588,-2.896593760638118,18.492571387161433,10.367610146433329,-17.96025119788574,14.510299682683964,-19.835334134010534,1.6623983031913698,-40.58394523375499,10.704606363178545,-9.981515288051995,5.0,7.0,-5.096141398912863
01-09,-14.580812025335527,-12.916926001696371,-0.7253521724625753,14.466328761416737,12.129816703406664,-16.085485548955603,14.042916195468752,-42.52461922610824,-4.003244504648607,-34.248552881929335,10.400002797444662,-8.502773588191802,4.0,8.0,-6.879058457632605
01-10,-9.512487577286153,-11.563812123537243,1.926164972126675,13.926273219374554,6.612572762643265,-17.51031144707401,6.777729898190586,-31.136734975878856,-3.8159670319312355,-29.428167841357567,10.266666412353516,-5.9149756134364955,5.0,7.0,-5.781087445484414
01-11,6.020409603110925,-12.371763320246234,10.165623434484536,16.690043501457513,6.8559860454812505,4.81621855556535,6.841505369197462,-41.95274061249445,-10.231766033345714,-33.472797670746964,9.466667175292969,-15.111938854532218,7.0,5.0,-4.357046067231298
