,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.4599990844726598,-1.3000011444091726,-0.14999961853027344,2.0799999237060547,1.0600013732910156,-0.4299964904785156,0.26000213623046875,-3.30999755859375,3.25,5.290000915527344,8.379997253417969,7.57000732421875,8.0,4.0,02-01,1.930001099904379
01-03,0.07999992370605469,-1.1700000762939418,0.1399993896484375,2.1800003051757812,1.4400005340576172,-0.6299972534179759,1.2000007629394531,-2.0199966430664062,3.5200004577636648,5.5500030517578125,11.319999694824219,8.680007934570312,9.0,3.0,02-02,2.5241681734720856
01-04,-0.3400001525878906,-1.0799999237060547,0.9400005340576207,3.0,1.6900005340576172,0.2700004577636719,0.4500007629394531,-2.339996337890625,3.049999237060554,4.720001220703125,8.529998779296875,8.840011596679688,9.0,3.0,02-03,2.3108347256978363
01-05,-0.1399993896484375,-0.9099998474121094,1.2099990844726527,2.639999389648434,2.019998550415039,-0.3899993896484375,0.6499977111816335,-2.720001220703132,2.829998016357429,3.6800003051757812,7.589996337890625,5.529998779296875,8.0,4.0,02-04,1.8324990272521962
01-06,-0.10000038146973012,-0.8099994659423828,1.3099994659423828,2.6199989318847656,2.49999809265136,-1.8499984741210938,2.0600013732910227,-1.7800025939941335,2.6199989318847727,1.6199951171874858,9.029998779296875,8.279998779296875,8.0,4.0,02-05,2.124999046325683
01-07,0.1100006103515625,-0.75,1.25,2.5399990081787074,2.4100017547607493,-1.2299995422363281,1.9599990844726562,-0.75,4.099998474121094,0.40000152587890625,11.799995422363295,12.849990844726562,9.0,3.0,02-06,2.8908322652181
01-08,-0.21000099182129262,-0.9099998474121129,1.2099990844726562,2.589998245239258,2.44000244140625,-1.799999237060554,1.30999755859375,0.18000030517578836,4.8199996948242045,-2.1399993896484375,12.610000610351562,8.350006103515625,8.0,4.0,02-07,2.3708337148030583
01-09,0.010000228881832385,-1.0700016021728516,1.5399990081787074,2.6999988555908203,2.8699989318847727,-1.9599990844726491,1.2399978637695312,0.7700004577636719,5.089996337890625,-2.2400054931640625,12.77999877929686,5.540008544921875,9.0,3.0,02-08,2.2724994023640943
01-10,0.3499984741210902,-0.9500007629394531,1.5099983215332067,2.290000915527351,2.8299999237060653,-2.150001525878899,1.6100006103515625,-0.43000030517578125,4.50999832153321,-3.4899978637695312,11.919998168945298,5.75,8.0,4.0,02-09,1.9791661898295099
01-11,0.7299995422363281,-1.1700000762939453,1.7700004577636683,2.3400001525878977,2.4899997711181676,-1.5400009155273438,1.3699989318847727,-0.7700004577636719,3.8800010681152344,-3.8600006103515625,12.02999877929686,4.8400115966796875,8.0,4.0,02-10,1.8425006866455078
01-12,0.5799999237060547,-0.7399997711181605,2.020000457763672,2.220001220703125,1.8500022888183594,-0.8699989318847656,1.2000007629394531,-1.0600013732910156,3.9099998474121165,-4.520004272460952,11.039993286132827,4.350006103515625,8.0,4.0,02-11,1.6649999618530282
01-13,-0.2700004577636719,-0.8700008392333984,2.2299995422363317,2.220001220703125,1.8900032043457102,-0.6899986267089844,1.729999542236321,0.8400001525878906,3.450000762939453,-6.649993896484375,12.009994506835938,6.9900054931640625,8.0,4.0,02-12,1.906667550404867
01-14,0.6300010681152344,-1.0500011444091726,1.860000610351559,2.229999542236328,1.6400032043457102,-0.4500007629394531,2.170001983642578,0.11999893188477273,4.700000762939453,-4.930000305175781,11.45999908447267,10.029998779296875,9.0,3.0,02-13,2.3675001462300647
01-15,0.8199996948242188,-0.8299999237060476,1.75,2.0399990081787145,1.8899993896484304,-0.5699996948242188,2.670001983642578,0.4099998474121165,4.549999237060547,-3.9399948120117188,13.1199951171875,11.610000610351562,9.0,3.0,02-14,2.793333371480307
01-16,0.4500007629394496,-0.8400001525878871,1.7399997711181676,2.1099987030029297,1.8100013732910227,-0.3400001525878906,1.9900016784667969,0.6800003051757955,5.240001678466811,-3.7699966430664062,11.710006713867188,9.830001831054688,9.0,3.0,02-15,2.550834655761722
01-17,0.8400001525878906,-0.9099998474121094,1.9899997711181676,2.3500003814697266,1.5,-0.4799995422363281,2.2300033569335938,0.6500015258789134,5.099994659423814,-4.3600006103515625,11.520004272460938,7.660003662109375,9.0,3.0,02-16,2.340833981831868
01-18,1.0599994659423864,-0.46999931335448863,2.1199989318847656,1.7199993133544922,2.0,-0.9599990844726562,2.7000007629394602,1.2299995422363352,5.500003814697266,-4.849998474121094,9.170005798339858,5.94000244140625,9.0,3.0,02-17,2.096667766571048
01-19,0.9899997711181641,-0.7700004577636719,2.3000011444091832,1.3899993896484375,2.1200027465820312,-0.470001220703125,2.7300033569335938,2.270000457763679,5.350002288818359,-5.989997863769531,10.870002746582031,7.7899932861328125,9.0,3.0,02-18,2.381667137145997
01-20,0.04000091552734375,0.12000083923339844,2.6700000762939418,1.0099983215332067,2.210002899169922,-0.5900001525878906,2.5700035095214844,2.6700019836425852,5.490001678466797,-6.339996337890625,10.819999694824219,9.770004272460938,10.0,2.0,02-19,2.5366681416829433
01-21,-0.3400001525878906,-0.11999893188476207,2.7900009155273438,1.0099983215332067,2.420001983642571,-0.7299995422363281,2.729999542236328,2.9200019836425852,5.430000305175781,-4.029998779296875,11.860000610351562,9.339996337890625,8.0,4.0,02-20,2.773333549499512
01-22,-0.0400009155273402,0.2100009918212855,2.270000457763672,1.239999771118164,2.5,-0.5400009155273438,1.9900016784667969,1.9099998474121094,9.830001831054688,-3.8899993896484375,12.069999694824219,11.560012817382812,9.0,3.0,02-21,3.2591679890950522
01-23,-0.2900009155273402,0.05000114440917969,1.7900009155273438,1.1499996185302805,2.5,-0.20000076293945312,1.6399993896484375,2.8800010681152273,9.680000305175781,-3.619995117187486,13.0,10.029998779296875,9.0,3.0,02-22,3.21750036875407
01-24,1.0100002288818324,-0.3899993896484375,1.8799991607666016,1.25,1.9300003051757884,0.6499977111816406,2.5099983215332102,3.3600006103515554,8.570003509521484,-4.379997253417969,11.560005187988281,10.94000244140625,10.0,2.0,02-23,3.2408342361450195
01-25,0.7199993133544886,0.3000011444091797,1.25,1.439998626708988,1.1800003051757884,0.34999847412109375,2.9300003051757812,3.6000022888183594,8.580001831054688,-3.4500045776367188,9.430000305175795,4.6999969482421875,11.0,1.0,02-24,2.585832913716636
01-26,0.19999885559081676,0.4400005340576172,0.46000099182128906,1.4499988555908203,2.009998321533203,0.9000015258789062,2.799999237060547,2.3199996948242116,9.060001373291016,-4.5,9.819999694824219,-1.0500030517578125,10.0,2.0,02-25,1.9924996693929027
01-27,0.2999992370605433,0.5100002288818359,-0.1399993896484375,1.3999996185302734,1.3899993896484446,0.7700004577636719,3.3700027465820455,2.710002899169929,8.760002136230469,-6.900001525878906,10.650001525878892,-4.44000244140625,9.0,3.0,02-26,1.5316670735677091
01-28,-0.35999870300293324,0.9000015258789027,0.5,1.4400005340576207,1.3400001525878906,0.10000228881835938,3.8299980163574148,2.6100006103515696,8.600002288818352,-6.040000915527344,11.239997863769531,-9.889999389648438,9.0,3.0,02-27,1.1891670227050772
01-29,0.1100006103515625,0.7700004577636719,0.21000099182128906,1.6200008392333949,1.3899993896484446,-0.04000091552734375,3.4499969482421804,1.3199996948242259,9.439998626708977,-5.80999755859375,12.230003356933594,-8.400009155273438,9.0,3.0,02-28,1.3574994405110674
01-30,0.5300006866455078,0.6599998474121129,0.6000003814697266,1.5500011444091797,1.9399986267089844,-0.5699996948242188,4.19999694824218,1.9699974060058594,9.640003204345696,-6.379997253417969,10.199996948242173,-8.780014038085938,9.0,3.0,02-29,1.2966653505961079
01-31,-0.2700004577636719,0.5399990081787145,0.5900001525878871,1.6499996185302734,1.8400001525878906,0.09000015258789062,3.530002593994155,2.6199989318847656,8.550003051757812,-7.94000244140625,9.27999877929686,-5.470001220703125,9.0,3.0,03-01,1.2508331934611003
02-01,-0.07000160217285156,0.7199993133544922,-0.4600009918212926,0.9799995422363246,1.3600006103515696,1.5999984741210938,3.220001220703132,2.1699981689453125,9.619998931884759,-6.709999084472642,7.839996337890611,-13.429992675781222,8.0,4.0,03-02,0.5699998537699406
02-02,-0.7600002288818395,0.8699989318847656,-0.3799991607666051,0.8899993896484375,1.1999969482421804,2.0,3.7299995422363352,3.6300010681152273,8.05999755859375,-5.4900054931640625,4.120002746582017,-12.330001831054716,8.0,4.0,03-03,0.4616657892862908
