,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.4299983978271449,-2.0399990081787145,0.7999992370605504,0.23999977111816406,0.9400005340576172,0.75,-0.05000114440917969,-0.5100002288818359,0.23000144958495738,2.45999908447266,1.620000839233402,-0.8199996948242188,8.0,4.0,02-01,0.3374999364217122
01-03,0.4299983978271449,-2.4400005340576136,0.7999992370605504,0.23999977111816406,0.9300003051757848,0.75,-0.13000106811523793,-0.530000686645506,0.39000129699706676,1.4599990844726598,1.620000839233402,-1.4799995422363281,8.0,4.0,02-02,0.16999975840250725
01-04,0.4299983978271449,-2.739999771118164,2.5900001525878906,0.9400005340576136,0.8999996185302734,0.7600002288818324,-0.32999992370605824,-0.9500007629394531,0.5300006866455043,0.5900001525878871,1.620000839233402,-1.9300003051757812,8.0,4.0,02-03,0.2008333206176743
01-05,0.4299983978271449,-2.739999771118164,2.5,0.10000038146972656,1.429998397827152,-0.05999946594238281,0.9400005340576172,-1.0500001907348615,-0.43000030517578125,0.5900001525878871,2.40000152587891,-2.04000091552734,7.0,5.0,02-04,0.17249989509582564
01-06,0.4299983978271449,-2.739999771118164,2.5,0.059999465942386365,1.3799991607666016,0.3200016021728551,2.579999923706051,-0.6499996185302699,-0.43000030517578125,1.0799999237060582,2.40000152587891,-2.4099998474121094,8.0,4.0,02-05,0.37666670481364023
01-07,0.4299983978271449,-2.739999771118164,2.5,0.059999465942386365,1.3299999237060511,-0.11000061035155895,1.5,-0.6499996185302699,0.03000068664550426,0.4099998474121165,2.40000152587891,-3.279998779296875,8.0,4.0,02-06,0.15666675567627042
01-08,-0.7400016784668004,-2.739999771118164,2.5,0.010000228881835938,1.4499988555908203,-0.3200016021728551,1.289999008178711,0.5700006484985369,0.03000068664550426,-0.6800003051757741,2.40000152587891,-2.0999984741210973,7.0,5.0,02-07,0.1391665935516356
01-09,-0.7400016784668004,-2.5900001525878906,2.5,0.010000228881835938,1.0,-0.48000144958496094,1.289999008178711,2.1800003051757812,0.19000053405761363,-0.8000011444091761,2.40000152587891,-1.8999996185302805,7.0,5.0,02-08,0.2549997965494786
01-10,-0.7400016784668004,-2.5900001525878906,2.5,0.30000114440917613,0.6200008392333984,-0.7800006866455114,1.489999771118164,2.739999771118164,-0.4599990844726598,-0.8000011444091761,0.5700016021728516,-1.8999996185302805,6.0,6.0,02-09,0.07916673024495295
01-11,-0.7400016784668004,-3.539999008178711,2.0,1.1500015258788991,0.8000011444091761,-0.8000011444091797,2.1199989318847656,2.359999656677248,-0.5799999237060582,-0.8000011444091761,0.5700016021728516,-2.5599994659423864,6.0,6.0,02-10,-0.0016666253407809546
01-12,-0.7400016784668004,-3.239999771118164,2.0,1.1500015258788991,0.6299991607666051,0.879999160766598,2.690000534057617,1.6700000762939435,-0.8100013732910156,-0.8000011444091761,0.5700016021728516,-3.2700004577636754,7.0,5.0,02-11,0.06083313624064024
01-13,-0.7400016784668004,-3.289999008178711,2.0,1.7000007629394496,0.5799999237060547,1.0200004577636683,2.6400012969970703,1.8899993896484375,-0.8100013732910156,-1.070001602172848,0.5700016021728516,-3.2700004577636754,7.0,5.0,02-12,0.1016666094462068
01-14,-0.7400016784668004,-3.289999008178711,2.0,1.820001602172848,0.12999916076660512,0.8600006103515625,2.7599983215331996,1.7799997329711932,-1.0200004577636719,-1.070001602172848,0.5700016021728516,-3.2700004577636754,7.0,5.0,02-13,0.0441664854685461
01-15,-0.7400016784668004,-3.289999008178711,2.0,1.7200012207031286,0.4799995422363281,0.5200004577636683,2.2399997711181605,1.7799997329711932,-1.0200004577636719,-0.9999999999999964,0.7000007629394531,-2.5499992370605433,7.0,5.0,02-14,0.0700000921885174
01-16,-0.6000003814697266,-3.289999008178711,2.0,2.270000457763672,0.5400009155273438,0.3900012969970703,1.2999992370605469,1.4200000762939489,-1.0200004577636719,-0.9999999999999964,0.7000007629394531,-2.9599990844726562,7.0,5.0,02-15,-0.020833015441893938
01-17,-0.20000076293945312,-3.289999008178711,2.0,2.270000457763672,0.36000061035155895,0.5600013732910085,2.1299991607666016,0.8500003814697283,-0.9000015258789062,-0.3400001525878906,1.0499992370605469,-2.9599990844726562,7.0,5.0,02-16,0.12750005722045823
01-18,0.4500007629394531,-3.289999008178711,2.0,1.810001373291012,0.4500007629394496,0.5200004577636683,1.6299991607666016,1.25,-1.1500015258789062,-0.3400001525878906,1.0499992370605469,-2.9599990844726562,8.0,4.0,02-17,0.11833349863688063
