,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,0.0,-50.78181774830725,0.9901009819200971,9.090907243657705,3.0,7.0,-1.169514082923348
01-03,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,-14.074063716991267,-19.86310601646325,0.9901009819200971,-4.545457008456384,2.0,8.0,-0.9021571026951275
01-04,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,-14.074063716991267,-6.164235763626688,-8.910886706844243,0.0,1.0,10.0,-0.20687880498441058
01-05,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,-14.074063716991267,-15.753303406486879,-8.910886706844243,0.0,1.0,10.0,-1.0059677752227598
01-06,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,-14.074063716991267,-34.920898242232234,-8.910886706844243,4.761900369272073,2.0,9.0,-2.2064423140955336
01-07,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,-14.074063716991267,-24.087308378413656,-9.999997764825869,-5.263160784158717,1.0,10.0,-2.2298241763950197
01-08,0.0,0.0,0.0,0.0,0.0,26.66664052764927,0.0,0.0,-14.074063716991267,-31.783035524724806,-9.999997764825869,-5.263160784158717,1.0,9.0,-2.8711347719209486
01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-35.99959562267912,-9.999997764825869,-5.263160784158717,0.0,10.0,-5.444734824054581
01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-34.71080856213403,-9.999997764825869,-5.263160784158717,0.0,10.0,-5.337335902342491
01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-28.0989038179012,-9.999997764825869,-1.0000020116567312,0.0,10.0,-4.431080609281255
01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-17.355125127023317,-9.999997764825869,15.763135174407585,1.0,10.0,-2.1388376195360723
01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-15.789717692669925,-9.999997764825869,-1.0000020116567312,0.0,11.0,-3.4053150988453162
01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-15.789717692669925,-9.999997764825869,6.000004619359915,1.0,10.0,-2.8219812129272626
01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-28.15550604148479,-1.0000020116567312,9.900003524124571,1.0,10.0,-2.7774640205006853
01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-25.714317505043162,-1.0000020116567312,5.920000286102277,1.0,10.0,-2.9056985789657404
01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.074063716991267,-7.7673929576299745,-1.0000020116567312,-19.999995529651724,0.0,11.0,-3.5701211846608083
01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.55554760785776,-14.074063716991267,-24.271805704564184,-1.0000020116567312,5.920000286102277,2.0,9.0,2.677473038395654
01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.55554760785776,-14.074063716991267,-15.534137753508407,-1.0000020116567312,5.920000286102277,2.0,9.0,3.405612034316969
01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.55554760785776,-14.074063716991267,-21.359684400783692,-1.0000020116567312,21.53461325895097,2.0,9.0,4.221367561448086
01-21,0.0,0.0,0.0,0.0,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,7.407277671638678,-1.0000020116567312,7.764703063678785,3.0,8.0,1.3044827035234692
01-22,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-5.042273011725819,-1.0000020116567312,7.764703063678785,2.0,9.0,-1.6877120810768778
01-23,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-4.34804874276362,-1.0000020116567312,-17.64705839385349,1.0,10.0,-3.747506846791051
01-24,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-5.504246063512977,-1.0000020116567312,-17.64705839385349,1.0,10.0,-3.843856623520164
01-25,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-6.4217212724183526,-1.0000020116567312,-4.999995157122685,1.0,10.0,-2.8663909545347113
01-26,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-11.926579817295323,-102.00000402331347,-4.999995157122685,1.0,10.0,-11.741796000912522
01-27,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-29.52403861910944,49.499998994171634,-4.895098284766243,2.0,9.0,-0.5745092435769013
01-28,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-24.770634843496076,49.499998994171634,-5.263160784158717,2.0,9.0,-0.20906413722516035
01-29,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-27.102910225732764,49.499998994171634,-22.086572771707853,2.0,9.0,-1.8053714180406457
01-30,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,-14.074063716991267,-24.271805704564184,49.499998994171634,-10.987795684071228,2.0,9.0,-0.6445479506402116
01-31,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-37.735851320095584,49.499998994171634,-10.987795684071228,2.0,9.0,-0.5937131088518902
02-01,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-18.867610751749076,49.499998994171634,-4.999995157122685,2.0,9.0,1.4776236490893642
02-02,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-29.245488713686573,50.0,-16.66665838824411,2.0,9.0,-0.3177546998465151
02-03,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-25.24273657595281,50.0,-39.99999006589293,2.0,9.0,-1.9286363281727705
02-04,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-16.21579880399768,50.0,-26.66666004392862,2.0,9.0,-0.06528067867948313
02-05,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-17.27235629381875,-66.666672875484,-25.000002450848957,1.0,10.0,-9.7366617430316
02-06,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,65.55554760785776,0.0,-7.75902144117369,-63.93442683019999,-31.578953560039473,1.0,10.0,-9.264442593970054
02-07,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,15.989241113154511,0.0,-4.762158052828859,-63.93442683019999,-57.76316701447482,1.0,10.0,-15.327247307369534
02-08,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,15.989241113154511,0.0,1.2987641224763131,-63.93442683019999,0.0,2.0,9.0,-10.008573208221202
02-09,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,15.989241113154511,0.0,1.2987641224763131,-63.93442683019999,-11.111108351636926,2.0,8.0,-10.934498904190946
02-10,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,15.989241113154511,0.0,14.166818831691828,-63.93442683019999,-31.578953560039473,2.0,8.0,-11.567814779123198
02-11,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,15.989241113154511,0.0,10.434750277029185,-63.93442683019999,-11.111108351636926,2.0,8.0,-10.173166724644874
02-12,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,-143.90214694198693,0.0,6.36394612577031,-63.93442683019999,-11.111108351636926,1.0,9.0,-23.8366827418449
02-13,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,-143.90214694198693,0.0,7.488790933312793,-63.93442683019999,-11.111108351636926,1.0,9.0,-23.74294567454969
02-14,0.0,0.0,0.0,-23.456786731839667,0.0,-49.999670172245594,0.0,-143.90214694198693,0.0,-60.93721069345899,-63.93442683019999,-33.222220345779775,0.0,10.0,-31.287705142959243
02-15,0.0,0.0,0.0,-23.456786731839667,0.0,0.0,0.0,-143.90214694198693,0.0,-110.93762670501096,-63.93442683019999,-13.333326710595289,0.0,10.0,-29.630359493302734
02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.90214694198693,0.0,-85.93741869923497,-63.93442683019999,-13.333326710595289,0.0,10.0,-25.59227659850143
02-17,0.0,0.0,0.0,0.0,0.0,-42.85728072479066,0.0,-143.90214694198693,0.0,-43.74969326908689,-63.93442683019999,-13.333326710595289,0.0,10.0,-25.648072873054982
02-18,0.0,0.0,0.0,0.0,0.0,-42.85728072479066,0.0,-143.90214694198693,0.0,-53.333507829712566,-63.93442683019999,7.272728504228216,1.0,9.0,-24.729552818538494
