,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-0.009999997913837433,0.0,9.999994654208433e-05,0.0004000000189989805,0.0,0.0,0.00020000000949949026,0.00033000006806105354,-9.999994654208433e-05,-0.003999999724328516,4.0,5.0,02-01,-0.001188181594691493
01-03,0.0,-0.015000000596046448,0.0,9.999994654208433e-05,0.0004000000189989805,0.0,0.0,0.00020000000949949026,-0.0002999999560415747,-9.999994654208433e-05,-0.00430000014603138,3.0,6.0,02-02,-0.0017272727881473575
01-04,0.0,-0.015000000596046448,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,0.0004000000772066412,0.0,-0.0002999999560415745,3.0,6.0,02-03,-0.0013454545934853907
01-05,0.0,0.0,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.00038999994285404704,0.00013999996008351456,-0.0007000002078711987,3.0,6.0,02-04,-7.727274946360426e-05
01-06,0.0,-0.009999997913837433,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.00038999994285404704,0.00013999996008351456,-0.0015000002458691597,3.0,6.0,02-05,-0.0010590907450850036
01-07,0.0,0.0,0.0,9.999994654208433e-05,-0.0004999999655410647,0.0,0.0,0.00020000000949949026,-0.00038999994285404704,0.00013999996008351456,0.0,3.0,6.0,02-06,-4.09090902063657e-05
01-08,0.0,0.0,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.00038999994285404704,9.999994654208433e-05,-0.0020000003278255454,3.0,6.0,02-07,-0.0001990909434177658
01-09,0.0,0.003000006079673767,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.00038999994285404704,9.999994654208433e-05,-0.0020000003278255454,4.0,5.0,02-08,7.363688200712212e-05
01-10,0.0,-0.001999996602535248,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.00038999994285404704,9.999994654208433e-05,0.0005000000819563866,4.0,5.0,02-09,-0.00015363605184988543
01-11,0.0,-0.006999999284744263,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.0011799999047070748,9.999994654208433e-05,-9.999983012676239e-05,3.0,6.0,02-10,-0.0007345453751358119
01-12,0.0,0.00899999588727951,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,0.0004000000772066412,9.999994654208433e-05,-9.999983012676239e-05,5.0,4.0,02-11,0.0008636360024948689
01-13,0.0,-0.0020000040531158447,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,0.00022000004537403562,9.999994654208433e-05,-9.999983012676239e-05,4.0,5.0,02-12,-0.0001527276313440366
01-14,0.0,0.007999993860721588,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,0.00022000004537403562,9.999994654208433e-05,0.00039999978616833687,6.0,3.0,02-13,0.0008018175986680118
01-15,0.0,0.0,0.0,9.999994654208433e-05,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,0.00022000004537403562,0.0,-0.0013000001199543476,3.0,6.0,02-14,-8.909092073074795e-05
01-16,0.0,0.007999993860721588,0.0,-0.0012000000569969418,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,0.00022000004537403562,0.0,-0.0013000001199543476,3.0,6.0,02-15,0.0005199994299222122
01-17,0.0,0.0,0.0,-0.0013000001199543472,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-8.000002708286047e-05,0.0,-0.0015000002458691597,1.0,8.0,02-16,-0.0002618182175369425
01-18,0.0,0.01999999582767488,0.0,0.0,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-8.000002708286047e-05,0.0,-0.0015000002458691597,2.0,7.0,02-17,0.001674545050429351
01-19,0.0,0.01999999582767488,0.0,0.0,-0.00020000000949949026,0.0,0.0,0.00020000000949949026,-0.0006900000153109431,0.0,-0.0015000002458691597,2.0,7.0,02-18,0.0016190905060449797
01-20,0.0,0.00899999588727951,0.0,0.0,-0.00020000000949949026,0.0,0.0,0.0,-0.0006900000153109431,0.0,-0.0015000002458691597,1.0,8.0,02-19,0.0006009086924181743
01-21,0.0,0.012000001966953278,0.0,0.0,-0.00020000000949949026,0.0,0.0,0.0,-0.0004200000548735259,0.0,-0.0013000001199543476,1.0,8.0,02-20,0.0009163637984205376
01-22,0.0,0.00899999588727951,0.0,0.0,-0.00020000000949949026,0.0,0.0,0.0,-0.0004200000548735259,0.0,-0.0013000001199543476,1.0,8.0,02-21,0.0006436359729956497
