,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,-2.7899999618530273,-0.8899993896484375,0.5499992370605469,1.8499984741210973,0.0,0.5200004577636719,4.0,6.0,02-01,0.03999978845769741
01-03,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,-2.7899999618530273,-0.8899993896484375,0.5499992370605469,1.8499984741210973,0.0,0.5200004577636719,4.0,6.0,02-02,0.03999978845769741
01-04,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,-2.7899999618530273,-0.6799993515014648,0.5499992370605469,1.8499984741210973,0.0,1.5200004577636719,4.0,6.0,02-03,0.149999791925604
01-05,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,-2.7899999618530273,-0.6799993515014648,0.5499992370605469,1.1599998474121094,0.0,1.5200004577636719,4.0,6.0,02-04,0.08727264404296875
01-06,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,-2.7899999618530273,-0.6799993515014648,0.0,1.1599998474121094,0.0,1.5200004577636719,3.0,7.0,02-05,0.03727271340110085
01-07,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,0.7299995422363281,-0.6799993515014648,0.0,1.1599998474121094,0.0,1.5200004577636719,4.0,6.0,02-06,0.357272668318315
01-08,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,0.7299995422363281,-0.6799993515014648,0.0,1.1599998474121094,0.0,1.5200004577636719,4.0,6.0,02-07,0.357272668318315
01-09,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,0.7299995422363281,-0.6799993515014648,0.0,1.289999008178711,0.0,1.5200004577636719,4.0,6.0,02-08,0.3690907738425515
01-10,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,0.7299995422363281,-0.6799993515014648,0.0,1.289999008178711,0.0,1.5200004577636719,4.0,6.0,02-09,0.3690907738425515
01-11,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,0.7299995422363281,-0.6799993515014648,0.0,1.289999008178711,0.0,1.5200004577636719,4.0,6.0,02-10,0.3690907738425515
01-12,0.0,1.2199993133544922,0.0,-0.020000457763671875,0.0,0.7299995422363281,-0.6799993515014648,0.0,1.2099990844726562,0.0,1.5200004577636719,4.0,6.0,02-11,0.36181805350563745
01-13,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.7299995422363281,0.21000003814697266,0.0,1.2099990844726562,0.0,1.5200004577636719,4.0,6.0,02-12,0.3227271166714755
01-14,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,0.0,1.2099990844726562,0.0,1.5200004577636719,4.0,6.0,02-13,0.3054544275457209
01-15,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,0.0,1.2099990844726562,0.0,1.5200004577636719,4.0,6.0,02-14,0.3054544275457209
01-16,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,0.0,1.2099990844726562,0.0,1.5200004577636719,4.0,6.0,02-15,0.3054544275457209
01-17,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,0.0,1.2099990844726562,0.0,1.5200004577636719,4.0,6.0,02-16,0.3054544275457209
01-18,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,1.2700004577636719,1.2099990844726562,0.0,1.0,5.0,5.0,02-17,0.37363624572753906
01-19,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,1.2700004577636719,1.2099990844726562,0.0,1.0,5.0,5.0,02-18,0.37363624572753906
01-20,0.0,-0.10000038146972656,0.0,-0.020000457763671875,0.0,0.5399999618530273,0.21000003814697266,1.2700004577636719,1.9099998474121094,0.0,1.0,5.0,5.0,02-19,0.4372726787220348
01-21,0.0,1.1800003051757777,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.2700004577636719,1.9099998474121094,0.0,1.0,5.0,5.0,02-20,0.5045454718849872
01-22,0.0,1.1800003051757777,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.2700004577636719,1.9099998474121094,0.0,1.0,5.0,5.0,02-21,0.5045454718849872
01-23,0.0,1.1800003051757777,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.2700004577636719,-0.220001220703125,0.0,1.0,4.0,6.0,02-22,0.3109090111472387
01-24,0.0,1.1800003051757777,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.4500007629394531,-0.220001220703125,0.0,1.0,4.0,6.0,02-23,0.3272726752541279
01-25,0.0,1.1800003051757777,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.4500007629394531,-0.220001220703125,0.0,1.0,4.0,6.0,02-24,0.3272726752541279
01-26,0.0,1.1800003051757777,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.4500007629394531,-0.220001220703125,0.0,1.0,4.0,6.0,02-25,0.3272726752541279
01-27,0.0,0.0,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.4500007629394531,0.0,0.0,0.7999992370605469,3.0,7.0,02-26,0.22181814367120917
01-28,0.0,0.0,0.0,-0.020000457763671875,0.0,0.0,0.21000003814697266,1.4500007629394531,0.0,0.0,0.7999992370605469,3.0,7.0,02-27,0.22181814367120917
01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.21000003814697266,1.4500007629394531,0.0,0.0,0.7999992370605469,3.0,7.0,02-28,0.22363636710427023
01-30,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-0.20000076293945312,2.0,8.0,02-29,0.4309090701016513
01-31,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-0.20000076293945312,2.0,8.0,03-01,0.4309090701016513
02-01,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-0.20000076293945312,2.0,8.0,03-02,0.4309090701016513
02-02,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-1.949999809265135,2.0,8.0,03-03,0.27181824770840746
02-03,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-1.5600004196166992,2.0,8.0,03-04,0.3072727376764471
02-04,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-1.5600004196166992,2.0,8.0,03-05,0.3072727376764471
02-05,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-1.5600004196166992,2.0,8.0,03-06,0.3072727376764471
02-06,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,0.0,0.0,-1.5600004196166992,2.0,8.0,03-07,0.3072727376764471
02-07,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,-2.9599990844726562,0.0,-1.5600004196166992,2.0,8.0,03-08,0.03818191181529652
02-08,0.0,0.0,3.489999771118164,0.0,0.0,0.0,0.0,1.4500007629394531,-2.9599990844726562,0.0,-1.5600004196166992,2.0,8.0,03-09,0.03818191181529652
02-09,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,1.4500007629394531,-2.9599990844726562,4.899999618530273,-1.5600004196166992,4.0,6.0,03-10,0.7781818563287909
02-10,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,1.4500007629394531,-2.9599990844726562,4.899999618530273,-1.5600004196166992,4.0,6.0,03-11,0.7781818563287909
02-11,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,1.4500007629394531,-2.9599990844726562,4.899999618530273,-1.5600004196166992,4.0,6.0,03-12,0.7781818563287909
02-12,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,1.4500007629394531,-2.9599990844726562,4.899999618530273,-1.5600004196166992,4.0,6.0,03-13,0.7781818563287909
02-13,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,1.4500007629394531,-2.9599990844726562,4.899999618530273,-1.5600004196166992,4.0,6.0,03-14,0.7781818563287909
02-14,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,1.4500007629394531,-2.9599990844726562,4.899999618530273,-1.5600004196166992,4.0,6.0,03-15,0.7781818563287909
02-15,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,0.18000030517578125,-2.9599990844726562,4.899999618530273,-4.850000381469727,4.0,6.0,03-16,0.36363636363636365
02-16,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,0.0,0.18000030517578125,-2.9599990844726562,4.899999618530273,-4.850000381469727,4.0,6.0,03-17,0.36363636363636365
02-17,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,1.1300001144409162,0.18000030517578125,-2.9599990844726562,4.899999618530273,-4.850000381469727,5.0,5.0,03-18,0.46636364676735603
02-18,0.0,0.0,3.489999771118164,0.0,3.239999771118164,0.0,1.1300001144409162,0.0,-2.9599990844726562,4.899999618530273,-6.149999618530273,4.0,6.0,03-19,0.3318182338367807
02-19,0.0,0.0,4.260000228881836,0.0,3.239999771118164,0.0,1.1300001144409162,1.2999992370605469,-2.9599990844726562,4.899999618530273,-6.149999618530273,5.0,5.0,03-20,0.5200000242753461
02-20,0.0,0.0,4.260000228881836,0.0,3.239999771118164,0.0,1.1300001144409162,1.2999992370605469,-2.9599990844726562,1.0999994277954084,-6.149999618530273,5.0,5.0,03-21,0.17454546148126743
02-21,0.0,0.0,3.989999771118164,0.0,3.239999771118164,0.0,1.1300001144409162,1.2999992370605469,-2.9599990844726562,1.0999994277954084,-6.149999618530273,5.0,5.0,03-22,0.14999996532093363
02-22,0.0,0.0,3.989999771118164,0.0,3.239999771118164,0.0,1.1300001144409162,1.2999992370605469,-2.9599990844726562,1.0999994277954084,-5.94999885559082,5.0,5.0,03-23,0.1681818528608839
02-23,0.0,0.0,3.989999771118164,0.0,3.239999771118164,0.0,1.1300001144409162,1.2999992370605469,-2.9599990844726562,1.0999994277954084,-5.94999885559082,5.0,5.0,03-24,0.1681818528608839
02-24,0.0,0.0,3.989999771118164,0.0,3.239999771118164,0.0,1.1300001144409162,1.2999992370605469,-2.9599990844726562,1.0999994277954084,-5.94999885559082,5.0,5.0,03-25,0.1681818528608839
02-25,0.0,0.0,0.5,0.2400007247924787,3.239999771118164,0.0,1.1300001144409162,1.0999994277954084,-2.9599990844726562,0.1999998092651385,-6.549999237060547,6.0,4.0,03-26,-0.28181804310191794
02-26,0.0,0.0,0.5,0.2400007247924787,3.239999771118164,0.0,1.1300001144409162,1.0999994277954084,-2.9599990844726562,0.1999998092651385,-6.549999237060547,6.0,4.0,03-27,-0.28181804310191794
02-27,0.0,0.0,0.5,0.2400007247924787,3.239999771118164,0.0,1.1300001144409162,1.0999994277954084,-2.9599990844726562,0.1999998092651385,-6.549999237060547,6.0,4.0,03-28,-0.28181804310191794
02-28,0.0,0.0,0.5,0.2400007247924787,3.239999771118164,0.0,1.1300001144409162,1.0999994277954084,-2.9599990844726562,0.1999998092651385,-4.800000190734865,6.0,4.0,03-29,-0.12272722070867413
02-29,0.0,0.0,0.5,0.0,0.0,0.0,1.1300001144409162,0.0,0.0,0.0,-5.189999580383301,2.0,1.0,03-30,-0.3236363150856713
