,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-19.999995529651695,36.25000072759571,10.000001862645192,0.0,-49.999999999999986,27.083333656709225,-44.99999906867742,-79.18088748049749,-18.571423059519613,-13.63636171214341,-29.411762288955273,3.0,8.0,-15.205591074374562
01-03,0.0,-27.65957598585849,27.142856762725483,10.000001862645192,0.0,-49.999999999999986,37.73584865874436,-15.999994933605283,-110.00000186264522,-26.08353398233818,9.090904280358595,-29.411762288955273,4.0,7.0,-14.598771457410734
01-04,0.0,-27.65957598585849,-42.85713525450985,10.000001862645192,0.0,0.0,49.23076764366325,-44.99999906867742,-48.327136980166244,-18.203304852036407,9.090904280358595,-29.411762288955273,3.0,8.0,-11.928103386961387
01-05,0.0,0.0,-42.857145572369035,0.0,0.0,32.203391756829205,53.52112853415918,-32.50000139698389,-48.698876624205745,-25.2955132710162,9.090904280358595,-29.411762288955273,3.0,8.0,-6.995656215181931
01-06,0.0,50.0,-83.6734593026295,0.0,0.0,28.571432372745086,54.48275755758656,-69.87179747410983,-41.26393140812922,-13.57143170751468,48.58611648247609,26.66666770146952,5.0,6.0,-0.006137148175496894
01-07,0.0,0.0,-83.6734593026295,0.0,0.0,-49.999999999999986,49.30875549666303,-66.66667462668889,-12.85714757077548,-13.57143170751468,37.49999545252639,26.66666770146952,3.0,8.0,-9.4411078797458
01-08,0.0,0.0,-83.6734593026295,0.0,0.0,0.0,49.30875549666303,-66.66667462668889,1.2499932479111657,-13.57143170751468,37.49999545252639,55.10204159210542,4.0,7.0,-1.7292316539689203
01-09,0.0,50.0,-83.6734593026295,0.0,0.0,0.0,49.30875549666303,-4.166667313418449,1.2499932479111657,-22.307696936751178,20.318721958285657,55.10204159210542,5.0,6.0,5.4859740618471795
01-10,0.0,50.0,-85.5669968477132,0.0,0.0,0.0,52.77777317865375,-28.20512747035696,-17.428568357107586,-22.307696936751178,20.318721958285657,55.10204159210542,4.0,7.0,2.0575122597596587
01-11,0.0,50.0,-54.63916724018212,0.0,0.0,0.0,51.428568995728796,1.3417513524575055,-23.89380307302382,-22.307696936751178,20.318721958285657,55.10204159210542,5.0,6.0,6.445868054051689
01-12,0.0,16.666663562258005,-57.89473839000985,0.0,0.0,0.0,54.66666600439286,-41.66667132327966,-23.89380307302382,-19.99999426878429,12.749008197122771,53.19148894009843,4.0,7.0,-0.5151150292687964
01-13,0.0,30.00000074505805,-57.89473839000985,0.0,0.0,0.0,54.66666600439286,-27.371974738910122,-20.6489653473278,-19.99999426878429,12.749008197122771,51.111109271461494,4.0,7.0,1.8842592894169254
01-14,0.0,30.00000074505805,-5.263158926673246,0.0,0.0,19.678718404414813,54.533335386382134,-12.03535065178539,-28.57141906813729,-19.99999426878429,12.749008197122771,-29.411762288955273,4.0,7.0,1.8066147940535224
01-15,0.0,0.0,-78.94738390009869,0.0,0.0,7.407408429434898,46.66666997803569,-29.9714081306809,-28.57141906813729,-19.99999426878429,12.749008197122771,-29.411762288955273,3.0,8.0,-10.006573421005255
