,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-3.8461594891973454,-22.72727223467237,8.333334989017862,8.333334989017862,7.6923006385033,-26.4705902977385,15.000001589457193,0.0,6.4220168235154755,5.66038075355743,-10.212766777719,-8.55397330644142,6.0,6.0,-1.6974493602249592
01-03,-3.8461594891973454,-22.72727223467237,4.347822030685715,8.333334989017862,3.8461503192516595,-23.529402689950516,15.000001589457193,3.92156496088299,11.304349484650986,5.66038075355743,-10.212766777719,-8.55397330644142,7.0,5.0,-1.371330864206401
01-04,-3.8461594891973454,-22.72727223467237,12.500007450580316,-8.333325054910755,7.6923006385033,0.0,21.538463005652794,1.9999980926513672,11.304349484650986,5.66038075355743,-10.212766777719,-8.55397330644142,6.0,6.0,0.5851668802212752
01-05,-3.8461594891973454,-38.88889256818805,12.500007450580316,-12.499997516473211,7.6923006385033,2.8571401323590835,21.538463005652794,0.0,11.304349484650986,2.0754741425613497,-10.212766777719,-8.55397330644142,6.0,6.0,-1.3361712336426
01-06,-3.8461594891973454,-33.33334216365134,12.500007450580316,-8.333325054910755,7.6923006385033,0.0,21.538463005652794,0.0,11.304349484650986,7.407409042651405,-10.212766777719,-8.55397330644142,5.0,7.0,-0.31975309749008823
01-07,-3.0769294253469965,-16.666664459087173,8.333334989017862,-17.39130885479365,7.6923006385033,-20.588229106784436,15.384615384615385,0.0,-6.2499937911830825,7.407409042651405,-3.5999965667724605,-6.387219165769147,4.0,8.0,-2.928556776245749
01-08,-3.0769294253469965,-5.263159215615438,8.333334989017862,-17.39130885479365,7.6923006385033,-17.64705552361836,15.384615384615385,-63.043481641095234,-6.2499937911830825,7.407409042651405,4.954128263775476,-6.387219165769147,5.0,7.0,-6.273946608238208
01-09,-3.0769294253469965,0.0,4.347822030685715,-17.39130885479365,7.6923006385033,0.0,14.062501280568531,-63.043481641095234,-6.2499937911830825,7.407409042651405,4.954128263775476,-6.387219165769147,5.0,7.0,-4.80706430183364
01-10,-3.0769294253469965,0.0,4.347822030685715,-12.499997516473211,7.6923006385033,0.0,14.062501280568531,-63.043481641095234,-9.207704953184189,7.407409042651405,4.954128263775476,-1.912044058659176,5.0,7.0,-4.272999694881199
01-11,-3.0769294253469965,0.0,4.347822030685715,-12.499997516473211,7.6923006385033,2.8571401323590835,14.062501280568531,-63.043481641095234,-9.207704953184189,7.407409042651405,1.3333366030738467,-1.912044058659176,6.0,6.0,-4.336637322243077
01-12,-21.818182212262087,-15.789477646846267,8.695654427396825,-12.499997516473211,7.6923006385033,2.8571401323590835,3.508768701010224,-63.043481641095234,-9.207704953184189,7.407409042651405,1.3333366030738467,-1.912044058659176,6.0,6.0,-7.731356540293789
01-13,-21.818182212262087,10.526312157057593,4.347822030685715,-12.499997516473211,7.6923006385033,0.0,3.508768701010224,-63.043481641095234,-6.918237421920415,4.761904761904762,1.3333366030738467,-1.912044058659176,6.0,6.0,-6.168458163181223
01-14,-21.818182212262087,-10.526312157057639,0.0,-17.39130885479365,7.6923006385033,2.8571401323590835,3.508768701010224,-19.56521987013651,-9.207704953184189,4.761904761904762,1.3333366030738467,-1.912044058659176,5.0,7.0,-5.022276772436836
01-15,-21.818182212262087,5.263159215615391,0.0,-17.39130885479365,11.538460127700665,2.8571401323590835,3.508768701010224,-12.24489577459032,-7.368419044896175,4.761904761904762,1.3333366030738467,1.720844211465865,7.0,5.0,-2.3199326777843665
01-16,-21.818182212262087,-4.999995231628418,0.0,-8.000001907348633,11.538460127700665,2.8571401323590835,7.407409042651405,-12.24489577459032,-12.087905293227593,4.761904761904762,0.0,1.720844211465865,5.0,7.0,-2.572101845247939
01-17,-16.521744448656488,-4.999995231628418,0.0,-8.000001907348633,11.538460127700665,-11.428574153355202,12.962968032219358,-19.56521987013651,-12.087905293227593,4.761904761904762,0.0,4.3977058935887285,4.0,8.0,-3.2452001740782777
01-18,-16.521744448656488,-16.666664459087173,0.0,-8.000001907348633,11.538460127700665,-11.428574153355202,16.071430548113252,-17.02128134468896,-12.087905293227593,4.761904761904762,-0.9523845854259673,0.0,3.0,9.0,-4.192230062839278
01-19,-16.521744448656488,-4.999995231628418,0.0,-11.999998092651367,11.538460127700665,-14.705881940452295,16.071430548113252,-17.02128134468896,-10.10989052448103,2.8571446736653643,-0.9523845854259673,0.0,3.0,9.0,-3.8203450682087703
01-20,-16.521744448656488,0.0,0.0,-22.72727223467237,11.538460127700665,-14.705881940452295,16.071430548113252,-17.02128134468896,-10.10989052448103,0.0,-3.9215743106313647,0.0,2.0,10.0,-4.783146177314049
01-21,-16.521744448656488,0.0,-4.545450112051311,-12.499997516473211,11.538460127700665,-14.705881940452295,19.642855774383133,-12.76596608125265,-10.10989052448103,0.0,-0.9523845854259673,0.0,2.0,10.0,-3.4099999422257627
01-22,-16.521744448656488,0.0,4.347822030685715,-17.39130885479365,11.538460127700665,-14.705881940452295,16.071430548113252,-12.76596608125265,-6.595753876534072,0.0,-0.9523845854259673,0.0,3.0,9.0,-3.0812772567179576
01-23,-18.584074250719482,0.0,8.333334989017862,-12.499997516473211,7.6923006385033,0.0,19.642855774383133,-12.76596608125265,-8.913050711943807,-7.619049435570144,-2.8571446736653643,0.0,3.0,9.0,-2.297565938976697
01-24,-22.80701699349358,-5.263159215615438,11.999998092651367,-4.166662527455369,7.6923006385033,12.82051250701042,14.54545801336115,-12.76596608125265,3.9999961853027344,-7.619049435570144,-2.8571446736653643,-8.000001907348633,5.0,7.0,-1.0350612831310169
