,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.7915980815887451,-0.1458883285522461,-0.6907539367675781,0.995802402496337,0.3812370300292969,0.5275259017944283,-0.013373374938963956,-0.059342861175538886,0.42180728912353427,0.04900693893432795,0.6575050354003897,-0.019507408142089844,7.0,5.0,02-16,0.24130139748255353
01-03,0.7117733955383305,-0.13165712356567383,-0.8037862777709979,1.19010305404663,0.4188222885131836,0.5035471916198704,0.28755760192871094,0.014834880828857422,0.38997268676757724,0.0,0.7337374687194824,0.10728979110717596,9.0,3.0,02-17,0.2851829131444289
01-04,0.7683181762695317,0.01779317855834872,-0.49817848205566406,1.1269569396972656,0.35438728332519354,0.4376063346862802,0.34774446487426847,0.022253513336180752,0.3740563392639151,-0.10618162155151278,0.5717439651489249,0.019507408142089844,10.0,2.0,02-18,0.2863339583079018
01-05,0.6020138263702388,-0.05337810516357422,-0.3390979766845703,1.0929508209228516,0.2255201339721662,0.5994591712951669,0.3276815414428711,0.11868381500244052,0.3422212600708008,-0.1388521194457999,0.5145692825317383,0.029260635375974786,9.0,3.0,02-19,0.27675269047419204
01-06,0.4456901550292969,-0.08184051513671875,-0.25118350982666016,1.1026673316955566,0.2255201339721662,0.49155569076538175,0.3009328842163077,0.14093685150146484,0.35018014907836914,-0.08984518051147461,0.5050396919250488,-0.02926063537597745,8.0,4.0,02-20,0.25919942061106344
01-07,0.4989089965820308,-0.23484754562377663,0.09628868103027344,1.1318159103393555,0.2899560928344691,0.5395154953002903,0.24743366241455078,0.20027971267700195,0.31038570404052734,-0.13068342208862305,0.5526852607727051,-0.0487685203552255,9.0,3.0,02-21,0.28774750232696494
01-08,0.5321679115295406,-0.34515380859375,0.16327190399169744,1.2824001312255877,0.5262136459350568,0.5574989318847665,0.26080799102783203,0.18544435501098633,0.2705941200256339,-0.13068342208862305,0.6003308296203613,-0.11704349517822266,9.0,3.0,02-22,0.3154874245325722
01-09,0.4656462669372554,-0.48036909103393555,0.1465253829956037,1.4038372039794922,0.4564094543457031,0.2757520675659153,0.2541203498840332,0.05192375183105291,0.32630395889282227,0.016334056854248935,0.4955105781555158,-0.14630413055419922,10.0,2.0,02-23,0.2721408208211257
01-10,0.056542158126831055,-0.46257877349853516,-0.14233493804931818,1.0978102684020996,0.39197635650634766,0.13787460327148438,0.2808704376220694,0.07417678833007812,0.2865109443664551,0.07351064682006925,0.4002203941345206,-0.2828545570373535,9.0,3.0,02-24,0.15931036074956237
01-11,-0.23615145683288574,-0.49460220336913974,-0.34328222274780273,1.0200910568237305,0.2631063461303711,-0.19182729721069602,0.24074602127075018,0.029669761657713956,0.29446935653686523,0.024501800537109375,0.3621039390563965,-0.4486665725708008,7.0,5.0,02-25,0.04334654410680098
01-12,0.046564340591430664,-0.4519004821777335,-0.519111156463623,0.8597917556762695,0.19330310821533025,-0.3057246208190918,0.2942457199096671,0.09643101692199663,0.2228412628173828,0.03266954421997159,0.495511531829834,-0.6534924507141113,8.0,4.0,02-26,0.02592746416727691
01-13,-0.10643219947814941,-0.48036813735961914,-0.6572623252868652,0.8743681907653809,0.18793010711669922,-0.5395150184631348,0.2942457199096671,0.15577268600463734,0.1750903129577619,0.032670021057129794,0.571744441986084,-0.7022609710693359,7.0,5.0,02-27,-0.016168097654978692
01-14,0.019958734512328657,-0.5159497261047363,-0.7451767921447763,1.0443758964538574,0.19330310821533025,-0.3836545944213867,0.36780691146850497,0.14835572242736772,0.12733840942382812,-0.008170127868651456,0.5526857376098624,-0.6925077438354501,7.0,5.0,02-28,0.009030461311339888
01-15,-0.06319355964660645,-0.5159521102905265,-0.6195850372314435,0.9958004951477051,0.28458499908447266,-0.46158552169799805,0.3744940757751465,0.2744576930999747,0.11142063140869052,-0.10618162155151634,0.40974950790405096,-0.6534929275512695,6.0,6.0,02-29,0.00254305203755667
01-16,-0.036586761474609375,-0.5515336990356445,-0.39351844787597834,0.9618010520935059,0.2684774398803711,-0.593468189239502,0.3544321060180682,0.3412163257598877,0.1352968215942374,-0.2041964530944833,0.3239879608154288,-0.7120141983032227,6.0,6.0,03-01,-0.008842170238495095
01-17,0.09978246688842773,-0.676074504852294,-0.5149240493774414,0.8257832527160645,0.225522041320799,-0.5035462379455575,0.3878688812255868,0.36347031593322754,0.15917205810546786,-0.31037521362304776,0.3239879608154288,-1.0143766403198242,7.0,5.0,03-02,-0.05280913909276356
01-18,-0.2028875350952144,-0.5693259239196777,-0.43538475036621094,0.8063530921936035,0.09665107727050781,-0.7912874221801749,0.32099437713623047,0.4524834156036377,0.15917205810546786,-0.3185434341430682,0.2096385955810538,-1.0924057960510245,6.0,6.0,03-03,-0.11371185382207245
01-19,-0.18293166160583452,-0.5871152877807617,-0.34328174591064453,0.709202766418457,0.11276054382324396,-0.9531435966491699,0.3544316291809082,0.49698948860168546,0.1512126922607422,-0.35938119888305753,0.3430452346801758,-0.9753618240356436,6.0,6.0,03-04,-0.10279774665832493
01-20,-0.13636755943298295,-0.5159497261047363,-0.184201240539549,0.6800580024719238,0.107391357421875,-0.7433304786682129,0.3276820182800293,0.5266613960266122,0.08754396438598633,-0.3103752136230469,0.3621039390563956,-0.9461011886596671,6.0,6.0,03-05,-0.06207372744878107
01-21,-0.12306356430053711,-0.380734920501709,0.008374214172361505,0.5246171951293945,0.11812973022461115,-0.7852945327758789,0.28755760192871094,0.5489134788513197,0.10346221923828036,-0.3103752136230469,0.37163352966308594,-0.8778257369995108,7.0,5.0,03-06,-0.042883833249409885
01-22,-0.07649970054626465,-0.17435455322265625,-0.08791255950927734,0.393463134765625,0.06980514526367365,-0.9651327133178711,0.12037324905395508,0.4969892501831059,0.14325380325317383,-0.2695350646972656,0.3239874839782706,-0.9168400764465332,6.0,6.0,03-07,-0.07853355010350534
01-23,-0.14967155456543013,-0.01067543029785245,-0.2302503585815412,0.20401954650879084,0.08054542541503906,-0.9891119003295898,0.2474331855773917,0.5637502670288073,0.18304824829101562,-0.24503231048583984,0.2286963462829581,-0.8680715560913086,6.0,6.0,03-08,-0.0821100076039633
01-24,-0.24945449829101562,0.007116794586179864,-0.08791255950927734,0.1408700942993164,0.09128379821777166,-0.9471478462219238,0.18724775314330966,0.5711669921874987,0.17509031295776367,-0.30220746994018466,0.21916770935058594,-0.9070863723754883,7.0,5.0,03-09,-0.09182210763295533
01-25,-0.26940965652465687,0.014233112335205078,-0.43538475036620916,0.053435325622558594,0.1449747085571289,-0.5994615554809544,0.09362316131591708,0.5563311576843248,0.12733936309814453,-0.36754846572875977,0.0762319564819327,-0.8778247833251962,7.0,5.0,03-10,-0.12362170219421371
01-26,-0.15964913368225098,0.0355830192565918,-0.5358572006225568,0.1262969970703125,0.18256378173828125,-0.4495964050292969,-0.026749610900879794,0.6156742572784415,0.07162857055664062,-0.3757162094116211,0.0952906608581543,-1.3362455368042,6.0,6.0,03-11,-0.14639806747436532
01-27,-0.11308622360229448,0.17435646057128906,-0.5358572006225568,0.20887565612793146,0.13423919677734375,-0.6234393119812003,-0.07356119155883789,0.53407883644104,0.0955038070678711,-0.24503278732299805,0.1905808448791504,-1.1899409294128427,6.0,6.0,03-12,-0.12027357021967537
01-28,-0.16630363464355424,0.26331472396850497,-0.26374149322509943,0.18458652496337535,0.1073923110961914,-0.7493262290954563,-0.08693599700927646,0.41539430618286044,0.2069244384765625,-0.24503278732299805,0.24775409698486328,-1.4825501441955566,6.0,6.0,03-13,-0.13071032365163193
01-29,-0.16630363464355424,0.2384052276611337,-0.10465908050537287,0.23802089691161932,0.04295635223388672,-0.6833858489990208,-0.040124893188475674,0.3337993621826172,0.2785515785217285,-0.26953649520874023,0.20963907241821378,-1.531318187713623,6.0,6.0,03-14,-0.12116297086079897
01-30,-0.156325101852417,0.08895730972290039,0.12977790832519354,0.39346408843993785,0.03221607208252131,-0.6833858489990208,0.08693599700927823,0.3337988853454581,0.21488285064697266,-0.16335535049438477,0.08576107025146396,-1.4240283966064453,8.0,4.0,03-15,-0.08844170967737848
