,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.23025131225586115,0.9670562744140625,1.427559852600094,-0.5871410369873047,0.3825721740722692,-0.10626983642578125,0.30999946594238637,0.06999969482421875,1.6000003814697301,-0.7999992370605469,7.0,3.0,02-16,0.3176390041004536
01-03,0.0,0.23025131225586115,0.8519306182861328,1.427559852600094,-0.25327491760253906,1.2327308654785156,-0.10626983642578125,0.5699996948242188,0.06999969482421875,1.6000003814697301,-0.529998779296875,7.0,3.0,02-17,0.4629935351285069
01-04,0.0,-0.24176406860351385,0.8519306182861328,1.427559852600094,-0.7828540802001953,1.2327308654785156,-0.10626983642578125,0.5699996948242188,-0.31999969482421875,1.0699996948242188,-0.37999916076660156,5.0,5.0,02-18,0.30193944410844265
01-05,0.0,-0.24176406860351385,0.8519306182861328,1.427559852600094,-0.14966392517089844,1.2752399444580078,-0.10626983642578125,0.5200004577636719,-0.31999969482421875,0.37999916076660156,-0.37999916076660156,5.0,5.0,02-19,0.2960939407348631
01-06,0.0,-0.24176406860351385,0.8519306182861328,1.427559852600094,-0.7828540802001953,1.3815097808837926,0.2550487518310547,0.5200004577636719,-0.31999969482421875,0.37999916076660156,0.3500003814697301,7.0,3.0,02-20,0.3474028327248318
01-07,0.0,-0.24176406860351385,1.5541973114013672,1.1973085403442383,0.3108406066894531,1.3815097808837926,0.425079345703125,0.5200004577636719,-0.31999969482421875,0.5499992370605469,0.3500003814697301,8.0,2.0,02-21,0.5206519907171084
01-08,0.0,-0.24176406860351385,1.5541973114013672,1.243357658386234,0.44899177551269176,1.3815097808837926,0.425079345703125,0.5200004577636719,-0.31999969482421875,0.5499992370605469,0.5400009155273438,8.0,2.0,02-22,0.5546702471646401
01-09,0.0,0.20722675323486328,1.4966354370117188,1.4505844116210973,0.6677303314208984,1.3815097808837926,0.425079345703125,0.5200004577636719,0.20000076293945312,0.5499992370605469,0.6900005340576207,10.0,0.0,02-23,0.6898879137906171
01-10,0.0,0.09210109710693537,1.4966354370117188,0.8634433746337926,0.36840248107910156,1.3815097808837926,0.425079345703125,0.4600009918212926,0.20000076293945312,-0.10000038146972656,0.279998779296875,9.0,1.0,02-24,0.4970156062733055
01-11,0.0,0.4950408935546857,1.4966354370117188,0.8634433746337926,0.29932594299316406,2.391073226928711,0.425079345703125,0.7399997711181676,0.20999908447265625,0.3999996185302699,0.5799999237060582,10.0,0.0,02-25,0.7182360562411226
01-12,0.0,1.2318458557128906,1.4966354370117188,0.8634433746337926,0.29932594299316406,2.391073226928711,0.425079345703125,0.7399997711181676,0.20999908447265625,0.4099998474121094,0.12999916076660156,10.0,0.0,02-26,0.7452182769775397
01-13,0.0,1.1857957839965803,1.8304986953735334,0.8634433746337926,0.5410900115966797,2.0722637176513636,0.425079345703125,0.7800006866455043,-0.9800014495849574,0.4099998474121094,0.12999916076660156,9.0,1.0,02-27,0.6598335612903938
01-14,0.0,0.9325189590454084,1.3584833145141584,0.49504089355468395,-0.18420028686523438,2.0722637176513636,0.425079345703125,0.7800006866455043,-0.9800014495849574,0.6499996185302699,-0.07999992370605824,7.0,3.0,02-28,0.4971986250443876
01-15,0.0,0.9325189590454084,1.3584833145141584,0.49504089355468395,-0.18420028686523438,2.0722637176513636,0.425079345703125,0.28000068664550426,-0.5200004577636683,0.8500003814697266,0.0400009155273402,8.0,2.0,02-29,0.5226534063165825
01-16,0.0,0.9325189590454084,1.3584833145141584,0.46050262451171164,0.7483177185058594,2.0722637176513636,0.425079345703125,0.28000068664550426,0.10999870300292969,0.8500003814697266,-0.15999984741211648,9.0,1.0,03-01,0.6433786912397882
01-17,0.0,0.9325189590454084,1.3584833145141584,0.46050262451171164,1.2433586120605469,2.0722637176513636,0.425079345703125,0.8800010681152308,-0.1500015258789098,0.8500003814697266,-0.8500003814697301,8.0,2.0,03-02,0.656564192338421
01-18,0.0,0.9325189590454084,0.8404178619384766,0.0230255126953125,1.335458755493164,2.0722637176513636,0.425079345703125,0.8800010681152308,-0.020000457763675428,0.5599994659423864,-1.4200000762939489,8.0,2.0,03-03,0.5117058320478948
01-19,0.0,0.9325189590454084,0.8404178619384766,0.0230255126953125,1.1742820739746094,2.0722637176513636,0.425079345703125,-0.07999992370605469,-0.7000007629394602,-0.07000160217284801,-1.4200000762939489,6.0,4.0,03-04,0.29068955508145305
01-20,0.0,0.9325189590454084,0.6447048187255877,0.0230255126953125,1.1742820739746094,2.178533554077152,0.425079345703125,-0.5200004577636754,-0.6900005340576207,-0.4099998474121058,-1.4200000762939489,6.0,4.0,03-05,0.21255848624489493
01-21,0.0,0.9325189590454084,0.20722675323486506,0.0230255126953125,1.8880615234375,0.7438888549804723,0.4782142639160156,-0.5200004577636754,-0.04000091552734375,-0.10000038146971946,-1.4200000762939489,6.0,4.0,03-06,0.19935763965953512
01-22,0.0,0.4374780654907209,-0.034537315368652344,0.0230255126953125,1.8880615234375,0.7438888549804723,-0.2763023376464844,-0.5200004577636754,-0.22999954223632812,0.2099990844726598,-1.4200000762939489,5.0,5.0,03-07,0.07469211925159785
01-23,0.0,0.4374780654907209,-0.034537315368652344,0.2763023376464808,1.8880615234375,0.9564285278320312,-0.2763023376464844,-0.5200004577636754,-0.12000083923339844,0.2099990844726598,-1.4200000762939489,5.0,5.0,03-08,0.12703895568847576
01-24,0.0,0.4374780654907209,-0.034537315368652344,-0.20722579956054688,2.544279098510742,0.9564285278320312,-0.2763023376464844,-0.5200004577636754,-0.12000083923339844,0.2099990844726598,1.1499996185302699,5.0,5.0,03-09,0.37637433138760606
01-25,0.0,-0.1381511688232422,-0.034537315368652344,-0.4144535064697301,2.4636917114257812,0.9564285278320312,-0.2763023376464844,-0.05999946594238281,0.25,0.2099990844726598,0.8500003814697195,5.0,5.0,03-10,0.3460614464499727
01-26,0.0,-0.1381511688232422,-0.04605007171630682,-0.33386421203613637,2.2910022735595703,0.9564285278320312,-0.2763023376464844,-0.15999984741210938,0.25,0.2099990844726598,0.14999961853026988,5.0,5.0,03-11,0.2639147151600229
01-27,0.0,-0.5756292343139631,-0.184201240539549,-0.33386421203613637,2.2910022735595703,0.9564285278320312,-0.2763023376464844,-0.15999984741210938,-0.1900005340576172,-0.5799999237060511,-1.620000839233402,2.0,8.0,03-12,-0.06114248795942827
01-28,0.0,-0.5756292343139631,0.2647886276245117,-0.33386421203613637,1.9110889434814453,0.9564285278320312,-0.2763023376464844,0.4099998474121129,-0.05999946594238281,-0.5799999237060511,-1.5200004577636719,4.0,6.0,03-13,0.017864574085582872
01-29,0.0,-0.5756292343139631,0.2647886276245117,0.23025131225586293,2.1183147430419886,0.9564285278320312,-0.2763023376464844,0.4099998474121129,-0.05999946594238281,-1.0799999237060618,-1.5200004577636719,5.0,5.0,03-14,0.04253196716308578
01-30,0.0,-0.5756292343139631,0.2647886276245117,0.23025131225586293,2.244953155517578,0.9564285278320312,-0.07439041137695312,0.4099998474121129,-0.05999946594238281,-1.0799999237060618,-1.5200004577636719,5.0,5.0,03-15,0.07240017977627856
01-31,0.0,-0.5756292343139631,0.2647886276245117,0.23025131225586293,2.0146999359130824,0.5844841003417969,-0.07439041137695312,0.010000228881835938,-0.05999946594238281,-1.0799999237060618,-4.840000152587891,5.0,5.0,03-16,-0.3205268166281965
02-01,0.0,-0.5756292343139631,0.2647886276245117,0.7943687438964844,2.0146999359130824,0.5844841003417969,-0.07439041137695312,0.010000228881835938,0.3099994659423828,-1.0799999237060618,-3.44000053405761,6.0,4.0,03-17,-0.10833445462313582
02-02,0.0,-0.5756292343139631,0.2647886276245117,0.7943687438964844,2.0146999359130824,0.5844841003417969,-0.07439041137695312,0.010000228881835938,0.07999992370605113,-0.9300003051757848,-3.54000091552734,6.0,4.0,03-18,-0.12469811873002534
02-03,0.0,-0.5756292343139631,-0.18420124053955256,0.41445350646972656,2.0146999359130824,1.1264610290527344,-0.07439041137695312,0.36000061035156605,1.7899990081787074,-0.9300003051757848,-2.800001144409176,5.0,5.0,03-19,0.10376288674094428
02-04,0.0,-0.5756292343139631,0.046051025390623224,0.41445350646972656,1.9686489105224538,1.1264610290527344,-0.07439041137695312,0.3900012969970703,1.7899990081787074,-0.9300003051757848,-2.9200000762939418,6.0,4.0,03-20,0.11232679540460663
02-05,0.0,-0.5756292343139631,0.046051025390623224,0.6331920623779332,1.9686489105224538,1.1264610290527344,-0.07439041137695312,0.3900012969970703,1.9499988555908203,-1.1400012969970703,-2.9200000762939418,6.0,4.0,03-21,0.127666560086337
02-06,0.0,-0.5756292343139631,0.1381511688232404,0.6331920623779332,1.9686489105224538,1.1264610290527344,-0.07439041137695312,0.2800006866455078,1.3600006103515625,-1.1300010681152415,-2.9200000762939418,6.0,4.0,03-22,0.07331215251575753
02-07,0.0,-0.5756292343139631,-0.034537315368652344,1.4390716552734446,1.6117591857910156,1.115835189819336,-0.1594066619873047,0.2800006866455078,1.3600006103515625,-1.1300010681152415,-3.2200012207031214,5.0,5.0,03-23,0.062462893399325765
02-08,0.0,-0.5756292343139631,-0.24176406860351385,1.508148193359375,1.5311717987060547,1.115835189819336,-0.1594066619873047,0.3800010681152344,1.3600006103515625,-1.1300010681152415,-3.2200012207031214,5.0,5.0,03-24,0.05166860060258345
