,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,0.0,0.0,0.42500000447034836,-0.026999995112419156,-0.010600000619888306,-0.007500000298023224,0.005599997937679277,0.010300002992153168,3.0,5.0,02-16,0.03598181903362274
01-03,0.0,0.0,0.0,0.0,0.0,0.3440000042319297,-0.026999995112419156,-0.013999998569488525,-0.007500000298023224,0.005599997937679277,0.010300002992153168,3.0,5.0,02-17,0.028309091925621022
01-04,0.0,0.0,0.0,0.0,0.0,0.3769999966025353,-0.026999995112419156,-0.013999998569488525,-0.007500000298023224,0.005599997937679277,0.010300002992153168,3.0,5.0,02-18,0.03130909123203971
01-05,0.0,0.0,0.0,3.5895001888275146,0.0,0.3769999966025353,-0.026999995112419156,-0.013999998569488525,-0.007500000298023224,0.0032999962568282942,-0.0015000030398368974,3.0,5.0,02-19,0.3563454713333737
01-06,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2702000066637993,-0.026999995112419156,-0.013999998569488525,-0.007500000298023224,0.0032999962568282942,-0.0015000030398368974,4.0,4.0,02-20,0.42300000989978964
01-07,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2702000066637993,-0.026999995112419156,-0.03370000422000885,-0.007500000298023224,0.0032999962568282942,-0.01434000581502913,4.0,4.0,02-21,0.42004182731563394
01-08,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2702000066637993,-0.026999995112419156,-0.03370000422000885,-0.007500000298023224,0.01479999721050261,-0.01434000581502913,4.0,5.0,02-22,0.42108728194778616
01-09,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.02719999849796295,-0.007500000298023224,0.01479999721050261,-0.029900006949901567,4.0,5.0,02-23,0.4188818261027336
01-10,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.017000004649162292,-0.007500000298023224,0.01479999721050261,-0.012850001454353333,4.0,5.0,02-24,0.4213590987704017
01-11,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.020999997854232788,-0.007500000298023224,0.01479999721050261,-0.01199999451637268,4.0,5.0,02-25,0.42107273638248444
01-12,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.020999997854232788,-0.007500000298023224,0.01479999721050261,-0.01199999451637268,4.0,5.0,02-26,0.42107273638248444
01-13,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.010999992489814758,-0.009999997913837433,0.01479999721050261,-0.01199999451637268,4.0,5.0,02-27,0.42175455526872113
01-14,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.007200002670288058,-0.009999997913837433,0.01479999721050261,-0.01199999451637268,4.0,5.0,02-28,0.4221000088886781
01-15,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.2549999877810478,-0.026999995112419156,-0.007200002670288058,-0.009999997913837433,0.01479999721050261,-0.014400005340576172,4.0,5.0,02-29,0.4218818260864778
01-16,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.13799998164176938,0.00900000333786008,-0.007200002670288058,-0.009999997913837433,0.01479999721050261,-0.014400005340576172,5.0,4.0,03-01,0.4145181890238415
01-17,0.0,0.0,0.0,3.5895001888275146,0.8399999141693115,0.13799998164176938,0.00900000333786008,0.00010000169277193938,-0.009999997913837433,0.01479999721050261,-0.014400005340576172,6.0,3.0,03-02,0.4151818257841197
01-18,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.13799998164176938,0.00900000333786008,0.0018000006675720215,-0.009999997913837433,0.01479999721050261,-0.014400005340576172,6.0,3.0,03-03,0.4017000096765431
01-19,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1430000066757202,0.00900000333786008,0.018899992108345032,-0.009999997913837433,0.01479999721050261,-0.014400005340576172,6.0,3.0,03-04,0.4037091020833362
01-20,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1503999829292297,-0.012199997901916532,0.0024500042200088223,-0.020000003278255463,0.02579999715089798,-0.014400005340576172,5.0,4.0,03-05,0.4010500095107339
01-21,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1503999829292297,-0.012199997901916532,0.0024500042200088223,-0.020000003278255463,0.02579999715089798,-0.014400005340576172,5.0,4.0,03-06,0.4010500095107339
01-22,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1503999829292297,-0.012199997901916532,0.00045000016689300537,-0.020000003278255463,0.02579999715089798,-0.003299996256828336,5.0,4.0,03-07,0.4018772826953368
01-23,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1503999829292297,-0.016300007700920133,-0.005169987678527832,-0.020000003278255463,0.02579999715089798,-0.007019996643066406,4.0,5.0,03-08,0.40065546469254926
01-24,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.18700000643730166,-0.016300007700920133,-0.007349997758865384,-0.020000003278255463,0.02579999715089798,-0.02589999884366992,4.0,5.0,03-09,0.40206819298592483
01-25,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.18700000643730166,-0.016300007700920133,-0.007400006055831937,-0.024599999189376817,0.02579999715089798,-0.02900000661611557,4.0,5.0,03-10,0.40136364644223993
01-26,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1689999997615814,-0.016300007700920133,-0.007400006055831937,-0.024599999189376817,0.02579999715089798,-0.03623000532388687,4.0,5.0,03-11,0.39907000958919525
01-27,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1689999997615814,-0.016300007700920133,-0.010499998927116394,-0.024599999189376817,0.02579999715089798,-0.03623000532388687,4.0,5.0,03-12,0.39878819205544214
01-28,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.1689999997615814,-0.016300007700920133,-0.0016999989748001099,-0.024599999189376817,0.02579999715089798,-0.02622999995946884,4.0,5.0,03-13,0.4004972834478725
01-29,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.00279998779296875,-0.016300007700920133,-0.0016999989748001099,-0.017599999904632554,0.010199993848800673,-0.03222999721765518,3.0,6.0,03-14,0.38355182991786435
01-30,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.008100003004074097,-0.004100009799003601,-0.022800005972385393,-0.0130000039935112,0.010199993848800673,-0.03222999721765518,4.0,5.0,03-15,0.3841518278826367
01-31,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.008100003004074097,-0.004100009799003601,-0.01430000364780426,-0.0130000039935112,0.010199993848800673,-0.03489999473094939,4.0,5.0,03-16,0.3846818283200264
02-01,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.008100003004074097,-0.004100009799003601,-0.006500005722045926,-0.0130000039935112,0.010199993848800673,-0.030199997127056108,4.0,5.0,03-17,0.38581819154999475
02-02,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.009000003337860107,0.01700000464916232,-0.006500005722045926,-0.00299999862909317,-0.006980001926422105,-0.030199997127056108,3.0,6.0,03-18,0.385529102249579
02-03,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.010100007057189941,0.01700000464916232,-0.01650000363588336,-0.00299999862909317,-0.006980001926422105,-0.030199997127056108,4.0,5.0,03-19,0.3863563761115074
02-04,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.010100007057189941,0.01700000464916232,-0.01934000849723816,-0.00299999862909317,-0.006980001926422105,-0.030199997127056108,4.0,5.0,03-20,0.3860981938513843
02-05,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,0.010100007057189941,0.01700000464916232,-0.01934000849723816,-0.00299999862909317,-0.006980001926422105,-0.030199997127056108,4.0,5.0,03-21,0.3860981938513843
02-06,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.008399993181228638,0.01700000464916232,-0.012840002775192233,-0.00299999862909317,0.004919998347759261,-0.030199997127056108,4.0,5.0,03-22,0.3860891034657305
02-07,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.1552999913692475,0.01700000464916232,-0.009800001978874179,-0.00299999862909317,0.004919998347759261,-0.030199997127056108,4.0,5.0,03-23,0.3730109218846668
02-08,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.1552999913692475,0.01700000464916232,-0.009800001978874179,-0.00299999862909317,0.004919998347759261,-0.030199997127056108,4.0,5.0,03-24,0.3730109218846668
02-09,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.1550000011920929,0.01700000464916232,-0.009800001978874179,0.006999999284744263,0.0030200034379959245,-0.030199997127056108,5.0,4.0,03-25,0.3737745576284148
02-10,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.1550000011920929,0.01700000464916232,-0.0124000012874603,0.006999999284744263,0.0030200034379959245,-0.030199997127056108,5.0,4.0,03-26,0.373538194054907
02-11,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.1550000011920929,0.01700000464916232,-0.025499999523162842,0.006999999284744263,0.0030200034379959245,-0.03310000151395798,5.0,4.0,03-27,0.37208364836194296
02-12,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.07400000095367426,0.01700000464916232,-0.025499999523162842,0.006999999284744263,0.0030200034379959245,-0.03310000151395798,5.0,4.0,03-28,0.37944728474725375
02-13,0.0,0.0,0.0,3.5895001888275146,0.6899999380111697,-0.10549998283386236,0.01700000464916232,-0.011999994516372653,0.006999999284744263,0.0030200034379959245,-0.03310000151395798,5.0,4.0,03-29,0.3778109232133085
02-14,0.0,0.0,0.0,0.0,0.6899999380111697,-0.06889998912811285,0.01639999449253085,-0.016399994492530795,0.006999999284744263,0.005320005118846907,-0.021299995481967912,4.0,5.0,03-30,0.055647268891334555
02-15,0.0,0.0,0.0,0.0,-0.14999997615814187,-0.06889998912811285,0.01700000464916232,-0.012999996542930575,0.006999999284744263,0.005320005118846907,-0.04029999673366545,3.0,6.0,03-31,-0.022079995410008844
