,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-16.058091452693642,-21.575342718132028,-0.8656854306451615,18.115614896059206,-7.203389015134603,-2.985986663359511,-10.330993541797847,-38.67595884424416,20.307351820540887,7.753258819004725,2.4226150441796346,-14.037343135770849,4.0,8.0,-5.261162518499445
01-03,-16.058091452693642,-26.26538533660313,-0.8656854306451615,15.855937427069328,-7.506047826727155,-2.985986663359511,-10.330993541797847,-31.353128492346894,20.307351820540887,1.5280161663717289,2.4226150441796346,-14.037343135770849,4.0,8.0,-5.774061785148551
01-04,-16.058091452693642,-26.26538533660313,-2.6702270055580155,9.260989527960053,-7.506047826727155,-2.985986663359511,3.0836982689788677,-22.839498481136356,17.233805699308466,3.1975129123831834,2.4226150441796346,-14.037343135770849,5.0,7.0,-4.763663204086538
01-05,-16.058091452693642,-26.26538533660313,-2.6702270055580155,9.260989527960053,-7.445517603834448,-2.053141005430722,0.5424963939729163,-22.839498481136356,17.233805699308466,3.1975129123831834,3.9735083165033327,-14.037343135770849,5.0,7.0,-4.763407597574935
01-06,-16.058091452693642,-23.803007853092584,3.604802383060271,9.260989527960053,-7.445517603834448,-2.985986663359511,9.81267035265702,-22.839498481136356,17.233805699308466,-0.6577052736851566,3.9735083165033327,-14.037343135770849,5.0,7.0,-3.661781182006951
01-07,-16.058091452693642,-23.803007853092584,6.275029388618286,12.085304586706485,-6.799035997092689,-4.770529221671228,9.81267035265702,-22.839498481136356,17.233805699308466,1.8131038740513534,3.9735083165033327,-14.037343135770849,6.0,6.0,-3.0928403269677
01-08,-16.058091452693642,-33.378931112447816,6.275029388618286,12.085304586706485,-9.874211759199998,-4.589369495352718,5.441575298639278,-11.728388460187897,16.685078611216937,-0.14224533396886296,5.762564679820361,-9.336766479053388,5.0,7.0,-3.2382042939919153
01-09,-16.058091452693642,-24.97409102486749,6.275029388618286,12.085304586706485,-5.408800786355459,-3.3212590896602814,6.606341902266885,-14.506170871156957,16.685078611216937,-0.14224533396886296,5.762564679820361,-9.336766479053388,5.0,7.0,-2.1944254890939274
01-10,-16.058091452693642,-21.848956227238926,3.172410986889381,12.085304586706485,-9.43396211325908,-1.751205568720834,11.181247879529398,-14.506170871156957,16.86879235456694,-0.14224533396886296,5.762564679820361,0.24139413950145402,6.0,6.0,-1.2024097450020235
01-11,-16.058091452693642,-21.848956227238926,0.0,9.099523524418734,-9.43396211325908,-1.6284630704876117,9.132844953555582,-14.506170871156957,16.86879235456694,-3.7837779761637327,6.629119114831547,-1.34887325510044,4.0,8.0,-2.2398345848939654
01-12,-16.058091452693642,-21.848956227238926,0.0,9.099523524418734,-14.323260922871015,-5.312498410542807,10.617065911758177,-6.481482480797268,16.86879235456694,-3.7837779761637327,6.181977008020067,-1.34887325510044,4.0,8.0,-2.1991318272203264
01-13,-16.058091452693642,-21.848956227238926,0.0,9.52829827670447,-16.232467023594126,-7.598977713089779,10.617065911758177,-1.8518451291821674,16.960348644287528,-5.974390847678873,6.181977008020067,-10.053263534365165,4.0,8.0,-3.027525173922703
01-14,-16.058091452693642,-20.23238788236022,0.0,9.52829827670447,-16.232467023594126,-7.598977713089779,14.519059119843442,-9.87654333100573,6.936420391092442,-7.194244604316546,6.181977008020067,-9.833890213647745,4.0,8.0,-4.155070618753947
