,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.9496774673461914,-0.4405517578125,0.14463138580322088,1.2303133010864258,0.4641246795654297,-2.6030254364013636,3.4457168579101562,-7.257297515869141,3.936431884765625,-2.233764648437493,4.893566131591797,0.9143390655517578,8.0,4.0,02-16,0.2870134512583422
01-03,0.3379802703857404,-0.2833528518676758,0.05113506317138672,1.0034923553466797,0.8186073303222656,-2.9622364044189453,6.427600860595703,-5.316230773925781,3.936431884765625,-1.8961601257324219,5.131465911865234,0.7592716217041016,8.0,4.0,02-17,0.6673337618509927
01-04,0.12823486328125,-0.09305763244628906,0.29772472381591975,1.0902414321899414,0.8274745941162109,-2.763616561889652,6.673603057861328,-5.435821533203125,3.3517684936523438,-2.0180778503417898,4.5129241943359375,1.2950668334960866,8.0,4.0,02-18,0.6555387179056802
01-05,-0.2186450958251953,-0.07553958892822266,0.22172164916992188,0.9427690505981463,1.1464767456054652,-2.024873733520508,6.354713439941406,-5.554168701171868,4.307647705078125,-2.3744239807128764,3.8372325897216797,1.2950668334960866,7.0,5.0,02-19,0.6548314094543467
01-06,-0.9553356170654297,0.12180805206298828,0.25550174713134943,1.0728912353515625,1.1909599304199183,-1.2771167755126918,5.936897277832031,-4.582275390625,4.734546661376953,-1.3767242431640625,4.458944320678718,1.0221290588378906,8.0,4.0,02-20,0.883518854777019
01-07,-0.6269779205322266,0.15469932556152344,0.29772472381591975,1.5788249969482422,1.2443313598632777,-1.979120254516598,5.22796630859375,-3.326148986816399,4.631687164306641,-0.7368545532226491,4.564157485961914,1.5184822082519602,8.0,4.0,02-21,1.0457309881846129
01-08,-0.6670188903808594,-0.008948326110839844,0.5268917083740217,1.5788249969482422,-0.1389446258544922,-1.296594619750973,3.7828369140625,-2.135173797607422,3.896770477294922,-1.2449836730957031,4.871440887451168,1.072662353515632,6.0,6.0,02-22,0.8531469504038497
01-09,-0.11354827880859197,0.15560531616210938,0.6118869781494141,1.4305200576782227,0.1357898712158203,-1.1349449157714808,4.119358062744141,-2.1335601806640767,4.073524475097663,-1.3289527893066406,4.60499382019044,0.442699432373054,8.0,4.0,02-23,0.9052809874216728
01-10,-0.051102638244628906,0.24661922454833984,-0.051075935363767755,1.0911235809326172,0.23326873779296875,-1.2776813507080078,3.600830078125007,-1.3884201049804688,3.8978805541992188,-0.9163475036621165,4.966604232788086,0.7812423706054759,7.0,5.0,02-24,0.9277451038360603
01-11,0.05376434326171875,0.014958381652832031,-0.39955806732177734,0.700749397277832,0.4987297058105469,-0.9814014434814489,3.9288368225097656,-0.9744529724121094,2.7842445373535156,-1.4039764404296875,4.4249267578125,1.3644752502441406,8.0,4.0,02-25,0.8342746893564857
01-12,0.2715768814086914,-0.15756702423095703,-0.5093412399291992,0.42315006256103516,0.9429512023925817,-0.9723987579345703,4.6668548583984375,0.13751983642578125,2.942005157470703,-2.0417518615722585,4.549947738647461,1.1402740478515625,8.0,4.0,02-26,0.9494350751241057
01-13,-0.44446849822998047,-0.6756038665771467,-0.484005928039549,0.902626037597658,0.5248699188232422,-1.7561931610107386,4.067134857177734,0.6601371765136719,1.8548049926757884,-0.8487396240234446,3.8134593963623047,-0.039209365844730115,6.0,6.0,02-27,0.6312343279520675
01-14,-0.2682762145996094,-0.7907257080078125,-0.6445150375366193,0.24200153350830078,1.0585880279541016,-1.3767509460449254,4.058036804199219,-0.6693382263183594,2.4211959838867188,-0.6228981018066406,3.1247997283935547,0.04690361022949219,6.0,6.0,02-28,0.5482517878214517
01-15,-0.27628231048583984,-0.9138622283935547,-0.016860008239746094,0.2681732177734375,1.0064716339111328,-2.0413093566894602,4.3670654296875,0.4131011962890554,2.8956336975097656,-1.610931396484375,2.8956336975097727,-0.8350448608398438,6.0,6.0,02-29,0.5126490592956537
