,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.004306841641664505,-0.006139516830444336,0.004385370761156082,0.0,0.0,0.0,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,3.0,8.0,02-16,0.007025766101750461
01-03,-0.0036915764212608337,-0.007893674075603485,0.004385370761156082,0.0,0.0,0.0,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,3.0,8.0,02-17,0.006922230463136326
01-04,-0.004306841641664505,-0.007016599178314209,0.004385370761156082,0.0,-0.0026312246918678284,0.0,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,3.0,8.0,02-18,0.006706829098137942
01-05,-0.004306841641664505,-0.007893674075603485,0.004385370761156082,0.0,-0.0026312246918678284,0.0,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,3.0,8.0,02-19,0.00662709501656619
01-06,-0.006152622401714339,-0.007893674075603485,0.004385370761156082,0.0,-0.0026312246918678284,0.003256455063819913,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,4.0,7.0,02-20,0.006755338135090743
01-07,-0.004306841641664505,-0.007016599178314209,0.0008770823478698869,0.0,-0.0026312246918678284,0.004884682595729856,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,4.0,7.0,02-21,0.006831955841996457
01-08,-0.004306841641664505,-0.0035082921385764937,0.0008770823478698869,0.0,-0.0026312246918678284,0.003256455063819913,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,4.0,7.0,02-22,0.007002872160889891
01-09,-0.004306841641664505,-0.007016591727733612,0.0008770823478698869,0.0,-0.0026312246918678284,0.003256455063819913,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,4.0,7.0,02-23,0.00668393583460288
01-10,-0.004306841641664505,-0.009647816419601454,0.0008770823478698869,0.0,-0.0026312246918678284,0.009769380092620877,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,4.0,7.0,02-24,0.007036817683414982
01-11,-0.0018457919359207223,-0.008770741522312164,0.0008770823478698869,0.0,-0.0026312246918678284,0.009769380092620877,0.0,0.0,0.026899948716163635,0.0,0.05644446611404419,4.0,7.0,02-25,0.007340283556417988
