,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.0400002002716064,-0.8399996757507324,-0.039999961853027344,0.20999956130981445,0.940000057220459,0.6400001049041752,-0.1999998092651376,-0.17000007629394487,0.75,-0.509999752044676,1.0699996948242205,-0.6999998092651376,5.0,7.0,02-16,0.009166677792867247
01-03,-1.2500002384185787,-1.2300000190734863,-0.10999965667724787,0.10999965667724698,0.9100000858306885,0.6300001144409189,-0.17999982833862216,-0.049999952316283736,0.760000228881835,-0.6300001144409171,1.170000076293948,-0.5599999427795392,5.0,7.0,02-17,-0.03583329916000314
01-04,-1.070000171661377,-1.179999828338623,0.07999992370605291,0.03999996185302823,0.880000114440918,0.5500001907348633,-0.019999980926513672,0.20000004768371626,0.8100004196166983,-0.6700000762939453,1.089999675750736,-0.5399999618530273,7.0,5.0,02-18,0.014166692892710553
01-05,-1.4300000667572021,-1.0299997329711914,-0.28999996185302734,0.23999977111816495,1.2099997997283936,0.7199997901916504,0.019999980926513672,0.3600001335144034,0.8000001907348624,-0.9100003242492685,0.9800000190734863,-0.4499998092651367,7.0,5.0,02-19,0.01833331584930405
01-06,-1.600000143051148,-1.2300000190734863,-0.010000228881835938,0.3399996757507333,1.0299999713897705,0.7399997711181641,0.20999956130981445,0.48000001907348544,0.8400001525878897,-0.48000001907348544,1.2300000190734863,-0.559999942779541,7.0,5.0,02-20,0.08249990145365393
01-07,-1.1400001049041752,-1.2300000190734863,0.029999732971191406,0.5999999046325684,1.2099997997283936,0.7699999809265137,0.15999984741210938,0.6200001239776607,0.8800001144409153,-0.5900001525878906,1.2100000381469735,-0.6700000762939426,8.0,4.0,02-21,0.15416659911473593
01-08,-1.410000085830689,-1.25,0.2599992752075213,0.49000024795532227,0.8699998855590829,0.7799999713897701,-0.1100001335144043,0.8499999046325684,0.7199997901916513,-0.630000114440918,1.4200000762939444,-0.6599998474121085,7.0,5.0,02-22,0.11083324750264507
01-09,-1.380000114440918,-1.7199997901916495,0.1499996185302752,0.6399998664855948,0.7199997901916495,0.6999998092651358,-0.36000013351440696,0.6800000667572021,0.7300000190734863,-0.7200002670288077,1.080000400543212,-0.6300001144409189,7.0,5.0,02-23,-0.009166737397512096
01-10,-0.8600001335144047,-1.7599997520446804,-0.4900007247924787,0.21000003814697266,0.5199999809265137,0.7299995422363272,-0.25,0.8900001049041748,0.7599997520446777,-0.6500000953674299,1.0600004196166983,-0.5,6.0,6.0,02-24,-0.028333405653635773
01-11,-1.0500001907348642,-2.0099997520446786,-0.32999992370605646,0.029999732971191406,0.34999990463256836,0.630000114440918,-0.330000400543212,0.869999885559082,0.6699995994567871,-0.8900003433227512,0.8000001907348633,-0.5099997520446786,6.0,6.0,02-25,-0.14750007788340258
01-12,-0.8400001525878915,-1.299999713897705,-0.2299995422363299,0.0,0.09000015258789062,0.5999999046325684,-0.31000041961669833,0.8599998950958256,0.619999885559082,-0.8599996566772443,0.919999599456788,-0.7399997711181641,5.0,7.0,02-26,-0.09916665156682321
01-13,-0.7599999904632582,-1.4200000762939453,-0.3199996948242205,0.05000019073486239,0.1700000762939453,0.5199999809265146,-0.5,0.6399998664855966,0.679999828338623,-0.48000001907348455,1.049999713897705,-0.8299999237060547,6.0,6.0,02-27,-0.10000000397364302
01-14,-0.269999980926515,-1.299999713897705,-0.22000026702880682,0.039999961853027344,0.12000036239624023,0.2199997901916495,-0.5,0.6399998664855966,0.36999988555908114,-0.510000228881835,1.0299997329711914,-1.1699995994567862,6.0,6.0,02-28,-0.1291666825612385
01-15,-0.42000007629394664,-1.2699999809265137,-0.1599998474121076,0.13000011444091708,0.38000011444091797,0.2199997901916495,-0.11999988555908114,0.9400000572204594,0.32999992370605735,-0.660000324249264,0.9600000381469727,-1.059999942779542,6.0,6.0,02-29,-0.06083333492279008
01-16,-0.45999979972839355,-1.450000286102295,-0.1300001144409162,0.40999984741211204,0.4099998474121094,0.07999992370605469,-0.09000015258789062,0.9400000572204585,0.32000017166137695,-0.5900001525878897,1.1300001144409189,-0.869999885559082,6.0,6.0,03-01,-0.025000035762786383
01-17,-0.11000013351440474,-1.130000114440918,-0.26000022888183594,0.5300002098083496,0.28999996185302734,0.11999988555908292,-0.25,0.9500000476837154,0.4900002479553214,-0.6799998283386257,0.9099998474121094,-1.119999885559082,6.0,6.0,03-02,-0.021666665871938367
01-18,-0.32000017166137695,-1.119999885559082,-0.10000038146972301,0.48000001907348633,0.33999967575073153,-0.019999980926513672,-0.13999986648559481,1.0299999713897696,0.440000057220459,-0.5500001907348633,0.7900004386901855,-1.309999942779541,5.0,7.0,03-03,-0.0400000214576719
01-19,-0.29000020027160645,-0.9700002670288095,0.11999988555908381,0.4100003242492676,0.07999992370605469,-0.1700000762939453,-0.1599998474121085,1.130000114440918,0.3500003814697257,-0.42999982833862394,0.5699996948242188,-1.1599998474121094,6.0,6.0,03-04,-0.043333311875661217
01-20,-0.3100001811981201,-0.5799999237060556,0.399999618530277,0.15000009536743164,-0.11999988555908203,-0.1700000762939453,-0.34999990463256747,1.130000114440918,0.6099996566772461,-0.6500000953674325,0.5199999809265137,-1.3400001525878906,5.0,7.0,03-05,-0.05916672945022561
01-21,-0.6400001049041748,-0.05000019073486417,0.5200004577636719,-0.1399998664855957,0.0,-0.1399998664855957,-0.4099998474121094,0.9600000381469731,0.4600000381469753,-0.47000026702881037,0.559999942779541,-1.1500000953674325,4.0,8.0,03-06,-0.04166664679845178
01-22,-0.5800001621246333,-0.019999980926508343,0.2400007247924787,-0.34999990463256836,0.029999732971191406,-0.09000015258789062,-0.5300002098083523,0.9300003051757821,0.4200000762939444,-0.15000009536743253,0.5699996948242188,-1.1500000953674325,5.0,7.0,03-07,-0.05666667222976688
01-23,-0.8199999332427996,-0.01999998092651456,-0.09999942779541016,-0.7200002670288086,0.08999967575073242,-0.009999752044677734,-0.619999885559082,0.7899999618530282,0.48999977111816406,-0.6099996566772461,0.6099996566772461,-1.1300001144409189,4.0,8.0,03-08,-0.17083332935969056
01-24,-0.7100000381469727,0.07999992370605558,-0.18999958038330078,-0.48000001907348633,0.1699995994567871,0.13999986648559481,-0.609999656677247,1.0899999141693129,0.019999980926511896,-0.5299997329711905,0.5399999618530265,-1.2999997138977042,6.0,6.0,03-09,-0.14833329121271774
01-25,-0.9700000286102295,-0.01999998092651456,-0.24000072479248047,-0.559999942779541,0.3299999237060547,0.09000015258788974,-0.75,0.9600002765655531,-0.359999656677247,-0.44999980926513583,0.27999973297118874,-1.3399996757507324,4.0,8.0,03-10,-0.2524999777475995
01-26,-0.9200000762939453,0.1700000762939453,-0.4400005340576172,-0.5500001907348633,0.3000001907348633,-0.19000005722045898,-0.8499999046325684,0.8600001335144043,-0.40999984741211026,-0.6399998664855948,0.23999977111816406,-2.1199998855590825,4.0,8.0,03-11,-0.3791666825612386
01-27,-0.7100000381469731,0.3899998664855957,-0.3100004196166992,-0.48000001907348633,0.2800002098083496,-0.21999979019165217,-0.48999977111816406,0.8600001335144043,-0.31999969482421786,-0.5500001907348633,0.36999988555908203,-1.5999999046325684,4.0,8.0,03-12,-0.23166664441426607
