,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-9.52381222696814,-11.999996503194172,42.59259232005192,-9.83606573395495,8.262709402996801,21.269178230688095,19.417902397111302,-85.1175011441602,11.416485831464092,-18.064519410492256,38.711337231337886,-1.916165749730744,6.0,6.0,0.43434538709580295
01-03,-2.8037355064628486,-10.526313725600916,47.457626148349156,-10.743800920098607,13.983048236222714,19.177126713654303,21.216041237550893,-85.44027866246476,11.974783888577512,-23.870964460475484,39.38144092719955,-1.976047357065927,6.0,6.0,1.4857438766154656
01-04,6.382972895154462,-13.513508506549263,53.96039525079628,-14.049582787203718,13.559319807927542,13.581986629096853,20.07874028887569,-84.6354133035575,9.663862650378029,-25.806451612903224,32.83505160213846,-5.786612873074055,7.0,5.0,0.5225633367566308
01-05,2.222220102945964,-6.6666682561238755,52.970297175778484,-12.396691853651172,10.736846923828143,11.844942828834814,20.426824101577285,-72.62387713762296,13.025204090317303,-22.58064516129032,23.65535155722818,-6.299206503700614,7.0,5.0,1.1928831556767696
01-06,-5.2631644991298865,-1.3333320617675781,52.475248138269556,-18.18181012108509,13.469394110282721,16.46258576662471,17.29289121067162,-67.99349797113737,15.336133342586924,-8.433736600971399,26.12430920057134,-8.803472722725559,6.0,6.0,2.5959623160158323
01-07,-10.04784912780434,-1.3333320617675781,51.48514711252673,-4.545450029951333,21.481487106720852,12.251882299223297,12.81122636558475,-62.22582154856093,12.660939708953336,-7.355866439483619,24.910116070054443,-8.974366886562962,6.0,6.0,3.426509380744387
01-08,-14.354076701199336,3.8461503192516595,61.41732150426733,-5.343515687761191,15.430862048997094,13.004788933461132,2.2181972283090254,-65.56016968596255,12.095029301077417,-9.979636819055136,32.806692701856775,-9.34066401120564,7.0,5.0,3.0200815943363817
01-09,-14.903855411964395,6.329115261120019,63.70370363829394,-7.812502037268178,12.024046736541612,11.019847327247692,-21.20431738123689,-54.227634302346495,15.909091983855305,-8.817630414098769,30.065056363391733,-11.355315663303834,6.0,6.0,1.7274671750193118
01-10,-16.12902729617959,1.3333320617675781,62.595417485510154,-2.343747817212667,12.024046736541612,11.579649202319075,-36.12188771940058,-57.689108349375175,5.112474278097819,-4.408811384707573,27.184016064271265,-13.904405252963434,6.0,6.0,-0.897337665944293
01-11,-16.12902729617959,-1.3698616715036243,61.13537115630724,-1.5624985448084445,19.544596082280577,10.365858149864101,-36.499998304578995,-66.4035083169605,5.9304732830001194,-11.022043751136193,30.222845431094413,-10.725366023532663,5.0,7.0,-1.3760966505127972
01-12,-25.999999046325684,-1.4285700905079517,61.13537115630724,0.0,23.591544300146122,12.034577288613871,-33.75067268559555,-65.21360350280331,8.384462496690405,-5.394988737455812,30.412841251367734,-16.04938409309694,5.0,7.0,-1.0232018052216565
01-13,-47.09301914570466,5.714280362031807,61.13537115630724,-8.474578668385705,15.891467423888974,11.327081269542493,-36.626374471156794,-56.93112101960506,8.48485002614031,-5.048540726448739,26.997114653402733,-21.911270139291137,6.0,6.0,-3.8778949399398783
01-14,-47.09301914570466,-5.714288876981205,59.99999844509619,-9.565218833533967,17.333330426897287,9.205300054353119,-21.650019880325154,-53.70530732632217,17.85714260105417,-2.075468819096417,27.55492029897096,-26.53632140636595,5.0,7.0,-2.8657460384964835
01-15,-48.25580871511379,-11.594200519873441,47.307690191550996,-4.999995032946466,20.229007425192073,9.337753413680288,-5.885438210576293,-53.94045364499833,18.92393408939356,-2.4621198027368134,24.751536914148094,-30.865922978276988,5.0,7.0,-3.1211680725464253
01-16,-31.052633725375077,-2.898547970379774,50.0,-2.439022026387315,19.465649341218512,10.000001263144757,-3.557308900674536,-46.497890730012315,14.313723994236366,-2.8517111093415553,24.32560148507813,-25.83799470524269,5.0,7.0,0.24748890968870865
01-17,-35.519123547267114,2.7397315080268676,53.55932262292438,-1.6129016752173695,20.610686467178876,11.184643406900893,-2.950000762939453,-44.30591018861107,16.12283677005108,-5.893540644005043,22.858495577577777,-27.958569906159013,6.0,6.0,0.7363058023717333
01-18,-50.30303363081951,5.333336194356283,62.15469480445066,-4.838705025652108,19.083970299231726,8.79567127349013,-4.147696893462666,-46.62162488703309,15.355086822073009,-5.893540644005043,21.608976207832136,-32.86494847962655,6.0,6.0,-1.0281511632637519
01-19,-92.24806917909342,10.126587435748647,64.08839797199306,-3.225803350434739,19.15708889258952,8.918923185723248,-10.048108819392935,-42.76316470551698,18.042222622810204,-11.881188118811881,23.927762204684946,-29.528158394703418,6.0,6.0,-3.7861258545336454
01-20,-77.14286152197397,0.0,64.08839797199306,-0.8196713302251629,19.465649341218512,12.353709740356898,-15.674163118605158,-26.151318627298743,20.582521308972996,-13.267328243444476,21.77344630787262,-34.86529803569538,5.0,7.0,-2.4714096839024
01-21,-82.14285683875181,11.392408978994343,73.46938924459751,-4.0983566511258145,17.578127255546928,13.256115988890002,-14.325849739925504,-25.16447745077831,22.753342035900314,-10.63829771535054,21.077282995768364,-28.355959004375535,6.0,6.0,-0.4332609083841715
01-22,-69.28570899428145,2.777783296726149,68.96551601290464,-3.2520293685164203,16.103387392255446,13.642212939273959,-19.887646445269915,-19.967790072480785,19.199996948242188,-10.211944279843271,18.124390457065783,-27.2247401812902,6.0,6.0,-0.9180476912678225
01-23,-73.88058699008565,-1.4084577986089954,68.96551601290464,-3.2520293685164203,15.705773473919729,12.355212876493468,-13.712369070461031,-13.639844497741386,18.87549770118526,-8.224301917530653,19.53352999352073,-25.79185533379389,5.0,7.0,-0.3728262432261822
01-24,-59.5744718626756,1.3698616715036243,66.99266568516718,-3.3333300219643105,16.103387392255446,13.734469501039968,-21.046830716867785,-7.230658029765396,17.142860256895727,-7.850468715774691,15.69484720218923,-30.134815972994016,6.0,6.0,0.1556263657507809
01-25,-69.17292687209444,9.999997764825867,61.42433244918005,-1.6666650109821552,19.001924005886075,14.742336856681963,-14.248569091746925,-11.169413448838018,17.75510359783562,-11.028040235287662,9.07780699976804,-32.5769887200578,6.0,6.0,-0.655091808735782
01-26,-66.66666372322747,13.924052065485734,61.72106808131191,-4.999995032946466,19.465649341218512,16.485622917531717,-18.436658851506664,-13.824878446814726,19.591833620655294,-13.257575949142572,1.4236666842388856,-45.164152137025816,6.0,6.0,-2.478169285851805
01-27,-71.75573269308538,12.658230522240038,61.12759681704819,-10.743800920098607,23.963970357397617,16.110399494050665,-15.090330492241893,-11.213510239180339,14.730294971857125,-7.821230359903512,1.1324448463035113,-50.64457760173734,6.0,6.0,-3.12885377477916
01-28,-67.9389422732175,12.658230522240038,59.868419607920664,-8.130083113103058,24.23698994370156,16.248427020669308,-8.873539337799354,-8.90936871450272,16.87763658748459,-6.0439618021636194,-0.6516248410781705,-55.51367138467314,5.0,7.0,-2.1809573153767836
01-29,-67.9389422732175,12.820508705793602,52.727274461226024,-17.699119338732352,26.655048675605492,13.613545669663363,-21.785337130463862,-14.806208198198664,15.991470695073595,-13.976382668208052,14.990233219941704,-54.09991433110082,6.0,6.0,-4.45898520938479
01-30,-67.9389422732175,1.2820501064172196,48.81889874644392,-19.8198221418902,25.087101703887104,12.609782485070731,-9.026372964628276,-11.553177231364444,11.26126087424954,-12.355215482899085,10.546874490682956,-57.11593417256077,6.0,6.0,-5.683624654984068
01-31,-58.27338635430974,-4.054050135560291,51.31086460039619,-13.274334229301918,25.261321726197117,12.388817265698151,-6.143853716843146,-9.706546016221075,5.417602150145971,-11.583011753612677,11.083986857920591,-78.72340339187474,5.0,7.0,-6.357999416447131
02-01,-48.64864995481323,-6.94443754575898,67.5000011920929,-12.38937931731477,24.226808980432907,16.05476025327503,-2.1143707128763642,-16.36073610872099,7.449208338360036,-12.355215482899085,8.229424844467841,-78.415019166964,5.0,7.0,-4.480633723393225
02-02,-40.12738689069913,-4.054050135560291,67.25000143051147,-10.619469493340473,27.479675301037382,17.643464821234943,-2.706618905207743,-9.339773271227278,1.3543983847727616,-13.29364433610573,7.870834964491732,-103.44828681080867,5.0,7.0,-5.165904578408417
02-03,-18.749996740371007,-2.7027000903735274,67.5000011920929,-24.074072234424595,27.479675301037382,21.018736350257107,-6.50406800705874,-6.763286211174821,3.0172445686193985,-5.500980654464161,8.745627086371053,-95.09691809884542,5.0,7.0,-2.635894794861203
02-04,-23.74999934807421,-1.3513500451867637,65.70680718134248,-45.544558662419824,31.38461479773888,22.64808231151168,-4.065042504411729,-4.10628201086143,4.741380798689045,-6.5476173356187495,8.14888833135289,-148.23194923539126,5.0,7.0,-8.413918810110747
02-05,-23.74999934807421,3.8461503192516595,62.8099178710417,-65.16854519525612,36.76680656619114,24.6225315922629,-5.978001000103806,-1.601279527063048,5.150209849286724,-8.484850026140323,4.807206397001082,-142.57424614036748,6.0,6.0,-9.129508220164148
02-06,-20.23809785678011,-4.166662527455388,60.17699167947317,-90.90909935366889,34.4778244109526,23.054584620544492,-0.5459546939607857,7.820802786669632,2.6431733978145835,-2.626261084970802,8.162239443226083,-140.59405680162325,6.0,6.0,-10.228709664981556
02-07,-22.90503321610422,-2.7397233430072485,67.23300821988583,-73.49398628619178,33.476391307183285,24.309394914207786,-6.410851090700806,6.687162722931434,3.076926430503091,-7.272724190143638,6.10916051728976,-155.48688133969577,6.0,6.0,-10.618096279486856
