,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-17.059887848073277,58.1973051594439,-14.465782461937998,-20.740738255169862,-3.535912293573644,-24.999993756496885,-16.870749722615397,-3.3898375288438505,7.317068049042215,-25.0,2.0,8.0,-5.504411696202254
01-03,0.0,-17.059887848073277,58.1973051594439,-14.465782461937998,-20.592592016986703,-3.535912293573644,-14.012732614711412,-8.73417770226515,-1.6949238156632322,7.317068049042215,-25.0,2.0,8.0,-3.5983305040659372
01-04,0.0,-17.059887848073277,58.1973051594439,-14.465782461937998,-17.29106682694075,1.3684222744442343,-14.012732614711412,-8.60758951202735,-0.8474669590729236,1.6260115324492126,-6.521736137526658,3.0,7.0,-1.6013203085411838
01-05,0.0,-17.059887848073277,58.1973051594439,-0.36014657447528775,-17.29106682694075,-0.6444664225458563,-13.375790568267625,-17.721516695222824,0.0,-8.753313532048681,12.50000498922796,2.0,8.0,-0.40989802899113154
01-06,0.0,-17.059887848073277,58.1973051594439,-0.36014657447528775,-18.83211790616628,1.3684222744442343,-11.082796163890748,-12.151892851071915,-2.15440300167717,-11.413042289900325,1.010103062602605,3.0,7.0,-1.1344051035240237
01-07,0.0,-17.059887848073277,58.1973051594439,-1.3947847925386256,-23.33333002196431,0.8421069803000258,-9.171970024559391,-9.228825921132882,-4.595583602850768,-15.168536315887199,3.6458329291134697,3.0,7.0,-1.569788496195369
01-08,0.0,-17.059887848073277,58.1973051594439,-1.9512234834742852,-23.33333002196431,0.8421069803000258,-9.171970024559391,-12.646675409199087,-5.370367242966294,-14.887641060835413,6.77083147392196,3.0,7.0,-1.6918955888551073
01-09,0.0,-17.059887848073277,48.46894285140066,-1.9512234834742852,-23.33333002196431,-5.7239057914777804,-5.672010408102939,-12.646675409199087,-9.293682727349072,-9.55055587190294,6.249997089616994,2.0,8.0,-2.7738483291387306
01-10,0.0,-17.059887848073277,48.46894285140066,-1.9512234834742852,-27.819548333046363,-1.290318776533268,-0.5868539017396441,-17.91045198599121,-9.47955394453134,-15.449439942377696,13.020836324560324,2.0,8.0,-2.7324999127096454
01-11,0.0,-17.059887848073277,48.46894285140066,-1.9512234834742852,-23.909770581281506,-1.290318776533268,-0.23391511183364797,-17.91045198599121,-6.319710015641235,-6.469007913601232,6.249997089616994,2.0,8.0,-1.856849615946546
01-12,0.0,-11.070778514548401,48.46894285140066,2.903597690662706,-17.714287855187276,-1.290318776533268,10.554951005502437,-13.025782527314616,-11.90018682222601,-6.469007913601232,-1.6949186788074773,3.0,7.0,-0.11252632187749781
01-13,0.0,-11.070778514548401,50.58725074683318,7.265664153772714,-9.866666793823242,-10.50328428775219,13.275303014049172,-12.328763208552237,-5.162525796388711,-14.825580614629578,-13.924049916624218,3.0,7.0,-0.5957664743330469
01-14,0.0,-10.34482422903934,50.58725074683318,4.729341590450269,-15.244759605288857,-17.724289382514772,8.596306120625009,-12.328763208552237,-7.0038936676326715,-14.825580614629578,1.6304380836102534,4.0,6.0,-1.084434015103523
