,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,17.722683602660936,2.9731678647301156,-1.697532919608406,5.385100788802706,0.9467446806133355,0.2787453713567814,-0.7362015021482832,2.158731127542163,-1.231192247501852,-7.492795052436628,3.028118815856915,3.4076781775673104,8.0,4.0,2.0619373922862576
01-03,14.767546455109182,2.8322464078268608,-2.4883410345379176,4.9685533384060125,0.2366805271099142,-0.8362361140703319,-1.3003157695455114,1.4705913737964929,-2.2805799420611805,-8.069163374096956,2.379235230200961,3.159846929948542,7.0,5.0,1.2366720023405058
01-04,14.533814075867324,3.602305445803232,-3.3593698835466674,4.402514629304396,-0.8284100601018193,-1.3212766263645441,-2.5062692434118046,1.0911429854070689,-2.7643373265286675,-7.853026971187411,2.235035821919094,1.2468874783283095,6.0,6.0,0.7065841937907096
01-05,11.37440556938559,3.450751599581301,-2.8906240628566593,2.201254315676272,-1.9138852590577886,-1.2508641223555501,-5.412371957551663,0.449292010057775,-2.6261237555522654,-7.636883697425525,1.6511162302357336,0.9999990463256836,6.0,6.0,-0.1336611736280914
01-06,5.550152123582814,2.803733960651301,-1.9531249708961695,2.012576745293017,-1.7313487494169988,-1.3212766263645441,-4.891997896826979,0.12836652238312807,-2.418793513037583,-7.050363473421919,0.9399863713526567,0.8140270022994965,6.0,6.0,-0.5931718753668148
01-07,6.5238563430389584,1.9410460607559663,-2.3437514551914873,-1.1538419685891592,-1.4889814554375675,-1.9512175994974703,-5.717913796807748,-0.12837264352767927,-3.319498900207744,-6.973402427529664,2.282458188661002,1.0618368136389364,4.0,8.0,-0.9389819033911381
01-08,2.6290208931739953,1.1577413237717602,-0.8553702432989361,-0.7019761081153963,-1.8551848610158226,-1.4634148610765714,-5.717913796807748,0.5739805538025461,-2.680408141140638,-6.973402427529664,2.3537864950470158,0.7495308172613389,5.0,7.0,-1.06530086299401
01-09,-1.5794654057705297,0.0,-1.1700512930990596,0.2528442643782984,-1.795339083459028,-1.1846694897197898,-5.5028454299065155,1.331642562150899,-2.821747109063904,-7.797833169383972,1.640517035670139,1.6239864157703061,4.0,8.0,-1.4169133918694297
01-10,-9.469311483836906,-2.1641788814083176,-2.287065890169213,1.378447785106344,-1.6158017507886435,-3.4410096839467013,-4.89334851633939,0.8917158684665527,-2.5359827394755277,-7.364617155202676,1.2125539995956747,1.620954910946812,4.0,8.0,-2.388970294754333
01-11,-11.440687768934401,-2.3168868706346504,-0.8613911725458907,2.694237494661713,-0.23823112565596352,-3.009099414441286,-4.434722512944297,1.0178107168846042,-2.1247392919827823,-7.436820971855385,0.07137921997474567,1.7456400914195696,4.0,8.0,-2.194459300504502
01-12,-2.036857707080287,-1.1135828920318345,1.487866305769035,2.9448638214626075,0.7092248149663288,-2.6499310348496676,-4.499995708465576,0.25429092827132127,-2.6730595309778775,-7.194765658798345,2.357142312186105,2.172565910673101,6.0,6.0,-0.8535198699062573
01-13,-0.4775567283634291,-0.6681525672140503,2.5841884538049738,2.878592601062625,0.414947235865319,-2.4356324582956503,-2.6022310543786045,1.0807318980726441,-2.1203859236886906,-5.5595630532946245,2.357142312186105,2.4148569588878375,6.0,6.0,-0.17775519377962878
01-14,0.0,-0.8166269821575247,3.855230288336052,3.24189793069335,0.9433953776482812,-2.3562033638068636,-2.72614963256948,1.1443061458339536,-1.2881327483613612,-5.865310943740468,2.357142312186105,1.1228964283559786,6.0,6.0,-0.032296265631831335
01-15,2.101244139616807,0.43827222630713125,2.9897727246295056,3.7220865399053142,1.768863521550546,-2.4948000628116587,-2.973986788951297,1.1457689671464246,-1.7711121921152306,-5.788713519541339,2.918148340542228,1.6219601855565764,8.0,4.0,0.3064586734862505
01-16,1.9886366458553146,-1.6164604891880021,3.06604037056243,4.668305877316483,1.6509362878045295,-2.07899674785831,-3.1094527510716676,1.0217104021144043,-1.4945605255678454,-6.2499974009603,2.775803117639369,1.4971972209110607,7.0,5.0,0.17659683396312223
01-17,2.6692062829410843,-1.6164604891880021,3.1421809341244016,4.785268808623182,0.8844317607752415,-2.7045793429911487,-2.7898374851376606,2.208204246347608,-1.9099572707063774,-5.959300008608019,2.56228188942633,0.9410264898304752,7.0,5.0,0.18437215128642626
01-18,-0.5911371612976211,-0.36284609364125614,3.8221511917507454,5.644166660620878,0.35588001849879225,-2.77008714562561,-3.237860990384256,2.5157209316162716,-1.7053206180225975,-5.305229143122254,3.205126855326179,-0.8338685899200365,5.0,7.0,0.06139132631660302
01-19,3.6792483895050485,0.28839194075750346,4.602185387150136,5.276071760309688,0.7665045270292251,-2.841301723777869,-3.4956270283437716,2.576994665897493,-1.0231962739826974,-5.600003329190341,1.994300097805958,1.1942148473006273,8.0,4.0,0.6181486050384165
01-20,3.4971634047940237,-0.2162922366165698,2.4180926156148015,6.025567293998205,1.5789500101781029,-2.274293028949766,-3.1094527510716676,3.834064503630185,-2.143847986161038,-6.080585691587167,2.064056639972623,2.2388038456798487,7.0,5.0,0.6526855516234651
01-21,0.9451831965108305,-0.2162922366165698,0.7794262047106904,5.103276097420771,1.1163368328286294,-2.3448286385371766,-4.042286204068986,3.519795545651569,-2.8334474073668994,-5.92538011281402,2.064056639972623,2.1170561034861697,7.0,5.0,0.023574668431469197
01-22,3.4026432823559585,1.0791339758765675,-1.7174028582980856,3.461065568939196,1.5789500101781029,-3.3103416705953665,-2.238809776490269,4.522921746233282,-3.1185017307569405,-5.616334806323076,2.133713952926339,1.6811924848561361,7.0,5.0,0.15485251490848698
01-23,6.404398384215725,1.5736718208740352,-1.0861085020913877,1.946016407268843,1.4619882714792827,-4.275861279717807,-2.2332424581936072,5.098285272562814,-3.4770514326900583,-6.0672507689347706,2.062588571821204,1.432126711610918,7.0,5.0,0.23663008318376588
