,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-0.0062656328082084795,0.0,0.06394529342651367,-0.1581815481185913,0.142822265625,0.20740103721618786,0.0,-0.064541816711424,0.0,0.0,3.0,7.0,02-16,0.01683450896631616
01-03,0.0,-0.0005695968866348405,0.0,0.06394529342651367,-0.1581815481185913,0.142822265625,0.20740103721618786,0.0,-0.064541816711424,0.0,0.0,3.0,7.0,02-17,0.017352330413731944
01-04,0.0,-0.0005695968866348405,0.0,0.06394529342651367,-0.1581815481185913,0.142822265625,0.20740103721618786,0.0,-0.064541816711424,0.0,0.0,3.0,7.0,02-18,0.017352330413731944
01-05,0.0,-0.0005695968866348405,0.0,0.06394529342651367,-0.1581815481185913,0.142822265625,0.20740103721618786,0.0,-0.064541816711424,0.0,0.0,3.0,7.0,02-19,0.017352330413731944
01-06,0.0,-0.0005695968866348405,0.0,0.06394529342651367,-0.1581815481185913,0.142822265625,0.20740103721618786,0.0,-0.064541816711424,0.0,-0.5550775527954102,3.0,7.0,02-20,-0.03310926529494171
01-07,0.0,-0.0005695968866348405,0.0,0.13055509328842163,-0.1581815481185913,0.142822265625,0.20740103721618786,0.0,0.06454229354858487,0.0,-0.5550775527954102,4.0,6.0,02-21,-0.015318909829312903
01-08,0.0,-0.0005695968866348405,0.0,0.13055509328842163,0.0,0.142822265625,0.20740103721618786,0.0,0.06454229354858487,0.0,-0.5550775527954102,4.0,6.0,02-22,-0.0009387690912591476
01-09,0.0,-0.0005695968866348405,-0.017548829317092896,0.09058916568756104,0.0,0.142822265625,0.20740103721618786,0.0,0.06454229354858487,0.0,-0.5550775527954102,4.0,6.0,02-23,-0.006167383356527647
01-10,0.0,-0.0005695968866348405,-0.017548829317092896,0.09058916568756104,0.0,0.142822265625,0.20740103721618786,0.0,0.06454229354858487,0.0,-0.5550775527954102,4.0,6.0,02-24,-0.006167383356527647
01-11,0.0,-0.0005695968866348405,-0.017548829317092896,0.09058916568756104,0.0,0.142822265625,-0.01885414123535023,0.0,0.06454229354858487,0.0,-0.5550775527954102,3.0,7.0,02-25,-0.02673603594303111
01-12,0.0,-0.0005695968866348405,-0.017548829317092896,0.09058916568756104,0.0,0.142822265625,-0.01885414123535023,0.0,0.06454229354858487,0.0,-0.5550775527954102,3.0,7.0,02-26,-0.02673603594303111
01-13,0.0,-0.0005695968866348405,-0.017548829317092896,0.12256169319152832,0.0,0.142822265625,-0.01885414123535023,0.0,0.03227186203003196,0.0,-0.5550775527954102,3.0,7.0,02-27,-0.026763118126175257
01-14,0.0,-0.0062656328082084795,-0.017548829317092896,0.12256169319152832,0.0,0.142822265625,-0.01885414123535023,0.0,0.07745122909545987,0.0,-1.178322076797485,3.0,7.0,02-28,-0.07983231747692257
01-15,0.0,-0.0062656328082084795,-0.017548829317092896,0.12256169319152832,0.0,0.142822265625,-0.19482994079589844,0.0,-0.0387248992919913,0.0,-1.178322076797485,2.0,8.0,02-29,-0.10639158365401342
01-16,0.0,-0.00398721173405648,-0.017548829317092896,0.12256169319152832,0.0,0.142822265625,0.006285905838011807,0.0,-0.0387248992919913,0.0,-1.178322076797485,3.0,7.0,03-01,-0.08790119568055323
01-17,0.0,-0.00398721173405648,-0.017548829317092896,0.12256169319152832,0.0,0.142822265625,-0.20111560821533203,0.0,-0.0387248992919913,0.0,-1.178322076797485,2.0,8.0,03-02,-0.10675587877631175
01-18,0.0,0.0005695819854736189,-0.017548829317092896,0.12256169319152832,0.0,0.142822265625,-0.20111560821533203,0.0,-0.0387248992919913,0.0,-0.8082706928253169,3.0,7.0,03-03,-0.07270058989524829
01-19,0.0,0.0005695819854736189,-0.017548829317092896,0.10923969745635986,0.0,0.142822265625,-0.20111560821533203,0.0,-0.0387248992919913,0.0,-0.8082706928253169,3.0,7.0,03-04,-0.07391168041662724
01-20,0.0,0.0005695819854736189,-0.017548829317092896,0.10923969745635986,0.0228540897369387,0.142822265625,-0.20111560821533203,0.0,-0.0387248992919913,0.0,-0.8082706928253169,4.0,6.0,03-05,-0.07183403589508736
01-21,0.0,0.0005695819854736189,-0.017548829317092896,0.6457305550575259,0.0228540897369387,0.142822265625,-0.20111560821533203,0.0,-0.0387248992919913,0.0,-0.8082706928253169,4.0,6.0,03-06,-0.023062139749526814
01-22,0.0,0.0005695819854736189,-0.017548829317092896,0.6457305550575259,0.0228540897369387,0.142822265625,-0.20111560821533203,0.0,0.12908506393432706,1.7413969039916992,-0.8082706928253169,6.0,4.0,03-07,0.1505021209066566
01-23,0.0,0.002848014235496507,-0.017548829317092896,0.6457305550575259,0.0228540897369387,0.08693480491638184,-0.23254084587097168,0.0,0.3384895324707031,1.7413969039916992,-0.8082706928253169,6.0,4.0,03-08,0.16180850294503307
01-24,0.0,0.002848014235496507,0.011167407035827637,0.6457305550575259,0.25139641761779785,-0.0683059692382808,-0.06913375854492188,0.0,0.3384895324707031,1.7413969039916992,-0.8082706928253169,6.0,4.0,03-09,0.1859380372545937
01-25,0.0,0.002848014235496507,0.011167407035827637,0.6457305550575259,0.25139641761779785,-0.0683059692382808,-0.06913375854492188,0.0,0.3384895324707031,1.7413969039916992,-0.6719355583190918,6.0,4.0,03-10,0.19833214039152328
01-26,0.0,0.002848014235496507,0.011167407035827637,0.6430662274360659,0.25139641761779785,-0.04452157020568803,-0.06913375854492188,0.0,0.5011763572692871,1.7413969039916992,-0.6719355583190918,6.0,4.0,03-11,0.21504185822877026
01-27,0.0,0.002848014235496507,0.011167407035827637,0.6430662274360659,0.25139641761779785,-0.04452157020568803,-0.06913375854492188,0.0,0.5011763572692871,1.7413969039916992,-0.6719355583190918,6.0,4.0,03-12,0.21504185822877026
01-28,0.0,0.05167105048894882,0.011167407035827637,0.6430662274360659,0.25139641761779785,-0.04452157020568803,-0.06913375854492188,0.0,0.5011763572692871,1.7413969039916992,-0.6719355583190918,6.0,4.0,03-13,0.2194803160699932
01-29,0.0,0.05167105048894882,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,-0.04319405555725142,0.028247356414794922,0.2669076919555682,1.7413969039916992,-0.6719355583190918,7.0,3.0,03-14,0.22291768613186766
01-30,0.0,0.05167105048894882,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,-0.04319405555725142,0.028247356414794922,0.2669076919555682,1.7413969039916992,-0.6719355583190918,7.0,3.0,03-15,0.22291768613186766
01-31,0.0,0.044835805892944336,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.1894564628601101,1.7413969039916992,-0.6719355583190918,8.0,2.0,03-16,0.22560815106738727
02-01,0.0,0.044835805892944336,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-0.6719355583190918,8.0,2.0,03-17,0.21974062648686515
02-02,0.0,0.051101438701152815,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-0.6719355583190918,8.0,2.0,03-18,0.22031022946942957
02-03,0.0,0.051101438701152815,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-0.6719355583190918,8.0,2.0,03-19,0.22031022946942957
02-04,0.0,0.051101438701152815,0.18435266613960272,0.6877736449241638,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-1.2172749042510977,8.0,2.0,03-20,0.17073392529379267
02-05,0.0,0.051101438701152815,0.18435266613960272,0.6664586067199707,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-1.2172749042510977,8.0,2.0,03-21,0.1687961945479569
02-06,0.0,0.051101438701152815,0.18435266613960272,0.6664586067199707,0.25139641761779785,-0.04452157020568803,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-1.2172749042510977,8.0,2.0,03-22,0.1687961945479569
02-07,0.0,0.051101438701152815,0.18435266613960272,0.6664586067199707,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-1.012772798538208,9.0,1.0,03-23,0.19359692863442698
02-08,0.0,0.056960225105285645,0.18435266613960272,0.6172803640365601,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-1.012772798538208,9.0,1.0,03-24,0.18965879624540172
02-09,0.0,0.056960225105285645,0.18435266613960272,0.6172803640365601,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.028247356414794922,0.12491369247436701,1.7413969039916992,-1.012772798538208,9.0,1.0,03-25,0.18965879624540172
02-10,0.0,0.056960225105285645,0.18435266613960272,0.6038683652877808,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.028247356414794922,0.18348169326782227,1.7413969039916992,-1.012772798538208,9.0,1.0,03-26,0.19376388734037225
02-11,0.0,0.056960225105285645,0.18435266613960272,0.6038683652877808,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.028247356414794922,0.18348169326782227,1.7413969039916992,-1.012772798538208,9.0,1.0,03-27,0.19376388734037225
02-12,0.0,0.056960225105285645,0.18435266613960272,0.6038683652877808,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.18348169326782227,1.7413969039916992,-1.012772798538208,9.0,1.0,03-28,0.20018363269892603
02-13,0.0,0.056960225105285645,0.18435266613960272,0.6038683652877808,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.24802446365356534,1.7413969039916992,-1.012772798538208,9.0,1.0,03-29,0.20605115727944812
02-14,0.0,0.056960225105285645,0.18435266613960272,0.6038683652877808,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.21575260162353427,1.7413969039916992,-0.9503765106201172,9.0,1.0,03-30,0.20878974145108992
02-15,0.0,0.051264189183712006,0.18435266613960272,0.6128097772598267,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.21575260162353427,1.7413969039916992,-0.6726150512695312,9.0,1.0,03-31,0.23433581739664067
02-16,0.0,0.051264189183712006,0.18435266613960272,0.5461999773979187,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.08666849136352539,1.7413969039916992,-0.6726150512695312,9.0,1.0,04-01,0.21654546193101185
02-17,0.0,0.051264189183712006,0.18435266613960272,0.5461999773979187,0.25139641761779785,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.08666849136352539,1.8187918663024902,-0.6726150512695312,9.0,1.0,04-02,0.22358136759562922
02-18,0.0,0.051264189183712006,0.2019014954566956,0.5461999773979187,0.3378719091415405,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.08666849136352539,1.8187918663024902,-0.6726150512695312,9.0,1.0,04-03,0.23303812403570517
02-19,0.0,0.051264189183712006,0.23920300602912903,0.5461999773979187,0.3378719091415405,0.023784399032592773,0.07068753242492676,0.09886455535888627,0.08666849136352539,1.8187918663024902,-0.6726150512695312,9.0,1.0,04-04,0.23642917045138095
02-20,0.0,0.051264189183712006,0.23920300602912903,0.5461999773979187,0.3378719091415405,0.023784399032592773,-0.13176894187927246,0.09886455535888627,0.08666849136352539,1.8187918663024902,-0.6726150512695312,8.0,2.0,04-05,0.21802403642372647
02-21,0.0,0.051264189183712006,0.23920300602912903,0.5461999773979187,0.3378719091415405,0.023784399032592773,-0.13176894187927246,0.09886455535888627,0.08666849136352539,1.8187918663024902,-0.7518479824066162,8.0,2.0,04-06,0.2108210426839915
