,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-13.953493959692862,-11.775367305716781,-5.797107625490218,10.869563527278498,9.523807834335413,15.624994761310385,16.666663562258023,21.212127232792163,-16.666669771075306,2.6315764707211,0.0,6.0,6.0,2.361341227226701
01-03,60.00000248352677,-13.953493959692862,-4.222972918549468,-8.955227244340257,10.869563527278498,9.523807834335413,15.624994761310385,9.090907243657705,18.750001164153243,-18.75000116415323,-2.631576470721115,-3.9999961853027344,6.0,6.0,5.94550075595853
01-04,60.00000248352677,-13.953493959692862,10.2803713328475,-6.716417467849944,10.869563527278498,11.627909555636291,15.624994761310385,9.090907243657705,15.624994761310385,-20.833332557231156,5.2631529414422,7.692306369719361,9.0,3.0,8.714246582662929
01-05,60.00000248352677,-13.953493959692862,10.591904939171341,-11.94029903858004,10.869563527278498,15.555554378179826,15.624994761310385,9.090907243657705,12.49999767169351,-20.833332557231156,10.526313725600916,7.692306369719361,9.0,3.0,8.810368295386187
01-06,60.00000248352677,-18.60465245223683,9.657323926519759,-11.194025159209641,8.88888908511817,13.636364252114102,15.624994761310385,9.090907243657705,12.49999767169351,-35.555562325466006,10.526313725600916,7.692306369719361,9.0,3.0,6.855238298529016
01-07,60.00000248352677,-23.255820185811253,16.355138011922826,-8.14814588060987,4.65115849254395,13.636364252114102,12.49999767169351,9.090907243657705,9.677419664956526,-29.787237415382805,15.000000372529025,11.53845668897102,9.0,3.0,7.604853450009293
01-08,60.00000248352677,-33.33333333333333,17.279998779296875,-8.14814588060987,2.3809501283202863,13.636364252114102,12.49999767169351,0.0,9.677419664956526,-45.23810317862356,2.6315764707211,11.53845668897102,8.0,4.0,3.577098645586119
01-09,60.00000248352677,-61.53846624099779,17.279998779296875,5.806451083635492,2.3809501283202863,11.363639134513448,12.49999767169351,9.090907243657705,9.677419664956526,-36.363642521141024,5.2631529414422,11.53845668897102,10.0,2.0,3.9165722548229183
01-10,60.00000248352677,-61.53846624099779,13.689477899114308,5.806451083635492,7.142859846015656,4.878051439826517,12.49999767169351,9.090907243657705,12.903223015391246,-27.272728504228205,5.2631529414422,3.8461503192516595,10.0,2.0,3.8590899331940896
01-11,60.00000248352677,-70.2702667871647,12.06030075831752,7.096772407269787,7.142859846015656,9.756095610793878,12.49999767169351,9.090907243657705,9.677419664956526,-31.818178739429488,8.108108325802206,0.0,9.0,3.0,2.778668207119947
