,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.8291397094726562,0.5604038238525426,-0.47002220153808594,3.046073913574233,3.461864471435554,-4.431976318359361,-2.6923065185546875,-8.376235961914062,-2.9149093627929688,3.250877380371108,7.314125061035156,0.15895843505857954,6.0,6.0,02-16,-0.32685724894205404
01-03,-2.847216606140142,1.184087753295902,-0.6688728332519531,3.534160614013679,3.2358932495117188,-4.459266662597656,-1.1393966674804688,-6.0850677490234375,-3.3192214965820312,4.4747085571289205,8.607719421386719,0.4669647216796733,6.0,6.0,02-17,0.24870769182841027
01-04,-3.2268486022949254,1.4552459716796875,-0.009035110473632812,2.9647216796875,2.5850906372070312,-4.095264434814439,-0.6615753173828125,-2.3468399047851562,-5.735755920410156,3.690696716308608,6.390129089355469,-0.6756057739257812,5.0,7.0,02-18,0.027913252512616005
01-05,-3.8505229949951225,1.7354450225830078,0.1355800628662216,2.539905548095703,1.5094680786132884,-4.295455932617173,-1.2496490478515625,-1.8644866943359375,-2.755035400390625,3.9392776489257955,5.884361267089844,-0.14902496337890625,6.0,6.0,02-19,0.13165521621704443
01-06,-4.1397705078125,1.581787109375,0.06327247619628906,2.5850906372070312,1.9252662658691477,-3.6675338745117045,-0.44106292724609375,-0.5844039916992188,-1.9464035034179688,4.149620056152344,6.604103088378906,-0.1986999511718608,6.0,6.0,02-20,0.49427207310994764
01-07,-4.067461013793949,1.5727481842041016,-0.11750221252441051,3.0189361572265625,1.49139404296875,-4.231761932373054,-2.2879714965820312,-2.7549896240234375,-3.366241455078125,3.4421005249023438,6.1372528076171875,2.5931320190429688,6.0,6.0,02-21,0.11913633346557558
01-08,-3.633596420288086,1.581787109375,-0.37058830261230113,2.7929801940917898,0.7863807678222727,-4.213542938232415,-3.1149673461914062,-1.085296630859375,-2.6140060424804688,1.3003387451171875,7.2071380615234375,3.2289962768554688,6.0,6.0,02-22,0.15546862284342536
01-09,-2.1602697372436523,1.6992931365966797,-0.37058830261230113,2.0969886779785156,0.9309959411621094,-4.3409690856933665,-3.5192489624023438,-4.276222229003906,-2.3695144653320312,3.212623596191392,6.652740478515625,3.2786712646484517,6.0,6.0,02-23,0.06954169273376436
01-10,-2.946645736694336,1.889108657836914,-0.0903797149658061,0.9671478271484304,0.8315849304199219,-5.53314208984375,-4.033805847167969,-3.4135513305664062,-2.247314453125,2.5528717041015625,8.432632446289062,4.480857849121094,6.0,6.0,02-24,0.0741136868794765
01-11,-3.000875473022461,1.7716045379638672,-0.569442749023434,1.5546684265136648,0.3705902099609304,-3.4218177795410156,-3.6846389770507812,-3.8217086791992188,-1.5420913696289062,1.8166580200195312,8.811958312988281,1.81817626953125,6.0,6.0,02-25,0.008590062459309008
01-12,-2.7387504577636737,2.557977676391598,-1.0304183959960938,1.8167877197265554,0.09942245483398438,-3.330821990966797,-4.079742431640625,-4.183494567871094,-1.1847763061523438,2.2947311401367188,11.369964599609375,-12.18076324462892,5.0,7.0,02-26,-0.8824903170267763
01-13,-1.1840782165527344,1.7716045379638672,-1.1931209564208949,2.729705810546868,-0.4157867431640625,-2.6391677856445312,-3.2895660400390625,-3.2651596069335938,2.0310440063476562,3.0405120849609233,18.674362182617188,-17.0689697265625,5.0,7.0,02-27,-0.0673850377400731
01-14,-0.21692943572998047,1.4914016723632777,-1.5546722412109517,2.6031761169433594,0.533283233642571,1.9565811157226705,-2.2236557006835938,-3.1631088256835938,1.84295654296875,4.866729736328125,17.789283752441406,-17.78431701660155,7.0,5.0,02-28,0.5117274125417076
