,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-6.604749679565419,2.13790321350098,0.8572597503662145,3.19724273681641,1.0427570343017578,-3.096797943115238,-7.360400199890135,-0.1781911849975586,0.8026084899902308,0.9287204742431641,-0.1836376190185529,6.0,6.0,02-16,-0.7047737439473455
01-03,0.0,-6.676540374755863,2.5129795074462855,0.7491359710693324,3.2531948089599645,0.43314552307128906,-0.6012420654296875,-6.472076416015623,0.03563880920410156,0.5506267547607422,0.9761037826538086,0.06765556335449396,8.0,4.0,02-17,-0.43094817797342966
01-04,0.0,-5.240730285644531,3.2631340026855433,1.019439697265625,2.7176532745361364,0.1764659881591797,-0.5518245697021484,-6.725882530212402,-0.5880308151245099,0.345306396484375,0.6159877777099627,0.09665107727050781,7.0,5.0,02-18,-0.4059858322143552
01-05,-2.112325668334961,-5.707366943359375,3.000579833984375,2.0002727508544886,2.1261653900146484,0.2245922088623118,-0.23061561584472656,-6.1505870819091815,-0.3652915954589844,0.5786247253418004,0.06633758544921875,0.1256465911865252,7.0,5.0,02-19,-0.5369973182678217
01-06,-2.2197341918945312,-5.276611328125,2.6255035400390625,2.5872249603271413,1.9503154754638707,0.7058620452880895,0.3706245422363281,-5.820638656616213,-0.39202117919921875,0.4386367797851598,0.265350341796875,0.08698558807373225,8.0,4.0,02-20,-0.3898751735687253
01-07,-2.2197341918945312,-6.389377593994141,2.482980728149414,3.2977485656738317,2.214090347290039,0.14438056945800426,0.4859294891357422,-5.516069412231447,-0.4187488555908203,0.5039634704589879,0.3980245590209961,-0.03866100311279297,7.0,5.0,02-21,-0.4212894439697264
01-08,-2.2197341918945312,-7.322650909423846,3.825727462768551,3.9155902862548864,2.1261653900146484,0.09625434875487926,0.25531959533691406,-5.431467056274414,-0.2405567169189453,0.3826408386230504,0.33168601989746094,-0.25129222869873047,7.0,5.0,02-22,-0.377693096796673
01-09,-2.39874267578125,-7.179058074951172,4.463350296020504,4.40214729309082,1.7984504699707031,-0.0401077270507848,0.9471588134765625,-5.43992805480957,-0.15146255493163885,0.7372779846191371,0.3222084045410156,-0.2126321792602539,6.0,6.0,02-23,-0.22927816708882723
01-10,-3.293794631958008,-6.461151123046875,3.345636367797848,3.552614212036133,1.2149524688720703,-1.010671615600586,1.8037204742431712,-5.304564476013185,-0.2761974334716797,0.5692920684814418,0.10424327850341619,-0.057991027832033026,6.0,6.0,02-24,-0.4844926198323572
01-11,-4.296252250671387,-6.999584197998047,3.4506607055664062,3.6298446655273438,0.5195541381835938,-1.2673473358154261,1.2107162475585973,-5.736037254333496,-0.42765903472900213,0.10265731811523082,0.08529090881347656,-0.31894779205322266,6.0,6.0,02-25,-0.837258656819661
01-12,-4.439458847045898,-6.281688690185565,1.9878768920898438,3.6298446655273438,0.42363739013671875,-0.9063949584960902,1.4166202545166051,-5.97292423248291,-0.12473583221435547,-0.2706508636474645,-0.04738426208496094,-0.9955024719238299,4.0,8.0,02-26,-0.9650634129842136
01-13,-4.403658866882324,-6.67654037475587,1.9878768920898438,3.5834980010986364,-0.6474399566650355,-1.1710929870605433,1.8284263610839844,-5.516070365905762,-0.6147603988647443,-0.05599403381347301,0.12319850921630682,-1.546412467956543,4.0,8.0,02-27,-1.0924141407012937
01-14,-4.403658866882324,-6.748325347900401,0.7876510620117188,3.5062694549560547,-0.8792400360107422,-1.8208141326904297,2.0096206665039062,-5.262263298034668,-0.5345735549926758,-0.10265731811523082,0.24639606475830078,-1.7687101364135742,4.0,8.0,02-28,-1.2475254535675055
01-15,-4.403658866882324,-4.953559875488281,1.0576972961425781,3.266855239868164,-0.4396209716796875,-1.941131591796875,1.8284263610839844,-4.534683227539061,-0.37420082092285156,0.0,0.502265930175783,-1.5464134216308594,4.0,8.0,02-29,-0.9615019957224525
01-16,-2.2626953125,-4.630500793457031,0.9751853942871094,3.3904266357421875,-0.4715919494628906,-1.7245597839355504,2.1002235412597656,-4.043990135192869,-0.3385629653930664,0.0,0.14214992523193537,-1.6817245483398455,4.0,8.0,03-01,-0.7121366659800213
01-17,-3.0002174377441406,-3.9843788146972727,0.5251007080078054,2.9038753509521484,-0.7113838195800817,-1.1630706787109375,1.9766788482666016,-4.17935371398926,0.2672872543334961,0.08399391174316406,0.13267326354980646,-2.1649789810180664,6.0,6.0,03-02,-0.776147842407228
01-18,-4.009836196899414,-3.4459571838378906,0.45008087158203125,2.2551345825195312,-1.1190338134765625,-0.4812698364257777,1.7790107727050817,-3.5617570877075195,0.4632987976074219,-0.09332847595215199,-0.04738426208496094,-2.590243339538574,4.0,8.0,03-03,-0.8667737642923988
01-19,-4.546867370605467,-3.2664718627929688,0.7126274108886719,1.0580635070800817,-2.094192504882809,-1.0026512145995952,1.4660358428955078,-3.0118417739868164,0.4276599884033221,-1.0265941619873047,0.161105155944826,-2.4935922622680664,5.0,7.0,03-04,-1.1347266038258847
01-20,-3.8379878997802734,-2.153717041015625,0.9601783752441406,0.9808311462402344,-2.3819446563720703,-0.6577377319335902,1.638992309570316,-3.0118417739868164,-0.026729583740234375,-1.4092330932617188,0.14215087890625,-2.8318700790405273,4.0,8.0,03-05,-1.0490757624308262
01-21,-3.8379878997802734,-1.076854705810554,-0.07500839233397727,0.7105216979980504,-1.8304214477539027,-0.4892921447753871,1.326019287109375,-2.123518943786621,0.6503992080688494,-1.3252391815185547,-0.028429985046384942,-2.61923885345459,3.0,9.0,03-06,-0.8932542800903308
01-22,-3.8379878997802734,2.7998332977294993,-1.7628364562988281,0.4788322448730504,-1.7345066070556605,-0.4331436157226598,1.029516220092777,-1.8104896545410174,-0.06236648559569957,-1.1385860443115234,0.0,-2.425936698913574,3.0,9.0,03-07,-0.7414726416269924
