,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,12.833333015441895,12.64822159219129,4.444440205891907,15.570176470532864,-9.609614984772714,9.61810875056862,12.664159916692164,12.093027820452871,29.045094274119283,-11.929823222913228,16.55813705089482,14.494029610851136,10.0,2.0,9.869107541662574
01-03,10.554564158907073,14.00778104231531,4.444440205891907,15.846993111657017,-7.957961290559097,8.20368297681271,9.282299375439134,13.501142554236681,28.950866093290166,-15.789473684210526,17.627911235010902,14.670790180938518,10.0,2.0,9.44525299664415
01-04,15.824916635780623,14.341081259707703,3.060106498847774,16.939888289816967,-5.10510751317819,10.50420187709555,9.195403033835433,13.302755604668324,27.091634394565528,-18.947373775013705,14.046513757040335,15.936949935773125,10.0,2.0,9.682580833244957
01-05,15.110354612225771,9.15119443914274,6.557371068959535,16.393438095069346,-5.311075819855962,12.465757540722173,12.867652182708921,19.31187795509369,19.92032298376793,-18.59648855108964,13.60294559139072,14.093957784188326,10.0,2.0,9.630608990193629
01-06,9.547733917188639,12.201592585523652,9.289611620026971,20.218573824296715,-5.311075819855962,11.618259341243165,2.242988555105843,13.651498200085314,23.10757081101171,-9.21053019587029,12.962968032219358,13.939931768042136,10.0,2.0,9.521593553251437
01-07,13.065322619486249,16.180368652042045,6.557371068959535,20.065079478201543,-6.769231649545524,13.839891407937754,0.0,14.317429588459376,10.583440631403354,-16.491230747155978,14.194434650892518,13.405174603785316,9.0,3.0,8.245670858705514
01-08,16.582911321783865,14.824445487685056,7.174398919421768,22.093024779704763,-6.511629282385916,11.804611927657914,2.6168199809568335,7.02524054629733,14.526585174967966,-10.29900445907687,16.978545592248746,13.103451791189386,10.0,2.0,9.159950148370903
01-09,15.529015418358242,13.488974795167207,6.555557250976543,22.66526661001996,-2.3255829426841577,11.126183277572943,-3.5999965667724605,10.199792257448337,15.077315951422404,-6.644511851510174,13.281605968408178,11.81035167396966,9.0,3.0,8.930330986864723
01-10,15.789471127671368,13.263978847032561,5.186020790100346,17.22222434149847,0.0,12.11305032737149,-5.3698048542699635,12.230212090120952,10.526315789473683,-4.651161464410288,11.912371650061155,18.6507961136713,9.0,3.0,8.906122896526757
01-11,13.739129771356998,13.488974795167207,4.04950052248263,16.77778032090929,0.4615416893592248,16.103893530310444,-5.5837483833526615,10.575918415810182,11.315787465948826,-5.980063834712314,3.836447498085207,17.46094842970664,10.0,2.0,8.020509185089308
01-12,11.586454187127373,12.941179550505263,2.812148372837511,16.222222646077476,0.0,13.866666158040363,-5.691051394903735,15.640769067616375,13.947366413317248,-0.6349230569506448,7.1392665654528775,6.190253734674689,9.0,3.0,7.835029353649566
01-13,14.821122700519776,14.901958853254643,-0.11247778201752207,10.999997456868488,0.0,16.103893530310444,-2.935222251962857,18.768917107127574,6.868131580221508,1.5384615384615385,8.790126847632154,1.575930827553372,9.0,3.0,7.6100700339974265
01-14,26.746162273130704,12.941179550505263,-5.448348687561262,11.381212279151933,2.4024001663345382,9.831826998791252,-0.30364101845852065,14.732593951837792,1.4641287779185002,6.158353572111765,7.092554863859165,-0.5850752342546617,9.0,3.0,7.201112291113873
01-15,26.064731904598094,13.428946539281275,-8.453840358522147,11.771173562847432,-0.4615416893592248,-2.0698557182059303,-6.680160321531099,13.941299046375663,3.165463234880846,3.0303030303030303,4.254256260981813,-7.2647477059506205,7.0,5.0,4.2271689821415945
01-16,18.909704911715263,11.812075974946397,-5.748370039277541,11.086473938471709,-3.8461538461538463,-0.5174639295514738,-10.208328159319253,11.147536028566456,2.1802324614310837,2.4390221209414906,4.154153867478789,-18.235005994059208,7.0,5.0,1.9311564445991554
01-17,11.35593331295058,14.675320332398856,-8.938549807640157,15.132268575280158,-4.000003521259014,0.12673957178575385,-20.879115811898544,14.51104186359389,-20.825856606696007,-1.2195168755581758,4.904902726172127,-17.47430074154129,6.0,6.0,-1.0525947485343183
01-18,9.827588843392036,14.675320332398856,-8.453840358522147,15.343913635252163,2.733806987016182,8.333331441122272,-20.08733824496437,15.135697503264709,-39.856374252889474,-1.8292753133372635,2.805608675493474,-15.16007226013721,7.0,5.0,-1.3776360843258981
01-19,4.73587910535965,18.888890589542605,-8.453840358522147,13.968251020809982,1.0189184278061025,7.563026653193859,-16.033760877219454,16.18556418243023,-40.21543519634149,-5.214726510766457,-1.8209342168303204,-14.835680566194224,6.0,6.0,-2.0178206455609713
01-20,4.73587910535965,17.777783533836512,-7.786427442567907,12.91711317753096,-3.8167937819853988,7.004830222354692,-13.28527246946548,18.45360821701539,-46.53285432429703,0.884964714614521,-3.336753766964682,-18.68024434791817,6.0,6.0,-2.638680596873912
01-21,7.285967854399429,16.41975725810878,-6.644145776849858,15.648446410351461,-3.8167937819853988,7.451921974766133,-9.165811944657817,12.680407901260688,-37.75700364157418,4.273504459283484,-0.6499958038330078,-16.08922372448435,6.0,6.0,-0.8635807346012188
01-22,9.289613357138713,10.866754857894165,-7.623321741700094,14.549404419519362,-3.8167937819853988,11.538456688971063,-10.607618217556192,13.868612122463317,-41.73076336200421,7.182326613319215,-1.872464208497123,-15.99430891335617,6.0,6.0,-1.1958418471494465
01-23,5.294117372066224,11.42490206474774,-7.1428609441737585,14.363435855229534,-1.9847272338655422,11.057687899064574,-10.09268319656308,14.136129366567515,-42.82945567373394,6.406693465179466,2.9352222519628923,-15.045088382571956,7.0,5.0,-0.9563855963408608
01-24,0.6000041961669922,11.196909751540826,-7.986501807958321,14.098355615265906,-6.412207438572107,14.388492375865633,-13.948714427458933,15.201657243338792,-48.62204947617372,10.863513537924359,1.1133568360638872,-19.15727524078291,7.0,5.0,-2.3887049028982994
01-25,-1.6359903045058588,12.54752582852877,-8.568210131762957,11.256828152050087,-7.963246006415892,17.437724956264475,-14.654284187675634,15.113872269243373,-43.70078955974413,10.863513537924359,1.2531327841571709,-17.07932796564267,6.0,6.0,-2.0941042189649086
01-26,-3.541658181283546,14.938277259248448,-8.6809522852112,12.56830236584199,-10.076333254855419,17.339667754368836,-20.629746044089575,12.099276805200912,-42.3228427905412,9.340663141076092,-0.24814464196415073,-26.61202755337189,5.0,7.0,-3.8187931187983923
01-27,-4.741385201707737,14.938277259248448,-7.666294407544069,12.71739239728746,-12.656248917337507,17.535540471781786,-18.162165461359777,9.203726331963457,-46.66666358408302,12.806541322161571,-0.14873914988611228,-25.787187732496946,5.0,7.0,-4.05226722266437
01-28,-7.32758970627753,15.55555764866781,-7.840904152590489,13.859276917635178,-11.609907052185324,15.764707677504605,-15.459462758657075,10.651496637484414,-37.89061996503739,12.32876712328767,-1.8145191914456953,-41.83975713622872,5.0,7.0,-4.635246163153545
01-29,-11.206896463132173,14.082835588688514,-8.276649899875006,12.55411121370335,-15.262321843705667,19.058822183048026,-20.000004123997044,10.623084432128831,-35.76922783484825,12.806541322161571,-1.7919393111860633,-37.21068436686158,5.0,7.0,-5.032694091989624
