,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-4.16666991890433,-14.666668574015299,-7.6923121009354265,0.0,-8.256883994867438,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-3.162048598974772
01-03,0.0,-4.16666991890433,-14.666668574015299,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-6.564060308524412
01-04,0.0,-16.071435033667058,-14.666668574015299,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.646311682593751
01-05,0.0,-16.071435033667058,-14.666668574015299,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.646311682593751
01-06,0.0,-19.642860310621103,-14.666668574015299,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.970986707771392
01-07,0.0,-19.642860310621103,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.574716779360608
01-08,0.0,-19.642860310621103,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.574716779360608
01-09,0.0,-19.642860310621103,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.574716779360608
01-10,0.0,-19.642860310621103,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.574716779360608
01-11,0.0,-17.543856469230047,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.383898248325057
01-12,0.0,-17.543856469230047,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.383898248325057
01-13,0.0,-15.204677465680247,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.171245611638712
01-14,0.0,-13.872832768249138,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-9.050168820963158
01-15,0.0,-10.650884109670312,-32.30769936149668,-7.6923121009354265,0.0,-45.67901279991348,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-8.757264397455991
01-16,0.0,-10.650884109670312,-32.30769936149668,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.047861915623574
01-17,0.0,-14.024391529249517,-32.30769936149668,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.3545444083125915
01-18,0.0,-14.024391529249517,-32.30769936149668,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.3545444083125915
01-19,0.0,-14.024391529249517,-21.53846929764635,0.0,0.0,-34.56789760069231,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-6.375523493417107
