,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.7899999618530282,-0.23000001907348366,0.14999961853027255,0.6000003814697275,0.6499996185302717,-0.05999946594238459,0.13000011444091797,-1.0700001716613743,0.17999935150146484,-0.3400001525878906,1.9099998474121076,0.13000011444091975,7.0,5.0,02-16,0.1049999396006267
01-03,-0.5799999237060547,-0.30999994277953924,0.14999961853027255,0.5400004386901855,0.5500001907348615,-0.05999946594238459,0.3100004196166992,-0.9800000190734863,0.2299995422363299,-0.3400001525878906,2.179999351501463,-0.1700000762939453,6.0,6.0,02-17,0.12666666507720925
01-04,-0.5399999618530282,-0.329999923706052,0.21000003814697266,0.4000000953674343,0.4800004959106463,-0.08999919891357422,0.3400001525878924,-0.9200000762939453,0.17999935150146662,-0.3299999237060547,1.9099998474121076,0.05000019073486506,7.0,5.0,02-18,0.1133334239323942
01-05,-0.8999996185302734,-0.28999996185302734,0.21000003814697266,0.4500002861022949,0.49000072479248225,-0.01999950408935547,0.35000038146972656,-0.760000228881835,0.13999938964843928,-0.36999988555908203,1.2899999618530238,0.1700000762939453,7.0,5.0,02-19,0.06333347161610929
01-06,-1.1599998474121076,-0.3600001335144043,0.19000005722045898,0.38000011444091797,0.5100002288818377,-0.01999950408935547,0.3900003433227539,-0.7799997329711887,0.10999965667724965,-0.3599996566772443,1.189999580383299,0.1700000762939453,7.0,5.0,02-20,0.02166676521301351
01-07,-1.019999980926511,-0.2800002098083487,0.15000009536743342,0.4200000762939462,0.5700006484985369,-0.07999992370605469,0.32000064849853516,-0.6500005722045907,0.11999988555908203,-0.2599992752075213,0.6799993515014648,0.189999580383299,7.0,5.0,02-21,0.013333360354105928
01-08,-0.8599996566772443,-0.1399998664855957,0.24000024795532315,0.4400000572204599,0.47999954223632635,-0.11999988555908025,0.15999984741210938,-0.4800004959106463,0.10000038146972479,-0.34999942779541016,0.5299997329711896,-0.060000419616700995,6.0,6.0,02-22,-0.004999995231628714
01-09,-0.8000001907348633,-0.32000017166137695,0.2499995231628409,0.559999942779541,0.4099998474121076,-0.09999942779541016,0.15999984741211115,-0.379999160766598,0.1900005340576172,-0.34999942779541016,0.3599996566772443,-0.11999988555908558,6.0,6.0,02-23,-0.01166657606760683
01-10,-0.7699999809265119,-0.440000057220459,0.13999986648559481,0.34999990463256925,0.4099998474121076,-0.1300001144409162,0.21999931335449396,-0.2999992370605451,0.21000003814697443,-0.3299999237060529,0.5599994659423793,-0.3400001525878906,6.0,6.0,02-24,-0.03500008583068803
01-11,-0.9199998378753653,-0.3299999237060556,0.05000019073486506,0.5199999809265137,0.27000045776367365,-0.01999950408935547,0.25,-0.4099998474121076,0.26999950408935725,-0.3099994659423828,0.48999977111816584,-0.2799997329711914,6.0,6.0,02-25,-0.03499986728032356
01-12,-0.7300000190734854,-0.3899998664855957,0.07000017166137695,0.5300002098083496,0.24000072479248225,0.010000228881835938,0.26999950408935547,-0.32999992370605646,0.29999923706054865,-0.4300003051757795,0.8499994277954084,-0.6099996566772461,7.0,5.0,02-26,-0.01833335558573383
01-13,-0.8499999046325684,-0.25,0.1100001335144043,0.5699996948242205,0.22000026702881215,-0.009999275207519531,0.2799997329711914,-0.0900001525878924,0.36999988555908203,-0.3600006103515625,0.8499994277954084,-1.430000305175783,6.0,6.0,02-27,-0.04916675885518392
01-14,-0.4200000762939453,-0.26999998092651367,0.06999969482422053,0.5699996948242196,0.2300004959106463,-0.06999969482421875,0.36999988555908203,-0.18999958038330256,0.3900003433227539,-0.30000019073486506,0.6799993515014631,-1.9400005340576172,6.0,6.0,02-28,-0.07333338260650642
01-15,-0.40000009536743164,-0.25,0.19999980926513672,0.5499997138977042,0.32000064849853516,0.01999950408935547,0.46000003814697443,0.2600002288818377,0.4200000762939453,-0.35000038146972834,0.5900001525878906,-1.890000343322754,8.0,4.0,02-29,-0.005833387374877856
01-16,-0.8400001525878915,-0.14999961853027255,0.21000003814697266,0.6099996566772461,0.310000419616701,0.010000228881835938,0.34999942779541016,0.4799995422363281,0.4200000762939453,-0.3600006103515625,0.6800003051757812,-1.9100008010864258,8.0,4.0,03-01,-0.01583345731099432
01-17,-0.40000009536743164,-0.009999752044677734,0.15000009536743164,0.5499997138977042,0.1100006103515625,0.05999946594238281,0.3000001907348633,0.4499998092651367,0.5300006866455078,-0.4200000762939471,0.6500005722045916,-3.609999656677246,8.0,4.0,03-02,-0.13666653633117684
01-18,-0.5199999809265119,0.06000041961669922,0.19000005722045898,0.5399999618530238,0.039999961853027344,0.10000038146972479,0.34999942779541016,0.630000114440918,0.4900007247924787,-0.40000057220458984,0.5699996948242188,-5.229999542236328,9.0,3.0,03-03,-0.26499994595845583
01-19,-0.7400002479553223,-0.09999990463256836,0.26000022888183594,0.5199999809265137,0.17999935150146484,0.020000457763671875,0.3099994659423828,0.6700000762939453,0.5300006866455078,-0.6599998474121112,0.530000686645506,-4.299999237060549,8.0,4.0,03-04,-0.23166652520497685
01-20,-0.6600000858306885,-0.1100001335144043,0.25,0.440000057220459,0.18999958038330078,0.13000011444091797,0.2799997329711932,0.8400001525878897,0.4699993133544922,-0.5199995040893555,0.5900001525878906,-3.7999992370605487,8.0,4.0,03-05,-0.15833332141240444
01-21,-0.7200000286102286,0.0,0.2600002288818377,0.46000003814697266,0.23999977111816406,0.1400003433227539,0.23999977111816584,0.8000001907348633,0.4499998092651367,-0.4699993133544922,0.6100006103515625,-2.699999809265135,8.0,4.0,03-06,-0.05749986569086659
01-22,-0.7099997997283936,-0.2100000381469762,0.19999980926513672,0.40000009536743164,0.17999935150146484,0.11999988555908203,0.03999996185302912,0.6500000953674334,0.4499998092651367,-0.4799995422363281,0.5500001907348615,-2.5000009536743146,8.0,4.0,03-07,-0.1091667612393697
01-23,-0.9600000381469718,-0.2599997520446804,0.18999958038330078,0.2800002098083496,0.25999927520751775,0.1100006103515625,0.09000015258789062,0.7899999618530265,0.38000011444091797,-0.5799999237060529,0.5100002288818342,-2.199999809265135,8.0,4.0,03-08,-0.11583328247070335
01-24,-1.0399999618530273,-0.039999961853031785,0.24000024795532404,0.3899998664855957,0.2799997329711914,0.2899999618530291,-0.030000686645506036,0.8199996948242196,0.19999980926513672,-0.6399993896484393,0.5599994659423793,-2.5799999237060565,7.0,5.0,03-09,-0.12916676203409874
01-25,-1.1600000858306885,-0.09999990463257102,0.13000011444091797,0.2799997329711914,0.25,0.36999988555908203,-0.039999961853027344,0.6899995803832999,0.1400003433227539,-0.630000114440918,0.2300004959106463,-2.380000114440918,7.0,5.0,03-10,-0.18500000238418593
01-26,-0.940000057220459,-0.020000457763671875,0.09999990463257102,0.25,0.3000001907348633,0.36999988555908203,-0.1500005722045863,0.619999885559082,0.15999984741210938,-0.7100000381469727,0.11999988555908025,-4.100000381469727,7.0,5.0,03-11,-0.33333349227905235
01-27,-0.910000085830688,0.1099996566772461,0.11000013351440607,0.2300004959106463,0.2799997329711914,0.3599996566772461,-0.21999931335449396,0.6999998092651376,0.13000011444091797,-0.5,0.32999992370605113,-3.939999580383301,8.0,4.0,03-12,-0.27666662136713666
01-28,-1.100000143051147,0.11999988555908203,0.13999986648559837,0.31999969482421875,0.3100004196166992,0.31000041961669744,-0.15999984741211115,0.5099992752075178,0.1399993896484375,-0.48000049591064453,0.5,-4.730000495910643,8.0,4.0,03-13,-0.3433335026105245
01-29,-1.0600001811981197,0.16000032424926758,0.059999942779541904,0.3000001907348615,0.2500000000000018,0.34000015258788885,-0.17999935150146662,0.5300006866455096,0.1399993896484375,-0.5299997329711914,0.43000030517578125,-4.9200000762939435,8.0,4.0,03-14,-0.3733331958452859
01-30,-0.940000057220459,-0.09000015258789062,-0.019999980926511896,0.3599996566772461,0.2999992370605451,0.26000022888183594,-0.019999504089357245,0.6700000762939471,0.1099996566772461,-0.3800001144409162,0.28999996185302734,-4.77000045776367,6.0,6.0,03-15,-0.35250012079874643
01-31,-0.7399997711181641,-0.09999990463256925,-0.00999975204467507,0.5300002098083496,0.28999996185302734,0.2199993133544922,-0.09000015258788885,0.6300001144409197,0.26999950408935725,-0.3400001525878906,-0.01999950408935547,-7.0099992752075195,5.0,7.0,03-16,-0.5308332840601597
02-01,-0.7099995613098127,-0.09000015258789062,-0.21000003814697088,0.4100003242492676,0.3000001907348633,0.3900003433227539,-0.010000228881835938,0.5900001525878924,0.25,-0.31999969482421875,-0.09000015258788885,-6.009999275207518,5.0,7.0,03-17,-0.4583331743876132
02-02,-0.5699996948242196,-0.059999942779541904,-0.19000005722046076,0.38000011444091886,0.32999992370605646,0.46000003814697266,-0.050000190734861505,0.7600002288818359,0.25,-0.35999965667724787,-0.18999958038330078,-6.729999542236326,5.0,7.0,03-18,-0.4974998633066812
02-03,-0.6500000953674334,0.07999992370605291,-0.21000003814697088,0.15999984741210938,0.30000019073486506,0.5200004577636719,-0.019999504089357245,0.7200002670288086,0.10000038146972656,0.06000041961669922,0.030000686645507812,-6.939999580383299,8.0,4.0,03-19,-0.48749975363413495
02-04,-0.5700001716613778,0.07999992370605291,-0.09999990463256747,0.22000026702880682,0.2899999618530291,0.4099998474121076,0.010000228881834161,0.75,0.21000003814697266,-0.049999237060546875,0.04000091552734375,-9.240000247955324,8.0,4.0,03-20,-0.6624998648961391
02-05,-0.3600001335144052,0.339999675750736,-0.12999963760375888,0.22000026702880682,0.19999980926513494,0.4399995803833008,-0.05000019073486328,0.9300003051757812,0.19999980926513672,-0.029999732971191406,-0.05000019073486328,-9.290000438690186,6.0,6.0,03-21,-0.6316667397816976
02-06,-0.5599999427795401,0.36999988555908203,-0.03999996185302823,0.15999984741210938,0.25999927520751953,0.37999916076660156,-0.1099996566772461,1.0799999237060547,0.09999942779541016,0.06999969482421875,0.07999992370605469,-9.339999675750732,8.0,4.0,03-22,-0.629166841506958
02-07,-0.6100001335144034,0.26999998092651367,-0.029999732971191406,0.04999971389770508,0.2399997711181623,0.28999996185302734,0.09999942779541016,1.0900001525878906,0.1399993896484375,0.03999996185302912,0.189999580383299,-8.679999828338627,9.0,3.0,03-23,-0.5758334795633956
