,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-29.297297709697002,-6.3328907727962,12.534694202710217,7.908647167082829,7.0232908927432876,2.10500185079643,7.970945840437301,-14.029460902287635,3.8520800593368145,-6.883369677503433,1.1161486039938555,-4.476553099400384,7.0,5.0,-1.5423969620486602
01-03,-24.80085021357141,-6.651147390414669,12.230216846372342,7.127269398082387,6.823144218463885,2.3103619139389453,10.812902471178388,-12.978608483836357,3.7211821226764816,-7.342256613011211,3.511792399599739,-3.278106236450228,7.0,5.0,-0.7095082972476425
01-04,-26.88984567572561,-5.25106799319315,10.778029753416053,5.818185517282197,5.040030028942017,2.6700921570119567,11.318038900611347,-10.83844505210258,2.486837771083971,-7.294459841412164,0.5353868913152,-3.3711853837905084,7.0,5.0,-1.2498669105467721
01-05,-31.726456272429253,-3.661695199019415,8.558356094214465,4.242424242424243,7.124635151809006,4.30392972059739,11.27545638059396,-5.654451859559064,2.5412988237451426,-6.711285253218965,0.090372402138148,-4.378673430077333,7.0,5.0,-1.1663407665651395
01-06,-37.88996382961438,-3.11082004369968,9.267732646117524,3.2484852183948867,8.343821864272224,4.7248078031121565,11.525131090274703,-5.089005874713678,1.0891241104723584,-4.601631796774633,1.8030010172526245,-4.678736909150985,7.0,5.0,-1.2806712253380734
01-07,-31.4804390731908,-3.143225191736125,9.725400287874335,4.309101771970002,8.541177750998754,3.207818334710339,10.620064235005918,-4.18848167539267,2.1226614520410436,-3.276070500103845,2.5988939495360355,-3.1139375806472342,7.0,5.0,-0.3397530199111877
01-08,-29.892233174301058,-2.7724006779880286,9.610985559756184,4.790419161676647,7.032967508978862,4.627870418119246,9.695743920321677,-4.287067258120452,1.5446092912523979,-3.812033551769558,1.9880384677722174,-2.9016212004077215,7.0,5.0,-0.3645601278924655
01-09,-26.116443145324585,-0.416269836761969,9.320480361096639,4.378156623010085,6.996336632930103,5.0336009667188355,9.279044610918502,-5.167872773726088,1.499865006670618,-4.654925509368287,0.888460708584713,-2.498229796926364,7.0,5.0,-0.12148301268148302
01-10,-24.7005120028585,-0.7712074699419339,7.385700851540575,3.973829346880779,6.978017701593132,4.798589385787033,9.650888257066864,-3.6837141446373725,1.5800993913597572,-4.2075183632004345,0.7741003264036034,-3.0277125794952826,7.0,5.0,-0.10411994162514826
01-11,-28.815565673882464,-1.4230288905948538,6.479941782632509,6.227282932682287,6.627277938415559,8.561089286770127,10.029525662968517,-4.759908834411993,0.6175084346307972,-5.654445158925985,1.4349456439855786,-3.5331392523424,7.0,5.0,-0.3507096773393603
01-12,-21.986610029481927,1.8158639882363061,7.0258790033834115,6.15459386322716,6.7465434975338425,9.240686738094228,9.754465714227818,-6.3187663837509485,2.3519832025844734,-6.8700147317492934,2.455533042129881,-8.172326009244296,8.0,4.0,0.18315265793255472
01-13,-22.119815769465724,0.3185679390426304,6.812254151007122,7.425260487819592,5.59805932348953,8.652290887196532,9.832336159348197,-3.196063126903701,1.5219226713295326,-3.207461483828658,1.0300186694829851,-12.239645949439739,8.0,4.0,0.03564366325652483
01-14,-19.815659595413575,1.1787159575631743,7.3785888461196745,6.8506456958978115,6.141004229288907,7.0304754671336775,10.741684541699009,-3.85623000461857,2.130165410280858,-0.8013886735066247,0.9515434634843062,-17.704277099410096,8.0,4.0,0.018772353209879356
01-15,-23.0414738442742,2.4234700704405023,8.288710849949174,7.588856613186394,6.222465892313924,7.242760888035589,10.628020510691739,1.8295870068820885,2.0502604258410484,-5.549727798604332,0.9044127097948097,-16.99092624040435,9.0,3.0,0.13303475698769862
01-16,-27.28350123129192,0.7362341354719295,9.945135166649674,8.228000805698992,5.414832576590643,7.330173092360831,8.97092336690385,1.4059347101198372,1.9256927856376382,-7.299339387346906,1.6580910954316987,-17.639424772352005,9.0,3.0,-0.5506039713438113
01-17,-20.691706730085723,1.6804079621461951,8.374045471651051,8.359137880269385,3.7995589431299917,8.076540418583376,8.973869910615589,1.6226920821147164,2.7647691548198856,-8.540129164254438,1.5694242438591972,-22.27211175162663,9.0,3.0,-0.5236251315647835
01-18,-26.105923571526528,2.7289804102486737,9.009012343263882,7.073115270262524,4.121633987380263,8.179681734996688,10.529796572053733,3.7685614415484867,2.593657447471475,-7.0376059025892905,1.5951750095536466,-22.02294576852644,9.0,3.0,-0.46390508548857373
01-19,-23.716375403504486,1.991147828443753,9.702011259216649,6.072881518996236,4.699082238885946,6.619685624006419,10.916784933642216,3.1237100817493557,3.3861690428937004,-7.819047155043624,2.990968860815192,-19.65327016328799,9.0,3.0,-0.14052094443221907
01-20,-19.480514362593745,1.4222467265219105,9.51721566054359,7.26586001581673,5.50179164300996,9.19104420557703,10.25859795620106,4.597937200487275,2.649419271910554,-7.874551683241238,3.2624886706862957,-23.280378978799767,9.0,3.0,0.2525963605099714
01-21,-25.324668671371864,3.255369150335267,9.825273533791188,7.341833251984345,6.639518467410239,10.25641427870525,10.798523784061178,3.0721684092098904,3.7036993853892723,-7.436412861118022,2.9824574788411455,-20.4564500679559,9.0,3.0,0.3881438449401659
01-22,-23.78983856107102,7.952103705421508,8.289324164395165,8.079626935121292,6.440739937551593,8.91388814632197,9.870226578636784,1.9429246861714715,3.207730623564262,-5.870017047268816,3.7004789346668066,-20.834027637254362,9.0,3.0,0.6585967055213878
01-23,-28.89306382341695,9.933777914350518,7.15946489605129,6.547619047619048,4.276082010846302,9.54281490145873,9.81624076780054,3.2392387618472336,3.3736224455877317,-6.583654373317284,3.2477107332130437,-19.315318496493315,9.0,3.0,0.19537789879557396
01-24,-31.775115040353715,9.852361210354415,7.546301108001777,5.9880239520958085,4.276082010846302,12.742975262598023,8.524367655688113,4.125161987422361,2.652467438783812,-6.6705318142596255,3.744009995204488,-22.89875215425971,9.0,3.0,-0.157720698989829
01-25,-33.80372293895626,10.17712746092913,7.5602931407371345,5.24550569271613,3.4445998530203763,12.115313459909578,9.77579394517753,2.586381912890908,2.526159793282223,-6.718801969221981,2.561183881788499,-17.897109268857502,9.0,3.0,-0.20227291971535344
01-26,-25.58699484545077,11.011106456715282,8.534323739174877,5.748506648811751,5.279663376060957,11.857998140724863,7.876608211890103,1.4233124789265912,2.5081187938893126,-7.843894797519975,2.6359722909716123,-30.23478283057926,9.0,3.0,-0.5658385280320548
01-27,-28.089209189580334,12.031208868684251,8.487940487182517,6.592100018056718,5.723203686773261,10.857498729689386,8.669451085488816,3.4200326049967456,1.558133609438226,-6.502432292859177,3.4335533258442146,-21.927144278450314,9.0,3.0,0.35452805460535924
01-28,-34.29777264450494,11.941197812586562,8.523669984773562,7.694128482141591,4.81526872808603,10.444827091270268,9.932939334560185,4.228962449255857,-0.018034865480663128,-6.056863038401166,3.4167224646062277,-31.143960113401807,8.0,4.0,-0.8765761928756909
01-29,-28.089209189580334,12.599828344271383,9.457259129815384,7.912136188115569,5.842341236844068,12.349466406428492,9.398384902622706,1.2572147662747115,0.5200808994968983,-7.529159650867502,2.7960337579152714,-28.954596534761045,9.0,3.0,-0.20335164528536667
01-30,-18.646012295449747,12.377555176388144,7.978225882268351,11.406491330426212,6.191139218021657,10.027029132606813,15.125500943761175,2.84868373083458,1.2198336274317716,-5.976899897278538,3.4709433005367787,-30.61320705942056,9.0,3.0,1.2841069241772196
01-31,-17.92178489537922,12.455517825903197,6.607400457892,10.533574205557263,6.0341804591301615,9.158012844834456,13.632094892348404,3.7040746110174743,1.0905525974347166,-4.590949540918263,2.2526073953170003,-50.6480788982958,9.0,3.0,-0.6410665037632182
02-01,-17.373630665468568,12.533331976996529,1.7733926922800285,9.544613051686781,5.471861207640016,12.58898697323995,14.380182589589971,3.1453546468675033,0.5095196932420405,-6.3426335333105905,2.77777796289975,-37.84628555562526,9.0,3.0,0.09687258666984573
