,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,57.142854710014454,0.0,-5.527632892897942,21.874998253770134,5.500000715255737,2.666664123535141,-6.796121786065383,-14.743591507040824,-20.143883041106196,4.761908237394186,10.73170314723,9.137934351364176,7.0,5.0,5.383736192621125
01-03,11.428569239013012,0.43290003077767186,-7.692300168250153,21.874998253770134,6.999999284744263,0.0,2.9126186624346984,-15.483872059356676,-21.01449006196205,2.72109389685753,11.219507571418255,11.379315561119723,8.0,4.0,2.064861684213867
01-04,11.428569239013012,-2.222220102945964,-7.500004768371604,25.78124927240424,5.500000715255737,0.6666660308837891,-1.0101000370632516,-16.233766635888998,-21.01449006196205,4.081636790548618,7.317072177911924,9.447418844825023,7.0,5.0,1.3535026220508728
01-05,8.82352966957026,-14.634144355823805,0.0,23.437496798578568,4.102566203030154,-2.054792507255421,-1.0101000370632516,-8.695651208134308,-23.188409678101227,3.4013653437030817,13.839288422723792,10.247348751630163,6.0,6.0,1.189041450238167
01-06,-10.34482829494231,-14.634144355823805,-2.499997615814209,21.874998253770134,0.5319143876925675,2.61437664058866,-3.999996185302712,-6.2111815498969865,-30.43477960405066,4.109593179530506,16.086957062575227,9.608540442155325,6.0,6.0,-1.1082123032931885
01-07,-20.6896565898846,-9.756100113940823,-2.999997138977051,19.35483932991305,0.5319143876925675,2.0270250677801456,2.9999971389770397,-4.9689467207783045,-39.23076993614967,5.405408235428679,18.907569128361743,8.978869145386046,7.0,5.0,-1.6199873388492643
01-08,-20.6896565898846,-5.990777486255224,-7.692300168250153,19.35483932991305,1.5873000855468575,1.3513500451867488,0.0,-3.726704487356004,-36.09021687037263,4.109593179530506,16.666661572252398,7.04224701794174,6.0,6.0,-2.006472030978942
01-09,-35.714283433495744,-17.073178106940155,-5.527632892897942,16.66666997803569,1.5873000855468575,2.0270250677801456,-3.1578980390385687,-3.680985408856051,-42.519682674253005,2.0548006722750705,15.811961501307593,5.809857987312255,6.0,6.0,-5.309670438601988
01-10,-72.41379806459605,-9.090911061310528,-11.111106906197868,17.322837158606177,-3.1746064784635806,12.422363099793932,-3.846161781683789,-3.0487848757137748,-42.063490111210896,3.424662343778679,15.811961501307593,-0.3546095992901596,4.0,8.0,-8.01013706458169
01-11,-85.18517782658732,-17.647065698344367,-10.256412450927062,21.259841337126502,-1.5151500555948771,19.540231696270077,-8.000004291534424,-3.680985408856051,-41.26984006843749,2.7397315080268823,25.56391145923011,-2.925051743807502,4.0,8.0,-8.447997628619627
01-12,-100.0,-21.428574904060838,-5.128200112166769,9.448819415007154,-6.060600222379509,19.540231696270077,-8.000004291534424,-0.606060036833517,-30.952380051328117,-1.4388475634778912,31.578943405785253,-6.2264134307568595,3.0,9.0,-9.939423841289619
01-13,-79.99999523162842,-17.346934058774544,-8.717940190683485,5.5118058499284555,-12.903219810840497,18.128658191420847,-6.060600222379509,0.6060600368335035,-23.076929425347014,2.083339542150235,31.818177650024687,-5.827066405577417,5.0,7.0,-7.982053672906094
01-14,-20.000004768371582,-19.897951984445363,-2.0408143405366443,5.5118058499284555,-12.299459854423132,19.883042444083188,-7.070700259442737,0.6060600368335035,-18.320612215258134,2.083339542150235,29.85611267078982,-4.95238531203497,5.0,7.0,-2.2201306825606135
01-15,-20.000004768371582,-25.66844377755239,-6.282722872536982,0.0,-14.736847058557803,22.807016198520422,-3.0303001111897543,2.439022085483674,-23.015870162539027,2.758626189441462,30.357139968142167,-7.047616867792039,4.0,8.0,-3.4516667647459873
01-16,-79.99999523162842,-17.948712619177194,-4.102560089733415,3.9999961853027344,-15.263162352702048,17.543863440533386,-3.1578980390385687,4.907978107323611,-22.04724217283057,4.081636790548618,29.285712400261204,-12.571425664992542,5.0,7.0,-7.939317437177768
01-17,-79.99999523162842,-13.861384853149497,2.870810777204673,1.6393426604503258,-15.789477646846267,22.543351525727306,-4.1666689949731435,4.320990879385587,-23.999996185302734,2.72109389685753,28.571427355007227,-0.6908456324104324,6.0,6.0,-6.320112620806488
01-18,-79.99999523162842,-14.999997615814209,9.777779049343533,-2.459013990675489,-21.34832137914167,20.670391768351962,-2.0408143405366443,0.6410250532086098,-23.19999694824217,2.72109389685753,29.43262210476773,-0.33955825772273845,5.0,7.0,-6.762065490935998
01-19,-79.99999523162842,-30.681816180629166,8.888891008165148,5.737709082829153,-18.644063687125858,18.857145309448242,0.0,1.8987398597600829,-19.200000762939453,4.026849772134245,31.428571793497824,10.454546472586248,7.0,5.0,-5.602785213658497
