,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.015000000596046462,-0.009000003337860107,0.0,-0.2799999713897705,-0.010000020265579224,0.006400001235306263,0.0010000001639127731,0.00020000000949949004,0.0030000004917383194,-0.0005000000819563866,0.020419999957084656,-0.0018000025302171742,5.0,7.0,02-16,-0.023773333028657362
01-03,-0.03899999707937242,-0.009000003337860107,0.0,-0.34999996423721313,-0.010000020265579224,0.006400001235306263,0.002249999903142453,0.0011999999405816195,0.005800000391900538,-0.0005000000819563866,0.021800000220537186,-0.0017000008374452626,5.0,7.0,02-17,-0.031062498678996537
01-04,-0.03899999707937242,-0.009000003337860107,0.0,0.5189000125974417,-0.010000020265579224,0.006400001235306263,0.002199999988079072,0.0011999999405816195,0.005800000391900538,-0.0005000000819563866,0.021800000220537186,0.003600001335144043,7.0,5.0,02-18,0.04178333291201852
01-05,-0.03899999707937242,0.01199999451637268,0.0,0.5189000125974417,-0.010000020265579224,0.006400001235306263,0.002199999988079072,0.0011999999405816195,0.005800000391900538,-0.0005000000819563866,0.016900001093745225,0.003600001335144043,8.0,4.0,02-19,0.04312499947263859
01-06,-0.03899999707937242,0.01199999451637268,0.0,-0.34999996423721313,-0.010000020265579224,0.006400001235306263,-0.007699999492615459,0.0011999999405816195,0.005800000391900538,0.0005999999120831507,0.021900000050663955,-0.0013999994844198262,6.0,6.0,02-20,-0.03001666537602432
01-07,-0.03899999707937242,0.01199999451637268,0.0,-0.2799999713897705,-0.010000020265579224,0.006400001235306263,-0.0004999996162950984,0.0011999999405816195,0.005800000391900538,0.00019999966025352651,0.020899998024106026,-0.001599999144673351,6.0,6.0,02-21,-0.023716666143930826
01-08,-0.03899999707937242,0.0,0.0,0.11000001430511475,-0.010000020265579224,0.006400001235306263,0.0002999999560415762,-0.0007999999797903003,0.014000000432133675,0.0037999991327524203,0.03471999801695347,-0.001599999144673351,6.0,6.0,02-22,0.009818333050740572
01-09,-0.11399999260902408,0.0,0.0,0.10000002384185791,-0.010000020265579224,0.006400001235306263,0.0013000001199543485,-0.002200000046286732,0.01600000075995922,0.0037999991327524203,0.03001999855041504,-0.001599999144673351,6.0,6.0,02-23,0.0024766676312234846
01-10,-0.07499999552965166,0.0,0.0,0.10000002384185791,-0.010000020265579224,0.01129999989643693,0.008999999612569809,-0.002200000046286732,0.01600000075995922,0.006039999425411224,0.03001999855041504,-0.004599997773766518,6.0,6.0,02-24,0.0067133340392805
01-11,-0.07499999552965166,0.0,0.0,0.10000002384185791,-0.010000020265579224,-0.009999999776482582,0.004000000655651091,-0.0002000001259148121,0.01600000075995922,0.003499999642372133,0.028200000524520874,-0.002229997888207439,5.0,7.0,02-25,0.004522500986543793
01-12,-0.07499999552965166,-0.009000003337860107,0.0,0.10000002384185791,-0.010000020265579224,0.0,-0.0016999994404613963,-0.0002000001259148121,0.01660000067204237,0.012000000104308128,0.03580000065267086,0.0032999999821186066,5.0,7.0,02-26,0.00598333387946089
01-13,-0.07499999552965166,-0.009000003337860107,0.0,0.11000001430511475,-0.010000020265579224,0.009999999776482579,-0.0016999994404613963,-0.0002000001259148121,0.011599999852478504,-0.0028999997302889807,0.025999998673796654,0.0032999999821186066,5.0,7.0,02-27,0.005174999513352909
01-14,-0.07499999552965166,0.017999999225139618,0.0,0.1599999666213987,-0.010000020265579224,0.0010000001639127731,-0.0010999995283782473,-0.0002000001259148121,0.01660000067204237,-0.0028999997302889807,0.025999998673796654,0.0026000011712312733,6.0,6.0,02-28,0.011249995945642374
