,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-03,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-04,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-05,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-06,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-07,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-08,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-09,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-10,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-11,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-12,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-13,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-14,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-15,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-16,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-17,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-18,0.0,0.0,0.0,0.0,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,1.0,8.0,0.7175669864660661
01-19,0.0,0.0,0.0,20.51249474979844,15.060137599588261,0.0,-7.166900748461534,0.0,0.0,0.0,0.0,2.0,7.0,2.5823392364477424
01-20,0.0,0.0,0.0,20.51249474979844,15.060137599588261,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,4.772337206587602
01-21,0.0,0.0,0.0,20.51249474979844,15.060137599588261,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,4.772337206587602
01-22,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-23,0.0,0.0,7.999870459085503,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,4.0,5.0,4.448124793810928
01-24,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-25,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-26,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-27,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-28,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-29,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-30,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,0.0,0.0,0.0,16.923076923076923,0.0,3.0,6.0,3.720863842984974
01-31,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,4.0,5.0,5.789227009677138
02-01,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,4.0,5.0,5.789227009677138
02-02,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,4.0,5.0,5.789227009677138
02-03,0.0,0.0,0.0,20.51249474979844,3.4939305999593517,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,4.0,5.0,5.789227009677138
02-04,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-05,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-06,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-07,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-08,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-09,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-10,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,16.923076923076923,0.0,3.0,6.0,5.47159695513538
02-11,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-12,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-13,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-14,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-15,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-16,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-17,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-18,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-19,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-20,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,0.0,3.0,6.0,4.641806908812958
02-21,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.983950553160525,3.0,6.0,0.5523568585256374
02-22,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.983950553160525,3.0,6.0,0.5523568585256374
02-23,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.983950553160525,3.0,6.0,0.5523568585256374
02-24,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.98323858587265,3.0,6.0,0.5524215828245354
02-25,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.98323858587265,3.0,6.0,0.5524215828245354
02-26,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.98323858587265,3.0,6.0,0.5524215828245354
02-27,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.98323858587265,3.0,6.0,0.5524215828245354
02-28,0.0,0.0,0.0,20.51249474979844,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.98323858587265,3.0,6.0,0.5524215828245354
02-29,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,0.0,-44.98323858587265,1.0,2.0,-2.021022159296258
03-01,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,7.795386413530285,-44.98323858587265,2.0,7.0,-1.3123506671571412
03-02,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
03-03,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
03-04,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
03-05,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
03-06,0.0,0.0,-8.695499124843932,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.8103434317913822
03-07,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
03-08,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
03-09,0.0,0.0,0.0,0.0,0.0,0.0,22.75199483361381,0.0,0.0,-10.987034872602434,-44.98323858587265,1.0,8.0,-3.0198435113510245
