,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.20000076293944957,0.0,2.639999389648441,-0.39999961853027344,-1.6599998474121094,0.5,0.0,4.200000762939446,0.0,1.3999996185302805,0.0,0.490001678466804,6.0,6.0,02-16,0.6141668955485032
01-03,0.20000076293944957,0.0,2.639999389648441,0.049999237060546875,-1.6599998474121094,0.5,0.0,4.200000762939446,0.0,1.4499988555908239,0.0,0.490001678466804,7.0,5.0,02-17,0.6558334032694502
01-04,0.20000076293944957,0.0,2.639999389648441,0.049999237060546875,-1.6599998474121094,0.5,0.0,4.200000762939446,0.0,-0.10000228881835227,0.0,0.490001678466804,6.0,6.0,02-18,0.5266666412353521
01-05,0.20000076293944957,0.0,2.639999389648441,0.049999237060546875,-1.6599998474121094,0.5,0.0,4.200000762939446,0.0,-0.10000228881835227,0.0,0.490001678466804,6.0,6.0,02-19,0.5266666412353521
01-06,0.20000076293944957,0.0,2.639999389648441,0.049999237060546875,-1.6599998474121094,0.5,0.0,4.200000762939446,0.0,-0.10000228881835227,0.0,0.490001678466804,6.0,6.0,02-20,0.5266666412353521
01-07,0.20000076293944957,0.0,2.639999389648441,0.049999237060546875,-1.6599998474121094,0.5,0.0,4.200000762939446,0.0,-1.5500011444091761,0.0,0.490001678466804,6.0,6.0,02-21,0.40583340326945017
01-08,0.20000076293944957,0.0,2.639999389648441,0.049999237060546875,0.0,0.5,0.0,4.200000762939446,0.0,-1.6000022888183558,0.0,0.490001678466804,6.0,6.0,02-22,0.5399999618530277
01-09,0.20000076293944957,0.0,2.639999389648441,2.25,0.0,0.5,0.0,4.200000762939446,0.0,-0.40000152587890625,0.0,0.490001678466804,6.0,6.0,02-23,0.8233334223429362
01-10,0.20000076293944957,0.0,2.639999389648441,2.25,0.0,0.5,0.0,4.200000762939446,0.0,-0.40000152587890625,0.0,0.490001678466804,6.0,6.0,02-24,0.8233334223429362
01-11,0.20000076293944957,0.0,2.639999389648441,2.25,0.0,0.5,0.0,4.200000762939446,0.0,-0.40000152587890625,0.0,-0.05999755859375,5.0,7.0,02-25,0.7775001525878901
01-12,0.20000076293944957,0.0,2.639999389648441,2.25,0.0,0.5,0.0,6.0,0.0,-0.40000152587890625,0.0,-0.05999755859375,5.0,7.0,02-26,0.9275000890096029
01-13,0.20000076293944957,0.0,2.639999389648441,2.25,0.0,0.5,0.0,6.0,0.0,-0.40000152587890625,0.0,0.09000015258789062,6.0,6.0,02-27,0.9399998982747396
01-14,0.20000076293944957,0.0,2.639999389648441,2.25,0.0,0.0,0.0,5.25,0.0,-0.40000152587890625,0.0,0.09000015258789062,5.0,7.0,02-28,0.8358332316080729
01-15,0.0,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.25,0.0,0.09999847412109375,0.0,0.09000015258789062,5.0,7.0,02-29,0.8191665013631187
01-16,0.0,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.25,0.0,0.09999847412109375,0.0,0.09000015258789062,5.0,7.0,03-01,0.8191665013631187
01-17,-4.25,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.150001525878906,0.0,0.09999847412109375,0.0,0.07999801635741477,5.0,7.0,03-02,0.45583311716715463
01-18,-4.25,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.150001525878906,0.0,0.09999847412109375,0.0,0.07999801635741477,5.0,7.0,03-03,0.45583311716715463
01-19,-4.25,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.150001525878906,0.0,0.09999847412109375,0.0,0.07999801635741477,5.0,7.0,03-04,0.45583311716715463
01-20,-8.949999809265135,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.150001525878906,0.0,0.09999847412109375,0.0,0.07999801635741477,5.0,7.0,03-05,0.06416646639506007
01-21,-8.949999809265135,-0.5,2.639999389648441,2.25,0.0,0.0,0.0,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,0.07999801635741477,6.0,6.0,03-06,0.12083315849304184
01-22,-8.949999809265135,-0.5,1.889999389648441,2.25,0.0,0.25,0.0,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,0.07999801635741477,7.0,5.0,03-07,0.07916649182637518
01-23,-8.949999809265135,-0.5,1.889999389648441,2.25,0.0,0.25,0.0,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,0.07999801635741477,7.0,5.0,03-08,0.07916649182637518
01-24,-8.949999809265135,-0.5,1.889999389648441,2.25,0.0,0.25,0.0,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,-0.9000015258789134,6.0,6.0,03-09,-0.002500136693318833
01-25,-8.949999809265135,-0.5,1.889999389648441,2.25,0.0,0.0,2.529998779296882,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,-0.40000152587891336,6.0,6.0,03-10,0.229166428248088
01-26,-8.949999809265135,-0.5,1.889999389648441,2.25,0.0,0.0,2.529998779296882,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,-0.40000152587891336,6.0,6.0,03-11,0.229166428248088
01-27,-8.949999809265135,-0.5,-0.75,2.25,0.0,1.1000003814697301,2.529998779296882,5.150001525878906,0.0,0.09999847412109375,0.6800003051757812,-0.40000152587891336,6.0,6.0,03-12,0.10083317756652876
01-28,-8.949999809265135,-0.5,-0.75,2.25,0.0,1.1000003814697301,2.529998779296882,5.150001525878906,0.0,1.0999984741210938,0.6800003051757812,0.9000015258789062,7.0,5.0,03-13,0.29250009854634706
01-29,-8.949999809265135,-0.5,-0.75,2.25,0.0,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.0999984741210938,0.6800003051757812,0.9000015258789062,6.0,6.0,03-14,-0.14499990145365294
01-30,-8.949999809265135,-0.5,-0.75,2.25,0.0,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.0999984741210938,0.6800003051757812,0.9000015258789062,6.0,6.0,03-15,-0.14499990145365294
01-31,-5.5,-0.5,1.25,2.25,0.0,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.0999984741210938,0.6800003051757812,2.0,7.0,5.0,03-16,0.4008332888285328
02-01,-5.75,-0.5,1.25,2.25,0.0,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-17,0.3883334795633955
02-02,-6.75,-0.5,1.25,2.25,0.0,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-18,0.30500014623006216
02-03,-6.260000228881836,-0.5,1.25,2.25,0.0,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-19,0.34583346048990915
02-04,-6.260000228881836,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-20,0.2708333333333339
02-05,-6.260000228881836,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-21,0.2708333333333339
02-06,-6.75,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-22,0.2300000190734869
02-07,-6.75,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-23,0.2300000190734869
02-08,-7.5,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-24,0.1675000190734869
02-09,-7.5,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-25,0.1675000190734869
02-10,-7.5,-0.5,1.25,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,7.0,5.0,03-26,0.1675000190734869
02-11,-7.5,-0.5,-1.5,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,6.0,6.0,03-27,-0.061666647593179746
02-12,-7.5,-0.5,-1.5,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,6.0,6.0,03-28,-0.061666647593179746
02-13,-7.5,-0.5,-1.5,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,6.0,6.0,03-29,-0.061666647593179746
02-14,-7.5,-0.5,-1.5,2.6499996185302734,-1.3000011444091761,1.1000003814697301,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,6.0,6.0,03-30,-0.061666647593179746
02-15,-7.5,-0.5,-1.5,2.200000762939453,-1.3000011444091761,1.25,2.529998779296882,-0.09999847412109375,0.0,1.200000762939446,0.6800003051757812,2.0,6.0,6.0,03-31,-0.08666658401489229
