,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.020000010728836115,0.1899999976158142,0.1099999845027923,-0.030000001192092896,-0.009999997913837426,0.0,-0.009999999776482582,0.04000000096857548,0.009999997913837433,0.0,-0.019999999552965157,4.0,7.0,02-16,0.0236363610760732
01-03,-0.01000002026557928,0.1899999976158142,0.09000000357627863,-0.030000001192092896,-0.009999997913837426,0.0,-0.009999999776482582,0.04000000096857548,0.020000003278255463,0.0,0.0,4.0,7.0,02-17,0.025454544208266507
01-04,-0.01000002026557928,0.20999997854232788,0.050000011920928955,-0.030000001192092896,-0.009999997913837426,0.0,-0.009999999776482582,0.04000000096857548,0.009999997913837433,0.0,0.0,4.0,7.0,02-18,0.022727270017970688
01-05,-0.020000010728836115,0.23999997973442078,0.04000002145767212,-0.039999999105930314,-0.009999997913837426,0.0,-0.009999999776482582,0.04000000096857548,0.0,0.0,0.0,3.0,8.0,02-19,0.021818181330507447
01-06,-0.05000001192092901,0.22999998927116388,0.04000002145767212,-0.039999999105930314,0.0,0.0,-0.009999999776482582,0.030000001192092896,-0.009999997913837447,0.0,0.0,3.0,8.0,02-20,0.01727272756397723
01-07,-0.030000001192092896,0.22999998927116388,-0.010000020265579224,-0.04999999701976775,0.010000001639127738,0.0,-0.009999999776482582,0.019999999552965157,-0.009999997913837447,0.010000001639127731,0.0,4.0,7.0,02-21,0.014545452357693146
01-08,-0.07999998331069946,0.20000001788139338,0.009999990463256836,-0.04999999701976775,0.019999999552965164,0.0,-0.009999999776482582,0.019999999552965157,-0.01999999582767488,0.020000001415610317,0.0,5.0,6.0,02-22,0.010000002993778742
01-09,-0.05999997258186335,0.22999998927116388,0.0,-0.04999999701976775,0.019999999552965164,0.0,-0.009999999776482582,0.019999999552965157,-0.009999997913837433,0.020000001415610317,0.0,4.0,7.0,02-23,0.014545456590977583
01-10,-0.05999997258186335,0.2100000083446502,0.0,-0.04999999701976775,0.019999999552965164,0.0,-0.009999999776482582,0.019999999552965157,-0.009999997913837433,0.020000001415610317,0.0,4.0,7.0,02-24,0.012727276506749067
01-11,-0.05999997258186335,0.1699999868869781,-0.030000001192092896,-0.04999999701976775,0.010000001639127738,0.0,-0.009999999776482582,0.019999999552965157,-0.01999999582767488,0.04000000096857548,0.0,4.0,7.0,02-25,0.006363638422705911
01-12,-0.09999999403953552,0.12000000476837158,-0.030000001192092896,-0.04999999701976775,0.040000002831220634,0.0,-0.009999999776482582,0.019999999552965157,-0.0299999937415123,0.04000000096857548,0.0,4.0,7.0,02-26,2.0319765276953883e-09
01-13,-0.09999999403953552,0.10000002384185791,-0.009999990463256836,-0.04999999701976775,0.040000002831220634,0.0,-0.009999999776482582,0.019999999552965157,-0.0299999937415123,0.04000000096857548,0.0,4.0,7.0,02-27,4.741278562940417e-09
01-14,-0.09000000357627869,0.12000000476837158,0.0,-0.039999999105930314,0.040000002831220634,0.0,-0.009999999776482582,0.009999997913837426,-0.0299999937415123,0.04999999888241291,0.0,4.0,7.0,02-28,0.0045454552905126065
01-15,-0.04999998211860662,-0.030000030994415283,0.0,-0.039999999105930314,0.040000002831220634,0.0,0.0,0.009999997913837426,-0.0299999937415123,0.04000000096857548,0.0,3.0,8.0,02-29,-0.005454545840620998
01-16,-0.060000002384185847,-0.020000040531158447,0.0,-0.039999999105930314,0.05000000074505806,0.0,0.0,0.009999997913837426,-0.0299999937415123,0.04000000096857548,0.0,3.0,8.0,03-01,-0.004545457830483268
01-17,-0.03999999165534979,-0.020000040531158447,0.0,-0.039999999105930314,0.019999999552965164,0.0,0.0,0.009999997913837426,-0.009999997913837447,0.04000000096857548,-0.009999999776482586,3.0,8.0,03-02,-0.004545457322489138
01-18,-0.03000000119209295,-0.020000040531158447,0.0,-0.039999999105930314,0.029999997466802597,0.0,0.0,0.009999997913837426,-0.009999997913837447,0.04000000096857548,-0.009999999776482586,3.0,8.0,03-03,-0.0027272765609351133
01-19,-0.03000000119209295,-0.020000040531158447,0.0,-0.02000000327825545,0.059999998658895506,0.0,0.0,0.009999997913837426,-0.01999999582767488,0.04000000096857548,-0.009999999776482586,3.0,8.0,03-04,0.0009090869941494628
01-20,-0.02000001072883606,-0.020000040531158447,0.0,-0.02000000327825545,0.05000000074505806,0.0,0.0,0.0,0.0,0.04000000096857548,-0.009999999776482586,2.0,9.0,03-05,0.0018181770362637269
01-21,-0.01000002026557928,0.06000000238418579,0.0,-0.02000000327825545,0.05000000074505806,0.0,0.0,-0.009999997913837426,0.0,0.04000000096857548,-0.009999999776482586,3.0,8.0,03-06,0.009090907533060417
01-22,0.0,0.009999990463256836,0.0,-0.02000000327825545,0.040000002831220634,0.0,0.0,-0.019999999552965157,0.0,0.04000000096857548,-0.009999999776482586,3.0,8.0,03-07,0.003636362877759069
