,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,2.2222222222222223,6.38629076170592,7.114098056050774,7.689140441406908,-0.9649498301452508,1.964282989501966,13.184224845759035,-2.9870169503348216,0.42462804170978624,-0.024675028184247074,11.483577620835176,6.766621420598104,9.0,3.0,4.4382037159271315
01-03,2.2222222222222223,4.146734062490094,7.114098056050774,7.689140441406908,-0.9649498301452508,1.964282989501966,5.8269557648911565,-2.9870169503348216,0.42462804170978624,-0.5676197918015077,11.483577620835176,6.766621420598104,9.0,3.0,3.5932228372853845
01-04,2.2222222222222223,4.9050668534741595,7.114098056050774,7.689140441406908,-0.9649498301452508,1.964282989501966,5.8269557648911565,-6.729474824539336,0.42462804170978624,-0.5676197918015077,11.483577620835176,5.08975751875044,9.0,3.0,3.204807088529708
01-05,2.2222222222222223,4.9050668534741595,7.114098056050774,7.689140441406908,-0.9649498301452508,1.6833786248931941,5.604724012854291,-6.729474824539336,0.42462804170978624,-0.5676197918015077,11.483577620835176,5.08975751875044,9.0,3.0,3.162879078809238
01-06,-15.183243772831387,4.9050668534741595,7.114098056050774,0.7812522057640202,-0.9649498301452508,1.964282989501966,10.766965668401323,-6.729474824539336,0.42462804170978624,-0.5676197918015077,11.483577620835176,2.9257480281687354,8.0,4.0,1.4100276037157047
01-07,-15.183243772831387,4.9050668534741595,7.114098056050774,0.7812522057640202,-0.9649498301452508,1.6833786248931941,10.766965668401323,-6.729474824539336,0.8194590491310396,-0.5676197918015077,11.483577620835176,2.9257480281687354,8.0,4.0,1.419521490616745
01-08,-15.183243772831387,4.9050668534741595,7.114098056050774,0.7812522057640202,0.9649595170349105,1.6833786248931941,10.766965668401323,-6.729474824539336,0.8194590491310396,-0.5676197918015077,11.483577620835176,2.9257480281687354,9.0,3.0,1.5803472695484249
01-09,-15.183243772831387,-0.4746823313908243,7.114098056050774,0.7812522057640202,0.9649595170349105,1.6833786248931941,10.766965668401323,-6.460289670539551,4.916367642472566,-0.5676197918015077,11.483577620835176,2.9257480281687354,8.0,4.0,1.4958759830881192
01-10,-24.345547254761158,-0.4746823313908243,7.114098056050774,0.7812522057640202,0.9649595170349105,1.6833786248931941,10.766965668401323,-4.962842135720205,4.764311447127579,-0.5676197918015077,11.483577620835176,0.783668911036527,8.0,4.0,0.6659600447891506
01-11,-24.345547254761158,-0.4746823313908243,7.114098056050774,0.7812522057640202,0.9649595170349105,-3.7965596813962668,10.766965668401323,-4.962842135720205,4.764311447127579,-0.5676197918015077,5.8210636602533095,0.9878566386684061,7.0,5.0,-0.24556200014747
01-12,-32.311972092143534,-0.4746823313908243,7.114098056050774,-0.9457218138258455,0.9649595170349105,-3.7965596813962668,10.766965668401323,-4.962842135720205,4.764311447127579,-0.5676197918015077,5.8210636602533095,-0.8595384504284096,5.0,7.0,-1.207294828986558
01-13,-33.481883376527605,-0.4746823313908243,7.114098056050774,0.0,0.9649595170349105,-3.7965596813962668,11.756122878658793,-4.962842135720205,4.764311447127579,-0.5676197918015077,5.8210636602533095,4.448853886104576,6.0,6.0,-0.7011814893005388
01-14,-33.481883376527605,-0.4746823313908243,7.114098056050774,0.0,0.9649595170349105,-3.7965596813962668,7.380393434625344,-4.962842135720205,4.764311447127579,-0.5676197918015077,5.8210636602533095,4.448853886104576,6.0,6.0,-1.0658256096366596
01-15,-33.481883376527605,-1.2759158330559401,7.114098056050774,0.0,0.9649595170349105,-5.050142706157424,7.380393434625344,-4.962842135720205,4.764311447127579,-0.5676197918015077,5.8210636602533095,4.448853886104576,6.0,6.0,-1.2370603201721826
01-16,-33.481883376527605,-1.2759158330559401,7.114098056050774,0.0,0.9649595170349105,-5.050142706157424,7.380393434625344,-4.962842135720205,4.764311447127579,-0.5676197918015077,5.8210636602533095,4.448853886104576,6.0,6.0,-1.2370603201721826
01-17,-27.855152019398616,-0.3159569752764827,7.114098056050774,0.0,0.9649595170349105,-3.7607422428056045,7.380393434625344,-6.203000683347055,4.764311447127579,-0.5676197918015077,5.8210636602533095,3.664393405446937,6.0,6.0,-0.7494376826742011
