,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,1.0499992370605469,-0.23999977111816495,0.5756998062133798,0.5370000600814817,0.4500000476837158,0.46009993553161577,0.4000000953674321,-0.07999998331069946,-0.015800000401213765,0.0,0.0,0.0017999997362494486,7.0,5.0,02-16,0.2615666189036953
01-03,0.4499988555908203,-0.11999988555908203,0.6356997489929199,0.45179998874664307,0.4100000858306887,0.5699999332427976,0.49000000953674316,-0.09999999403953552,-0.014400000218302013,0.0,-0.0007999995723366746,0.0017999997362494486,7.0,5.0,02-17,0.23117489519063383
01-04,0.9299983978271449,-0.09000015258788974,0.7800002098083496,0.45480000972747825,0.39010000228881814,0.440000057220459,0.2910001277923584,-0.1499999761581421,-0.01599999936297536,0.0005000000819563866,0.000900000333786009,0.0017999997362494486,9.0,3.0,02-18,0.25275822305896606
01-05,0.9599990844726562,0.18000030517577947,0.5700001716613778,0.39479994773864746,0.355000019073487,0.4700000286102295,0.3400001525878906,-0.15999999642372137,-0.01599999936297536,0.0005000000819563866,0.000900000333786009,0.0017999997362494486,10.0,2.0,02-19,0.2580833094737803
01-06,0.4200000762939453,-0.9599995613098136,0.48000001907348633,0.2747999429702759,0.35000002384185813,0.5399999618530273,0.019999980926515004,-0.13999998569488525,-0.013999999035149814,0.003999999724328518,0.000900000333786009,0.0017999997362494486,9.0,3.0,02-20,0.08145837155946861
01-07,1.1399993896484375,-1.3799996376037607,0.5100002288818359,0.19200003147125266,0.36090004444122314,0.48400008678436257,0.029999971389770508,-0.08999997377395635,-0.006569999270141123,0.0020000003278255445,0.0020500002428889266,0.0017999997362494486,9.0,3.0,02-21,0.10384834518966568
01-08,1.1702995300292969,-1.3499994277954093,0.3899998664855957,0.21000003814697266,0.419999957084656,0.3640000820159912,-0.059999942779541016,-0.025800019502639715,-0.010499999858438967,0.0020000003278255445,0.0020500002428889266,0.0008999998681247252,8.0,4.0,02-22,0.09274584035544355
01-09,1.1099987030029332,-1.3199996948242188,0.359999656677247,0.21000003814697266,0.419999957084656,0.40400004386901855,0.0,-0.04989999532699585,-0.010499999858438967,0.00020000012591481122,0.0020500002428889266,-0.0030999998562037927,7.0,5.0,02-23,0.09356239244031449
01-10,1.0200004577636719,-1.559999942779542,0.17999982833862305,0.21000003814697288,0.4299999475479128,0.3999999761581421,-0.009999990463256836,-0.03999999165534973,-0.005399999208748344,0.00020000012591481122,0.0020500002428889266,-0.0023299995809793472,7.0,5.0,02-24,0.05204336038635419
01-11,0.9000015258789062,-1.619999885559082,0.3600001335144034,0.21000003814697288,0.33999991416931197,0.21299993991851784,-0.03000020980834961,-0.009999990463256836,-0.005399999208748344,-0.00039999978616833774,0.0020000003278255454,-0.0023299995809793472,6.0,6.0,02-25,0.029739288962446115
01-12,0.9900016784667969,-0.9600000381469727,0.15000009536743075,0.3899999856948855,0.12199997901916504,0.1990000009536741,-0.026900053024291548,-0.019600003957748413,-0.005399999208748344,-0.00039999978616833774,0.0018800003454089165,-0.002599999774247406,6.0,6.0,02-26,0.0698318038290987
01-13,1.1999988555908203,-1.3199996948242188,0.21000003814697177,0.12000000476837136,0.12199997901916504,0.2236000299453733,-0.006900072097777876,0.01600000262260437,-0.005499999970197676,-0.000800000037997961,0.0008800001814961433,-0.002599999774247406,7.0,5.0,02-27,0.04638992863086355
01-14,1.1999988555908203,-1.1700000762939453,0.4499998092651376,0.21000003814697288,0.12199997901916504,0.3336000442504883,-0.006900072097777876,0.03999999165534973,-0.004500000737607481,-0.000800000037997961,0.0008800001814961433,-0.002599999774247406,7.0,5.0,02-28,0.09763988076398783
01-15,1.3500003814697266,-0.9299998283386257,0.570000171661377,0.029999971389770508,0.14989995956420854,0.25349998474121116,0.22309994697570845,0.050000011920928955,-0.004500000737607481,-0.000800000037997961,0.0010000001639127723,-0.00020000012591481035,8.0,4.0,02-29,0.14100004988722484
01-16,1.5,-1.2300000190734863,0.4499998092651376,0.00030004978179909436,0.10009992122650102,0.23350000381469727,0.3799998760223393,0.12550000846385956,-0.00766000058501959,-0.000800000037997961,0.0010000001639127723,-0.00020000012591481035,8.0,4.0,03-01,0.12931163740965232
01-17,0.752700805664066,-1.0500001907348642,0.3600001335144043,0.029999971389770508,0.0,0.14999997615814187,0.3699998855590825,0.10000000894069672,-0.00766000058501959,-0.000800000037997961,0.0010000001639127723,-0.00020000012591481035,7.0,5.0,03-02,0.058753382492189844
01-18,0.7227001190185547,-0.9600000381469727,0.48000001907348633,0.0,-0.06000006198883123,0.2879999876022339,0.3599998950958252,0.1298999935388565,-0.00766000058501959,-0.000800000037997961,0.0010000001639127723,-0.0005200002342462531,6.0,6.0,03-03,0.07938499279165014
01-19,0.9027004241943395,-0.809999942779541,0.5100002288818368,-0.029999971389770508,-0.15999996662139915,0.27000010013580367,0.16009998321533248,0.11999998986721039,-0.00766000058501959,-0.000800000037997961,0.0010000001639127723,-0.0007200003601610669,6.0,6.0,03-04,0.07955173705704553
01-20,1.142700195312507,-0.4499998092651367,0.570000171661377,-0.12000000476837158,-0.13989996910095215,0.14300000667572021,0.16009998321533248,0.06000000238418579,-0.00766000058501959,0.0010000001639127723,0.0010000001639127723,-0.0007200003601610669,7.0,5.0,03-05,0.11329338129144224
01-21,1.139999389648441,-0.09000015258789062,0.5399999618530282,-0.12000000476837158,-0.060000061988830344,0.1799999475479126,0.12019991874694824,0.08999998867511744,-0.008500000461935997,-0.00020000012591481122,0.0010999999940395347,-0.0007200003601610669,6.0,6.0,03-06,0.14932324884769857
01-22,1.2299995422363317,0.1799998283386257,0.6899995803832999,-0.17669999599456787,-0.060000061988830344,0.1789999008178711,0.21009993553161666,0.08990001678466797,-0.008500000461935997,-0.00020000012591481122,0.0010999999940395347,-0.0008000000379979619,7.0,5.0,03-07,0.19449156212310048
01-23,0.8700008392333984,0.2400002479553196,0.5699996948242179,-0.17669999599456787,-0.020000100135803,0.009999990463256836,0.19009995460510298,0.1299000084400177,-0.00640000030398369,0.0002999999560415745,-0.001300000585615635,-0.0008000000379979619,7.0,5.0,03-08,0.15042505320161556
01-24,1.3200016021728516,0.09000015258789062,0.8096995353698722,0.029999971389770508,-0.07000005245208718,-0.03999996185302779,0.16000008583068848,0.13989999890327454,-0.0054000001400709135,0.0002999999560415745,-0.0026099998503923433,-0.0018000002019107342,7.0,5.0,03-09,0.20250761097607506
01-25,0.9900016784667969,-0.9600000381469735,0.9299998283386239,0.029999971389770508,-0.06009995937347412,0.1000001430511479,0.15000009536743164,0.14989998936653137,-0.0054000001400709135,0.0002999999560415745,-0.0026099998503923433,-0.0018000002019107342,7.0,5.0,03-10,0.11002430901862685
01-26,0.9225006103515625,-1.0799999237060538,0.8099999427795419,0.029999971389770508,0.02209997177124068,0.039999961853027344,0.16000008583068848,0.09000001847743988,-0.0054000001400709135,0.0002999999560415745,-0.002610000316053627,-0.0018000002019107342,8.0,4.0,03-11,0.08209088650376865
