,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,28.20512526604306,-12.048195885857533,-1.792113010749842,9.70463256375432,-13.013694044304017,20.999997854232788,0.0,16.393446147009282,18.69159232519492,-7.200002670288068,6.7567582806154425,5.2631529414422,7.0,5.0,5.996724980591046
01-03,27.50000316649672,-13.414636007878572,-0.35335656299810947,12.295079724630439,-8.21917819404135,24.000000953674316,0.0,21.538460127700667,17.92452342147772,-3.1999969482421697,4.054058190241914,0.0,6.0,6.0,6.843746489255132
01-04,25.641025053208633,-6.896551960383053,6.521741571708836,11.885244059517856,-14.383555715807656,26.66666515289784,0.0,16.393446147009282,16.981128043829415,-7.200002670288068,4.054058190241914,1.785712575121809,8.0,4.0,6.7874092039214
01-05,27.50000316649672,-6.976744347227255,7.971015556898707,9.016394403729823,-11.564622705849704,37.39837650518687,-1.5873000855468575,22.22222011976559,15.566034977356974,-8.000001907348633,6.66666825612386,-5.769236941309597,7.0,5.0,7.703567249856374
01-06,27.77778329672615,-9.302323486045513,19.927534573069636,10.245901399067549,-17.985611695889382,41.66667042958601,-1.4925358528601556,20.634920034218744,16.509430355005268,-9.83606573395495,12.500002793967694,5.1724090091395505,8.0,4.0,9.651509593502551
01-07,30.555558315029742,-8.13953391663639,16.66666810639239,12.499997596586923,-16.312058476469716,33.91304293742476,1.4925358528601556,17.46031986312503,16.894976945250594,-9.83606573395495,19.540231696270077,8.333334989017844,9.0,3.0,10.25575068124137
01-08,24.999999999999982,-15.294116657085524,18.339106940133593,11.428570038375659,-27.480918322887206,39.130434557260315,2.985080601935728,28.985505618860767,16.51376161839399,-10.743800920098607,17.241376475403356,15.000004967053535,9.0,3.0,10.092083743112132
01-09,27.77778329672615,-16.66667257982607,23.127037576089126,16.858231283021773,-26.717560238913645,39.130434557260315,-4.687504947651288,33.78378334839558,15.34883852453727,-14.406786767000481,18.390807511390996,16.66666997803569,8.0,4.0,10.717088461838784
01-10,30.303031808198032,-19.512198490446952,26.018813392995277,14.503812695444093,-25.190844070966477,40.31007723283626,-9.677419664956526,30.985912064005642,14.220185894304196,-14.406786767000481,20.68965588114916,15.000004967053535,8.0,4.0,10.27035374521798
01-11,23.333334989017835,-27.272732902445938,27.665706923105187,15.648849821404456,-24.615389553047677,38.461535287326484,-11.475408394405292,33.78378334839558,15.596331328758096,-18.64407104995203,20.930233041681802,19.35483932991305,8.0,4.0,9.397251014145963
01-12,17.85714171674786,-43.42105882319722,28.24207524476552,14.88549173743088,-18.79699187467716,37.98449336604903,-9.677419664956526,38.961037603874644,21.55963367970737,-22.22222222222222,26.373626661536733,18.03278880745961,8.0,4.0,9.148216352709877
01-13,14.81481665446428,-42.1052705878367,34.870317814711655,18.148148180853028,-16.17647252177695,35.99999904632568,-8.196723073504641,40.25973769620765,21.266969253281655,-15.702473720756267,26.373626661536733,12.280700653653822,8.0,4.0,10.152781338096661
01-14,18.51852219781745,-44.7368470585578,31.692306811992953,15.413536563952778,-17.037038149002957,36.752133617112584,-8.196723073504641,46.753245898735884,12.85713685613074,-15.702473720756267,27.173912550528694,8.77193202602569,8.0,4.0,9.354970376706259
01-15,25.925927765575395,-30.120489714643835,35.83815016952527,14.772730659354682,-21.53846929764635,33.33333333333333,-9.836065733954968,41.33333365122478,2.1390353877556603,-18.64407104995203,27.777778513637607,1.754384313814067,8.0,4.0,8.561298166501967
01-16,21.428572188834753,-18.823524956884807,45.58823357541392,19.354837607036284,-20.0,29.059827884195,-16.666660043928623,41.42857094200289,1.081080036149435,-20.689656589884557,29.999998675452304,-8.77193202602569,7.0,5.0,8.582445607696743
01-17,26.66666997803569,-17.441857402681904,50.88495491198716,16.666668138386264,-18.46153987229932,28.925620893190857,-20.96774100513042,40.57971045791139,4.188477754141906,-18.103452085314782,31.111108756359652,-18.867930045286037,7.0,5.0,8.765057539941703
