,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.34249782562256037,-1.7928981781005895,-0.6105976104736364,0.8880939483642578,-0.7011470794677699,0.6607093811035156,3.6473789215087855,-6.499921798706055,2.5360450744628906,0.3490753173828054,-0.6988296508788991,-2.7671356201171875,6.0,6.0,02-16,-0.3872274557749435
01-03,0.17903423309325994,-2.0693359375,-1.0746479034423828,1.2348766326904297,-0.639801025390625,0.7331199645996094,5.424776077270508,-6.321195602416989,2.248939514160149,-0.12605667114257102,-0.649616241455071,-2.1500015258789062,5.0,7.0,02-17,-0.2674923737843824
01-04,0.07005596160888494,-1.7771015167236364,-0.7815532684326172,1.1672115325927734,-0.7449665069580007,0.018096923828125,5.609922409057617,-4.60920715332032,2.2202301025390554,-1.2217750549316406,1.3189125061035227,-2.4287109375,6.0,6.0,02-18,-0.09657375017801965
01-05,-0.1712493896484375,-2.2352085113525355,-0.7001457214355469,1.4378681182861328,-0.7361984252929652,0.07240486145019531,5.665468215942383,-4.628017425537109,1.569477081298821,-1.3575210571289062,1.5157585144042969,-2.8965377807617188,5.0,7.0,02-19,-0.20532512664794922
01-06,0.4592552185058594,-2.16412162780761,-0.9118194580078125,1.8184833526611328,-0.7449607849121094,0.5158958435058594,7.405834197998036,-4.543361663818359,1.9809837341308523,-1.2314682006835938,2.78546142578125,-3.3743209838867188,6.0,6.0,02-20,0.16632175445556552
01-07,-0.2802238464355451,-1.5954494476318324,-1.0583629608154297,1.928430557250973,-0.525848388671875,0.5973548889160192,7.091087341308587,-2.9724693298339915,1.9235649108886719,-0.6981582641601562,3.6909828186035156,-3.533576965332017,5.0,7.0,02-21,0.3806109428405766
01-08,-0.30357646942138494,-2.2747020721435547,-1.099069595336914,1.8692264556884766,-0.08764457702636719,-0.17197227478026988,6.822624206542958,-2.2387619018554688,2.3924903869628906,-0.5430145263671875,0.5511894226074219,-2.5680618286132812,4.0,8.0,02-22,0.19572726885477656
01-09,0.27243709564208984,-2.3536758422851527,-1.0420818328857422,1.6493167877197266,-0.10517311096191406,-0.045257568359367895,6.572673797607418,-1.7872467041015554,2.3733558654785085,-0.7175521850585938,-0.7480392456054688,-3.1354293823242188,4.0,8.0,02-23,0.07777730623881081
01-10,0.15567684173583984,-2.5116405487060582,-1.3758716583251953,1.4040355682373047,-0.4908027648925781,-0.751220703125,6.628223419189446,-1.3451309204101634,2.3637847900390625,-0.3199920654296804,0.9153671264648366,-5.872695922851577,5.0,7.0,02-24,-0.10002223650614687
01-11,-0.3035783767700213,-2.4168624877929688,-1.3840160369873082,1.4801597595214844,-0.7624893188476562,-0.37108802795410156,6.711536407470696,-2.5679893493652344,2.1915283203125,0.6787643432617188,2.4311294555664134,-6.221076965332017,5.0,7.0,02-25,-0.044498523076374585
