,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-1.7900009155273402,1.689999580383299,1.0799999237060565,-0.08000040054321378,0.41999995708465576,-0.2200000286102295,0.21000003814697243,0.6199998855590811,0.1700000762939453,0.38000011444091797,0.03000020980834961,8.0,4.0,02-16,0.2091665367285412
01-03,0.0,-1.7900009155273402,1.8999996185302699,1.0799999237060565,0.019999980926513672,0.41999995708465576,-0.12000000476837158,0.23000001907348655,0.6199998855590811,0.1700000762939453,0.38000011444091797,0.03000020980834961,9.0,3.0,02-17,0.24499990542729702
01-04,0.0,-0.9100008010864205,1.9800004959106445,1.0900001525878906,0.03999996185302557,0.2999999523162842,-0.12000000476837158,0.33000004291534446,0.6199998855590811,0.1700000762939453,0.38000011444091797,0.03000020980834961,9.0,3.0,02-18,0.3258333404858909
01-05,0.0,-0.9400005340576136,1.640000343322754,1.1900005340576207,0.039999961853027344,0.2999999523162842,-0.0700000524520874,0.5300000905990605,0.2200002670288086,0.11999988555908292,0.38000011444091797,0.03000020980834961,9.0,3.0,02-19,0.2866667310396837
01-06,0.0,-1.1800003051757812,1.5399999618530273,1.1900005340576207,-0.009999752044677734,0.3500000238418579,-0.0700000524520874,0.5300000905990605,0.2200002670288086,-0.17999982833862216,0.38000011444091797,0.03000020980834961,7.0,5.0,02-20,0.23333343863487285
01-07,0.0,-1.1900005340576136,1.4899997711181623,0.8200006484985352,-0.17999982833862216,0.36000001430511497,-0.11000001430511475,0.5300000905990605,0.2200002670288086,-0.19000005722045898,0.38000011444091797,0.09000015258788974,7.0,5.0,02-21,0.18500005205472334
01-08,0.0,-1.2799997329711932,1.2699995040893555,0.7400007247924787,-0.04999971389770508,0.23000001907348644,-0.11000001430511475,0.4800001382827763,0.19000005722045898,-0.23999977111816406,0.38000011444091797,0.09000015258788974,7.0,5.0,02-22,0.14166678984959888
01-09,0.0,-1.4499998092651367,1.6399993896484357,0.8299999237060529,-0.11000013351440341,0.07000005245208762,-0.11000001430511475,0.4800001382827763,0.1700000762939453,-0.23999977111816406,0.38000011444091797,0.09000015258788974,7.0,5.0,02-23,0.14583334326744055
01-10,0.0,-1.3899993896484375,1.5199995040893555,0.5799999237060547,-0.059999942779541016,-0.009999990463256836,-0.040000081062316895,0.8400000333786011,0.1700000762939453,-0.23999977111816406,0.38000011444091797,0.09000015258788974,6.0,6.0,02-24,0.15333338578542066
01-11,0.0,-1.2799997329711914,1.439999580383299,0.6800003051757812,-0.2799997329711914,-0.13999998569488525,0.06999993324279785,0.9800001382827763,0.1700000762939453,-0.23999977111816406,0.38000011444091797,0.09000015258788974,7.0,5.0,02-25,0.1558334231376646
01-12,0.0,-1.5600004196166992,1.4200000762939435,0.3400001525878906,-0.2999997138977051,-0.11000001430511452,0.06999993324279785,0.8799999952316284,0.1700000762939453,-0.23999977111816406,0.38000011444091797,0.09000015258788974,7.0,5.0,02-26,0.09500004847844422
01-13,0.0,-1.5600004196166992,1.439999580383299,0.37000083923339844,-0.26999998092651456,-0.11000001430511452,0.06999993324279785,0.8799999952316284,0.1700000762939453,-0.23999977111816406,0.38000011444091797,0.09000015258788974,7.0,5.0,02-27,0.10166670878728203
01-14,0.0,-1.9100008010864258,1.2899999618530273,0.37000083923339844,-0.48999977111816406,-0.05000007152557373,0.10000002384185769,0.8799999952316284,0.1700000762939453,-0.3800001144409171,0.38000011444091797,0.09000015258788974,7.0,5.0,02-28,0.03750003377596536
01-15,0.0,-2.3200006484985334,1.200000762939455,0.37000083923339844,-0.5999999046325701,0.08000004291534446,0.10000002384185769,1.1499998569488525,0.1700000762939453,-0.3800001144409171,0.38000011444091797,0.09000015258788974,8.0,4.0,02-29,0.020000100135803372
01-16,0.0,-1.9200010299682635,1.3100004196166992,0.45000076293945135,-0.6199998855590829,0.06999993324279785,0.10000002384185769,1.1499998569488525,0.1700000762939453,-0.3800001144409171,0.1700000762939453,0.09000015258788974,8.0,4.0,03-01,0.04916668931643129
01-17,-1.7100000381469709,-1.6800003051757812,1.6700000762939435,0.5700006484985369,-0.6300001144409189,-0.04999995231628418,0.16000008583068825,1.1499998569488525,-0.14999961853027344,-0.3800001144409171,0.1700000762939453,0.09000015258788974,6.0,6.0,03-02,-0.06583327054977411
01-18,-2.1099996566772443,-1.6800003051757812,1.5700006484985352,-0.17999935150146307,0.2200002670288086,-0.04999995231628418,0.16000008583068825,1.1499998569488525,-0.14999961853027344,-0.3800001144409171,0.1700000762939453,0.09000015258788974,6.0,6.0,03-03,-0.09916649262110365
01-19,-2.1099996566772443,-1.6800003051757812,1.5399999618530291,-0.17999935150146307,0.2800002098083496,-0.04999995231628418,0.1700000762939451,1.2899999618530273,-0.14999961853027344,-0.3800001144409171,0.20000004768371582,0.09000015258788974,6.0,6.0,03-04,-0.08166654904683389
01-20,-2.1099996566772443,-1.1399993896484375,1.060000419616701,0.189999580383299,0.2800002098083496,-0.08000004291534424,0.12000000476837136,1.2899999618530273,0.05000019073486328,-0.570000171661377,0.20000004768371582,-0.5799999237060547,7.0,5.0,03-05,-0.10749989748001086
01-21,-2.1099996566772443,-1.0499992370605469,1.1100006103515643,-0.15999984741211115,0.23999977111816406,-0.08000004291534424,0.059999942779541016,1.2899999618530273,0.05000019073486328,-0.570000171661377,0.20000004768371582,-0.5799999237060547,6.0,6.0,03-06,-0.1333331962426502
01-22,-2.1099996566772443,0.25,1.3600006103515643,-0.2899999618530291,0.23999977111816406,-0.020000100135803223,0.059999942779541016,1.2899999618530273,0.059999942779541016,-0.570000171661377,0.23000001907348588,-0.5799999237060547,7.0,5.0,03-07,-0.006666630506515392
01-23,-2.1099996566772443,-0.07999992370605113,1.050000190734865,-0.35999965667724787,0.48999977111816406,0.039999961853027344,0.13999998569488525,1.3599998950958252,0.03000020980834961,-0.7200002670288086,0.23000001907348588,-0.5799999237060547,7.0,5.0,03-08,-0.04249994953473368
01-24,-2.1099996566772443,-0.12000083923339133,1.25,-0.13000011444091975,0.5099997520446777,-0.1600000858306887,0.13999998569488525,1.3999998569488525,0.03000020980834961,-0.7200002670288086,0.23000001907348588,-0.5799999237060547,6.0,6.0,03-09,-0.021666755278904697
01-25,-2.9999999999999982,-0.1800003051757777,1.0,-0.13000011444091975,0.44999980926513583,-0.1499999761581421,0.18000006675720215,1.4199998378753662,0.03000020980834961,-0.7200002670288086,0.23000001907348588,-0.5,6.0,6.0,03-10,-0.11416672666867556
01-26,-2.9999999999999982,-0.3099994659423757,1.0,-0.1700000762939453,0.630000114440918,-0.2200000286102295,0.18000006675720215,1.4199998378753662,0.03000020980834961,-0.6300001144409171,0.4200000762939453,-0.8299999237060547,6.0,6.0,03-11,-0.12333327531814493
01-27,-2.9999999999999982,0.20000076293945668,0.719999313354494,0.4099998474121094,0.6599998474121094,-0.21000003814697288,0.18000006675720215,1.279999852180481,-0.1700000762939453,-1.1199998855590811,0.43000006675720215,-0.8299999237060547,7.0,5.0,03-12,-0.12083334724108313
01-28,-2.9999999999999982,0.6900005340576225,0.36999988555908203,0.2699995040893537,0.6599998474121094,-0.21000003814697288,0.20000004768371582,1.2699998617172243,-0.1700000762939453,-1.1199998855590811,0.43000006675720215,-0.6500000953674325,7.0,5.0,03-13,-0.10500002900759335
