,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.1184473037719727,0.2541017532348633,-0.7042818069458008,0.6322531700134286,0.7082834243774414,0.9403762817382812,1.8807525634765625,-3.841536521911621,1.8100004196166992,-1.25,1.9900007247924787,-0.09000015258788707,7.0,5.0,02-16,0.10095854600270611
01-03,-1.326530456542967,0.0,-0.6442580223083496,0.6202483177185059,0.7242898941040039,0.8643455505371112,2.284914016723633,-3.7014808654785156,1.7800006866455096,-1.1499996185302734,2.560000419616699,0.26000022888183594,7.0,5.0,02-17,0.1892941792805994
01-04,-1.294517517089842,0.13405370712280362,-0.6562623977661151,0.712285041809082,0.6402559280395517,1.144457817077635,2.056821823120117,-2.865145683288574,1.5900001525878924,-1.0699996948242188,2.1600008010864276,0.3499984741210902,8.0,4.0,02-18,0.2418290376663208
01-05,-1.5846335887908922,0.0340137481689462,-0.4681873321533203,0.828331470489502,0.8483390808105469,1.4405765533447248,2.3609447479248047,-3.025209426879881,1.0399999618530291,-1.0799999237060547,1.5999994277954084,0.529998779296875,8.0,4.0,02-19,0.21034779151280739
01-06,-1.8047220706939693,-0.028011322021483487,-0.836334228515625,0.8323330879211426,0.8283309936523438,1.4045619964599592,2.6210479736328125,-2.6010398864746076,1.1900005340576207,-0.9400005340576172,1.9099988937377876,0.4399986267089808,7.0,5.0,02-20,0.2513470053672787
01-07,-1.6046421527862544,-0.028011322021483487,-1.0324125289916992,0.7803120613098145,0.9123649597167978,0.6802721023559588,2.521007537841797,-2.116846084594725,1.3699998855590838,-0.9900016784667969,1.5399999618530256,0.4400005340576172,7.0,5.0,02-21,0.20600360631942796
01-08,-1.6826732158660893,0.15406179428100586,-1.2444972991943377,0.900360107421875,0.8043217658996582,0.44817924499512074,2.8411359786987322,-1.4925966262817418,1.4000005722045916,-0.9200000762939418,1.7199993133544922,0.4000015258789098,8.0,4.0,02-22,0.27735775709152294
01-09,-1.7426972389221187,0.054021835327150214,-1.4245696067810076,0.7883152961730957,0.680272102355957,0.5522212982177752,3.149259567260742,-1.4805917739868164,1.4100008010864276,-0.8799991607666016,1.5799989700317365,0.010000228881835938,8.0,4.0,02-23,0.22468602657318135
01-10,-1.4565825462341309,-0.046018123626708984,-1.4005599021911639,0.6682672500610343,0.5962386131286621,0.7763099670410138,3.1532611846923864,-1.8327322006225568,0.9799995422363281,-0.6499996185302734,1.7099990844726562,-0.9099998474121094,6.0,6.0,02-24,0.13234861691792812
01-11,-1.5846338272094727,0.05202102661132901,-1.936774730682374,0.49219655990600586,0.15206098556518555,0.8603439331054705,3.3813533782958984,-1.6126441955566424,0.7899999618530273,-1.019998550415039,1.0300006866455078,-0.9899997711181605,7.0,5.0,02-25,-0.032172878583272
01-12,-1.420568227767944,0.24609851837158203,-2.028810977935792,0.4521808624267578,0.20007991790771484,0.8883552551269549,3.385354995727539,-2.4009609222412074,0.9299993515014648,-1.0699996948242188,1.239999771118164,-2.559999465942383,7.0,5.0,02-26,-0.1781892180442806
01-13,-1.2284910678863525,0.16806745529174894,-1.9967980384826651,0.324129581451416,-0.08403348922729492,0.9803915023803729,2.8011207580566406,-1.54461669921875,0.7599992752075213,-1.6099987030029332,1.0499992370605469,-3.1399993896484375,6.0,6.0,02-27,-0.2933524648348489
01-14,-0.9923970699310303,0.21808719635009766,-2.1848740577697754,0.2561020851135254,-0.02400970458984375,0.7042818069458026,2.569027900695801,-1.3405361175537074,1.0,-1.260000228881843,0.6399993896484375,-2.609999656677246,6.0,6.0,02-28,-0.2520265380541485
01-15,-0.9703881740570068,0.11604642868041992,-2.400960445404052,0.23609447479248047,0.060024261474609375,0.6122455596923846,2.4969987869262713,0.012004852294923651,0.9000005722045916,-1.2899990081787145,0.42000007629394176,-2.5299997329711914,8.0,4.0,02-29,-0.19482769568761182
