,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,1.9748268127441406,3.611049652099613,-2.2563247680664062,-0.38881683349608664,1.4887962341308594,-1.8939437866210938,2.3675460815429688,-5.538581848144531,2.967546463012688,0.09727859497070312,6.0,4.0,02-16,0.22085241837935046
01-03,0.0,1.4613876342773438,3.522384643554691,-2.5179367065429688,-0.5459899902343821,1.5141868591308665,-1.6085472106933594,3.6532936096191406,-5.864383697509773,2.967546463012688,0.09727859497070312,6.0,4.0,02-17,0.24356547268954093
01-04,0.0,2.251312255859375,4.078548431396481,-2.2236289978027344,-1.7289657592773438,1.920227050781257,-1.3836936950683594,2.686767578125,-6.543128967285156,3.350152969360348,1.5273284912109446,6.0,4.0,02-18,0.35771994157271014
01-05,0.0,2.251312255859375,4.586353302001953,-1.8720932006835866,-0.7610778808593679,2.4277687072753906,-2.490650177001953,2.3054771423339844,-7.393825531005859,2.332973480224606,0.3696708679199219,6.0,4.0,02-19,0.15962808782404217
01-06,0.0,2.251312255859375,4.787858963012695,-2.1173515319824148,0.5211715698242188,4.2972412109375,-1.816089630126946,2.766571044921875,-7.384773254394531,2.948881149291985,0.3696708679199219,7.0,3.0,02-20,0.6022266041148799
01-07,0.0,2.251312255859375,5.3359775543212855,-1.5614509582519531,0.26471710205078125,3.9504127502441406,-1.6690750122070312,1.737976074218757,-5.493328094482422,3.126186370849606,0.3696708679199219,7.0,3.0,02-21,0.7556726282293146
01-08,0.0,2.4882888793945312,5.255376815795895,-2.3871307373046875,-0.6121749877929688,4.441043853759766,-1.0896530151367188,1.516296386718757,-5.819129943847656,2.920886993408203,0.3696708679199219,6.0,4.0,02-22,0.6439522829922766
01-09,0.0,2.2118072509765625,4.376794815063473,-2.460704803466797,-0.2729949951171875,5.557647705078132,-1.3923416137695312,1.516296386718757,-6.081577301025391,3.014204025268551,0.3696708679199219,6.0,4.0,02-23,0.6217093034224083
01-10,0.0,1.5798721313476562,3.385360717773434,-2.0764808654785156,0.115814208984375,6.488159179687507,-1.0377769470214844,1.4896888732910156,-6.081577301025391,2.7902374267578125,-0.41831588745116477,6.0,4.0,02-24,0.5668165033513859
01-11,0.0,2.290813446044922,3.8286743164062464,-0.8502197265625071,0.45499420166015625,6.293601989746094,-1.9371795654296946,1.2768745422363281,-6.081577301025391,2.127674102783203,0.2140197753906321,7.0,3.0,02-25,0.6925159801136354
01-12,0.0,2.290813446044922,4.086610794067376,-0.70306396484375,1.5635223388671946,7.105670928955071,-1.2193832397460938,0.9133224487304616,-6.081577301025391,0.7745456695556605,-0.3307609558105469,6.0,4.0,02-26,0.7636091058904458
01-13,0.0,1.8958549499511719,3.5707416534423864,-1.5859718322753977,1.0092620849609446,5.439220428466797,-1.1069602966308665,2.2256698608398438,-5.574775695800781,0.7745456695556605,-0.3307609558105469,6.0,4.0,02-27,0.5742568969726556
01-14,0.0,1.9353370666503977,0.7818565368652344,-1.9865455627441477,0.8438034057617259,6.699623107910163,-1.8939437866210938,2.18133544921875,-5.574775695800781,1.0265083312988246,-2.9962940216064453,6.0,4.0,02-28,0.09244589372114799
01-15,0.0,1.1138076782226562,0.30629730224609375,-3.907695770263672,1.133342742919929,5.6506919860839915,0.9253501892089915,1.5783653259277415,-5.7105255126953125,1.2131481170654297,-2.9962940216064453,7.0,3.0,02-29,-0.06304654208096333
01-16,0.0,2.4092941284179688,0.9027557373046875,-3.654277801513672,0.28953933715821023,5.963680267333984,0.13837051391601562,1.5783653259277415,-6.108726501464844,0.8678684234619141,-2.9962940216064453,7.0,3.0,03-01,-0.05540223555131263
01-17,0.0,2.9622535705566406,0.846343994140625,-5.060394287109375,0.5790824890136648,6.242835998535156,-1.2366790771484375,1.8621139526367188,-7.303321838378906,1.1664867401123047,-3.930200576782223,6.0,4.0,03-02,-0.3519526394930756
01-18,0.0,2.172321319580078,0.6287117004394531,-4.4390716552734375,2.010234832763672,6.2935829162597585,0.6226615905761719,2.50054931640625,-7.303321838378906,0.11198234558104758,-3.930200576782223,7.0,3.0,03-03,-0.12114091352983052
01-19,0.0,2.369800567626953,1.8216476440429688,-4.422729492187493,1.6462440490722656,5.811420440673828,1.0118331909179688,2.8197669982910156,-8.715110778808594,0.21463203430175426,-6.070407867431641,7.0,3.0,03-04,-0.31935483759099753
01-20,0.0,2.3303070068359375,-0.42720413208008523,-4.30828857421875,0.3557281494140625,5.270030975341797,1.8939437866210938,2.4473457336425852,-8.95945739746093,0.765213012695309,-6.070407867431641,6.0,4.0,03-05,-0.6093444824218747
01-21,0.0,2.7647705078125,-0.9188880920410014,-4.349159240722649,0.15717697143554688,5.168521881103516,2.205272674560547,1.2591552734375,-9.230960845947266,0.22396469116210938,-6.070407867431641,6.0,4.0,03-06,-0.7991412769664398
01-22,0.0,2.4487991333007812,-0.8866424560546875,-4.1693153381347585,0.529438018798821,5.380004882812493,0.4324035644531321,1.4187583923339844,-9.230960845947266,0.06532287597656605,-6.070407867431641,6.0,4.0,03-07,-0.9165999672629613
01-23,0.0,2.09332275390625,-0.8463439941406108,-4.103904724121094,2.8705787658691406,4.161888122558601,1.5739555358886719,1.3123550415039062,-11.502506256103516,-0.08398628234862571,-6.070407867431641,5.0,5.0,03-08,-0.9631862640380834
01-24,0.0,1.77734375,-0.17733001708985086,-4.259246826171882,2.357685089111328,4.720203399658203,1.42694091796875,2.2168006896972656,-11.728755950927734,-0.9985141754150355,-6.848665237426758,5.0,5.0,03-09,-1.0466853055087013
01-25,0.0,3.199237823486328,-0.4191398620605469,-4.839664459228523,3.7143821716308594,4.398738861083984,1.2626266479492188,1.7113685607910156,-12.018348693847663,-1.465108871459961,-6.624916076660153,5.0,5.0,03-10,-1.0073476271195856
01-26,0.0,2.4093093872070312,-0.5481147766113281,-4.717037200927734,2.9119415283203054,3.8827476501464844,1.0291366577148438,2.2168006896972656,-12.235553741455078,-1.0078449249267543,-8.298170089721676,5.0,5.0,03-11,-1.30516225641424
01-27,0.0,3.001758575439453,-0.3385467529296875,-4.913242340087898,1.8695945739746094,4.407207489013672,1.4096488952636719,2.8818321228027344,-11.42105865478515,-1.0078449249267543,-8.268985748291009,5.0,5.0,03-12,-1.1254215240478507
01-28,0.0,2.9622535705566406,0.3466033935546875,-5.183017730712898,0.744537353515625,4.804779052734382,0.9772453308105469,3.591217041015625,-10.706108093261719,-1.4464454650878835,-8.268985748291009,6.0,4.0,03-13,-1.1070837541060001
01-29,0.0,4.147159576416016,0.7737998962402344,-5.510017395019531,1.5056076049804688,5.007808685302734,0.8388671875000071,3.7419624328613352,-11.7197036743164,-1.6237506866455043,-8.268985748291009,6.0,4.0,03-14,-1.0097501928156043
