,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.0,2.6227149963378906,3.059833526611328,0.08941268920897727,-9.236530303955078,1.4029350280761683,5.069042205810547,0.0,-1.216884613037113,5.0,5.0,02-16,0.16277486627752003
01-03,0.0,0.0,0.0,2.6227149963378906,-0.8742408752441406,-1.3411788940429688,-9.236530303955078,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,3.0,7.0,02-17,-0.30791594765403085
01-04,0.0,0.0,0.0,2.6227149963378906,0.0,-0.268230438232429,-9.236530303955078,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,3.0,7.0,02-18,-0.13089873573996902
01-05,0.0,0.0,0.0,2.6227149963378906,0.0,-0.357646942138679,-9.236530303955078,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,3.0,7.0,02-19,-0.13902750882235537
01-06,0.0,0.0,0.0,2.6227149963378906,0.0,-0.5364685058593821,-9.236530303955078,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,3.0,7.0,02-20,-0.15528401461514657
01-07,0.0,0.0,0.0,2.6227149963378906,0.0,0.0,-6.310110092163086,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,3.0,7.0,02-21,0.15952405062588745
01-08,0.0,0.0,0.0,2.6227149963378906,-1.7484779357910156,0.0,-6.310110092163086,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,3.0,7.0,02-22,0.0005715110085224043
01-09,0.0,0.0,0.0,2.6227149963378906,-1.7484779357910156,1.0729484558105398,-6.5844612121582,1.5900020599365234,5.069042205810547,0.0,-1.216884613037113,4.0,6.0,02-23,0.07317126880992478
01-10,0.0,0.0,0.0,2.6227149963378906,-4.808311462402344,1.1623573303222656,-6.5844612121582,1.5900020599365234,0.6583099365234375,0.0,-1.216884613037113,4.0,6.0,02-24,-0.5978429967706854
01-11,0.0,0.0,0.0,2.6227149963378906,-4.808311462402344,1.1623573303222656,-6.5844612121582,1.5900020599365234,0.009403228759765625,0.0,-1.216884613037113,4.0,6.0,02-25,-0.6568345156582919
01-12,0.0,0.0,0.0,2.6227149963378906,-4.808311462402344,1.0729408264160156,-6.5844612121582,1.5900020599365234,0.009403228759765625,0.0,-1.216884613037113,4.0,6.0,02-26,-0.6649632887406782
