,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.6900005340576172,-0.25,0.7000007629394496,-2.370000839233395,0.2700004577636719,9.219997406005866,-7.010002136230469,5.149997711181641,7.459999084472663,-0.24000167846679688,0.0,6.0,5.0,02-16,1.1349992752075206
01-03,0.0,0.6900005340576172,-0.25,0.7000007629394496,-2.4799995422363317,0.0699996948242223,9.219997406005866,-7.010002136230469,5.149997711181641,7.459999084472663,-0.24000167846679688,0.0,6.0,5.0,02-17,1.1091659863789884
01-04,0.0,0.8200016021728516,-0.25,0.7000007629394496,-2.4799995422363317,0.020000457763671875,9.219997406005866,-7.010002136230469,5.149997711181641,2.9000015258789062,-0.24000167846679688,0.0,6.0,5.0,02-18,0.7358330090840658
01-05,0.0,-0.12999916076660156,-0.25,0.7000007629394496,-2.25,0.5699996948242188,9.219997406005866,-7.010002136230469,5.149997711181641,2.9000015258789062,-0.24000167846679688,0.0,5.0,6.0,02-19,0.7216661771138512
01-06,0.0,0.12000083923339844,-0.25,0.7000007629394496,-2.25,0.020000457763671875,9.219997406005866,-7.010002136230469,5.149997711181641,2.9000015258789062,-0.24000167846679688,0.0,6.0,5.0,02-20,0.696666240692139
01-07,0.0,0.12000083923339844,-0.25,0.7000007629394496,-2.25,0.5699996948242188,9.219997406005866,-7.010002136230469,5.229999542236328,2.9000015258789062,-0.24000167846679688,0.0,6.0,5.0,02-21,0.7491663297017418
01-08,0.0,0.12000083923339844,-0.25,0.05000114440917969,-2.25,0.5699996948242188,8.119998931884773,-7.010002136230469,5.229999542236328,2.9000015258789062,-0.24000167846679688,0.0,6.0,5.0,02-22,0.6033331553141282
01-09,0.0,0.12000083923339844,-0.5399990081787074,-0.09999847412110086,-2.25,0.5699996948242188,8.119998931884773,-7.010002136230469,5.229999542236328,2.9000015258789062,-0.24000167846679688,0.0,5.0,6.0,02-23,0.5666666030883792
01-10,0.0,0.12000083923339844,-0.5399990081787074,-0.09999847412110086,-2.25,0.0,8.119998931884773,-7.010002136230469,5.229999542236328,2.9000015258789062,-0.24000167846679688,0.0,4.0,7.0,02-24,0.5191666285196943
01-11,0.0,0.17000007629394176,-0.6199989318847692,-0.09999847412110086,-0.8000011444091797,0.2700004577636683,8.119998931884773,-7.010002136230469,5.229999542236328,4.479999542236335,-0.24000167846679688,0.0,5.0,6.0,02-25,0.7916663487752276
01-12,0.0,0.17000007629394176,-0.6199989318847692,-0.09999847412110086,-0.8000011444091797,0.2700004577636683,8.119998931884773,-5.820003509521484,5.229999542236328,4.479999542236335,-0.24000167846679688,0.0,5.0,6.0,02-26,0.8908329010009762
01-13,0.0,0.17000007629394176,-0.6199989318847692,-0.09999847412110086,-0.8000011444091797,0.2700004577636683,8.119998931884773,1.8299980163574219,5.829998016357422,2.7399978637695455,-0.24000167846679688,0.0,6.0,5.0,02-27,1.4333327611287439
01-14,0.0,0.17000007629394176,-0.25,-0.9300003051757884,0.10000038146971946,-0.14999961853026988,6.949996948242195,2.8199996948242188,5.779998779296875,3.5750007629394602,-0.24000167846679688,0.0,6.0,5.0,02-28,1.4854162534077961
01-15,0.0,0.17000007629394176,-0.25,-0.9300003051757884,0.15999984741210582,-0.14999961853026988,5.680000305175788,3.3799972534179688,5.779998779296875,3.5750007629394602,-0.24000167846679688,0.0,6.0,5.0,02-29,1.4312496185302737
01-16,0.0,0.17000007629394176,-0.25,-0.9300003051757884,0.15999984741210582,-0.14999961853026988,5.680000305175788,3.3799972534179688,5.779998779296875,3.5750007629394602,-0.94000244140625,0.0,6.0,5.0,03-01,1.3729162216186526
01-17,0.0,0.17000007629394176,-0.05999946594238281,-1.610000610351566,0.15999984741210582,-0.14999961853026988,5.680000305175788,3.3799972534179688,5.779998779296875,3.2050018310546875,-0.94000244140625,0.0,6.0,5.0,03-02,1.301249663035075
01-18,0.0,0.17000007629394176,-0.05999946594238281,-1.610000610351566,0.15999984741210582,-0.14999961853026988,5.680000305175788,3.3799972534179688,5.779998779296875,4.025001525878906,-0.94000244140625,0.0,6.0,5.0,03-03,1.369582970937093
01-19,0.0,0.17000007629394176,-0.05999946594238281,-1.360000610351566,0.6900005340576101,-0.14999961853026988,5.680000305175788,3.3799972534179688,5.779998779296875,4.025001525878906,-0.94000244140625,0.0,6.0,5.0,03-04,1.4345830281575518
01-20,0.0,0.17000007629394176,-0.05999946594238281,-1.470001220703125,1.039999008178711,-0.14999961853026988,5.850002288818359,3.3799972534179688,5.880001068115227,4.025001525878906,-0.94000244140625,0.0,6.0,5.0,03-05,1.4770832061767571
01-21,0.0,0.17000007629394176,0.12000083923340199,-1.470001220703125,1.039999008178711,-0.14999961853026988,5.850002288818359,3.3799972534179688,5.880001068115227,4.025001525878906,-1.3900032043457031,0.0,7.0,4.0,03-06,1.454583168029785
01-22,0.0,0.17000007629394176,0.12000083923340199,-1.470001220703125,1.039999008178711,-0.14999961853026988,5.850002288818359,3.3799972534179688,5.880001068115227,4.025001525878906,-1.3900032043457031,0.0,7.0,4.0,03-07,1.454583168029785
01-23,0.0,-0.3800010681152379,0.12000083923340199,-1.470001220703125,1.039999008178711,-0.14999961853026988,5.850002288818359,1.25,5.880001068115227,2.3950004577636648,-1.3900032043457031,0.0,6.0,5.0,03-08,1.095416545867919
01-24,0.0,-0.3800010681152379,0.12000083923340199,-1.470001220703125,1.039999008178711,-0.14999961853026988,5.850002288818359,1.25,5.880001068115227,2.3950004577636648,-1.3900032043457031,0.0,6.0,5.0,03-09,1.095416545867919
01-25,0.0,-0.3800010681152379,0.010000228881835938,-1.470001220703125,1.039999008178711,-0.14999961853026988,5.850002288818359,1.25,5.880001068115227,2.3950004577636648,-1.3900032043457031,-7.459999084472656,6.0,5.0,03-10,0.4645832379659005
01-26,0.0,-0.3800010681152379,0.850000381469723,-1.25,1.4399986267089915,-0.14999961853026988,5.850002288818359,1.1899986267089844,5.880001068115227,2.3950004577636648,-1.3900032043457031,-8.544998168945312,6.0,5.0,03-11,0.49083328247070224
01-27,0.0,-0.3800010681152379,0.850000381469723,-1.25,1.4399986267089915,-0.14999961853026988,5.450000762939453,1.1899986267089844,5.880001068115227,2.3950004577636648,-1.3900032043457031,-8.544998168945312,6.0,5.0,03-12,0.45749982198079336
01-28,0.0,-0.3800010681152379,0.850000381469723,-1.880001068115238,1.4399986267089915,-0.14999961853026988,5.450000762939453,1.1899986267089844,5.880001068115227,2.3950004577636648,-1.3900032043457031,-8.544998168945312,6.0,5.0,03-13,0.40499973297119024
01-29,0.0,-0.28000068664551137,0.4700012207031179,-1.880001068115238,1.4399986267089915,-0.14999961853026988,-0.22999954223633523,1.1899986267089844,5.880001068115227,2.3950004577636648,0.404998779296875,-8.544998168945312,6.0,5.0,03-14,0.05791664123534949
01-30,0.0,-0.8500003814697301,0.4700012207031179,-1.880001068115238,1.4399986267089915,-0.14999961853026988,-0.22999954223633523,1.1899986267089844,5.880001068115227,2.3950004577636648,0.404998779296875,-8.544998168945312,6.0,5.0,03-15,0.010416666666664595
01-31,0.0,-0.8500003814697301,-1.0699996948242223,-1.9300003051757777,1.4399986267089915,-0.14999961853026988,-0.22999954223633523,1.1899986267089844,5.880001068115227,-0.904998779296875,0.404998779296875,-8.544998168945312,4.0,7.0,03-16,-0.39708328247070374
02-01,0.0,-0.8500003814697301,-1.0699996948242223,-1.9300003051757777,1.2299995422363317,-0.14999961853026988,0.030002593994140625,1.1899986267089844,5.880001068115227,-0.904998779296875,1.5900001525878835,-8.544998168945312,5.0,6.0,03-17,-0.29416624704996835
02-02,0.0,-0.9200000762939453,-1.0699996948242223,-2.260000228881836,1.2299995422363317,-0.14999961853026988,0.030002593994140625,1.1899986267089844,5.880001068115227,-0.904998779296875,1.5900001525878835,-8.544998168945312,5.0,6.0,03-18,-0.3274995485941578
02-03,0.0,-0.9200000762939453,-1.0699996948242223,-2.260000228881836,1.2299995422363317,-0.14999961853026988,0.030002593994140625,1.1899986267089844,5.880001068115227,-0.904998779296875,1.5900001525878835,-8.544998168945312,5.0,6.0,03-19,-0.3274995485941578
02-04,0.0,-0.9200000762939453,-0.1100006103515625,-1.7999992370605504,1.2299995422363317,0.5300006866455114,0.030002593994140625,1.1899986267089844,5.880001068115227,-0.42000198364258523,1.5900001525878835,-8.544998168945312,6.0,5.0,03-20,-0.11208311716715642
02-05,0.0,-0.25,-0.1100006103515625,-1.7999992370605504,1.2299995422363317,0.5300006866455114,0.030002593994140625,1.1899986267089844,5.880001068115227,-0.42000198364258523,0.15999984741210938,-8.544998168945312,6.0,5.0,03-21,-0.1754164695739755
02-06,0.0,-0.25,-0.3600006103515625,-1.7999992370605504,1.2299995422363317,0.5300006866455114,1.120002746582017,1.1899986267089844,5.880001068115227,-0.42000198364258523,0.15999984741210938,-8.544998168945312,6.0,5.0,03-22,-0.10541645685831913
02-07,0.0,-0.25,-0.3600006103515625,-1.7999992370605504,1.9799995422363317,1.2299995422363281,1.120002746582017,1.1899986267089844,5.880001068115227,-0.42000198364258523,0.15999984741210938,-8.544998168945312,6.0,5.0,03-23,0.015416781107582267
02-08,0.0,-0.25,-0.3600006103515625,-1.3400001525878906,1.9799995422363317,1.2299995422363281,1.120002746582017,1.1899986267089844,5.880001068115227,-0.42000198364258523,0.15999984741210938,-8.544998168945312,6.0,5.0,03-24,0.05375003814697058
02-09,0.0,-0.25,-0.3600006103515625,-1.3400001525878906,1.9799995422363317,0.5799999237060582,1.120002746582017,1.1899986267089844,5.880001068115227,-0.42000198364258523,0.15999984741210938,-8.544998168945312,6.0,5.0,03-25,-0.00041659673055190655
02-10,0.0,-0.25,-0.3600006103515625,-1.3400001525878906,1.9799995422363317,0.5799999237060582,1.120002746582017,1.1899986267089844,0.7300033569335866,-0.42000198364258523,0.15999984741210938,-8.544998168945312,6.0,5.0,03-26,-0.4295830726623553
02-11,0.0,-0.25,-0.3600006103515625,-1.0,1.9799995422363317,-0.4600009918212855,1.120002746582017,1.1899986267089844,0.7300033569335866,-0.42000198364258523,0.15999984741210938,-8.544998168945312,5.0,6.0,03-27,-0.4879164695739764
02-12,0.0,-0.25,-0.3600006103515625,-0.6999988555908203,1.9799995422363317,-0.4600009918212855,1.120002746582017,1.1899986267089844,0.7300033569335866,-0.42000198364258523,0.15999984741210938,-8.544998168945312,5.0,6.0,03-28,-0.46291637420654475
02-13,0.0,-0.3800010681152344,-0.9599990844726527,-0.6999988555908203,1.4799995422363317,-0.4600009918212855,1.120002746582017,1.1899986267089844,0.7300033569335866,-0.42000198364258523,0.15999984741210938,-8.544998168945312,5.0,6.0,03-29,-0.5654163360595718
02-14,0.0,-0.3800010681152344,-0.5300006866455007,-0.6499996185302699,1.25,-1.2999992370605469,1.120002746582017,1.1899986267089844,7.910003662109375,-0.42000198364258523,0.15999984741210938,-8.544998168945312,5.0,6.0,03-30,-0.016249656677246982
02-15,0.0,-0.9800014495849609,-0.5300006866455007,-0.6499996185302699,1.25,-0.75,1.120002746582017,1.1899986267089844,7.910003662109375,-0.42000198364258523,0.15999984741210938,-8.544998168945312,5.0,6.0,03-31,-0.02041641871134529
02-16,0.0,-0.9800014495849609,-0.5300006866455007,-0.6499996185302699,1.25,-0.3900012969970703,1.120002746582017,1.1899986267089844,7.8300018310546875,-0.42000198364258523,0.15999984741210938,-1.2599983215332031,5.0,6.0,04-01,0.609999974568684
02-17,0.0,-0.6200008392333984,-0.5300006866455007,0.0,1.25,-0.3900012969970703,1.120002746582017,1.1899986267089844,7.8300018310546875,-0.42000198364258523,0.15999984741210938,-1.2599983215332031,5.0,6.0,04-02,0.6941666603088367
02-18,0.0,-0.6200008392333984,-0.24000167846679332,1.0099983215332067,0.5,-0.3900012969970703,1.120002746582017,1.1899986267089844,7.8300018310546875,-0.42000198364258523,1.9920005798339844,-1.2599983215332031,6.0,5.0,04-03,0.8926664988199858
02-19,0.0,-0.6200008392333984,-0.24000167846679332,1.0099983215332067,0.5,-0.9400005340576172,1.120002746582017,1.1899986267089844,7.8300018310546875,-0.42000198364258523,0.09000015258789062,-1.2599983215332031,6.0,5.0,04-04,0.6883331934610991
02-20,0.0,-0.6200008392333984,-0.24000167846679332,1.0099983215332067,0.5,-0.9400005340576172,1.120002746582017,1.1899986267089844,7.8300018310546875,-0.42000198364258523,0.09000015258789062,-1.2599983215332031,6.0,5.0,04-05,0.6883331934610991
02-21,0.0,-19.56500005722046,-0.24000167846679332,1.0099983215332067,0.5,-0.9400005340576172,4.900001525878899,1.1899986267089844,7.8300018310546875,-0.42000198364258523,0.09000015258789062,-5.5800018310546875,6.0,5.0,04-06,-0.9354171355565395
02-22,0.0,-19.56500005722046,-0.24000167846679332,1.0099983215332067,0.5,-0.9400005340576172,4.900001525878899,1.1899986267089844,7.8300018310546875,-0.42000198364258523,0.09000015258789062,-5.5800018310546875,6.0,5.0,04-07,-0.9354171355565395
02-23,0.0,-19.614999294281002,-0.5600013732910085,1.0099983215332067,0.5,-0.9400005340576172,4.900001525878899,8.360000610351562,7.230003356933594,1.3199996948242045,0.09000015258789062,-8.299999237060547,7.0,4.0,04-08,-0.5004163980484014
02-24,0.0,-19.614999294281002,-0.9300003051757777,1.1299991607666051,0.5,-0.9400005340576172,4.900001525878899,7.170001983642578,7.280002593994141,0.48499679565428977,-0.8899993896484375,-7.290000915527344,6.0,5.0,04-09,-0.6833331982294721
02-25,0.0,-19.614999294281002,-0.9300003051757777,1.1299991607666051,0.5,-0.9400005340576172,4.900001525878899,7.170001983642578,7.280002593994141,0.48499679565428977,-0.8899993896484375,-7.290000915527344,6.0,5.0,04-10,-0.6833331982294721
02-26,0.0,-19.614999294281002,-0.9300003051757777,1.1299991607666051,-0.40000152587889914,-0.9400005340576172,4.900001525878899,6.94000244140625,7.280002593994141,0.48499679565428977,-0.8899993896484375,-7.290000915527344,5.0,6.0,04-11,-0.7774999539057411
