,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-17.18749534338731,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,16.129032754253043,20.36036172264162,24.0,0.0,31.926862704635045,6.0,6.0,5.059602203596744
01-03,0.0,-17.18749534338731,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,16.129032754253043,20.36036172264162,24.0,0.0,0.0,5.0,7.0,2.399030311543824
01-04,0.0,-11.11111111111111,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,16.129032754253043,20.36036172264162,4.4000015258789205,0.0,0.0,5.0,7.0,1.2720624580567506
01-05,-11.8387915673331,-11.11111111111111,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,16.129032754253043,20.36036172264162,4.4000015258789205,0.0,0.0,5.0,7.0,0.28549649411232547
01-06,-11.8387915673331,-11.11111111111111,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,16.129032754253043,20.36036172264162,4.4000015258789205,0.0,0.0,5.0,7.0,0.28549649411232547
01-07,-11.8387915673331,-14.814814814814813,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,9.032257419471032,20.36036172264162,-2.5751090176662905,0.0,0.0,4.0,8.0,-1.195802637723585
01-08,-11.8387915673331,-19.753086419753085,6.754218622235807,23.122315488571886,0.0,-8.474576134203634,-35.91549337158553,9.032257419471032,20.36036172264162,-2.5751090176662905,0.0,0.0,4.0,8.0,-1.6073252714684416
01-09,-11.8387915673331,-19.753086419753085,6.754218622235807,23.122315488571886,-8.870296540045599,-8.474576134203634,-35.91549337158553,11.612900199056448,20.36036172264162,-2.5751090176662905,0.0,0.0,4.0,8.0,-2.131463084840122
01-10,-11.8387915673331,-19.753086419753085,6.754218622235807,14.753214250923596,-8.870296540045599,-8.474576134203634,-35.91549337158553,11.612900199056448,20.36036172264162,-2.5751090176662905,0.0,0.0,4.0,8.0,-2.8288881879774803
01-11,-11.8387915673331,-19.753086419753085,4.50281002914702,14.753214250923596,-8.870296540045599,16.883113585710223,-35.91549337158553,34.76190157217759,20.36036172264162,-2.5751090176662905,0.0,0.0,5.0,7.0,1.0257186870180375
01-12,-11.8387915673331,-19.753086419753085,4.50281002914702,14.753214250923596,-8.870296540045599,16.883113585710223,-35.91549337158553,34.76190157217759,20.36036172264162,-2.5751090176662905,0.0,0.0,5.0,7.0,1.0257186870180375
01-13,-11.8387915673331,-19.753086419753085,0.0,14.753214250923596,-8.870296540045599,16.883113585710223,-35.91549337158553,34.76190157217759,20.36036172264162,-2.5751090176662905,0.0,0.0,4.0,8.0,0.6504845179224527
01-14,-11.8387915673331,-19.753086419753085,0.0,14.753214250923596,-8.870296540045599,16.883113585710223,-35.91549337158553,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,4.0,8.0,1.782552006248421
01-15,-11.8387915673331,-19.753086419753085,-14.377684511428113,14.753214250923596,-8.870296540045599,16.883113585710223,-35.91549337158553,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,4.0,8.0,0.5844116302960779
01-16,-11.8387915673331,-19.753086419753085,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,-35.91549337158553,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,4.0,8.0,0.9400603311482318
01-17,-11.8387915673331,-19.753086419753085,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,-46.90082457358538,5.0,7.0,0.11008657562575348
01-18,-11.8387915673331,-19.753086419753085,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,-46.90082457358538,5.0,7.0,0.11008657562575348
01-19,-11.8387915673331,-19.753086419753085,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,5.0,7.0,4.018488623424536
01-20,-11.8387915673331,-19.753086419753085,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,5.0,7.0,4.018488623424536
01-21,-11.8387915673331,-6.172839506172839,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,5.0,7.0,5.150175866222889
01-22,-11.8387915673331,-6.172839506172839,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-2.5751090176662905,0.0,0.0,5.0,7.0,5.150175866222889
01-23,-11.8387915673331,-6.172839506172839,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-7.296140852380216,0.0,0.0,5.0,7.0,4.756756546663396
01-24,-11.8387915673331,-6.172839506172839,-14.377684511428113,14.753214250923596,-4.602512129819751,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-7.296140852380216,0.0,0.0,5.0,7.0,4.756756546663396
01-25,-11.8387915673331,6.926408463409431,-14.377684511428113,14.753214250923596,-43.97589800786633,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-7.296140852380216,0.0,0.0,6.0,6.0,2.56724505429137
01-26,-11.8387915673331,6.926408463409431,-14.377684511428113,14.753214250923596,-43.97589800786633,16.883113585710223,1.0256461357301156,34.2857115284925,34.42136162623833,-7.296140852380216,0.0,0.0,6.0,6.0,2.56724505429137
01-27,-11.8387915673331,6.926408463409431,-14.377684511428113,14.753214250923596,-56.209145886176245,16.883113585710223,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,0.0,6.0,6.0,2.330163074677908
01-28,-11.8387915673331,6.926408463409431,-14.377684511428113,14.753214250923596,-56.209145886176245,16.883113585710223,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,0.0,6.0,6.0,2.330163074677908
01-29,-11.8387915673331,6.926408463409431,-14.377684511428113,14.753214250923596,-56.209145886176245,16.883113585710223,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,0.0,6.0,6.0,2.330163074677908
01-30,-11.8387915673331,6.926408463409431,-14.377684511428113,14.753214250923596,-56.209145886176245,16.883113585710223,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,0.0,6.0,6.0,2.330163074677908
01-31,-11.8387915673331,6.926408463409431,-29.999998139172067,-8.168827755052554,-56.209145886176245,16.883113585710223,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,0.0,5.0,7.0,-0.8818665614654341
02-01,-11.8387915673331,6.926408463409431,-29.999998139172067,-8.168827755052554,-56.209145886176245,29.87012689442143,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,0.0,5.0,7.0,0.20038454759383365
02-02,-11.8387915673331,6.926408463409431,-29.999998139172067,-8.168827755052554,-56.209145886176245,29.87012689442143,27.179491160967633,34.2857115284925,17.655780723949196,-7.296140852380216,0.0,-75.99010397646786,5.0,7.0,-6.132124117111822
02-03,-11.8387915673331,6.926408463409431,-29.999998139172067,-8.168827755052554,-56.209145886176245,29.87012689442143,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-5.798867668129887
02-04,-11.8387915673331,6.926408463409431,-29.999998139172067,-8.168827755052554,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-6.339993222659522
02-05,-11.8387915673331,6.926408463409431,-29.999998139172067,-8.168827755052554,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-6.339993222659522
02-06,-11.8387915673331,16.883114952927723,-18.867080855673006,-8.168827755052554,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-4.582524574908075
02-07,-11.8387915673331,16.883114952927723,-18.867080855673006,-26.889039633056775,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-6.142542231408427
02-08,23.448277392937307,14.968995448126817,-18.867080855673006,-26.889039633056775,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,7.0,5.0,-3.3614631101193013
02-09,23.448277392937307,14.968995448126817,-18.867080855673006,-26.889039633056775,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,7.0,5.0,-3.3614631101193013
02-10,23.448277392937307,14.968995448126817,-18.867080855673006,-26.889039633056775,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,7.0,5.0,-3.3614631101193013
02-11,23.448277392937307,14.968995448126817,-18.867080855673006,-26.889039633056775,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,17.655780723949196,4.798172954682748,0.0,-75.99010397646786,7.0,5.0,-3.3614631101193013
02-12,23.448277392937307,14.968995448126817,-18.867080855673006,-26.11637162662709,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,0.0,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-4.768389169912594
02-13,23.448277392937307,10.318865950304348,-18.867080855673006,-26.11637162662709,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,0.0,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-5.1558999613978
02-14,31.55172589559469,10.318865950304348,-18.867080855673006,-26.11637162662709,-56.209145886176245,23.376620240065822,27.179491160967633,26.190475109212745,0.0,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-4.480612586176352
02-15,31.55172589559469,13.276232680192383,-18.867080855673006,-26.11637162662709,-56.209145886176245,29.42583328152386,27.179491160967633,26.190475109212745,0.0,4.798172954682748,0.0,-75.99010397646786,6.0,6.0,-3.7300642718975126
02-16,31.55172589559469,13.276232680192383,-18.867080855673006,-26.11637162662709,-56.209145886176245,29.42583328152386,27.179491160967633,26.190475109212745,0.0,11.271900099093516,0.0,-75.99010397646786,6.0,6.0,-3.190587009863281
02-17,31.55172589559469,13.276232680192383,-18.867080855673006,-26.11637162662709,-56.209145886176245,29.42583328152386,27.179491160967633,26.190475109212745,0.0,11.271900099093516,0.0,-75.99010397646786,6.0,6.0,-3.190587009863281
02-18,31.55172589559469,13.276232680192383,-18.867080855673006,-26.11637162662709,-56.209145886176245,29.42583328152386,27.179491160967633,26.190475109212745,0.0,11.271900099093516,0.0,-75.99010397646786,6.0,6.0,-3.190587009863281
02-19,31.55172589559469,12.147502515135095,-18.867080855673006,-26.11637162662709,-56.209145886176245,29.42583328152386,27.179491160967633,26.190475109212745,0.0,11.271900099093516,22.04301235151778,-75.99010397646786,7.0,5.0,-1.4477301609915731
02-20,31.55172589559469,15.800413129347756,-18.867080855673006,-26.11637162662709,-56.209145886176245,29.42583328152386,27.179491160967633,26.190475109212745,0.0,11.271900099093516,22.04301235151778,-75.99010397646786,7.0,5.0,-1.1433209431405185
02-21,31.55172589559469,15.800413129347756,-18.867080855673006,-26.11637162662709,-56.209145886176245,7.8947353411068555,27.179491160967633,26.190475109212745,0.0,11.271900099093516,22.04301235151778,-75.99010397646786,7.0,5.0,-2.937579104841936
02-22,31.55172589559469,15.800413129347756,-18.867080855673006,-26.11637162662709,-56.209145886176245,7.8947353411068555,27.179491160967633,26.190475109212745,0.0,11.271900099093516,22.04301235151778,-75.99010397646786,7.0,5.0,-2.937579104841936
02-23,31.55172589559469,15.800413129347756,-18.867080855673006,-26.11637162662709,-56.209145886176245,7.8947353411068555,27.179491160967633,0.0,0.0,11.271900099093516,22.04301235151778,-75.99010397646786,6.0,6.0,-5.1201186972763315
02-24,31.55172589559469,15.800413129347756,-18.867080855673006,-26.11637162662709,-115.31530447898707,9.411766949821931,27.179491160967633,0.0,-21.44143314391014,11.271900099093516,22.04301235151778,-75.99010397646786,6.0,6.0,-11.705998707943488
02-25,31.55172589559469,15.800413129347756,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,27.179491160967633,0.0,-21.44143314391014,11.271900099093516,22.04301235151778,-75.99010397646786,6.0,6.0,-10.460830565633843
02-26,31.55172589559469,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,27.179491160967633,0.0,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-10.392691518905902
02-27,31.55172589559469,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,0.0,-21.44143314391014,11.271900099093516,23.036094041600837,-19.80198510615651,5.0,7.0,-7.975305876460593
02-28,31.55172589559469,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-19.80198510615651,6.0,6.0,-7.7438237051105645
02-29,0.0,0.0,0.0,-26.11637162662709,0.0,0.0,0.0,2.7777860562003345,0.0,0.0,0.0,-75.99010397646786,1.0,2.0,-8.277390795574552
03-01,31.55172589559469,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-12.426166944303176
03-02,31.55172589559469,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-12.426166944303176
03-03,45.316805737598756,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-11.279076957469504
03-04,45.316805737598756,15.625,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-11.279076957469504
03-05,45.316805737598756,11.956521739130435,-3.925063147957268,-26.11637162662709,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-11.584783479208633
03-06,49.74683568753067,11.956521739130435,-7.028014456247964,-35.761107145764534,-115.31530447898707,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-12.27792155233332
03-07,47.486771710865874,11.956521739130435,-7.028014456247964,-35.761107145764534,-49.54954784669795,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-6.98578049769796
03-08,47.486771710865874,11.956521739130435,-7.028014456247964,-35.761107145764534,-49.54954784669795,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,6.0,6.0,-6.98578049769796
03-09,47.486771710865874,-0.4347842672596962,-7.028014456247964,-35.761107145764534,-37.83783481914643,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,5.0,7.0,-7.042413245934512
03-10,47.486771710865874,-0.4347842672596962,-7.028014456247964,-35.761107145764534,-37.83783481914643,9.411766949821931,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,5.0,7.0,-7.042413245934512
03-11,47.486771710865874,-0.4347842672596962,-5.90908744118432,-37.56456920490661,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,5.0,7.0,-7.41400045585437
03-12,47.486771710865874,-0.4347842672596962,-5.90908744118432,-35.761107145764534,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,5.0,7.0,-7.263711950925863
03-13,47.486771710865874,-0.4347842672596962,-5.90908744118432,-35.761107145764534,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,-75.99010397646786,5.0,7.0,-7.263711950925863
03-14,47.486771710865874,-0.39113494868602244,-5.90908744118432,-6.991988857638439,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,0.0,5.0,7.0,1.4698606810047732
03-15,47.486771710865874,-0.39113494868602244,6.8181818181818175,-6.991988857638439,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,11.271900099093516,23.036094041600837,0.0,6.0,6.0,2.5304664526186182
03-16,44.47552481597255,-0.39113494868602244,6.8181818181818175,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,5.0,7.0,1.5121559053138098
03-17,44.47552481597255,-0.39113494868602244,6.8181818181818175,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,5.0,7.0,1.5121559053138098
03-18,44.47552481597255,-0.39113494868602244,6.8181818181818175,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,5.0,7.0,1.5121559053138098
03-19,44.47552481597255,-0.39113494868602244,-1.9090912558815696,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,4.0,8.0,0.7848831491418613
03-20,44.47552481597255,-0.39113494868602244,-1.9090912558815696,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,4.0,8.0,0.7848831491418613
03-21,29.26828871164763,-10.000001816522525,-1.9090912558815696,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,4.0,8.0,-1.2831254318715901
03-22,32.163741972544216,-10.000001816522525,-1.9090912558815696,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,4.0,8.0,-1.041837660130209
03-23,42.574257706207526,-7.523809160505006,-1.9090912558815696,-4.928568431309292,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,4.0,8.0,0.03205470567652746
03-24,43.1372519687064,-7.523809160505006,-1.9090912558815696,-5.571426664079952,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,-21.44143314391014,0.0,23.036094041600837,0.0,4.0,8.0,0.02539937482054544
03-25,43.1372519687064,-7.523809160505006,-1.9090912558815696,-5.571426664079952,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,4.0,8.0,1.8121854701463904
03-26,43.1372519687064,-7.523809160505006,-1.9090912558815696,-5.571426664079952,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,4.0,8.0,1.8121854701463904
03-27,44.76190294538227,-7.523809160505006,-1.9090912558815696,-5.571426664079952,-37.83783481914643,5.637255474862064,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,4.0,8.0,1.9475730515360459
03-28,44.76190294538227,-7.523809160505006,-1.9090912558815696,-5.571426664079952,-37.83783481914643,-2.4509781005518465,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,3.0,9.0,1.2735535869182202
03-29,44.76190294538227,-7.523809160505006,-1.9090912558815696,-5.571426664079952,-37.83783481914643,-2.4509781005518465,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,3.0,9.0,1.2735535869182202
03-30,44.49760481725091,-11.190478006998715,-1.9090912558815696,-5.571426664079952,-37.83783481914643,2.7907059784509536,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,4.0,8.0,1.3827800122830303
03-31,44.49760481725091,-9.761901128859764,-1.9090912558815696,-5.571426664079952,-37.83783481914643,2.7907059784509536,0.0,2.7777860562003345,0.0,0.0,23.036094041600837,0.0,4.0,8.0,1.5018280854612767
