,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,4.477616454795883,-3.2786853209006517,21.176470835728622,17.699114063985004,-7.964604757379029,15.584416589722474,-20.253159781714203,8.82352966957026,-15.999996662139893,10.666664441426594,-2.898547970379774,6.0,6.0,2.3360681302262742
01-03,0.0,1.5384601277006635,-6.779664955205086,22.988504250907326,15.92920424001072,-7.0796498453919,18.98734578336006,-13.095240207080721,10.144926534683554,-15.999996662139893,10.666664441426594,-1.449273985189887,6.0,6.0,2.9876066435901194
01-04,0.0,1.5384601277006635,-6.666660043928621,22.988504250907326,14.159289141289054,-5.309740021417584,18.471342125714163,-14.457832190515967,5.797104579113893,-17.99999475479126,9.333332379659016,-2.985071705720311,6.0,6.0,2.0723944906675307
01-05,0.0,-4.545450029951333,-8.333325054910777,20.68965588114916,11.818181128541305,-5.309740021417584,15.789474509759632,-13.095240207080721,5.797104579113893,-13.999998569488525,14.666668574015299,-1.4705868173635692,5.0,7.0,1.8338953310305648
01-06,-16.66665838824413,-9.090909090909092,-8.333325054910777,17.241376475403356,14.159289141289054,-7.207210980571571,17.419354144045744,-13.095240207080721,5.797104579113893,-20.408155569579527,13.513516561230885,-1.4705868173635692,5.0,7.0,-0.6784537672980381
01-07,-16.66665838824413,-4.545450029951333,-6.666660043928621,14.606741272038148,12.612611161318615,-5.454540134461594,13.54838228374551,-5.952382557381357,0.0,-17.99999475479126,13.513516561230885,2.8571401810159034,5.0,7.0,-0.012274537450769377
01-08,-16.66665838824413,-1.4084577986089954,3.076920255401327,15.555554378179826,13.513516561230873,-6.363630156871835,10.322578809263746,-7.142857649699376,-4.918027981350978,-15.68627153071743,14.666668574015299,2.8571401810159034,6.0,6.0,0.6505396044678524
01-09,-16.66665838824413,2.816898807176702,-3.2786853209006517,17.391306882995234,11.711711131194107,-5.454540134461594,10.967739504160097,-2.2988483697581654,-4.918027981350978,-13.461537579812916,10.666664441426594,0.0,5.0,7.0,0.6230019160353585
01-10,-16.66665838824413,2.816898807176702,-1.6129016752173695,17.391306882995234,10.810811101069607,-12.380952489078725,8.666666348775227,-1.136362558800321,-10.0,-15.384624201870853,6.66666825612386,3.9999961853027344,6.0,6.0,-0.569095977647336
01-11,-16.66665838824413,1.4285700905079517,0.0,19.56521781383253,8.181821038900267,-19.60784817878589,11.038958525693769,-4.705877733065725,-8.333325054910777,-9.615387260561256,14.634147050620408,-4.166662527455388,5.0,7.0,-0.6872537186223534
