,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-52.61744728865039,-3.7763220137778073,8.03382804523153,5.588993772463265,16.15913593692831,-1.2494441625371289,4.24961603809821,-11.333600326502683,2.6578104859354865,-2.026089367503823,20.521788610779186,-2.571183699878483,6.0,6.0,-1.3635761641178605
01-03,-70.00000629148649,-3.475737282070452,-1.3198723614728483,5.912597931065029,15.02946784113016,-3.3467250894497758,6.999625345930864,-7.668472368856127,3.6184184634093057,-2.4685640595984895,21.812804044605077,-1.78495564826868,5.0,7.0,-3.057618289588536
01-04,-82.14285774472127,-2.0714301218306197,-0.23400426916840106,4.113114030242058,14.194499478467923,-2.6978415686375365,7.06994546102096,-5.183499493250034,1.4952153724092654,-2.5850038329091647,17.321141692301474,-2.2370339068234326,5.0,7.0,-4.413146241908232
01-05,-96.81207706917952,-3.369180295117175,-2.4960963309955764,1.1139710956189601,14.221773886283229,-1.6918985726762104,8.180800014140685,-1.6893169282202156,2.332532330530299,-3.539824188113104,15.167784210819516,-4.209599086279249,5.0,7.0,-6.065927577765698
01-06,-102.20713801904641,-4.444449112321491,-5.460218131394404,2.3136301294191037,13.749994573592932,-2.4674790485670672,7.914477547742813,-0.5508616270727794,2.721291521481344,-4.296045433639233,15.643349829743917,-4.34687063754188,5.0,7.0,-6.785859867300264
01-07,-88.62479556541874,-10.967745047401886,-7.410296035463812,5.315616324903683,13.663660107685136,-3.7692973813768105,6.864213387975732,4.03966360617642,4.425298321351817,-3.378845441811873,16.644683437985098,-4.552527442439818,6.0,6.0,-5.645864310652921
01-08,-95.58574238773699,-12.653651085096953,-3.86364294109946,5.785123966942149,8.008547589962753,-4.586737980459989,3.150784337655558,5.549389426175977,3.997613765776453,-5.056438588981895,15.118446503363362,-5.396403222406921,6.0,6.0,-7.127725884658829
01-09,-100.0,-14.264707478355021,-3.08271329492578,3.1435907451042007,6.940742017214069,-4.995458280001596,5.263157041880195,8.94279922393978,5.436375376089033,-7.146223278901324,12.855996953928145,-5.307571517739555,6.0,6.0,-7.684501040980656
01-10,-91.16607824667621,-14.09691243827263,-4.97702876560632,3.4540839128205465,6.727179743794793,-5.201797615359331,5.831778710033348,9.49982443333422,4.844902403473485,-5.448107253448657,12.669678893260567,-4.1409629740790805,6.0,6.0,-6.8336199330604375
01-11,-98.53212203979538,-17.283020506085133,-8.411945842071255,-1.0109482670973413,5.096571989843537,-1.1586394054051075,5.193829131697282,11.31876206888944,4.106349932958222,-7.853768623864206,13.679744645872335,-5.710486938756969,5.0,7.0,-8.380472821151216
