,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-168000.0,119700.0,10500.0,-10500.0,-19950.30078125,2100.0,-1366.419921875,-280.010009765625,-112.00198364257812,23.479999542236328,0.0,-0.06000000238418579,4.0,8.0,02-16,-5657.109391416113
01-03,-126000.0,109200.0,42000.0,-14000.0,-17920.30078125,70.0,-1316.02001953125,-343.010009765625,-112.00198364257812,24.0,0.20000004768371582,-0.05509999394416809,5.0,7.0,02-17,-699.7656578446428
01-04,-168000.0,130200.0,83790.0,-14000.0,-19180.30078125,3080.1005859375,-1316.02001953125,-203.0,-91.00198364257812,22.0,0.20000004768371582,-0.08500000834465024,5.0,7.0,02-18,1191.8244001294177
01-05,0.0,90300.0,81690.0,-13300.0,-17500.19921875,2380.0,-833.01025390625,-329.010009765625,-98.00198364257812,22.0,0.6000001430511479,-0.09000000357627866,5.0,7.0,02-19,11861.024044506252
01-06,-84000.0,132300.0,64890.0,-21000.0,-16100.19921875,3080.1005859375,133.0,-336.010009765625,-91.00198364257812,22.0,1.0,-0.08500000834465024,6.0,6.0,02-20,6574.900364480913
01-07,-21000.0,142800.0,62790.0,-7000.0,-14000.19921875,1749.9990234375,-595.009765625,-224.010009765625,-35.001007080078125,58.0,0.8000001907348637,-0.062449999153614044,5.0,7.0,02-21,13712.043047700698
01-08,-84000.0,142800.0,-2100.0,-11900.0,-14350.19921875,-420.1015625,-700.009765625,-518.010009765625,-28.0,58.0,0.5999999046325684,-0.06199999898672104,3.0,9.0,02-22,2403.518120272085
01-09,-84000.0,147000.0,-10290.0,-12600.0,-12950.19921875,-350.1015625,-639.81005859375,-476.010009765625,-21.0,44.8599967956543,0.3999998569488521,-0.05979999154806137,3.0,9.0,02-23,2143.173278920973
01-10,0.0,147000.0,-2100.0,-8400.0,-12250.19921875,-2870.1005859375,-560.0,-469.010009765625,-91.00198364257812,32.05999755859375,0.7999999523162842,-0.04599999636411667,3.0,9.0,02-24,10024.375183284903
01-11,-10500.0,147000.0,-105000.0,-8400.0,-12600.19921875,-2821.1005859375,-455.0,-630.010009765625,-133.00198364257812,40.2599983215332,0.3999998569488521,-0.03999999910593033,3.0,9.0,02-25,541.775683340306
