,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-22.22222222222222,16.76470588235294,2.4390243902439024,-9.090909090909092,-55.339872626593255,13.63618637009145,-23.83391781945681,-17.467655197937244,-32.0001091641756,36.68749928474426,0.0,-66.66666666666666,4.0,8.0,-13.091161405044026
01-03,-16.666666666666664,15.522388059701491,9.090909090909092,-12.5,-49.708882765148886,0.45453954566971505,-23.470683514320797,-22.273087714147387,-32.0001091641756,37.5,6.66666825612386,-61.22221306076793,5.0,7.0,-12.38392816106859
01-04,-23.52941176470588,17.971014492753625,17.355371900826448,-12.5,-53.20397992052814,18.33360382080213,-23.470683514320797,-12.083117352667763,-26.000194960939805,34.375,6.66666825612386,-89.47369411711557,5.0,7.0,-12.129951929980992
01-05,0.0,12.912912912912914,16.92040017398869,-11.875,-47.16958346152153,14.782424883716205,-13.678127503506914,-21.171542556116272,-28.0001663620184,34.375,18.750004190951536,-99.99999999999997,5.0,7.0,-10.346139810132811
01-06,-10.526315789473683,18.91891891891892,13.440626359286648,-18.75,-41.81804586251392,18.33360382080213,1.9999698958948646,-21.621987203676955,-26.000194960939805,36.666666666666664,27.777778513637607,-89.47369411711557,6.0,6.0,-7.587722813209425
01-07,-2.631578947368421,20.42042042042042,13.00565463244889,-6.329113924050633,-34.482738383071215,10.638163101653166,-8.947380594086159,-14.414872842706023,-9.615529075306622,60.416666666666664,23.52941671457245,-62.44999822303655,5.0,7.0,-0.9050742044886698
01-08,-10.526315789473683,20.42042042042042,-0.45454545454545453,-11.258278145695364,-35.04270675205664,-2.553777962890362,-10.52630419610842,-34.25946767068708,-7.547047513289532,60.416666666666664,16.666664459087173,-61.99999806284907,3.0,9.0,-6.388724166785113
01-09,-10.526315789473683,20.588235294117645,-2.2674687644608977,-12.0,-31.62395355532209,-2.1282512013651047,-10.155570388071103,-32.07571350122217,-5.555467197717903,54.66731431916345,11.111107431811941,-59.79999065697207,3.0,9.0,-6.647172834125997
01-10,0.0,20.588235294117645,-0.45454545454545453,-7.59493670886076,-29.914576956954807,-18.636774519405915,-9.755944858768135,-31.455648054482417,-26.000194960939805,39.06897210873273,22.22222148636239,-46.46464304381055,3.0,9.0,-7.366486305712923
01-11,-1.2658227848101267,20.588235294117645,-23.809523809523807,-7.59493670886076,-35.29418136650747,-20.130300314113594,-7.784311484733113,-47.36846066329623,-38.00002336741139,49.06166161263426,11.111107431811941,-39.9999985098839,3.0,9.0,-11.707212889214714
01-12,-8.108108108108109,17.647058823529413,-19.047619047619047,-7.59493670886076,-24.545324677353864,-9.817879523828482,-7.270448969112962,-36.58555299717141,-64.0002183283512,44.44444444444444,16.666664459087173,-39.9999985098839,3.0,9.0,-11.517659928602392
01-13,-5.263157894736842,17.647058823529413,-19.047619047619047,-21.710526315789476,-29.245072045454112,-11.860975686512683,-4.89503001102396,-37.07335107000154,-58.000025111248085,47.22222222222222,16.666664459087173,-51.51515298122408,3.0,9.0,-13.089580388230916
01-14,-5.263157894736842,13.23529411764706,-9.090909090909092,-9.75609756097561,-24.545324677353864,2.222193976329046,-3.8023897238156557,-22.439408885097624,-40.3848817325966,40.21397234272522,11.76470835728623,-33.33332505491079,4.0,8.0,-6.764943818867375
01-15,-5.263157894736842,12.5,-5.0,-2.857142857142857,-29.523591982019003,4.8888267479239005,-2.0541652642823696,-7.58982718863515,-40.3848817325966,42.24924280002013,5.5555504045367226,-44.4444334065477,4.0,8.0,-5.993631697789982
01-16,-2.564102564102564,9.375,-5.0,-9.090909090909092,-23.80939980361716,0.0,-6.128938019611203,-13.88936700922329,-46.00019670477649,42.59818466500848,11.111107431811941,-44.4444334065477,3.0,9.0,-7.32025454183059
01-17,7.292682926829268,12.121212121212121,-5.0477489768076405,-1.694915254237288,-28.57122661895203,-3.2863408511043817,-5.000068009630164,-21.782577722466108,-46.00019670477649,42.59818466500848,16.666664459087173,-62.49999767169351,4.0,8.0,-7.933693969794213
01-18,-0.02631578947368421,10.76923076923077,-9.947643979057592,-2.824858757062147,-23.2141785930023,3.6696766283054143,-7.69233796007313,-12.844524138407682,-37.000037666872096,42.296068694979326,-3.4482724601392767,-33.50785115659144,3.0,9.0,-6.147587034013654
01-19,-0.02631578947368421,6.451612903225806,-7.091861018562589,-4.519774011299435,-23.818063313539948,-1.9417206155779874,-5.105171678361254,-27.461473879147302,-21.99997314491527,49.87405733979929,-13.333336512247737,-53.61446080550115,2.0,10.0,-8.54887337713344
01-20,4.9750000000000005,12.903225806451612,0.047596382674916705,-14.035087719298245,-23.818063313539948,0.0,-17.977590173195484,-32.642744251757115,-21.99997314491527,48.97435995248648,-21.428576902467487,-59.37500058207662,4.0,8.0,-10.364737828803097
01-21,0.0,12.903225806451612,12.844036697247708,-12.5,-19.4736353638152,4.54539545669715,-24.101261957623755,-39.378395736149876,-20.00000174383667,48.97435995248648,-21.428576902467487,-41.66665838824411,4.0,8.0,-8.27345934827118
01-22,0.0,9.67741935483871,1.2229539040451554,-6.508875739644971,-26.110953922070934,-15.909537245387625,-35.95518034639097,-30.58279384422013,-20.00000174383667,45.10344932819235,-30.769239233796036,-22.222216703273865,3.0,9.0,-11.004581349295416
01-23,0.0,12.903225806451612,1.0367577756833177,-4.046242774566474,-26.110953922070934,-20.454932702084776,-25.407968082553996,-30.952640353205226,-20.00000174383667,45.545973625314076,-23.076929425347032,-30.555550036607183,3.0,9.0,-10.09327181940194
01-24,7.6923076923076925,12.903225806451612,1.1764705882352942,-4.705882352941177,-22.592491397603006,-21.06248180427049,-30.952422867688433,-26.495255499248444,-20.99998744437597,48.275860934988906,-53.84615948919734,-6.099998860061172,4.0,8.0,-9.725567891116878
01-25,0.0,12.903225806451612,0.47393364928909953,-2.3529411764705883,-25.47513418630068,-13.596950911523384,-35.80266964648936,-27.907270621984175,-24.000223559861205,46.26436444566146,-108.33332505491073,-26.315788235360564,3.0,9.0,-17.01189829095821
01-26,2.7027027027027026,18.75,-14.218009478672986,1.7647058823529411,-18.545418425889043,-15.111557671792985,-37.50017874325876,-14.865317490266708,-18.000030342758073,48.37758344452969,-83.33333002196429,-26.315788235360564,4.0,8.0,-13.024553198364842
01-27,0.0,18.75,-12.796208530805686,6.2857142857142865,-25.38481399637368,-23.333699816083232,-33.333338869317345,-16.667096080509438,-46.34151969254872,54.29447755846258,-76.00000381469727,-41.17646594773534,3.0,9.0,-16.308579575324487
01-28,-5.405405405405405,12.5,-9.523809523809524,9.467455621301776,-25.38481399637368,-24.937892921002614,-41.666544875018516,-10.360871014659875,-40.000148226120224,51.93548510151524,-100.0,-53.540702409796914,3.0,9.0,-19.743103970780812
01-29,1.3513513513513513,9.67741935483871,-10.091743119266056,7.2727272727272725,-25.120510425403197,-20.4402060798391,-24.99995848011995,-11.16121016222377,-40.000148226120224,53.29153668743285,-72.7272668160684,-58.70285535251997,4.0,8.0,-15.970905332934208
01-30,-5.555555555555555,-7.8125,-12.149532710280374,9.467455621301776,-22.233158402194388,-18.940252059261095,-18.483304803860705,1.9940375010774152,-43.589843049164415,43.333333333333336,-54.54545553065528,-52.21708280617965,3.0,9.0,-15.060988205119912
01-31,-2.7027027027027026,-7.8125,-4.3478260869565215,1.1976047904191618,-25.120510425403197,-9.99985700539299,-11.111126420516685,-7.441761474700067,-46.34151969254872,50.0,-54.54545553065528,-50.00000000000002,2.0,10.0,-14.018804545704754
02-01,-8.571428571428571,-11.29032258064516,-6.8181818181818175,1.1976047904191618,-35.48393793874134,-0.04764108503900447,-21.621475898696968,-13.792909129081396,-31.707577196434872,46.666666666666664,-63.636355754757886,-56.29139883226208,2.0,10.0,-16.783079779015274
02-02,-8.571428571428571,-3.3333333333333335,-9.090909090909092,4.191616766467066,-30.0001406229911,-5.263082445797712,-19.84009659592254,-3.5873979384848584,-36.585558028472825,44.00000254313152,-54.54545553065528,-114.54545700845644,2.0,10.0,-19.764269988071096
02-03,-2.7777777777777777,-10.0,-4.545454545454546,0.0,-25.000203894864082,-2.7396876941127988,-20.194876583538697,-4.035822680795466,-42.50011253196259,44.910183299621615,-41.66666501098214,-47.50000419095169,1.0,11.0,-13.004201800901514
02-04,0.0,-5.0,-4.62962962962963,-7.361963190184049,-22.641405536508945,-4.999928502696495,-29.87005751668375,-1.345274226931822,-40.54030361340219,36.76976158994483,-54.54545553065528,-54.28571763087291,1.0,11.0,-15.704164482301687
02-05,0.0,-3.225806451612903,-0.4761904761904762,-6.0606060606060606,-15.384683074408317,-0.04999928502696495,-36.36364871666375,11.765094645283694,-29.999931336429565,38.46153895223788,-54.54545553065528,-57.142855622330515,2.0,10.0,-12.75187857970019
02-06,-2.941176470588235,-13.333333333333334,-5.236907730673317,-5.421686746987952,-19.231052372220162,-3.9999428021571957,-39.724098026470486,10.2044866139968,-3.9999428021571957,28.082193659894916,-54.54545553065528,-48.35714166352942,2.0,10.0,-13.20867143374007
02-07,1.3888888888888888,-9.67741935483871,-0.4761904761904762,-2.4096385542168677,-15.384683074408317,-4.999928502696495,-22.22226376020725,13.725820055931198,-17.045177567804398,17.808221325594193,-54.54545553065528,-35.13513540725273,3.0,9.0,-10.747746829821354
02-08,4.054054054054054,-9.67741935483871,-1.9417475728155338,-1.8072289156626504,-26.582184001145254,-2.56406495869702,-11.93582153553494,15.058217754479394,-18.181522738991358,5.821920268910011,-54.54545553065528,-49.25372984951607,3.0,9.0,-12.629581865034446
02-09,-1.4285714285714286,-10.0,-4.368932038834951,0.6024096385542169,-3.636306819069588,0.0,-24.666671750914514,7.72187982205096,-18.181522738991358,-4.166664119459699,-42.85714934472353,-53.84616178168377,2.0,10.0,-12.90230754680364
02-10,-2.941176470588235,-10.0,-1.4563106796116505,1.2121212121212122,-1.876646778492846,-2.56406495869702,-26.38886682185497,11.969465825659011,-31.707577196434872,9.724238918083207,-36.363633408034204,-42.857144377669506,3.0,9.0,-11.104132894626654
02-11,-5.88235294117647,-13.333333333333334,-0.047619047619047616,-3.6585365853658534,-14.00009017728318,-24.323948298036235,-13.749975295686415,11.583371834556463,-27.499967030587197,5.75757460160689,-36.363633408034204,-35.714283433495744,2.0,10.0,-13.10273275953786
02-12,-5.88235294117647,-13.559322033898304,0.0,1.7341040462427744,-8.000175890344424,-18.918626454028185,-11.249821257025229,11.29070387365435,-27.499967030587197,24.96984364527126,-88.88889919092655,-28.57143313300851,3.0,9.0,-13.714662197152208
02-13,5.555555555555555,-15.0,-2.5,0.5847953216374269,-2.9999571434693793,-29.730046855423097,-16.086936259393088,1.6393154405796035,-34.2103907579477,26.176116240679875,-66.66667108182565,-35.714283433495744,4.0,8.0,-14.079375247758518
02-14,-20.0,-17.94871794871795,-2.5,1.1976047904191618,-6.000204461364838,-24.323948298036235,-25.904526191817567,-8.597820848234871,-19.0477025818039,22.798553893848712,-77.77778513637612,-36.363642521141024,2.0,10.0,-17.872349108602055
02-15,-27.27272727272727,-18.96551724137931,-12.82051282051282,4.191616766467066,-10.00014731932401,-15.38509468199947,-16.310097494360978,-4.348393741464662,-19.0477025818039,27.623644275483166,-71.42857467236176,-18.750001164153243,2.0,10.0,-15.209458995678103
02-16,-20.0,-18.96551724137931,-17.897435897435898,5.389221556886228,-16.000061606262765,-14.286203983855717,-25.000052615759934,-14.286200662259796,-23.809542592358273,-11.627906976744185,-70.00000476837161,-18.898626967037288,1.0,11.0,-20.44852764621488
02-17,-27.27272727272727,-14.827586206896552,-12.82051282051282,6.790123456790123,-18.367375293363068,-11.628420640428306,-25.000052615759934,-5.7142078940384335,-23.25576184599687,-41.17647058823529,-54.54545553065528,-35.714283433495744,1.0,11.0,-21.96106089044329
02-18,-15.151515151515152,-14.827586206896552,-11.679586563307494,11.242603550295858,-16.000061606262765,-14.395150262300474,-36.4943512221238,-2.8571039470192168,-32.02960174528698,-50.0,-70.00000476837161,-18.750001164153243,1.0,11.0,-22.578529923911788
02-19,-15.151515151515152,-17.24137931034483,-16.710875331564985,6.25,-18.367375293363068,-12.011269082390204,-29.310335669506483,-5.999914203235793,-42.1053875450457,-46.118728248386155,-70.00000476837161,-25.00000465661298,1.0,11.0,-24.31389910502808
02-20,-11.11111111111111,-17.24137931034483,-22.22222222222222,5.063291139240507,-19.38776858209064,-4.861706843870292,-15.444361997697339,-3.398011077261478,-31.707577196434872,-25.98425701408715,-79.99999523162842,-23.75000209547584,1.0,11.0,-20.837091795248643
02-21,-23.4375,-17.24137931034483,-22.22222222222222,5.063291139240507,-4.081573154910279,5.073425748421516,-19.285848027317055,-1.9138494091810971,-58.823387612251175,-7.6902898228879035,-79.99999523162842,-37.931040507009484,2.0,10.0,-21.874197367507534
02-22,-23.4375,-21.428571428571427,-31.736526946107784,0.0,-12.245015560997654,-2.0978741269020036,-22.07611957086945,-0.9478544511836113,-47.05845620833153,5.51180723943464,-63.636355754757886,-38.88889693735593,1.0,11.0,-21.503446978803556
02-23,-19.696969696969695,-15.254237288135593,-25.748502994011975,3.79746835443038,-14.718701202826178,-0.045682363414800004,-30.468721986253573,0.5235523700276493,-47.05845620833153,-17.455140124162487,-63.636355754757886,-25.00000465661298,2.0,10.0,-21.23014596258489
02-24,-12.121212121212121,-15.254237288135593,-31.736526946107784,-4.45859872611465,-15.21747041971398,-0.13717241744888775,-39.368916486441236,-7.329733180387091,-23.809542592358273,20.350878518054216,-63.636355754757886,-38.88889693735593,1.0,11.0,-19.30064869599827
02-25,-15.151515151515152,-8.47457627118644,-33.33333333333333,-11.464968152866243,-15.21747041971398,-2.380919955849347,-52.02678440558051,-17.27722821091243,-36.84193015503268,9.199998038155682,-63.636355754757886,-28.33333816241354,1.0,11.0,-22.911535161250487
02-26,-18.181818181818183,-12.280701754385964,-22.905027932960895,-10.759493670886076,-17.0213266135773,-7.142759867548041,-54.48522344574032,-7.999885604314391,-33.333214096678915,0.687497854232777,-88.88889919092655,-25.00001034802905,1.0,11.0,-24.77590523771941
02-27,-24.242424242424242,-15.789473684210526,-15.789473684210526,-10.759493670886076,-11.702258514308292,-1.4285519735096084,-60.25614011122753,-0.9999857005392989,-20.929884546114845,-1.857592269320918,-100.0,-11.111113410673122,0.0,12.0,-22.90553265061875
02-28,-15.151515151515152,-22.22222222222222,-23.249299719887954,-3.7735849056603774,-19.148953853284905,-8.999871304853691,-57.5122432037387,-1.5075160231413243,-16.278799091422655,-2.4767778822193662,-61.111120677288945,-19.37500244472183,0.0,12.0,-20.900575539996424
02-29,0.0,0.0,0.0,-11.320754716981133,0.0,0.0,0.0,-7.446695228459093,0.0,0.0,0.0,-18.57142355369064,0.0,3.0,-3.1115727915942393
03-01,-15.853658536585366,-31.21272365805169,-22.166666666666668,-7.547169811320755,-29.41204507160979,-2.9999571016178965,-71.05256556117295,-8.999871304853691,-16.278799091422655,-22.910221983498513,-50.0,-3.749998370185458,0.0,12.0,-23.515306429748787
03-02,-20.634920634920633,-20.37037037037037,-16.72222222222222,-8.843537414965986,-27.906850592182852,-5.101966371009329,-68.39375679086994,3.499949951887546,-16.278799091422655,-19.266052263217865,-39.99999761581421,-3.749998370185458,1.0,11.0,-20.31404348210783
03-03,-26.666666666666668,-14.814814814814813,-21.11111111111111,-20.714285714285715,-28.80590778093275,-11.291019494545331,-78.71180081425545,-2.9999571016178965,20.81334731158088,-7.734804359250477,-39.99999761581421,-14.285711244660995,1.0,11.0,-20.52689411719788
03-04,-33.33333333333333,-14.814814814814813,-32.875,-28.030303030303028,-30.332023443794036,-13.451980163357835,-59.2127325024735,-2.4389903641506527,22.255665172692748,-18.181818181818183,-39.99999761581421,-28.57143313300851,1.0,11.0,-23.24889678418128
03-05,-26.666666666666668,-19.230769230769234,-32.625,-42.016806722689076,-30.136826087311036,-18.85438183538909,-64.40075034187274,-1.1162593546792132,16.62577059067873,-18.541027936800788,-39.99999761581421,-42.857144377669506,1.0,11.0,-26.651654964915235
03-06,-34.48275862068966,-19.230769230769234,-26.30952380952381,-36.22047244094488,-23.287622714893754,-20.04291020323597,-2.438986214692034,-4.019078753047544,-16.6683349609375,-15.445861275130609,-29.999995231628418,-18.750001164153243,0.0,12.0,-20.574692884970553
03-07,-10.76923076923077,-21.568627450980394,-24.823529411764707,-33.85826771653544,-20.09132780776569,-19.99969895894865,-32.78689293171946,-8.428802233780926,-16.6683349609375,-10.828024394381897,-20.000004768371603,-26.66666004392862,0.0,12.0,-20.540783454028805
03-08,7.6923076923076925,-24.0,-25.0,-37.79527559055118,-30.952643674801145,-17.800780580940078,-33.22368575781936,-2.870774113771646,-16.6683349609375,-7.961789610574681,-33.33334216365134,-26.66666004392862,1.0,11.0,-20.715081567055655
03-09,7.6923076923076925,-29.166666666666668,-24.11764705882353,-24.264705882352942,-26.82924107180833,-18.420775356926384,-42.105131122345895,-6.220010579838566,4.332000732421875,0.6097584377791094,-38.88889256818805,-35.714283433495744,3.0,9.0,-19.42444057316145
03-10,6.329113924050633,-33.33333333333333,-23.52941176470588,-11.486486486486488,-33.33320932721554,-18.420775356926384,-34.45376535616526,-7.176935284429114,12.49875068664549,12.181301218120396,-25.0,-26.865669816075194,3.0,9.0,-15.215868408043386
03-11,6.329113924050633,-29.166666666666668,-35.40372670807454,-19.565217391304348,-26.82924107180833,-7.858128024037314,-41.1765919585634,-17.849746498463155,22.22111172146266,3.125,-25.0,-12.76118732449435,3.0,9.0,-15.3279399998249
03-12,8.860759493670885,-33.33333333333333,-25.882352941176475,-22.22222222222222,-29.999926758859825,-2.7734569496602286,-41.84885117226255,-2.380919955849347,22.22111172146266,6.0606060606060606,-22.222228109100875,-19.402979431505145,3.0,9.0,-13.576982799852532
03-13,7.5,-28.514056224899598,-22.285714285714285,-14.965986394557824,-29.874928546292413,-2.722096635777632,-39.655078897746634,-2.870774113771646,22.22111172146266,2.7439013398310554,-22.222228109100875,-11.029400646841841,3.0,9.0,-11.806270899450753
03-14,11.39240506329114,-28.000000000000004,-16.939890710382514,-13.60544217687075,-16.250123376444463,-9.5510056616043,-29.824614217728307,-4.8779807283013055,21.998857770647305,8.536583238382667,-22.222228109100875,19.117651892677458,4.0,8.0,-6.685482251286163
03-15,11.39240506329114,-30.612244897959183,-27.77777777777778,-16.3265306122449,-28.205079409821497,-5.55547149060082,-34.54543563710134,0.9755961456602611,17.998857770647323,8.536583238382667,-22.222228109100875,20.794931030091053,5.0,7.0,-8.795532890544498
03-16,11.39240506329114,-25.252525252525253,-22.22222222222222,-1.875,-15.555308645894508,-10.83316121046874,-48.000171593528414,-8.780365310942349,19.998857770647305,-0.6024119227211507,-33.33334216365134,21.428572188834753,3.0,9.0,-9.469556108265065
03-17,12.5,-21.21212121212121,-20.0,1.1976047904191618,-16.853662059999035,-10.83316121046874,-53.26540439026769,-16.09803393830593,25.998857770647305,6.129031027517011,-33.33334216365134,-24.999991268851304,4.0,8.0,-12.564185221256812
03-18,10.0,-25.252525252525253,-16.666666666666664,2.366863905325444,-9.473541751251862,-13.555340181304473,-57.14289883223478,-18.990237643802015,19.49280976702924,6.129031027517011,-33.33334216365134,-9.3749952706278,4.0,8.0,-12.150070255182705
03-19,15.0,-22.448979591836736,-14.571428571428571,-4.47666687773064,-10.416813923899943,-11.110934574839732,-47.959359364417985,-22.009952390726454,17.645882999195756,4.808633719428452,-37.50000093132254,-15.624995998223548,3.0,9.0,-12.388717958816828
03-20,10.0,-29.166666666666668,-17.941176470588236,-11.409395973154362,-8.333209327242153,-11.110934574839732,-47.11556177226218,-25.926265922308055,3.4468973094019204,7.5734125847045615,-37.50000093132254,-4.68749763531391,3.0,9.0,-14.347533281632614
03-21,2.631578947368421,-25.252525252525253,-17.941176470588236,-11.409395973154362,1.249981399086323,-8.333200931129799,-66.72673215371074,-27.500321737865775,-7.3634984303105835,9.737242224915516,-37.50000093132254,0.0,3.0,9.0,-15.700670775769753
03-22,2.631578947368421,-26.53061224489796,-27.27272727272727,-10.738255033557047,-22.222191909652228,-11.110934574839732,-85.62212824464517,-24.579480541027536,5.5199371525115035,3.5548617169228107,-31.249992083758215,-1.960782480441495,3.0,9.0,-19.131727214061993
03-23,2.631578947368421,-25.252525252525253,-24.848484848484848,-12.32876712328767,-33.214517632858026,-11.110934574839732,-78.52106697205706,-19.28854776735511,11.96196386419191,-4.711243663138804,-37.50000093132254,-1.5624914507502314,2.0,10.0,-19.478753117088246
03-24,12.5,-21.21212121212121,-27.27272727272727,-19.310344827586206,-47.23688736769338,-11.110934574839732,-53.06132573542731,-17.364572213292405,10.197559729010141,0.0,-57.14286322496386,-9.3749952706278,2.0,10.0,-20.032434330855754
03-25,15.0,-19.19191919191919,-28.125,-17.687074829931973,-47.23688736769338,-15.384355040087502,-46.93896609021612,-10.499849855662639,12.49875068664549,1.1976093042061033,-83.33333002196431,-9.3749952706278,3.0,9.0,-20.75633480643761
03-26,10.0,-25.0,-29.03225806451613,-21.830985915492956,-26.58225380297598,-9.467295409284617,-40.81630750166288,-5.741548227543292,12.49875068664549,1.1976093042061033,-83.33333002196431,-3.124994543032071,3.0,9.0,-18.436051124635053
03-27,12.5,-19.387755102040817,-33.33333333333333,-0.5882352941176471,-26.58225380297598,-9.467295409284617,-45.473594477879175,-10.499849855662639,13.844923753004789,-17.755681433337788,-49.99999006589293,-37.93103536867785,2.0,10.0,-18.722841699183164
03-28,17.5,-15.157480314960631,-33.42228152101401,1.7647058823529411,-26.58225380297598,-25.75529831663543,-59.488280722190126,-7.281452308417452,19.392727938565322,-22.159088261363976,-74.99998509883939,-37.7586186520409,3.0,9.0,-21.995608764793303
03-29,17.5,-12.5,-29.03225806451613,4.705882352941177,-19.51226997935637,-27.272254564716437,-56.48540821912731,-11.650323693467923,10.907879453716857,3.409093002642436,-66.66666004392862,-57.59367708773122,4.0,8.0,-20.34916640362863
03-30,15.384615384615385,-20.833333333333336,-25.806451612903224,0.5882352941176471,-25.319686633991374,-24.99957442197162,-66.59232264141812,-1.9417206155779874,8.786362156723484,15.789473684210526,-83.33333002196431,-45.27272173097308,4.0,8.0,-21.129204541038835
03-31,10.256410256410255,-20.833333333333336,-24.838709677419356,8.571428571428571,-25.641014451124477,-28.048291364420315,-62.237383493490874,2.912580923366981,10.530004501342773,5.88235294117647,-83.33333002196431,-27.504550248566424,5.0,7.0,-19.523652949716173
04-01,15.384615384615385,-20.833333333333336,-21.612903225806452,3.0303030303030303,-29.45831915843294,-14.36148365488539,-65.57066452539748,-1.477811692401578,14.192258773311472,13.279136377385814,-120.00000476837158,-45.71948212088031,4.0,8.0,-22.762307409491115
04-02,7.6923076923076925,-16.0,-16.129032258064516,-7.38255033557047,-38.88866628095644,-11.59556828431487,-63.1697688864991,-9.999849479474324,8.27448351629847,10.364147573857933,-122.22222810910088,-32.058279823848714,3.0,9.0,-24.2595837229471
04-03,20.0,-11.538461538461538,-17.647058823529413,3.067484662576687,-36.11093263724651,-12.180665766550943,-63.207027212941036,-17.415450522346738,1.4800008138020622,0.7552870438814674,-122.22222810910088,-30.90908598308718,4.0,8.0,-23.827344839416998
04-04,17.94871794871795,-11.538461538461538,-27.659574468085108,3.6809815950920246,-36.11093263724651,-17.533971802820787,-51.66277854847592,-1.9511922913205222,-14.80159912109375,-15.105740877629348,-144.44445621820174,-45.45454299154359,2.0,10.0,-28.719462579255737
04-05,17.94871794871795,-20.833333333333336,-20.0,3.6809815950920246,-30.508383602369722,-28.764221977948935,-38.18183739764649,1.4018504243068242,4.7984008789062385,7.4018095726086734,-120.00000476837158,-37.93103536867785,5.0,7.0,-21.74892133572635
04-06,13.513513513513514,-21.73913043478261,-11.333333333333332,3.6585365853658534,-22.66670039631092,-26.53135330697223,-51.99980159045402,10.747519919685653,-17.60159912109375,-22.769235464242787,-83.33333002196431,20.000002980232196,4.0,8.0,-17.5045758891964
04-07,7.042253521126761,-28.26086956521739,-10.0,3.6585365853658534,-16.4558181621042,-28.764221977948935,-28.000164618181728,6.54196864676518,-2.3092299241286276,-9.375,-83.33333002196431,60.00000331136902,4.0,8.0,-10.771322683743199
04-08,7.042253521126761,-23.91304347826087,-19.333333333333332,1.25,-8.26099093279687,-32.54489044722828,-20.39999428021572,-0.5025053410471081,0.7258189808238429,-12.903225806451612,-83.33333002196431,55.55555831502973,4.0,8.0,-11.384806902026483
04-09,7.042253521126761,-26.666666666666668,-22.58064516129032,-16.176470588235293,-8.23551810128606,-27.272254564716437,-24.800210376455972,-2.0512519669576164,5.206945207383877,-6.0606060606060606,-83.33333002196431,61.1111124908482,3.0,9.0,-11.98472019073499
04-10,7.605633802816901,-14.893617021276595,-17.28395061728395,-26.400000000000002,-10.588427611104235,-21.211753550335004,-23.799945662049335,-5.290925229143639,2.4985722133091315,5.88235294117647,-49.99999006589293,55.55555831502973,4.0,8.0,-8.160541040396124
04-11,6.2857142857142865,-17.391304347826086,-7.954545454545454,-27.200000000000003,0.0,-21.211753550335004,0.17512871704166355,-2.577281593542414,-7.501787458147321,5.000002243939547,-66.66666004392862,65.21739271277514,4.0,8.0,-6.1520912074045215
04-12,6.2857142857142865,-22.727272727272727,-9.913793103448276,-17.599999999999998,-1.1767895718315242,-20.987283813417854,5.7850419264503214,-2.4522778564007943,-57.85714285714286,3.823527167825159,-66.66666004392862,64.04494404597139,4.0,8.0,-9.95349937895679
04-13,4.9275362318840585,-14.318181818181818,-10.83743842364532,-12.0,2.954820893735491,-19.657776435138977,12.307718062791576,-8.991685473469579,-60.785718645368306,-6.470590479233686,-66.66666004392862,45.945947850769315,4.0,8.0,-11.132669023315492
04-14,7.352941176470589,-22.727272727272727,1.477832512315271,-7.317073170731707,7.174110990124377,-19.511854862205436,-1.5789236020222617,-11.716438647248237,-49.92856706891743,1.4925373134328357,-100.0,33.33333333333334,5.0,7.0,-13.495781229393451
04-15,11.76470588235294,-18.181818181818183,1.477832512315271,-11.864406779661017,17.884643368566365,-15.687219597515217,1.9297955135827642,-17.16594499480556,-44.75861648033408,2.3668617015333595,-100.0,41.66666511446235,6.0,6.0,-10.88062516177675
04-16,14.705882352941178,-18.181818181818183,-5.0,-10.0,35.077040797535815,-18.74966485758791,-43.859735428970644,-16.75950876495654,-44.75861648033408,-6.451612903225806,-100.0,33.33333333333334,3.0,9.0,-15.053725011090235
04-17,4.411764705882353,-13.333333333333334,1.1764705882352942,0.0,32.61532124463403,-19.37465368617417,-0.08203329970593672,-12.972772425619326,-44.75861648033408,-2.812504768371582,-79.99999523162842,31.8181787394295,4.0,8.0,-8.609347828915473
04-18,-14.705882352941178,-6.25,-1.8181818181818181,-6.722689075630252,35.38472837685616,-18.74966485758791,-15.589099332052223,-16.43427854631681,-5.708249789936253,1.8750011920928955,-79.99999523162842,30.93922253944743,3.0,9.0,-8.148257407989865
04-19,-14.705882352941178,-8.51063829787234,-6.25,-14.285714285714285,33.87111058748604,-22.580228529409517,-15.589099332052223,-15.229634737152262,-5.708249789936253,-2.499997615814231,-149.99999627470976,28.435112197353945,2.0,10.0,-16.087768202563506
04-20,-18.181818181818183,-4.602510460251046,-0.625,-27.586206896551722,20.408156176659233,-23.376189257559048,-13.010944923246031,-20.114611916993553,-12.75546644259867,-17.666664123535156,-149.99999627470976,21.874997574680826,2.0,10.0,-20.469687893826926
04-21,-21.875,-0.41841004184100417,-6.25,-21.052631578947366,17.02132067711737,-28.98789610698091,-14.000085796764205,-14.942283138338066,-24.137931034482758,-6.666666666666667,-100.0,29.929929489465174,2.0,10.0,-15.948304516453206
04-22,-23.4375,-0.41841004184100417,-12.903225806451612,-28.971962616822427,15.217464354202576,-31.03387065660747,-19.0000142994607,-20.68931511462194,-28.47965179031005,-4.918032786885246,-100.0,32.93293112628092,2.0,10.0,-18.475132302709746
