,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.319999694824217,0.9499998092651367,-0.4799995422363281,0.75,-0.8999996185302734,0.5,1.6499996185302734,-0.7000007629394531,0.5799999237060511,0.8099994659423793,1.2000007629394496,0.0,8.0,4.0,02-16,0.3899999459584544
01-03,0.319999694824217,0.9499998092651367,-0.4799995422363281,0.75,-1.5,0.5,1.6499996185302734,-0.7000007629394531,1.0,0.860000610351559,1.2000007629394496,0.0,8.0,4.0,02-17,0.37916668256123787
01-04,0.319999694824217,0.9499998092651367,0.0,0.75,-1.5,0.9500007629394531,1.6499996185302734,-0.6000003814697266,1.0,0.8099994659423793,1.2000007629394496,0.0,8.0,4.0,02-18,0.4608333110809319
01-05,0.319999694824217,1.4499998092651367,0.6000003814697266,0.75,-1.5,0.9500007629394531,1.6499996185302734,-0.6000003814697266,1.0,0.8099994659423793,0.9500007629394496,0.0,9.0,3.0,02-19,0.5316666762034091
01-06,-1.2799997329711914,1.4499998092651367,0.6000003814697266,0.75,-1.0499992370605469,0.9500007629394531,-0.5,-0.75,1.0,0.8099994659423793,0.9500007629394496,0.0,7.0,5.0,02-20,0.2441668510437006
01-07,-1.2799997329711914,1.6999998092651367,0.25,0.75,-1.25,-0.46999931335448863,-0.5,-0.5,1.0,0.8099994659423793,0.9500007629394496,0.0,6.0,6.0,02-21,0.12166674931844046
01-08,-1.2799997329711914,1.25,0.25,0.75,-1.0,-0.46999931335448863,-0.5,-0.75,0.5,0.7899990081787109,1.75,0.0,6.0,6.0,02-22,0.10749999682108591
01-09,-1.2799997329711914,1.1999998092651367,0.5,0.75,0.25,-0.46999931335448863,-0.75,-0.75,0.5,1.0,1.75,0.0,7.0,5.0,02-23,0.22500006357828806
01-10,-0.630000114440918,1.1999998092651367,0.25,0.75,0.25,-0.25,-0.75,-0.75,1.0,1.0,1.7000007629394496,0.0,7.0,5.0,02-24,0.314166704813639
01-11,-0.75,1.4499998092651367,0.5,0.6000003814697266,0.25,-0.25,-0.75,-0.75,1.75,0.8000011444091797,1.7000007629394496,0.0,7.0,5.0,02-25,0.37916684150695773
01-12,-0.75,1.4499998092651367,0.5,0.6000003814697266,-0.0400009155273473,-0.25,-1.4500007629394531,-0.75,1.75,0.9000015258788991,1.8500003814697266,0.020000457763671875,7.0,5.0,02-26,0.3191667397816967
01-13,-0.75,1.25,0.5,0.75,-0.1800003051757777,-0.25,-1.25,-0.75,1.9099998474121094,0.9000015258788991,2.050001144409176,-0.14999961853026988,6.0,6.0,02-27,0.33583354949951144
01-14,-0.75,1.25,0.5,0.3199996948242205,0.14999961853027344,-0.25,-1.25,-0.75,2.0499992370605504,0.9000015258788991,2.050001144409176,0.0,7.0,5.0,02-28,0.3516667683919266
01-15,-1.3999996185302734,1.0,0.7299995422363281,0.3199996948242205,0.14999961853027344,-0.25,-2.0,-0.5,2.020000457763672,0.9000015258788991,3.3400001525878906,-0.39999961853027344,7.0,5.0,02-29,0.32583347956339476
01-16,-1.3999996185302734,0.5200004577636719,0.7299995422363281,0.3199996948242205,0.14999961853027344,-0.25,-2.0,-0.5,2.10000038146973,0.9000015258788991,3.3400001525878906,0.20000076293944957,8.0,4.0,03-01,0.34250020980834917
01-17,-1.3999996185302734,0.5200004577636719,0.4799995422363281,0.3199996948242205,0.14999961853027344,-0.25,-2.0,-0.5,2.25,0.8000011444091761,3.3400001525878906,-0.10000038146973012,7.0,5.0,03-02,0.3008333841959631
01-18,-1.5,0.5200004577636719,0.4799995422363281,0.3199996948242205,0.14999961853027344,-0.25,-1.75,-0.5,2.260000228881836,0.8000011444091761,3.3299999237060547,0.14999961853026988,8.0,4.0,03-03,0.33416668574015257
01-19,-2.4600000381469727,0.9499998092651367,0.4799995422363281,0.3199996948242205,0.14999961853027344,-0.25,-1.7999992370605469,-0.5,2.260000228881836,0.8000011444091761,1.8400001525878906,0.129999160766598,8.0,4.0,03-04,0.16000000635782832
01-20,-2.4600000381469727,0.6999998092651367,0.4799995422363281,0.3199996948242205,0.14999961853027344,-0.25,-1.9799995422363281,-0.75,2.260000228881836,0.8000011444091761,1.8400001525878906,0.129999160766598,8.0,4.0,03-05,0.10333331425984656
01-21,-2.4600000381469727,0.6999998092651367,0.4799995422363281,0.7299995422363281,0.25,-0.25,-1.9799995422363281,-0.75,2.25,0.8000011444091761,1.8400001525878906,0.129999160766598,8.0,4.0,03-06,0.1449999809265131
01-22,-2.4600000381469727,0.6999998092651367,0.4799995422363281,0.7299995422363281,0.19000053405761363,-0.5,-1.9799995422363281,-0.5499992370605469,2.25,0.7800006866455078,1.8400001525878906,0.1800003051757777,8.0,4.0,03-07,0.1383334795633946
01-23,-2.739999771118164,0.6999998092651367,0.5799999237060547,0.7299995422363281,0.19000053405761363,-0.5,-1.9799995422363281,-0.5499992370605469,2.2199993133544886,-4.060001373291023,1.8400001525878906,0.1800003051757777,7.0,5.0,03-08,-0.282500028610231
01-24,-3.75,0.6999998092651367,0.5799999237060547,0.7299995422363281,0.3400001525878871,-0.5,-1.9799995422363281,-0.45999908447265625,1.5499992370605504,-2.299999237060547,1.5,0.1800003051757777,7.0,5.0,03-09,-0.2841665744781497
01-25,-3.1499996185302734,1.3500003814697266,0.5799999237060547,0.7299995422363281,0.3899993896484375,0.5,-1.9799995422363281,-0.45999908447265625,1.5499992370605504,0.6800003051757812,1.4500007629394496,0.1800003051757777,9.0,3.0,03-10,0.15166680018107068
01-26,-3.1499996185302734,1.6000003814697266,0.5799999237060547,0.7299995422363281,0.39999961853027344,0.5,-2.200000762939453,0.030000686645507812,1.5499992370605504,0.36000061035155895,1.4500007629394496,0.07000160217284801,10.0,2.0,03-11,0.16000016530354758
01-27,-3.1499996185302734,1.6000003814697266,0.5799999237060547,0.7299995422363281,0.39999961853027344,0.5,-2.25,-0.10000038146972656,1.5399990081787145,0.3999996185302699,1.4500007629394496,0.07000160217284801,9.0,3.0,03-12,0.14750003814697207
01-28,-3.1499996185302734,1.6000003814697266,0.5799999237060547,0.8799991607666016,0.39999961853027344,0.5,-2.25,-0.10000038146972656,2.1900005340576136,0.3999996185302699,1.7000007629394496,-1.7999992370605504,8.0,4.0,03-13,0.07916673024495324
01-29,-3.1499996185302734,1.6000003814697266,1.0299997329711932,0.8799991607666016,0.8299999237060547,0.5,-2.25,0.0,2.1900005340576136,0.5,1.25,-1.7999992370605504,8.0,4.0,03-14,0.13166673978169716
01-30,-3.1499996185302734,2.5,1.0299997329711932,0.8799991607666016,0.8299999237060547,0.5,-2.1000003814697266,0.14999961853027344,2.1700000762939418,0.5,1.25,-1.7999992370605504,9.0,3.0,03-15,0.22999993960062617
