,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,18.967861046242454,-10.160678799783755,10.416669707719912,26.87783000690874,15.29125955149992,0.7042247017941442,-6.761003448297336,-38.72340947915786,-4.589117507231691,-4.949665677949626,15.885798686191437,-4.665541770611266,6.0,6.0,1.5245189181104235
01-03,22.749663865036577,-8.167054715505904,9.37634539860551,27.921499587776193,15.04854132963036,2.9929507851149078,-5.422649978025169,-39.9141672622015,-3.2666009177382023,-3.1879204027577974,14.055637611575008,-4.553116493858102,6.0,6.0,2.3027607339709903
01-04,22.437049561477046,-6.341238069390787,10.971918142692271,30.24085508429638,8.73786177416297,0.5309771557871013,-23.78277049881805,-34.15637452280721,-7.165440691002862,-1.258386053441299,11.713026688638877,-3.421627500934464,6.0,6.0,0.7088209225549976
01-05,20.835248851651876,-1.880185317219103,9.114465389943222,29.259591424145427,14.390242143729656,4.258943864974011,-28.849902262327337,-29.752066359967117,-6.322448850797298,-2.3489910333813064,13.649634391194832,-5.103756877767621,6.0,6.0,1.4375646136816034
01-06,19.71572371551524,-3.716652570746395,7.818572335930321,30.95450718305621,13.97058686033114,7.260727085397366,-26.17187856521931,-26.446274640854934,-5.584833502931268,-2.766135081848132,15.318541892754705,-5.458634149503928,6.0,6.0,2.074520880156752
01-07,19.39477141593574,-5.5531198242737485,8.725704065009033,26.33002737707405,16.02870491364741,5.509180906770784,-27.539069448539678,-23.14049277374984,-9.967139496228077,-3.025215310015488,14.708002730245138,-2.555743536172585,6.0,6.0,1.5763009183085617
01-08,18.340211361519003,5.730768350454463,20.231458760350925,29.690187979714803,16.707617643161562,-1.8363962891081962,-28.51562638243198,-23.14049277374984,-7.4946445163727695,-4.429305518752535,13.701577510087626,-1.5225703966206439,6.0,6.0,3.1218988106877017
01-09,1.5259371281228165,6.98822695753696,23.63561768782865,27.76304356166567,19.65602351334306,-2.1702857998048075,-20.68966367723858,-14.693872983234307,-8.77573629240338,-5.121751621886946,13.773308324352444,-0.16313587624364667,6.0,6.0,3.477309243503162
01-10,15.283659958027012,8.99293976222996,21.806717617987577,25.775020879047826,17.19902350315023,-2.5083627907859434,-22.770394945127986,-11.067192670202362,-8.210523504959928,-4.282117845640884,12.05164563896831,-1.738639749124303,6.0,6.0,4.2109813211307925
01-11,19.314512723938503,6.811266623889233,12.12121288271991,19.57484539959417,11.704835377433897,7.187500488944357,-22.30623510109218,-12.39999771118164,-7.052632382041511,-5.037786642794114,26.023219084670806,-1.0456826266363297,7.0,5.0,4.574588176453758
