,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.21000003814697266,2.1299991607666016,2.0599994659423864,1.5499992370605469,1.4899997711181605,1.2099990844726562,0.3099994659423828,-1.7400007247924787,1.1499996185302734,-0.35000038146972656,1.210000038146978,0.6399993896484375,10.0,2.0,02-16,0.8224995136260992
01-03,-0.44999980926513494,1.8499994277954084,2.0900001525878906,1.6300010681152344,1.7399997711181605,1.2599983215331996,0.1700000762939453,-1.6000003814697266,1.010000228881836,-0.4699993133544922,1.210000038146978,0.5899982452392578,9.0,3.0,02-17,0.7524998188018798
01-04,-0.7899999618530256,1.8499994277954084,2.3500003814697266,1.2000007629394531,1.6800003051757777,0.8599987030029332,0.2099990844726598,-1.4200000762939453,1.010000228881836,-0.6000003814697266,1.029999732971195,0.5200004577636719,9.0,3.0,02-18,0.6583332220713304
01-05,-1.5500001907348615,1.609999656677246,2.510000228881836,1.1100006103515625,1.139999389648441,0.9799995422363317,0.01000022888183949,-1.030000686645506,0.8900003433227539,-0.6299991607666016,0.6399993896484375,0.5,9.0,3.0,02-19,0.5149999459584566
01-06,-2.409999847412111,1.3399991989135742,2.450000762939453,1.0400009155273438,1.25,1.0100002288818395,-0.11999893188476207,-1.0600004196166992,0.5700006484985369,-0.8299999237060511,0.7299995422363281,0.5399990081787145,8.0,4.0,02-20,0.37583343187968055
01-07,-2.0000000000000018,1.3299999237060565,2.1800003051757812,1.2299995422363281,1.4099998474121058,0.6700000762939418,-0.3600006103515625,-0.6900005340576172,0.569999694824217,-0.8299999237060511,0.7299995422363281,0.44000053405762074,8.0,4.0,02-21,0.38999986648559554
01-08,-2.1700000762939453,1.5699996948242188,2.409999847412106,1.2800006866455078,1.5599994659423828,0.629999160766598,-0.07999992370605469,-0.6700000762939453,0.7399997711181623,-0.6800003051757812,0.5,0.3699989318847656,8.0,4.0,02-22,0.45499976476033455
01-09,-3.069999694824217,1.5299997329711914,2.380001068115231,1.3400001525878906,1.2700004577636683,0.7199993133544886,0.0800018310546946,-0.6199998855590803,0.819999694824217,-0.5599994659423864,0.3600006103515625,0.2800006866455078,9.0,3.0,02-23,0.3775003751118973
01-10,-3.2899999618530273,1.1599998474121076,2.2499999999999964,1.4500007629394531,1.4400005340576207,0.43000030517578125,0.2800006866455078,-0.5399999618530273,0.6900005340576136,-0.5,0.39000129699707387,0.4799995422363281,9.0,3.0,02-24,0.35333363215128566
01-11,-3.929999828338623,1.0599994659423828,2.730001449584961,1.5500011444091797,1.0500011444091832,0.3400001525878871,0.14999961853027344,-0.5600004196166974,0.75,-0.23999977111816406,0.6499996185302734,0.46000099182128906,9.0,3.0,02-25,0.3341669638951621
