,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.016660001128911972,0.026670001447200775,0.0,-0.0065999997314065695,0.0,-0.014000002294778824,-0.07500001788139343,-0.015000000596046448,-0.06989999115467074,-0.008159995079040527,-0.16299998760223386,-0.030250001698732373,2.0,10.0,02-16,-0.028214999455182504
01-03,0.019999999552965164,0.026670001447200775,0.0,-0.0065999997314065695,0.0,-0.013000000268220901,-0.13500002026557928,-0.015000000596046448,-0.019999995827674893,0.01683999598026273,-0.16299998760223386,-0.030250001698732373,3.0,9.0,02-17,-0.026611667417455475
01-04,0.019999999552965164,0.026670001447200775,0.0,-0.0065999997314065695,0.0,-0.011100001633167274,-0.13500002026557928,-0.03989999741315842,-0.019999995827674893,0.04083999991416931,-0.16299998760223386,-0.03045000135898591,3.0,9.0,02-18,-0.02654500024315591
01-05,0.019999999552965164,0.0,0.0,-0.0065999997314065695,0.0,-0.016200002282857902,-0.15745002031326305,-0.08799999952316284,-0.019999995827674893,0.0018399953842163086,-0.20999999344348907,-0.03045000135898591,2.0,10.0,02-19,-0.042238334795304894
01-06,0.019999999552965164,0.0,0.0,-0.0065999997314065695,0.0,-0.019099999219179167,-0.12000000476837158,-0.08799999952316284,-0.019999995827674893,0.07134000211954115,-0.21499998867511746,-0.02970000170171262,2.0,10.0,02-20,-0.033921665647843234
01-07,0.019999999552965164,-0.033330000936985016,0.0,-0.0065999997314065695,0.0,-0.010600000619888306,-0.12000000476837158,-0.08799999952316284,-0.01841999590396881,0.07134000211954115,-0.1899999976158142,-0.00420000217854977,2.0,10.0,02-21,-0.03165083330047006
01-08,0.019999999552965164,0.019999999552965164,0.0,-0.0065999997314065695,0.0,-0.01840000227093696,-0.11990001797676086,-0.08799999952316284,-0.08851999044418338,0.07134000211954115,-0.1899999976158142,-0.00420000217854977,3.0,9.0,02-22,-0.03369000070961192
01-09,0.019999999552965164,0.019999999552965164,0.0,-0.0065999997314065695,0.0,-0.023499999195337296,-0.11500000953674322,-0.03999999910593033,-0.038519993424415616,-0.008159995079040527,-0.1899999976158142,-0.00420000217854977,2.0,10.0,02-23,-0.03216499973010894
01-10,0.019999999552965164,0.019999999552965164,0.0,-0.0065999997314065695,0.0,-0.007100000977516181,-0.0997999906539917,-0.04100000113248825,0.0,-0.008159995079040527,-0.24000000953674316,0.0007999986410140991,3.0,9.0,02-24,-0.030154999947020162
01-11,0.019999999552965164,0.0,0.0,-0.0065999997314065695,0.0,0.006200000643730164,-0.0997999906539917,-0.04100000113248825,0.0,-0.008159995079040527,-0.24000000953674316,0.0038000009953975677,3.0,9.0,02-25,-0.03046333291179811
