,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-82.56880262365425,2.424240147334001,0.0,-11.991872834122312,-5.521474456557392,-33.27841719605142,41.83427319737911,-48.427671950029065,12.280700653653822,11.656437948895197,7.272731016490004,-8.17610015739376,5.0,7.0,-9.541329687838005
01-03,-80.90908785496869,5.847954480177808,0.5208328482694815,-14.31535337440926,-10.736193425044526,-31.630964500142284,45.146726991889466,-39.92094869109612,11.89427238745225,11.656437948895197,10.00000108372079,-14.465409700951911,6.0,6.0,-8.90931098385065
01-04,-80.90908785496869,4.733730189744502,2.0618597877583236,-11.618255660487208,-15.030675183134356,-25.669293526315982,46.27855471040629,-42.16867262227977,4.845810397360801,9.815948901193854,9.090911061310528,-11.61290788997859,6.0,6.0,-9.18183980744919
01-05,-73.04348267769778,-1.2121200736670208,-1.546390232212304,-12.655594086151018,-18.691585591971783,-22.76923106266902,46.27855471040629,-35.47095268437354,2.2026410897094744,10.429445250427623,5.405410920322552,-27.205882417392562,4.0,8.0,-10.689932237939091
01-06,-68.42105098048076,0.0,-0.51546341073745,-15.56016542093788,-16.513760397638446,-22.205203103778967,43.44569307118126,-29.45892453817507,-2.2026410897094744,12.650597780739508,4.545460949259217,-23.571432038229396,3.0,9.0,-9.81724076487562
01-07,-66.66666666666666,-3.0303074089730635,-9.27834139327387,-28.832957937723975,-15.805470728140477,-24.218745168764215,41.123596187874554,-38.87775844097365,-13.983058338705328,13.173647608051267,0.0,-20.714291857213496,2.0,10.0,-13.925862845375741
01-08,-52.63158169919878,0.0,0.0,-23.46491633965153,-17.98780241816046,-25.781251105945497,40.524345840158475,-37.7777865545788,-14.468092186627171,13.690470657448477,0.9523800873702163,-20.714291857213496,3.0,9.0,-11.471543798033215
01-09,-36.842101960961465,1.7647111622106002,0.0,-25.95079146971353,-17.682924657475,-24.687498440034695,38.19969809932423,-29.132227333881346,-15.948281664839966,14.117647223819068,-2.857151615376773,-21.42857690246747,3.0,9.0,-10.03729146328303
01-10,-36.363633408034204,-0.6024090761645985,-0.51546341073745,-23.8839323014705,-15.243902571991327,-25.39184728057083,34.8521225466138,-26.518217158010028,-12.068964631322117,14.705881940452297,1.9047601747403906,-22.62773297084428,3.0,9.0,-9.312778178944905
01-11,-37.61467468496762,-0.6024090761645985,2.030460938141976,-19.866068363759908,-17.924525826317183,-24.80499517062887,28.696418189597463,-25.502007551453648,-13.793111244365155,5.882354178643096,4.545460949259217,-19.858162923931687,4.0,8.0,-9.900938382162243
01-12,-37.61467468496762,3.0120453808230727,1.0152274434545345,-22.991076013909595,-16.459626294429633,-23.839008556643456,31.107356964571537,-15.56885623426961,-10.344828294942268,-16.66666544023365,1.8518610500991577,-23.357667980898324,4.0,8.0,-10.821326055112154
01-13,-23.8532094037972,4.21686353315231,1.0152274434545345,-25.56561300759962,-15.030675183134356,-23.076923076923077,35.06493345644403,-6.187623325692518,-14.473681045921404,-23.41772118472001,3.6363709268489752,-28.03030227771916,4.0,8.0,-9.64186276213396
01-14,-5.504581737815493,4.819272609316908,3.517590558624302,-24.09090726828776,-17.187498253770183,-21.86544092782304,35.795454193597145,-10.978037700019378,-7.894739869118656,-23.41772118472001,7.8260900212597,-29.545452287702958,4.0,8.0,-7.377164320538284
01-15,-9.174313832990876,6.626507019093392,0.0,-25.517245008035527,-17.554856825535154,-22.935779950295192,33.60389198213781,-7.707913340211523,-6.034487453992643,-25.00000764162142,7.692300638503319,-27.272718241720845,3.0,9.0,-7.7728852212223885
01-16,0.0,3.550299405759346,0.0,-22.696635329713086,-19.12225342175497,-23.700308865073573,29.254898370481,-6.048390895717445,-9.33333502875434,-28.289478431117903,5.1282004256688785,-20.454543196793832,3.0,9.0,-7.642628913917995
01-17,-4.464281437804522,2.9761877307950457,0.0,-15.923566750013618,-13.166138882183107,-21.29909171883664,26.651306797456282,-1.153854265721184,-13.3640530717541,-19.07894509816101,11.11111111111113,-32.231402760295936,3.0,9.0,-6.661894028783972
01-18,-4.464281437804522,8.938545811797953,0.0,-18.68365408309279,-16.825395407740384,-24.218745168764215,28.357087431402345,-2.1359248830568465,-18.43317248320085,-17.105262745120182,1.7241363363798687,-30.39999961853027,3.0,9.0,-7.770555520644159
01-19,-1.7391288122742863,6.8571431296212335,1.0101000370632403,-18.04670695856255,-18.06452252986425,-22.49614930102578,28.195488317453947,-1.153854265721184,-20.27648863281782,-18.181824515251698,3.4188002837792526,-33.606553852990714,4.0,8.0,-7.840308091715883
01-20,-9.3457850215429,9.714283261980329,1.515150055594866,-17.234052180596706,-18.06452252986425,-22.68518188062957,26.026333821768237,-4.230774521122512,-16.51375615007819,-16.77419344914939,5.833337472544612,-26.356592514173915,4.0,8.0,-7.342979469605782
01-21,-16.82242417983177,10.85714612688337,-1.0204071702683166,-18.221250573161374,-20.39474117623807,-28.849265979918137,20.99148001686622,-7.1153918455340985,-18.98147366297131,-19.07894509816101,4.237284282951545,-30.39999961853027,3.0,9.0,-10.399832406492768
