,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-7.336496353149414,2.5830955505371094,11.286849975585938,3.390522003173814,4.50543212890625,-0.7041702270507955,3.76190185546875,-6.1143417358398295,12.596755981445284,-9.92535400390625,24.867599487304688,0.2059783935546875,8.0,4.0,02-16,3.2598144213358524
01-03,-7.129005432128903,3.1442184448242188,10.956001281738281,3.390522003173814,4.421363830566406,-1.94940185546875,8.972824096679702,-3.9977340698242045,12.854782104492216,-12.639114379882812,29.975296020507812,3.148422241210966,8.0,4.0,02-17,4.262347857157395
01-04,-7.336317062377926,4.250652313232429,14.235450744628913,2.8323173522949006,3.4967727661132812,0.4443359375,9.872337341308608,-0.44293975830075283,13.389251708984403,-11.803359985351591,25.576736450195312,-3.040557861328125,8.0,4.0,02-18,4.289556662241622
01-05,-8.257707595825192,4.754692077636719,14.07470703125,3.283828735351541,3.6895065307617188,0.9190521240234517,9.80178833007814,2.1739349365234233,13.591964721679716,-12.094467163085938,23.985946655273438,-2.4983367919921875,9.0,3.0,02-19,4.452075799306236
01-06,-8.591083526611328,4.0475616455078125,14.709602355957031,6.083286285400369,3.6134567260742188,2.2136917114258097,11.435943603515625,4.5886764526367045,12.882446289062514,-13.5499267578125,25.86492919921875,-4.410827636718722,9.0,3.0,02-20,4.907313028971357
01-07,-6.732290267944336,3.631153106689453,15.183757781982422,7.01512908935549,3.6895065307617188,1.3355712890625,11.278114318847656,8.619186401367173,13.205703735351577,-14.667617797851562,25.932403564453125,-2.401840209960966,9.0,3.0,02-21,5.5073981285095215
01-08,-6.671592712402344,3.6421775817871236,14.2878189086914,7.881759643554709,4.289070129394531,1.8250732421875,8.533439636230469,8.284797668457017,13.242706298828082,-15.507049560546875,25.36474609375,-3.922119140625,9.0,3.0,02-22,5.104235649108884
01-09,-6.876804351806641,4.422447204589844,13.94083404541015,8.880432128906257,3.2467803955078125,1.8594284057617188,9.635223388671875,8.013290405273438,13.15939331054686,-16.881057739257812,24.483139038085938,-5.6777801513671875,9.0,3.0,02-23,4.850443840026855
01-10,-6.011991500854489,4.209049224853516,11.979949951171868,6.387184143066399,3.0366439819335938,2.2587738037109233,11.285591125488281,11.151992797851562,13.007537841796875,-16.298873901367188,25.41265869140625,1.242111206054659,10.0,2.0,02-24,5.638385613759354
01-11,-6.918024063110352,3.5847091674804688,11.196464538574219,3.8257980346679688,2.7640151977539062,4.166633605957031,10.853469848632827,8.972091674804688,11.044754028320312,-20.064315795898438,22.130630493164062,3.7831268310546875,10.0,2.0,02-25,4.611612796783448
01-12,-6.32679557800293,4.61644363403321,10.730335235595696,2.4876556396484375,4.0391082763671875,5.2368927001953125,11.479598999023438,7.964988708496094,11.874099731445312,-20.471847534179716,23.018997192382812,-2.7331390380859375,9.0,3.0,02-26,4.326361497243243
01-13,-6.369022369384766,4.435737609863288,10.577632904052734,2.0090179443359375,2.4337997436523438,5.487174987792983,12.071739196777358,9.176856994628906,9.434860229492216,-17.578964233398438,23.838043212890625,-8.539596557617216,9.0,3.0,02-27,3.9147733052571643
01-14,-5.200643539428711,4.317874908447273,11.60264968872071,2.4979400634765625,2.9576416015625,3.5244140625,11.729751586914077,9.517982482910156,11.294723510742216,-14.843673706054688,23.086456298828125,-6.6159210205078125,9.0,3.0,02-28,4.489099661509201
01-15,-5.33720588684082,4.827373504638665,11.833423614501953,1.3672027587890625,4.469200134277344,2.9919662475585938,11.791137695312514,11.809234619140625,11.405853271484432,-18.399551391601562,23.658233642578125,-5.958770751953125,9.0,3.0,02-29,4.538174788157151
01-16,-5.766360282897949,4.115032196044922,10.953868865966797,1.0040664672851562,4.4944000244140625,2.3049468994140483,11.737709045410156,12.946029663085923,11.257720947265653,-21.9837646484375,22.84368896484375,-8.9306640625,9.0,3.0,03-01,3.748056173324585
01-17,-5.134735107421875,4.936954498291016,9.049442291259751,0.27771759033203125,3.174713134765625,3.0626144409179545,10.744964599609375,12.231468200683608,15.314025878906278,-23.429824829101562,20.361740112304688,-17.25355529785159,9.0,3.0,03-02,2.777960459391275
01-18,-6.178977966308594,5.3479156494140625,9.622379302978516,-1.2410812377929688,2.577728271484375,3.1170196533203125,11.35345458984375,14.6827392578125,15.019149780273438,-22.01190185546875,14.180038452148438,-17.021835327148438,8.0,4.0,03-03,2.4538857142130532
01-19,-6.186655044555662,5.0396881103515625,9.839359283447266,-1.1015090942382955,1.0853652954101562,2.0381546020507812,10.824348449707031,15.171188354492188,14.982284545898438,-24.932907104492188,15.358474731445312,-10.032394409179688,8.0,4.0,03-04,2.6737831433614083
01-20,-5.426508903503418,5.676105499267578,8.706199645996094,0.6201400756835795,0.07993316650390625,4.118217468261719,8.813667297363281,16.56256866455078,12.215805053710938,-23.016403198242188,14.712890625,-16.58808898925784,9.0,3.0,03-05,2.206210533777869
