,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,1.4099998474121112,2.380000114440918,0.2800002098083487,0.7799997329711896,1.0499992370605469,-3.34999942779541,1.430000305175783,0.10000038146972656,0.3100004196166992,-0.7199997901916486,8.0,2.0,02-16,0.3336364572698422
01-03,0.0,1.4099998474121112,1.9600000381469735,0.4099998474121085,0.7799997329711896,1.0499992370605469,-3.34999942779541,1.430000305175783,0.06000041961669922,0.3100004196166992,-0.7199997901916486,8.0,2.0,02-17,0.30363642085682296
01-04,0.0,1.6399993896484393,1.9600000381469735,0.4099998474121085,-0.31999969482421875,1.0499992370605469,-3.4099998474121094,1.0399999618530273,0.06000041961669922,0.3100004196166992,-1.0300002098083496,7.0,3.0,02-18,0.15545450557361964
01-05,0.0,1.6399993896484393,1.9600000381469735,0.4099998474121085,-0.31999969482421875,1.0499992370605469,-2.4600000381469744,0.9399995803833008,0.06000041961669922,0.23999977111816584,-1.0300002098083496,7.0,3.0,02-19,0.2263634855096992
01-06,0.0,1.7799997329711932,1.9600000381469735,0.4099998474121085,-0.39999961853027344,1.0499992370605469,-1.7899999618530291,1.0,-0.10999965667724432,0.1700000762939471,-1.0300002098083496,6.0,4.0,02-20,0.2763635895468975
01-07,0.0,1.7799997329711932,1.9600000381469735,0.4099998474121085,-0.39999961853027344,1.4399995803833008,-1.7899999618530291,1.0,-0.03999996185302379,0.13000011444091975,-0.8899998664855957,6.0,4.0,02-21,0.32727271860296125
01-08,0.0,1.7799997329711932,1.9800000190734854,-0.07000017166137518,-0.39999961853027344,1.4399995803833008,-2.0299997329711914,1.0,-0.5399999618530238,0.05000019073486328,-0.8899998664855957,5.0,5.0,02-22,0.2109091065146712
01-09,0.0,1.7799997329711932,1.9800000190734854,-0.07000017166137518,-0.39999961853027344,1.4399995803833008,-2.0999994277954137,1.0,-0.5399999618530238,-0.029999732971193183,-0.940000057220459,4.0,6.0,02-23,0.19272730567238555
01-10,0.0,1.7799997329711932,1.9800000190734854,-0.07000017166137518,-0.39999961853027344,1.109999656677246,-2.029999732971193,1.0,-0.4900007247924787,-0.029999732971193183,-0.940000057220459,4.0,6.0,02-24,0.17363630641590475
01-11,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.39999961853027344,1.109999656677246,-2.029999732971193,1.0,-0.8800001144409144,0.050000190734861505,-0.940000057220459,5.0,5.0,02-25,0.16545456106012527
01-12,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.8999996185302734,1.109999656677246,-1.6700000762939453,1.0,-0.6900005340576154,0.019999504089357245,-1.4499998092651367,5.0,5.0,02-26,0.12090899727561298
01-13,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.8999996185302734,1.109999656677246,-1.830000877380371,1.0,-0.6000003814697266,0.019999504089357245,-1.8299999237060547,5.0,5.0,02-27,0.0799998370083898
01-14,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.9499998092651349,1.109999656677246,-1.6500005722045898,0.9400005340576207,-0.4600000381469709,0.06999969482422053,-2.0699996948242188,5.0,5.0,02-28,0.08181814713911666
01-15,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.9499998092651349,1.109999656677246,-0.5500001907348615,0.9400005340576207,-0.49000072479248225,-0.039999961853027344,-2.0699996948242188,4.0,6.0,02-29,0.16909087787975022
01-16,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.9499998092651349,1.6599998474121076,-0.6899995803833026,0.9400005340576207,0.6199998855590803,-0.039999961853027344,-2.0699996948242188,5.0,5.0,03-01,0.3072728243741123
01-17,0.0,2.0,1.9800000190734854,-0.07000017166137518,-0.9499998092651349,1.0600004196166992,-0.6300001144409197,1.2800006866455114,0.6199998855590803,-0.039999961853027344,-2.0699996948242188,5.0,5.0,03-02,0.2890910235318273
01-18,0.0,2.5,1.9800000190734854,-0.07000017166137518,-0.9499998092651349,1.0600004196166992,-0.26999950408935725,1.4400005340576207,0.6199998855590803,-0.21999931335449396,-2.0699996948242188,5.0,5.0,03-03,0.36545476046475506
01-19,0.0,2.5,1.25,-0.07000017166137518,-0.9499998092651349,1.0600004196166992,-0.26999950408935725,1.4400005340576207,0.3499994277954084,-0.3699998855590838,-2.249999523162841,5.0,5.0,03-04,0.24454558979381238
01-20,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,1.2200002670288086,-0.2799997329711932,1.4400005340576207,0.19999980926513494,-0.3000001907348633,-2.669999599456787,5.0,5.0,03-05,0.22000009363347875
01-21,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,1.2200002670288086,-0.2200002670288086,1.4400005340576207,0.10000038146972656,-0.3000001907348633,-2.669999599456787,5.0,5.0,03-06,0.21636373346502202
01-22,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,1.2200002670288086,0.21000003814697266,1.7100000381469744,0.10000038146972656,-0.3000001907348633,-2.669999599456787,6.0,4.0,03-07,0.2800000797618525
01-23,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.880000114440918,0.2700004577636701,1.7100000381469744,-0.1099996566772461,-0.3000001907348633,-2.450000286102295,5.0,5.0,03-08,0.2554545836015185
01-24,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.880000114440918,0.2700004577636701,0.9600000381469744,-0.1099996566772461,-0.18000030517577947,-2.4699997901916504,5.0,5.0,03-09,0.19636370918967563
01-25,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.880000114440918,0.2700004577636701,0.36999988555908203,0.15000057220459162,-0.42000007629394354,-1.6299996376037598,6.0,4.0,03-10,0.22090920535000944
01-26,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.5199995040893555,0.09000015258789062,0.36999988555908203,0.25,-1.1499996185302717,-2.109999656677246,6.0,4.0,03-11,0.07090910998257781
01-27,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.5199995040893555,0.11999988555908381,0.3099994659423828,0.8900003433227557,-1.1499996185302717,-2.109999656677246,6.0,4.0,03-12,0.12636362422596414
01-28,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.049999237060546875,-0.25,0.5899991989135742,0.6400003433227557,-1.1499996185302717,-3.0799999237060547,5.0,5.0,03-13,-0.03545462001453674
01-29,0.0,2.5,1.3299999237060556,-0.07000017166137518,-0.9499998092651349,0.049999237060546875,-0.28999996185302734,0.3299999237060529,0.6400003433227557,-0.8799991607666016,-3.060000419616701,5.0,5.0,03-14,-0.036363645033402635
01-30,0.0,2.729999542236328,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.049999237060546875,-0.22999954223632812,0.3299999237060529,0.8000001907348651,-0.9099998474121076,-2.590000152587889,5.0,5.0,03-15,0.06545443968339472
01-31,0.0,2.729999542236328,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.4000005722045916,-0.22999954223632812,0.23000049591064453,0.7200002670288068,-0.7199993133544922,-2.590000152587889,5.0,5.0,03-16,0.09818194129250322
02-01,0.0,2.5900001525878906,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.4000005722045916,-0.22999954223632812,0.21000003814697266,0.7200002670288068,-0.6399993896484375,-3.190000057220457,5.0,5.0,03-17,0.036363775079901135
02-02,0.0,2.5900001525878906,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.430000305175783,-0.22999954223632812,0.21000003814697266,0.869999885559082,-0.6399993896484375,-4.970000267028807,5.0,5.0,03-18,-0.10909084840254278
02-03,0.0,2.5900001525878906,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.3000001907348633,0.619999885559082,0.06000041961669744,0.9300003051757795,-0.6399993896484375,-4.970000267028807,6.0,4.0,03-19,-0.05181811072609617
02-04,0.0,2.5900001525878906,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.23000049591064453,0.619999885559082,0.06000041961669744,1.1800003051757795,-0.6399993896484375,-5.109999656677244,6.0,4.0,03-20,-0.048181663859974015
02-05,0.0,1.0,1.3299999237060556,-0.07000017166137518,-0.7200002670288068,0.23000049591064453,1.0799999237060547,0.06000041961669744,1.1800003051757795,-0.6399993896484375,-5.109999656677244,6.0,4.0,03-21,-0.15090894699096655
02-06,0.0,1.0,1.1600003242492694,0.0,-0.7200002670288068,0.23000049591064453,1.8500003814697283,0.3299999237060529,1.239999771118164,-0.6399993896484375,-5.109999656677244,6.0,4.0,03-22,-0.059999856081875406
02-07,0.0,1.0,1.1600003242492694,0.0,-0.5799999237060547,0.6000003814697266,1.9300003051757812,0.3299999237060529,1.3500003814697266,-0.5299997329711914,-4.849999904632568,6.0,4.0,03-23,0.03727288679643111
02-08,0.0,1.0,0.019999980926515448,-1.2300000190734863,0.6000003814697248,0.6000003814697266,1.9300003051757812,0.3299999237060529,1.3500003814697266,-0.6099996566772461,-4.849999904632568,7.0,3.0,03-24,-0.07818165692416121
02-09,0.0,1.0,-0.4899997711181632,-1.2300000190734863,0.6000003814697248,0.6000003814697266,2.0399999618530273,0.6599998474121076,1.1400003433227557,0.06000041961669744,-4.849999904632568,7.0,3.0,03-25,-0.04272712360728895
02-10,0.0,1.0399999618530273,-0.4899997711181632,-1.2300000190734863,0.6000003814697248,0.9000005722045916,1.5,0.5799999237060547,0.75,0.06000041961669744,-4.849999904632568,7.0,3.0,03-26,-0.10363622145219291
02-11,0.0,1.0399999618530273,-0.4899997711181632,-1.2300000190734863,0.6000003814697248,0.9000005722045916,2.0799999237060547,0.5799999237060547,0.75,0.06000041961669744,-4.849999904632568,7.0,3.0,03-27,-0.05090895566073339
02-12,0.0,1.0399999618530273,-0.4899997711181632,-1.2300000190734863,0.6000003814697248,0.9000005722045916,2.0799999237060547,0.9300003051757795,0.7800006866455114,-0.2200002670288086,-4.849999904632568,6.0,4.0,03-28,-0.04181801189075793
02-13,0.0,1.0399999618530273,-0.4899997711181632,-1.2300000190734863,0.6000003814697248,0.4200000762939471,2.140000343322754,1.25,0.7800006866455114,-0.3299999237060547,-4.849999904632568,6.0,4.0,03-29,-0.06090892444957346
02-14,0.0,1.0399999618530273,-0.4899997711181632,-1.2300000190734863,0.2700004577636719,0.4200000762939471,2.140000343322754,1.25,0.3900003433227557,-0.5299997329711914,-4.019999742507935,6.0,4.0,03-30,-0.06909073482860179
02-15,0.0,1.0399999618530273,-0.06999969482421875,-1.2300000190734863,0.35000038146972656,0.4200000762939471,1.2300004959106428,1.25,0.3900003433227557,-0.46000003814697266,-4.019999742507935,6.0,4.0,03-31,-0.09999983960931935
02-16,0.0,1.0399999618530273,-0.06999969482421875,-1.2300000190734863,0.28999996185302734,0.4200000762939471,1.6500005722045916,1.25,0.32000064849853516,-0.4200000762939453,-3.619999885559082,6.0,4.0,04-01,-0.03363622318614581
02-17,0.0,1.0399999618530273,-0.08999967575073065,-1.2300000190734863,0.28999996185302734,0.4200000762939471,0.9700002670288121,1.25,0.530000686645506,-0.4200000762939453,-3.619999885559082,6.0,4.0,04-02,-0.07818170027299312
02-18,0.0,1.0399999618530273,-0.08999967575073065,-1.2300000190734863,0.35000038146972656,0.4200000762939471,0.9700002670288121,1.25,0.530000686645506,-0.4200000762939453,-3.619999885559082,6.0,4.0,04-03,-0.07272711667147501
02-19,0.0,1.0399999618530273,-0.08999967575073065,-1.2300000190734863,0.35000038146972656,0.4200000762939471,1.5399999618530273,1.069999694824217,0.530000686645506,-0.4200000762939453,-3.619999885559082,6.0,4.0,04-04,-0.03727262670343572
02-20,0.0,1.0399999618530273,-0.08999967575073065,-1.2300000190734863,0.35000038146972656,0.4200000762939471,1.4799995422363281,1.069999694824217,0.45000076293945135,-0.4200000762939453,-3.619999885559082,6.0,4.0,04-05,-0.0499999306418679
02-21,0.0,1.0399999618530273,-0.08999967575073065,-1.2300000190734863,0.35000038146972656,0.4200000762939471,1.4799995422363281,1.069999694824217,0.45000076293945135,-0.5,-3.679999828338624,6.0,4.0,04-06,-0.06272719123146758
02-22,0.0,1.0399999618530273,-0.08999967575073065,-1.2300000190734863,0.8500003814697266,0.4200000762939471,1.300000190734865,1.069999694824217,0.45000076293945135,-0.6099996566772461,-3.170000076293946,6.0,4.0,04-07,0.002727421847256828
02-23,0.0,0.8199996948242205,-0.08999967575073065,-1.2300000190734863,0.8500003814697266,0.4200000762939471,1.3400001525878906,1.069999694824217,0.2700004577636719,-0.6399993896484375,-3.170000076293946,6.0,4.0,04-08,-0.03272715481844791
02-24,0.0,0.8199996948242205,-0.08999967575073065,-1.2300000190734863,0.7799997329711932,0.4200000762939471,1.3600006103515625,1.3099994659423793,0.1300001144409162,-0.6499996185302734,-3.170000076293946,6.0,4.0,04-09,-0.02909088134765617
02-25,0.0,0.8199996948242205,-0.08999967575073065,-1.2300000190734863,0.7799997329711932,0.4200000762939471,1.2100000381469727,1.3999996185302699,0.25,-0.6799993515014648,-2.7899999618530282,6.0,4.0,04-10,0.008181832053444844
02-26,0.0,1.0,-0.08999967575073065,-1.2300000190734863,0.7799997329711932,-0.13000011444091442,1.140000343322754,1.3999996185302699,0.25,-0.7899999618530273,-2.7899999618530282,5.0,5.0,04-11,-0.04181818528608818
02-27,0.0,1.0,-0.08999967575073065,-1.2300000190734863,0.7799997329711932,0.46999931335449396,1.4100008010864258,1.1300001144409144,0.28000068664551137,-0.6800003051757795,-2.7899999618530282,6.0,4.0,04-12,0.02545460787686491
02-28,0.0,1.0,-0.08999967575073065,-1.2300000190734863,0.7799997329711932,0.46999931335449396,1.5900001525878924,1.1300001144409144,-0.8299999237060511,-0.6800003051757795,-2.5299997329711914,5.0,5.0,04-13,-0.03545457666570409
02-29,0.0,0.0,-0.08999967575073065,0.0,0.0,0.0,1.5900001525878924,0.0,0.0,0.0,-2.3499999046325692,1.0,2.0,04-14,-0.07727267525412795
03-01,0.0,1.0,-0.16999959945678622,-1.2300000190734863,0.7799997329711932,0.46999931335449396,1.22999954223633,0.7899999618530238,-0.5599994659423793,-0.6800003051757795,-2.3499999046325692,5.0,5.0,04-15,-0.0654546130787236
03-02,0.0,0.5,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.46999931335449396,1.22999954223633,0.7899999618530238,-0.7399997711181623,-0.75,-2.3499999046325692,5.0,5.0,04-16,-0.18272733688354476
03-03,0.0,0.5,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.46999931335449396,1.22999954223633,0.7899999618530238,-0.6400003433227539,-0.2799997329711932,-1.929999828338623,5.0,5.0,04-17,-0.09272735769098463
03-04,0.0,0.5,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.3099994659423846,1.6399993896484375,0.6100006103515625,-0.6400003433227539,-0.2799997329711932,-1.929999828338623,5.0,5.0,04-18,-0.08636366237293581
03-05,0.0,0.5,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.3099994659423846,1.6399993896484375,0.6100006103515625,-0.28999996185302734,-0.2799997329711932,-1.929999828338623,5.0,5.0,04-19,-0.05454544587568795
03-06,0.0,0.5600004196166992,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.3099994659423846,1.6399993896484375,0.6100006103515625,-0.28999996185302734,-0.2799997329711932,-1.929999828338623,5.0,5.0,04-20,-0.04909086227416984
03-07,0.0,0.5600004196166992,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.4499998092651367,1.6399993896484375,0.5399999618530256,-0.28999996185302734,-0.2799997329711932,-1.4200000762939453,5.0,5.0,04-21,0.003636360168456789
03-08,0.0,0.5600004196166992,-0.16999959945678622,-1.2300000190734863,0.23999977111816406,0.4499998092651367,1.6399993896484375,0.5399999618530256,-0.28999996185302734,0.42999935150146484,-1.5500001907348633,6.0,4.0,04-22,0.05636353926225134
03-09,0.0,0.5600004196166992,-0.16999959945678622,-1.2300000190734863,-0.05000019073486506,0.4499998092651367,1.6399993896484375,0.5399999618530256,-0.9399995803833008,0.42999935150146484,-1.3400001525878915,5.0,5.0,04-23,-0.010000055486506005
03-10,0.0,0.5600004196166992,-0.16999959945678622,-1.2300000190734863,-0.05000019073486506,0.8100004196166992,1.6799993515014648,0.26000022888183416,-0.6899995803833008,0.42999935150146484,-1.3400001525878915,5.0,5.0,04-24,0.023636384443802946
03-11,0.0,0.5600004196166992,-0.16999959945678622,-1.2300000190734863,-0.05000019073486506,0.8100004196166992,1.6799993515014648,0.5199995040893555,-0.6899995803833008,0.45999908447265625,-0.8400001525878915,5.0,5.0,04-25,0.0954544760964132
03-12,0.0,0.3300008773803711,-1.6399998664855957,-1.2300000190734863,-0.05000019073486506,0.8100004196166992,1.5900001525878906,0.5199995040893555,-0.9700002670288068,0.45999908447265625,-0.8400001525878915,5.0,5.0,04-26,-0.09272731434215208
03-13,0.0,0.3300008773803711,-1.6399998664855957,-1.2300000190734863,-0.05000019073486506,0.14999961853027344,1.3899993896484375,0.5199995040893555,-0.9700002670288068,0.45999908447265625,-0.24000024795532315,5.0,5.0,04-27,-0.11636382883245303
03-14,0.0,0.3300008773803711,-1.6399998664855957,-1.2300000190734863,-0.05000019073486506,0.14999961853027344,1.7299995422363281,0.5199995040893555,-0.9700002670288068,0.37999916076660156,1.5399999618530265,6.0,4.0,04-28,0.06909075650301838
03-15,0.0,0.3300008773803711,-1.6399998664855957,-1.2300000190734863,0.21000003814697266,0.14999961853027344,1.859999656677246,0.5199995040893555,-0.9700002670288068,0.37999916076660156,1.4800000190734863,7.0,3.0,04-29,0.09909079291603798
03-16,0.0,0.4700002670288086,-1.6399998664855957,-1.2300000190734863,0.21000003814697266,0.14999961853027344,1.859999656677246,0.5199995040893555,-0.4700002670288068,0.37999916076660156,1.510000228881836,7.0,3.0,04-30,0.15999984741210954
03-17,0.0,0.4700002670288086,-1.6399998664855957,-1.2300000190734863,0.21000003814697266,0.4200000762939471,1.130000114440918,0.5199995040893555,-0.09000015258789062,0.4099998474121094,1.619999885559082,7.0,3.0,05-01,0.16545451771129277
03-18,0.0,0.2400007247924787,-1.6399998664855957,-1.2300000190734863,0.21000003814697266,0.4200000762939471,0.819999694824217,0.5199995040893555,-0.09000015258789062,0.4099998474121094,1.619999885559082,7.0,3.0,05-02,0.11636361208828996
03-19,0.0,0.2400007247924787,-1.6399998664855957,-1.2300000190734863,0.21000003814697266,0.4200000762939471,0.7399997711181641,0.5199995040893555,-0.09000015258789062,0.4099998474121094,1.619999885559082,7.0,3.0,05-03,0.10909089175137607
03-20,0.0,0.2400007247924787,-1.4700002670288095,-1.2300000190734863,0.21000003814697266,0.10000038146972656,0.7399997711181641,0.5199995040893555,0.36999988555908203,0.4099998474121094,1.619999885559082,8.0,2.0,05-04,0.1372727047313341
03-21,0.0,0.2400007247924787,-1.4700002670288095,0.0,-0.9700002670288068,0.10000038146972656,0.5299997329711914,1.6000003814697301,0.36999988555908203,0.36999988555908203,1.619999885559082,7.0,3.0,05-05,0.21727275848388697
03-22,0.0,0.2400007247924787,-1.4700002670288095,0.0,-0.5500001907348615,0.10000038146972656,0.5299997329711914,1.6000003814697301,0.36999988555908203,0.4200000762939453,1.619999885559082,7.0,3.0,05-06,0.2600000554865059
03-23,0.0,0.2400007247924787,-1.4700002670288095,0.0,-0.5500001907348615,0.10000038146972656,0.5299997329711914,1.680000305175783,0.7600002288818377,0.4200000762939453,1.619999885559082,7.0,3.0,05-07,0.3027273524891249
03-24,0.0,0.2400007247924787,-1.4700002670288095,0.0,-0.5500001907348615,0.10000038146972656,0.5299997329711914,1.680000305175783,0.7600002288818377,0.17999935150146662,1.130000114440918,7.0,3.0,05-08,0.2363636710427028
03-25,0.0,0.2400007247924787,-1.4700002670288095,0.0,-0.5500001907348615,-0.1999998092651385,0.5299997329711914,1.3299999237060582,0.7600002288818377,-0.06000041961669744,1.130000114440918,5.0,5.0,05-09,0.15545454892245247
03-26,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.5500001907348615,0.28000068664550604,0.5299997329711914,1.3299999237060582,0.7600002288818377,-0.06000041961669744,0.29999995231628374,6.0,4.0,05-10,0.2090909047560262
03-27,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.2200002670288086,0.28000068664550604,0.5299997329711914,1.3299999237060582,0.7299995422363263,-0.050000190734861505,0.29999995231628374,6.0,4.0,05-11,0.2372726743871514
03-28,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.21000003814697088,0.3299999237060529,0.3900003433227539,1.0100002288818377,0.7299995422363263,-0.050000190734861505,-0.2199997901916504,5.0,5.0,05-12,0.15363636883822346
03-29,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.4399995803833008,0.3299999237060529,1.300000190734865,1.0100002288818377,1.0199995040893555,-0.050000190734861505,-0.2199997901916504,5.0,5.0,05-13,0.24181821129538805
03-30,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.4399995803833008,0.4300003051757795,0.8800001144409162,1.0100002288818377,1.0199995040893555,-0.050000190734861505,-0.2199997901916504,5.0,5.0,05-14,0.21272732994773147
03-31,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.4399995803833008,0.4300003051757795,0.5500001907348651,1.0100002288818377,0.37999916076660156,-0.050000190734861505,-0.2199997901916504,5.0,5.0,05-15,0.12454548749056737
04-01,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.4399995803833008,0.4300003051757795,0.8900003433227539,1.1900005340576207,0.25,-0.050000190734861505,-0.2199997901916504,5.0,5.0,05-16,0.1600001508539374
04-02,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.5,0.4300003051757795,-0.07999992370605469,1.1900005340576207,0.1999998092651385,-0.050000190734861505,-0.1599998474121085,4.0,6.0,05-17,0.06727279316295309
04-03,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.5,0.4300003051757795,0.18000030517578125,0.7899999618530291,0.1999998092651385,-0.050000190734861505,-0.1599998474121085,5.0,5.0,05-18,0.05454548922452076
04-04,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.5,0.4300003051757795,0.030000686645507812,0.810000419616701,0.2799997329711932,-0.050000190734861505,-0.1599998474121085,5.0,5.0,05-19,0.05000010403719832
04-05,0.0,1.1800003051757795,-1.4700002670288095,0.0,-0.5,0.9300003051757795,0.21000003814697088,0.810000419616701,0.2799997329711932,-0.0200004577636701,-0.1599998474121085,5.0,5.0,05-20,0.11454547535289418
04-06,0.0,1.1800003051757795,-1.8200001716613778,0.0,-0.5,0.9300003051757795,0.1700000762939453,0.810000419616701,0.2799997329711932,-0.1100006103515625,-0.1599998474121085,5.0,5.0,05-21,0.07090910998257724
04-07,0.0,1.1800003051757795,-1.8200001716613778,0.0,-0.5,0.9300003051757795,0.23999977111816406,0.7899999618530291,0.15999984741210938,-0.1100006103515625,-0.1599998474121085,5.0,5.0,05-22,0.06454541466452843
04-08,0.0,1.0,-1.8200001716613778,0.0,-0.4799995422363281,0.9300003051757795,-0.050000190734861505,0.7700004577636719,0.15999984741210938,-0.1900005340576172,-0.4200000762939453,4.0,6.0,05-23,-0.00909090042114266
04-09,0.0,1.0,-1.8200001716613778,0.0,-0.4799995422363281,0.9300003051757795,-0.2899999618530291,0.7700004577636719,-0.3400001525878906,-0.2400007247924787,-0.4200000762939453,3.0,7.0,05-24,-0.08090907877141804
04-10,0.0,1.0,-1.8200001716613778,0.0,-0.4799995422363281,0.9300003051757795,-0.06999969482422053,0.7700004577636719,-0.3400001525878906,-0.18000030517577947,-0.4200000762939453,3.0,7.0,05-25,-0.05545447089455369
