,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,4.316999435424805,1.9759999215602875,0.16999995708465565,0.10000002384185791,0.0,-0.07600000500679016,0.011000007390975952,0.7223999798297882,0.0056999996304511955,0.020580001175403602,8.0,2.0,02-16,0.658789029175585
01-03,0.0,4.84999942779541,1.9759999215602875,0.16999995708465565,0.10000002384185791,0.0,-0.07600000500679016,0.011000007390975952,0.7223999798297882,0.0056999996304511955,0.020580001175403602,8.0,2.0,02-17,0.7072435739365491
01-04,0.0,4.329999923706055,1.9759999215602875,0.16999995708465565,0.10000002384185791,0.0,-0.07600000500679016,0.011000007390975952,0.7223999798297882,0.0056999996304511955,0.006000000983476639,8.0,2.0,02-18,0.6586454371837053
01-05,0.0,4.329999923706055,1.9759999215602875,0.059999942779541016,0.10000002384185791,0.0,-0.07600000500679016,0.011000007390975952,-0.12400001287460327,0.0056999996304511955,0.006000000983476639,7.0,3.0,02-19,0.5716999820010229
01-06,0.0,4.329999923706055,1.9759999215602875,0.059999942779541016,0.10000002384185791,0.0,-0.07600000500679016,0.0,-0.27969998121261586,0.0056999996304511955,0.007999999448657032,6.0,4.0,02-20,0.5567272567952221
01-07,0.0,3.868000030517578,1.9759999215602875,0.059999942779541016,0.10000002384185791,0.0,-0.0729999989271164,0.0,-0.29580003023147583,0.0056999996304511955,0.022100001573562622,6.0,4.0,02-21,0.5148181718858805
01-08,0.0,4.5999999046325675,1.9759999215602875,0.0,0.10000002384185791,0.0,-0.10799999535083768,0.0,-0.29580003023147583,0.015200000256299973,0.022100001573562622,5.0,5.0,02-22,0.5735908932983874
01-09,0.0,4.0999999046325675,1.9759999215602875,0.0,0.10000002384185791,0.0,-0.10799999535083768,0.13419999182224274,-0.37090003490448,0.015200000256299973,0.021300001069903374,6.0,4.0,02-23,0.5334363466298038
01-10,0.0,4.164999485015868,1.9759999215602875,0.0,0.10000002384185791,0.0,-0.10799999535083768,0.13419999182224274,-0.28369998931884766,-0.008799999952316284,0.021199999377131462,5.0,5.0,02-24,0.5450817669995806
01-11,0.0,3.8399996757507324,1.9759999215602875,-0.08700001239776611,0.10000002384185791,0.0,-0.10799999535083768,0.13419999182224274,-0.28369998931884766,0.012400001287460327,0.004850000143051154,6.0,4.0,02-25,0.5080681470307437
01-12,0.0,3.8399996757507324,1.9759999215602875,-0.08700001239776611,0.10000002384185791,0.0,0.02599999308586129,0.13419999182224274,-0.3629999756813048,0.018399998545646667,0.004850000143051154,7.0,3.0,02-26,0.5135863287882372
01-13,0.0,3.3819994926452637,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,0.02599999308586129,0.13419999182224274,-0.18330001831054676,0.018399998545646667,0.004850000143051154,7.0,3.0,02-27,0.48592266982251947
01-14,0.0,2.869999408721924,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,0.02599999308586129,0.13419999182224274,-0.18330001831054676,-0.004399999976158142,0.007920000702142722,6.0,4.0,02-28,0.4375835714692419
01-15,0.0,2.994999885559082,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,-0.0659999996423721,0.13419999182224274,-0.34640002250671387,-0.004399999976158142,0.007920000702142722,5.0,5.0,02-29,0.4257563423704017
01-16,0.0,2.9700002670288086,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,-0.0659999996423721,0.13419999182224274,-0.3889000415802002,0.007000003010034568,0.007920000702142722,6.0,4.0,03-01,0.42065637558698654
01-17,0.0,3.51200008392334,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,-0.0659999996423721,0.13419999182224274,-0.3889000415802002,0.007000003010034568,0.007920000702142722,6.0,4.0,03-02,0.4699290862137621
01-18,0.0,3.121999740600586,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,-0.0659999996423721,0.13419999182224274,-0.258899986743927,0.007000003010034568,0.007920000702142722,6.0,4.0,03-03,0.44629269635135477
01-19,0.0,3.1519994735717756,1.9499998986721039,-0.08700001239776611,0.10000002384185791,0.0,-0.0659999996423721,0.13419999182224274,-0.37420004606246926,0.007000003010034568,-0.004349999129772179,5.0,5.0,03-04,0.43742266669869406
01-20,0.0,1.8940000534057617,-0.2780001163482666,-0.10699999332427956,0.10000002384185791,0.0,-0.0659999996423721,0.13419999182224274,-0.36120003461837746,0.007000003010034568,-0.004349999129772179,4.0,6.0,03-05,0.11987726627425718
01-21,0.0,1.7559995651245117,-0.2780001163482666,-0.10699999332427956,0.12999999523162842,0.0,-0.0659999996423721,0.13419999182224274,-0.36120003461837746,0.007000003010034568,-0.004349999129772179,4.0,6.0,03-06,0.11005903746594087
01-22,0.0,0.4419994354248047,-0.2780001163482666,-0.10699999332427956,0.12999999523162842,0.0,-0.0659999996423721,0.13419999182224274,-0.3858000040054319,0.007000003010034568,-0.007199998944997794,4.0,6.0,03-07,-0.01189097152514887
01-23,0.0,-0.15799999237060547,-0.3880000114440918,-0.10699999332427956,0.12999999523162842,0.0,-0.0659999996423721,0.13419999182224274,-0.37509995698928833,0.007000003010034568,-0.007699999958276749,3.0,7.0,03-08,-0.07550908760590985
01-24,0.0,-0.518000602722168,-0.25,-0.10699999332427956,0.12999999523162842,0.0,-0.0659999996423721,0.057999998331069946,-0.4561000466346741,0.007400002330541618,-0.024999999441206455,3.0,7.0,03-09,-0.11151824053376912
01-25,0.0,-0.38899993896484375,-0.25,-0.10699999332427956,0.12999999523162842,0.0,0.03200000524520877,0.057999998331069946,-0.4561000466346741,0.007400002330541618,-0.0245000021532178,4.0,6.0,03-10,-0.09083636181259695
01-26,0.0,0.630000114440918,-0.27700018882751465,-0.10699999332427956,0.12999999523162842,0.0,0.03200000524520877,0.057999998331069946,-0.5665000081062317,0.007400002330541618,-0.0245000021532178,5.0,5.0,03-11,-0.010690916075625183
01-27,0.0,0.630000114440918,-0.27700018882751465,-0.12000000476837158,0.12999999523162842,0.0,0.03200000524520877,0.057999998331069946,-0.5084999203681946,0.007400002330541618,-0.0245000021532178,5.0,5.0,03-12,-0.006600000048902902
01-28,0.0,0.9430007934570312,0.04999995231628418,-0.12000000476837158,0.12999999523162842,0.0,0.1639999970793724,0.057999998331069946,-0.514799952507019,0.007400002330541618,-0.0245000021532178,6.0,4.0,03-13,0.06300916175611994
01-29,0.0,0.10000038146972656,0.04999995231628418,-0.12000000476837158,0.029999971389770508,0.0,0.1639999970793724,0.057999998331069946,-0.5343899726867676,0.007400002330541618,-0.019899998791515827,6.0,4.0,03-14,-0.024080879393626343
01-30,0.0,0.10000038146972656,0.25999999046325684,-0.12000000476837158,0.029999971389770508,0.0,0.25199999660253525,0.057999998331069946,-0.5012999773025513,0.007400002330541618,-0.02758000139147044,6.0,4.0,03-15,0.005320032465864311
01-31,0.0,-1.3400001525878924,0.25999999046325684,-0.12000000476837158,0.029999971389770508,0.0,0.25199999660253525,0.057999998331069946,-0.5623999834060669,0.007400002330541618,-0.02758000139147044,5.0,5.0,03-16,-0.13114365300332975
02-01,0.0,-1.3400001525878924,0.25999999046325684,-0.12000000476837158,0.029999971389770508,0.0,0.06699999421834946,0.057999998331069946,-0.535099983215332,0.007400002330541618,-0.018010001629590995,5.0,5.0,03-17,-0.14461001686074534
02-02,0.0,-1.3400001525878924,0.25999999046325684,-0.12000000476837158,0.029999971389770508,0.0,0.1860000118613243,0.057999998331069946,-0.5400000214576721,0.007400002330541618,-0.01958000101149083,5.0,5.0,03-18,-0.13438001867722396
02-03,0.0,-1.3400001525878924,-0.07799983024597168,-0.12000000476837158,0.029999971389770508,0.0,0.1860000118613243,0.057999998331069946,-0.3830999732017516,0.007400002330541618,-0.025510001927614222,4.0,6.0,03-19,-0.1513827253471723
02-04,0.0,-1.489999771118164,-0.07799983024597168,-0.12000000476837158,0.029999971389770508,0.0,0.028000026941299383,0.057999998331069946,-0.3830999732017516,0.0012999996542930603,-0.025510001927614222,4.0,6.0,03-20,-0.17993723499504002
02-05,0.0,-2.369999885559082,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,0.0,0.16200001537799835,0.04780000448226929,-0.49009999632835377,0.0012999996542930603,-0.025510001927614222,4.0,6.0,03-21,-0.25677361102266744
02-06,0.0,-1.7500000000000018,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,0.0,0.04800000786781311,0.04780000448226929,-0.4862000048160554,0.0012999996542930603,-0.025510001927614222,4.0,6.0,03-22,-0.2104190774261953
02-07,0.0,-1.9600000381469744,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,0.0,0.04800000786781311,0.04780000448226929,-0.5291999876499176,0.0012999996542930603,-0.025510001927614222,4.0,6.0,03-23,-0.23341907933354394
02-08,0.0,-1.9600000381469744,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,0.0,0.04800000786781311,0.04780000448226929,-0.5291999876499176,0.00360000133514405,-0.025510001927614222,4.0,6.0,03-24,-0.2332099882716484
02-09,0.0,-1.427000045776369,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,-0.11989999732031721,0.04800000786781311,0.04780000448226929,-0.47609999775886536,0.00360000133514405,-0.025510001927614222,4.0,6.0,03-25,-0.19082817145879927
02-10,0.0,-1.427000045776369,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,-0.11989999732031721,0.04800000786781311,0.04780000448226929,-0.46404001116752613,0.00360000133514405,-0.025510001927614222,4.0,6.0,03-26,-0.18973180904140474
02-11,0.0,-1.427000045776369,-0.07799983024597168,-0.10199999809265115,0.029999971389770508,-0.11989999732031721,0.04800000786781311,0.04780000448226929,-0.5269400179386138,0.00360000133514405,-0.025510001927614222,4.0,6.0,03-27,-0.19544999147514
02-12,0.0,-1.9600000381469744,-0.09799981117248491,-0.10199999809265115,0.029999971389770508,-0.11989999732031721,0.04800000786781311,0.04780000448226929,-0.5342000126838682,0.00360000133514405,-0.025510001927614222,4.0,6.0,03-28,-0.24638271584262847
02-13,0.0,-1.8999996185302734,-0.09799981117248491,-0.10199999809265115,0.029999971389770508,-0.11989999732031721,0.04800000786781311,0.04780000448226929,-0.5296599864959717,0.00360000133514405,-0.01093000173568726,4.0,6.0,03-29,-0.2391899480247626
02-14,0.0,-2.2360000610351562,-0.2359998226165767,-0.10199999809265115,-0.050000011920928955,0.3500000014901161,0.04800000786781311,0.04780000448226929,-0.5296599864959717,0.00360000133514405,-0.01093000173568726,4.0,6.0,03-30,-0.24683544242923902
